"ds","y","yhat","residuals"
2016-01-01 00:00:00,43731.75,44532.3718301082,-800.621830108204
2016-01-01 01:00:00,41962,41875.5525532138,86.4474467861655
2016-01-01 02:00:00,40222.5,40837.777339766,-615.277339765955
2016-01-01 03:00:00,39243,40262.3820023192,-1019.38200231916
2016-01-01 04:00:00,38749.5,40122.5206448472,-1373.0206448472
2016-01-01 05:00:00,38060,38937.4467904681,-877.446790468108
2016-01-01 06:00:00,36689,37276.3219393716,-587.32193937157
2016-01-01 07:00:00,36925,39276.7371674582,-2351.73716745824
2016-01-01 08:00:00,37604,42459.9813970962,-4855.98139709621
2016-01-01 09:00:00,39606.75,45275.4885662277,-5668.73856622766
2016-01-01 10:00:00,42318.25,46882.0573572865,-4563.80735728647
2016-01-01 11:00:00,45348.25,48175.3871539864,-2827.13715398642
2016-01-01 12:00:00,46199.5,47793.0895679735,-1593.58956797347
2016-01-01 13:00:00,45488.5,45461.4468188422,27.0531811578185
2016-01-01 14:00:00,45338.5,43821.4917250069,1517.00827499307
2016-01-01 15:00:00,46020.25,43621.9452733463,2398.30472665373
2016-01-01 16:00:00,48631,45735.2932807847,2895.70671921528
2016-01-01 17:00:00,52169,49293.3248250812,2875.67517491878
2016-01-01 18:00:00,52797.25,49267.7461754165,3529.50382458355
2016-01-01 19:00:00,51298.75,47070.4985945478,4228.25140545216
2016-01-01 20:00:00,49284.75,44477.1383478107,4807.61165218929
2016-01-01 21:00:00,47752.5,43276.8829655489,4475.61703445105
2016-01-01 22:00:00,47393.25,43362.9001933693,4030.34980663071
2016-01-01 23:00:00,44163,41993.5774492042,2169.42255079585
2016-01-02 00:00:00,40932.5,41979.4784472305,-1046.97844723055
2016-01-02 01:00:00,38946.5,40066.5140348249,-1120.01403482485
2016-01-02 02:00:00,38158.5,38447.561609037,-289.061609037024
2016-01-02 03:00:00,37844.5,37544.4166214187,300.08337858133
2016-01-02 04:00:00,38761.5,37208.208782029,1553.29121797099
2016-01-02 05:00:00,39661.75,36681.6441774119,2980.1058225881
2016-01-02 06:00:00,40625.5,35232.0318732475,5393.46812675251
2016-01-02 07:00:00,43705.75,36483.829296086,7221.92070391402
2016-01-02 08:00:00,47548.5,38175.3278461395,9373.1721538605
2016-01-02 09:00:00,51254.5,41552.832760154,9701.66723984601
2016-01-02 10:00:00,53798.5,44203.4250470072,9595.07495299276
2016-01-02 11:00:00,55752.25,46188.9770670853,9563.27293291468
2016-01-02 12:00:00,56315.75,46397.8490455199,9917.90095448006
2016-01-02 13:00:00,55552.75,45278.8576824773,10273.8923175227
2016-01-02 14:00:00,54969.75,44402.6921967277,10567.0578032723
2016-01-02 15:00:00,55152,44836.2159391434,10315.7840608566
2016-01-02 16:00:00,57045.75,47655.2408066804,9390.50919331955
2016-01-02 17:00:00,60059.75,51440.0570972989,8619.69290270107
2016-01-02 18:00:00,60431.25,52265.3612224453,8165.88877755473
2016-01-02 19:00:00,58884,50389.0990460022,8494.90095399776
2016-01-02 20:00:00,55174.25,47828.6657216369,7345.58427836315
2016-01-02 21:00:00,52626,45789.1727028215,6836.82729717853
2016-01-02 22:00:00,52114.5,45361.7079688802,6752.79203111984
2016-01-02 23:00:00,49025.5,42354.0104573466,6671.48954265343
2016-01-03 00:00:00,45832.5,37612.6434381468,8219.85656185319
2016-01-03 01:00:00,43141.75,35463.0137626601,7678.73623733986
2016-01-03 02:00:00,41809.5,34743.7870660149,7065.71293398508
2016-01-03 03:00:00,41299.25,34426.2508580231,6872.99914197693
2016-01-03 04:00:00,41359.25,35002.9465415115,6356.30345848848
2016-01-03 05:00:00,41036.25,34804.1106550483,6232.13934495166
2016-01-03 06:00:00,40391,32985.1020929733,7405.89790702674
2016-01-03 07:00:00,42025.75,33855.7313822645,8170.01861773555
2016-01-03 08:00:00,44714.25,36634.2839968269,8079.96600317308
2016-01-03 09:00:00,48107.5,40146.0385534072,7961.4614465928
2016-01-03 10:00:00,51113,42942.6844682988,8170.31553170124
2016-01-03 11:00:00,54048.25,45487.1687192723,8561.08128072768
2016-01-03 12:00:00,54315.25,46035.7849993124,8279.46500068763
2016-01-03 13:00:00,52856,45576.9829213485,7279.01707865149
2016-01-03 14:00:00,51276.75,44549.743415816,6727.006584184
2016-01-03 15:00:00,50848.75,44825.7010339281,6023.04896607185
2016-01-03 16:00:00,53166,46938.9640252136,6227.0359747864
2016-01-03 17:00:00,57296,51018.4671783083,6277.53282169165
2016-01-03 18:00:00,57888.5,52781.9020458812,5106.59795411883
2016-01-03 19:00:00,56793.5,51881.7539195296,4911.74608047038
2016-01-03 20:00:00,54613.75,49997.2806794251,4616.46932057486
2016-01-03 21:00:00,52918.5,49485.524489787,3432.97551021297
2016-01-03 22:00:00,52606.75,50851.8608075761,1754.88919242394
2016-01-03 23:00:00,49547.75,48090.8563818921,1456.89361810787
2016-01-04 00:00:00,46864.25,45447.6203414045,1416.62965859549
2016-01-04 01:00:00,44952.25,43439.9798276432,1512.27017235682
2016-01-04 02:00:00,43773.5,42907.9454203475,865.554579652518
2016-01-04 03:00:00,43858.25,43094.8919737197,763.358026280272
2016-01-04 04:00:00,45447.75,44306.8267617972,1140.92323820284
2016-01-04 05:00:00,48595,46566.9713679945,2028.0286320055
2016-01-04 06:00:00,54769.25,50408.3194532663,4360.93054673367
2016-01-04 07:00:00,60886,54046.7845801843,6839.21541981573
2016-01-04 08:00:00,64645,55957.2368595504,8687.76314044956
2016-01-04 09:00:00,66072,57776.8865380731,8295.11346192687
2016-01-04 10:00:00,67255.75,59298.1683755549,7957.58162444508
2016-01-04 11:00:00,68614.5,63085.6859734385,5528.81402656149
2016-01-04 12:00:00,68653.25,63821.7271768942,4831.52282310576
2016-01-04 13:00:00,68023.5,63750.6119230964,4272.88807690363
2016-01-04 14:00:00,66801,62644.4158168114,4156.58418318863
2016-01-04 15:00:00,66266.75,62683.1014919327,3583.64850806725
2016-01-04 16:00:00,67034.75,64181.2772536727,2853.47274632727
2016-01-04 17:00:00,70706.75,67278.0088436786,3428.7411563214
2016-01-04 18:00:00,70768.25,66697.0845145287,4071.16548547125
2016-01-04 19:00:00,68949.5,64874.711759686,4074.78824031396
2016-01-04 20:00:00,64676.5,61284.5483584059,3391.95164159407
2016-01-04 21:00:00,61587.25,58502.8890864456,3084.36091355442
2016-01-04 22:00:00,59319.75,56456.6930024693,2863.05699753069
2016-01-04 23:00:00,55200.25,52714.6144709952,2485.63552900485
2016-01-05 00:00:00,52053.25,48586.2836926363,3466.96630736368
2016-01-05 01:00:00,49741,46465.6180331854,3275.38196681456
2016-01-05 02:00:00,48433.5,45127.5848136281,3305.91518637195
2016-01-05 03:00:00,48902,44891.2819762163,4010.71802378372
2016-01-05 04:00:00,49553.25,46361.1162796514,3192.13372034857
2016-01-05 05:00:00,52538.5,48583.9923863393,3954.50761366069
2016-01-05 06:00:00,58196.75,52501.6973109377,5695.05268906234
2016-01-05 07:00:00,63923.25,57057.9868573042,6865.26314269581
2016-01-05 08:00:00,66976.75,59809.3330970996,7167.41690290038
2016-01-05 09:00:00,67694.75,61628.2322744318,6066.51772556821
2016-01-05 10:00:00,68753.5,63968.0570681855,4785.44293181453
2016-01-05 11:00:00,69993.25,65904.423596032,4088.82640396801
2016-01-05 12:00:00,70017,66159.1891354825,3857.81086451747
2016-01-05 13:00:00,69089.5,65603.9349530242,3485.56504697584
2016-01-05 14:00:00,68327.25,64435.1551963351,3892.09480366489
2016-01-05 15:00:00,68020.25,64123.183834445,3897.06616555502
2016-01-05 16:00:00,69106.75,65069.3372226239,4037.41277737606
2016-01-05 17:00:00,71862.75,68426.9411265168,3435.8088734832
2016-01-05 18:00:00,71581.25,68530.6436572746,3050.60634272535
2016-01-05 19:00:00,69763.75,66713.7880579097,3049.9619420903
2016-01-05 20:00:00,65609.5,62662.6992240293,2946.80077597072
2016-01-05 21:00:00,62128,59912.1318755307,2215.86812446927
2016-01-05 22:00:00,59354.5,58140.3388689911,1214.16113100886
2016-01-05 23:00:00,55038.75,54319.9030858554,718.846914144597
2016-01-06 00:00:00,52151.25,50928.6395062824,1222.61049371765
2016-01-06 01:00:00,50053.25,48399.8792706313,1653.37072936867
2016-01-06 02:00:00,48845.75,46903.120445366,1942.62955463404
2016-01-06 03:00:00,48738.5,46816.1756352641,1922.32436473592
2016-01-06 04:00:00,49720,46548.3114338902,3171.68856610979
2016-01-06 05:00:00,51362.75,46295.141510678,5067.60848932204
2016-01-06 06:00:00,55162,45899.7411424788,9262.25885752116
2016-01-06 07:00:00,60182.75,48227.9816406524,11954.7683593476
2016-01-06 08:00:00,63015.25,50982.226030593,12033.023969407
2016-01-06 09:00:00,64050,53341.4538438162,10708.5461561838
2016-01-06 10:00:00,65568.25,55421.3725974517,10146.8774025483
2016-01-06 11:00:00,67443.5,57481.5426147218,9961.95738527819
2016-01-06 12:00:00,67090,57416.2379142072,9673.76208579281
2016-01-06 13:00:00,65702.5,55899.952382878,9802.54761712196
2016-01-06 14:00:00,64479,54889.5968724252,9589.40312757478
2016-01-06 15:00:00,64129.5,54696.5609365898,9432.93906341023
2016-01-06 16:00:00,65889,56081.2354663151,9807.76453368489
2016-01-06 17:00:00,68980.5,59880.5521843537,9099.94781564631
2016-01-06 18:00:00,68914.25,61097.2025416445,7817.04745835552
2016-01-06 19:00:00,67184,60265.3833920921,6918.6166079079
2016-01-06 20:00:00,63539.75,57706.065879432,5833.68412056804
2016-01-06 21:00:00,60652.75,55615.906154753,5036.84384524698
2016-01-06 22:00:00,58711.75,54434.1748306073,4277.57516939272
2016-01-06 23:00:00,54737.5,51498.5652890708,3238.93471092919
2016-01-07 00:00:00,51721,50712.9851442187,1008.01485578128
2016-01-07 01:00:00,49479,48755.9432370298,723.056762970249
2016-01-07 02:00:00,48291.75,47812.0737914038,479.676208596233
2016-01-07 03:00:00,48345.25,47949.4294077678,395.820592232172
2016-01-07 04:00:00,50100.5,49628.9173379392,471.582662060835
2016-01-07 05:00:00,53620.75,52825.9892626495,794.76073735048
2016-01-07 06:00:00,61083.25,58216.5836276366,2866.66637236345
2016-01-07 07:00:00,67590.5,63687.8474125139,3902.65258748615
2016-01-07 08:00:00,70299.5,69344.1433103886,955.35668961145
2016-01-07 09:00:00,70303.75,70194.3106532051,109.439346794854
2016-01-07 10:00:00,70282.75,71309.5341968331,-1026.78419683308
2016-01-07 11:00:00,72113.25,72532.2349891463,-418.984989146338
2016-01-07 12:00:00,72112.5,72352.0517199854,-239.551719985422
2016-01-07 13:00:00,71591,71708.8279902964,-117.82799029637
2016-01-07 14:00:00,70997.25,70666.0711274463,331.178872553704
2016-01-07 15:00:00,70794,70498.157944978,295.842055022018
2016-01-07 16:00:00,71425.75,70650.1411879834,775.60881201661
2016-01-07 17:00:00,74199.5,73653.6039570071,545.896042992856
2016-01-07 18:00:00,73782.75,73235.512313158,547.237686842011
2016-01-07 19:00:00,71393.5,70980.8235579112,412.676442088836
2016-01-07 20:00:00,67458.25,66240.4796148582,1217.77038514182
2016-01-07 21:00:00,63779.75,62409.901946673,1369.848053327
2016-01-07 22:00:00,61360.75,61037.0000333232,323.749966676769
2016-01-07 23:00:00,56772.75,56966.2565937175,-193.506593717459
2016-01-08 00:00:00,53532.5,50914.1223910724,2618.37760892764
2016-01-08 01:00:00,51434,48708.3756822204,2725.62431777959
2016-01-08 02:00:00,50044,47105.4649444572,2938.53505554281
2016-01-08 03:00:00,50199,47138.0213884807,3060.97861151933
2016-01-08 04:00:00,51459.75,48473.1671634394,2986.58283656062
2016-01-08 05:00:00,54567,51452.3872115504,3114.61278844964
2016-01-08 06:00:00,62656.25,57110.9685102871,5545.28148971294
2016-01-08 07:00:00,69177.5,62877.5376037712,6299.96239622882
2016-01-08 08:00:00,71473.25,66141.1572273168,5332.09277268325
2016-01-08 09:00:00,70917.25,67009.4615641593,3907.78843584073
2016-01-08 10:00:00,70569.25,69785.2915761435,783.958423856529
2016-01-08 11:00:00,71093.5,70925.6718255167,167.828174483293
2016-01-08 12:00:00,70660.5,70505.1196455966,155.380354403431
2016-01-08 13:00:00,69474,69202.2733339401,271.726666059883
2016-01-08 14:00:00,67869.5,68100.8985939001,-231.398593900056
2016-01-08 15:00:00,66990.25,67785.542575656,-795.292575655956
2016-01-08 16:00:00,68070,66982.8274164252,1087.17258357478
2016-01-08 17:00:00,71333.25,69692.3302963994,1640.91970360059
2016-01-08 18:00:00,70929.5,69216.1179154128,1713.38208458717
2016-01-08 19:00:00,68905,66940.4985799734,1964.50142002657
2016-01-08 20:00:00,64386.5,62878.6293981029,1507.87060189714
2016-01-08 21:00:00,60856.5,59534.4043915784,1322.09560842164
2016-01-08 22:00:00,58489.5,58159.4083207514,330.09167924861
2016-01-08 23:00:00,54399,55011.9902094135,-612.990209413467
2016-01-09 00:00:00,51343.25,51223.7417085045,119.50829149552
2016-01-09 01:00:00,49310.25,49036.4699062075,273.780093792499
2016-01-09 02:00:00,47924.5,47464.9932046143,459.506795385714
2016-01-09 03:00:00,47211.25,47062.2264886561,149.023511343854
2016-01-09 04:00:00,47038.5,47178.0489955609,-139.548995560916
2016-01-09 05:00:00,46984.5,47118.5775241931,-134.077524193126
2016-01-09 06:00:00,47127,48276.1326060691,-1149.13260606915
2016-01-09 07:00:00,49695.5,51964.4108621566,-2268.91086215662
2016-01-09 08:00:00,53381,55934.8938561989,-2553.89385619888
2016-01-09 09:00:00,56834.5,58481.2286931574,-1646.72869315736
2016-01-09 10:00:00,58502,59428.7427070211,-926.742707021112
2016-01-09 11:00:00,59998.5,60337.0950264552,-338.595026455216
2016-01-09 12:00:00,59335,59748.1052263349,-413.105226334897
2016-01-09 13:00:00,57090.5,58053.8450134369,-963.345013436934
2016-01-09 14:00:00,55845.5,56677.6164053887,-832.116405388748
2016-01-09 15:00:00,55918,56349.8727682196,-431.872768219582
2016-01-09 16:00:00,57408.25,57701.367433283,-293.11743328302
2016-01-09 17:00:00,61771,61367.1680130505,403.831986949459
2016-01-09 18:00:00,62274,62065.7995767696,208.200423230359
2016-01-09 19:00:00,60331.25,60333.7988504418,-2.54885044180992
2016-01-09 20:00:00,56412.25,56206.8515595802,205.398440419791
2016-01-09 21:00:00,54118,53264.4977194546,853.502280545392
2016-01-09 22:00:00,53653.25,52405.3676417189,1247.88235828111
2016-01-09 23:00:00,50700.5,49482.5397115168,1217.96028848316
2016-01-10 00:00:00,46517.5,46395.4261754001,122.073824599924
2016-01-10 01:00:00,44645.5,44316.2911328528,329.208867147179
2016-01-10 02:00:00,43503.5,42976.4062623587,527.093737641269
2016-01-10 03:00:00,43221.25,42206.2125676159,1015.03743238414
2016-01-10 04:00:00,43262.25,41995.9458637562,1266.30413624384
2016-01-10 05:00:00,42601.25,41631.9047572204,969.3452427796
2016-01-10 06:00:00,42054,40711.489463859,1342.51053614103
2016-01-10 07:00:00,44120.25,42557.2690546585,1562.98094534146
2016-01-10 08:00:00,47699.25,46040.0267025644,1659.22329743562
2016-01-10 09:00:00,51257.5,49374.749772185,1882.75022781501
2016-01-10 10:00:00,53703.75,51844.2739954793,1859.4760045207
2016-01-10 11:00:00,56190.75,54284.1040949632,1906.64590503679
2016-01-10 12:00:00,55771.25,53993.922354291,1777.32764570903
2016-01-10 13:00:00,54115.5,51916.4363652887,2199.0636347113
2016-01-10 14:00:00,52878,50705.897525647,2172.10247435302
2016-01-10 15:00:00,52796.75,50604.1103174155,2192.63968258454
2016-01-10 16:00:00,54302.5,52198.6840799444,2103.81592005556
2016-01-10 17:00:00,58498.25,56734.0229642956,1764.22703570435
2016-01-10 18:00:00,59470.75,58372.4296776903,1098.32032230968
2016-01-10 19:00:00,58151,57388.5313351912,762.468664808846
2016-01-10 20:00:00,55740.25,55064.9269008,675.323099199959
2016-01-10 21:00:00,53817.75,53693.3766459715,124.373354028532
2016-01-10 22:00:00,53723.75,54328.5715208899,-604.82152088992
2016-01-10 23:00:00,49955.75,51337.9531697317,-1382.20316973172
2016-01-11 00:00:00,47167.75,47710.9090004061,-543.159000406064
2016-01-11 01:00:00,45335,46512.1574071479,-1177.15740714785
2016-01-11 02:00:00,44355.75,45753.1140090336,-1397.36400903358
2016-01-11 03:00:00,45420.25,46359.8419261362,-939.5919261362
2016-01-11 04:00:00,46865,48002.3584047056,-1137.35840470562
2016-01-11 05:00:00,51245.75,51477.4459220087,-231.695922008657
2016-01-11 06:00:00,60681.5,59122.2335216136,1559.26647838635
2016-01-11 07:00:00,68403.75,65523.0643521738,2880.68564782624
2016-01-11 08:00:00,71461.25,68683.7419007041,2777.50809929588
2016-01-11 09:00:00,76649,69699.9844613184,6949.01553868165
2016-01-11 10:00:00,79285,70515.1641861233,8769.83581387672
2016-01-11 11:00:00,76918.75,71408.3367243953,5510.41327560475
2016-01-11 12:00:00,73532.25,70919.6859219449,2612.56407805507
2016-01-11 13:00:00,73238.5,70423.1092248281,2815.39077517189
2016-01-11 14:00:00,72126.75,70220.4916229782,1906.25837702182
2016-01-11 15:00:00,71465.5,70058.008203861,1407.491796139
2016-01-11 16:00:00,71921,70869.7284892535,1051.27151074649
2016-01-11 17:00:00,74461,74025.0167727735,435.983227226548
2016-01-11 18:00:00,73984.25,73437.398183159,546.85181684095
2016-01-11 19:00:00,71817.5,71309.6937044731,507.806295526869
2016-01-11 20:00:00,67592,66849.9634274725,742.036572527533
2016-01-11 21:00:00,64061.75,62789.8392047699,1271.91079523007
2016-01-11 22:00:00,61588.5,60036.6871107236,1551.81288927644
2016-01-11 23:00:00,56243,55051.5280201018,1191.47197989821
2016-01-12 00:00:00,52696.25,51816.9971295026,879.252870497359
2016-01-12 01:00:00,50375.5,49724.6718340172,650.828165982777
2016-01-12 02:00:00,49592.25,48411.5836443773,1180.66635562273
2016-01-12 03:00:00,50002.25,49218.7718876234,783.478112376622
2016-01-12 04:00:00,51203.75,50253.4856361069,950.26436389314
2016-01-12 05:00:00,54734,53984.097204243,749.902795756971
2016-01-12 06:00:00,63021.25,61839.4241036134,1181.82589638659
2016-01-12 07:00:00,70479.75,68322.2365488828,2157.51345111719
2016-01-12 08:00:00,73110.5,71015.3609778077,2095.13902219231
2016-01-12 09:00:00,72979.75,73924.7551414448,-945.005141444781
2016-01-12 10:00:00,73507,75802.0087582971,-2295.00875829712
2016-01-12 11:00:00,74053.75,75510.4271144906,-1456.67711449057
2016-01-12 12:00:00,73276.5,73157.2066082174,119.293391782616
2016-01-12 13:00:00,72883.75,72971.2097397753,-87.459739775295
2016-01-12 14:00:00,71968,72077.8764957351,-109.876495735123
2016-01-12 15:00:00,71214.5,71526.281431293,-311.781431293042
2016-01-12 16:00:00,71553.75,72047.958668226,-494.208668225969
2016-01-12 17:00:00,74867.25,74866.5667083613,0.683291638735682
2016-01-12 18:00:00,74670.75,74316.0153818605,354.734618139453
2016-01-12 19:00:00,72757.25,72133.2575299265,623.992470073543
