"ds","y","yhat","residuals"
2016-01-08 00:00:00,53532.5,51385.2502377102,2147.24976228976
2016-01-08 01:00:00,51434,49009.7951329328,2424.20486706716
2016-01-08 02:00:00,50044,47703.2365710202,2340.76342897979
2016-01-08 03:00:00,50199,47986.8830712268,2212.11692877315
2016-01-08 04:00:00,51459.75,49651.2725367023,1808.47746329767
2016-01-08 05:00:00,54567,53450.2020297402,1116.79797025982
2016-01-08 06:00:00,62656.25,59854.0190857252,2802.23091427479
2016-01-08 07:00:00,69177.5,65164.787710438,4012.71228956196
2016-01-08 08:00:00,71473.25,67217.4248089271,4255.82519107287
2016-01-08 09:00:00,70917.25,67429.8962634355,3487.35373656447
2016-01-08 10:00:00,70569.25,68157.9980953061,2411.25190469385
2016-01-08 11:00:00,71093.5,69665.7820064149,1427.71799358515
2016-01-08 12:00:00,70660.5,69441.6012525299,1218.89874747011
2016-01-08 13:00:00,69474,68613.6211680389,860.37883196109
2016-01-08 14:00:00,67869.5,67823.3111821612,46.1888178388181
2016-01-08 15:00:00,66990.25,67539.1751258952,-548.925125895228
2016-01-08 16:00:00,68070,68351.3757568966,-281.375756896625
2016-01-08 17:00:00,71333.25,70666.5779838194,666.672016180586
2016-01-08 18:00:00,70929.5,70571.4240329112,358.075967088807
2016-01-08 19:00:00,68905,68224.7340910154,680.265908984598
2016-01-08 20:00:00,64386.5,64272.4375168382,114.062483161804
2016-01-08 21:00:00,60856.5,60686.869449092,169.630550907954
2016-01-08 22:00:00,58489.5,58676.1340025933,-186.634002593251
2016-01-08 23:00:00,54399,54633.6049751419,-234.604975141912
2016-01-09 00:00:00,51343.25,51251.3196834868,91.9303165131932
2016-01-09 01:00:00,49310.25,49607.1044149714,-296.854414971414
2016-01-09 02:00:00,47924.5,48296.3253813928,-371.825381392795
2016-01-09 03:00:00,47211.25,47854.1728498161,-642.922849816066
2016-01-09 04:00:00,47038.5,48061.118836736,-1022.61883673599
2016-01-09 05:00:00,46984.5,47622.6762860691,-638.176286069138
2016-01-09 06:00:00,47127,48373.971100407,-1246.97110040705
2016-01-09 07:00:00,49695.5,51641.9349446703,-1946.43494467028
2016-01-09 08:00:00,53381,55317.6035257874,-1936.60352578738
2016-01-09 09:00:00,56834.5,57972.2480257708,-1137.74802577082
2016-01-09 10:00:00,58502,59197.3108023172,-695.310802317188
2016-01-09 11:00:00,59998.5,60236.5136890691,-238.013689069077
2016-01-09 12:00:00,59335,59710.0287013785,-375.028701378484
2016-01-09 13:00:00,57090.5,57955.4694738274,-864.969473827448
2016-01-09 14:00:00,55845.5,56298.5719452348,-453.071945234791
2016-01-09 15:00:00,55918,55818.6523622016,99.3476377983752
2016-01-09 16:00:00,57408.25,57309.0882377343,99.1617622657141
2016-01-09 17:00:00,61771,60883.3277900058,887.672209994162
2016-01-09 18:00:00,62274,61636.9801174741,637.019882525921
2016-01-09 19:00:00,60331.25,60009.1949935563,322.055006443697
2016-01-09 20:00:00,56412.25,56059.3288080344,352.921191965645
2016-01-09 21:00:00,54118,53584.406296329,533.593703670951
2016-01-09 22:00:00,53653.25,52739.5929896018,913.65701039815
2016-01-09 23:00:00,50700.5,49661.81061742,1038.68938257999
2016-01-10 00:00:00,46517.5,46716.6157737257,-199.115773725665
2016-01-10 01:00:00,44645.5,44524.7938814527,120.706118547263
2016-01-10 02:00:00,43503.5,43211.365891775,292.134108225015
2016-01-10 03:00:00,43221.25,42502.5466781244,718.703321875633
2016-01-10 04:00:00,43262.25,42371.4993590856,890.75064091439
2016-01-10 05:00:00,42601.25,42221.0027823494,380.247217650562
2016-01-10 06:00:00,42054,41701.4258455891,352.574154410933
2016-01-10 07:00:00,44120.25,43735.665840045,384.58415995496
2016-01-10 08:00:00,47699.25,47082.5498529954,616.700147004623
2016-01-10 09:00:00,51257.5,50326.5963058847,930.90369411531
2016-01-10 10:00:00,53703.75,52668.7509811044,1034.99901889562
2016-01-10 11:00:00,56190.75,55317.4274129728,873.322587027207
2016-01-10 12:00:00,55771.25,55184.7331573383,586.516842661709
2016-01-10 13:00:00,54115.5,53025.6893264796,1089.81067352043
2016-01-10 14:00:00,52878,51658.9558779638,1219.04412203623
2016-01-10 15:00:00,52796.75,51388.2423784807,1408.50762151929
2016-01-10 16:00:00,54302.5,52832.3427934224,1470.15720657764
2016-01-10 17:00:00,58498.25,57253.4582915935,1244.79170840653
2016-01-10 18:00:00,59470.75,59262.5282419425,208.22175805748
2016-01-10 19:00:00,58151,58379.98290262,-228.982902619966
2016-01-10 20:00:00,55740.25,56182.1787788807,-441.928778880749
2016-01-10 21:00:00,53817.75,54629.1355411298,-811.385541129843
2016-01-10 22:00:00,53723.75,54751.5909085716,-1027.84090857165
2016-01-10 23:00:00,49955.75,51533.0271583658,-1577.27715836577
2016-01-11 00:00:00,47167.75,48066.5427951031,-898.792795103051
