"ds","y","yhat","residuals"
2016-01-08 08:00:00,71473.25,70987.7700386378,485.479961362173
2016-01-09 18:00:00,62274,61533.3810355166,740.618964483372
2016-01-10 18:00:00,59470.75,58212.1085383377,1258.64146166226
2016-01-11 10:00:00,79285,73772.9092984439,5512.09070155605
2016-01-12 17:00:00,74867.25,76405.6038809199,-1538.35388091989
2016-01-13 17:00:00,75190.75,74523.381544373,667.368455626987
2016-01-14 18:00:00,74703.25,74818.0497272314,-114.799727231366
2016-01-15 11:00:00,74677.25,72986.5320826317,1690.71791736825
2016-01-16 18:00:00,64550.5,63839.5721451319,710.927854868118
2016-01-17 18:00:00,61811.5,59320.5665622743,2490.93343772565
2016-01-18 18:00:00,76541.5,76641.5341429287,-100.034142928693
2016-01-19 18:00:00,77175.25,76310.3671664037,864.882833596334
2016-01-20 18:00:00,76147.5,76663.7802759346,-516.28027593455
2016-01-21 18:00:00,76340,74805.4633694634,1534.5366305366
2016-01-22 08:00:00,75204.25,74677.2620708833,526.987929116731
2016-01-23 18:00:00,64784.5,64362.5338206264,421.966179373587
2016-01-24 18:00:00,61396.5,59722.5596128871,1673.94038711292
2016-01-25 18:00:00,74068.75,76338.5017407171,-2269.75174071711
2016-01-26 18:00:00,73942.5,75681.7195643287,-1739.21956432871
2016-01-27 18:00:00,74231,75527.9175954201,-1296.91759542015
2016-01-28 18:00:00,73692.5,73898.5742697352,-206.074269735182
2016-01-29 18:00:00,72917.25,73261.6263395421,-344.376339542068
2016-01-30 11:00:00,63552.5,63367.4399323997,185.060067600309
2016-01-31 18:00:00,58661.75,58735.5662071885,-73.8162071884653
2016-02-01 18:00:00,75266.5,74162.735292254,1103.764707746
2016-02-02 11:00:00,75341.5,75498.508193443,-157.008193443035
2016-02-03 18:00:00,74832.5,74962.0955394775,-129.595539477508
2016-02-04 11:00:00,74452.75,73895.0076515438,557.742348456202
2016-02-05 11:00:00,73393.25,73225.4561370763,167.793862923703
2016-02-06 18:00:00,62439.5,63207.2301905009,-767.730190500879
2016-02-07 18:00:00,59246,58140.4839293057,1105.51607069428
2016-02-08 18:00:00,72646.25,74625.1221692913,-1978.87216929127
2016-02-09 11:00:00,73460.25,74271.736167141,-811.486167140989
2016-02-10 11:00:00,74529.25,74477.1572145657,52.0927854342735
2016-02-11 18:00:00,73072.75,73270.5408100866,-197.790810086575
2016-02-12 11:00:00,72117.5,72364.4459391052,-246.945939105164
2016-02-13 18:00:00,63524,62570.2646574577,953.735342542263
2016-02-14 18:00:00,59898.5,58120.8026399321,1777.69736006792
2016-02-15 11:00:00,74806.75,74230.4030654719,576.346934528061
2016-02-16 11:00:00,74392.25,75049.3812133174,-657.131213317436
2016-02-17 18:00:00,75136,74629.7233370655,506.27666293447
2016-02-18 18:00:00,73589.25,73524.0375328654,65.2124671346392
2016-02-19 11:00:00,73935.25,72497.8368752241,1437.41312477589
2016-02-20 11:00:00,65514.5,63341.1089588181,2173.39104118187
2016-02-21 18:00:00,60912.5,58969.9114272732,1942.58857272678
2016-02-22 11:00:00,74458,75211.4890217256,-753.48902172556
2016-02-23 18:00:00,73576.5,75202.0912663305,-1625.59126633048
2016-02-24 11:00:00,72777.75,74439.5788432832,-1661.82884328316
2016-02-25 18:00:00,72908.5,72610.516161738,297.983838261978
2016-02-26 09:00:00,71263.25,72450.9944382106,-1187.74443821056
2016-02-27 18:00:00,61077.5,62360.7206391318,-1283.22063913175
2016-02-28 19:00:00,58883.75,57434.3090179447,1449.44098205533
2016-02-29 18:00:00,72242,73631.7868751998,-1389.78687519985
2016-03-01 12:00:00,76270.5,73281.8597749575,2988.64022504247
2016-03-02 11:00:00,74178,74914.6872335432,-736.687233543169
2016-03-03 11:00:00,73371.75,72361.1836566169,1010.56634338309
2016-03-04 11:00:00,72736,72337.7606345629,398.239365437068
2016-03-05 11:00:00,60757.25,62215.4777187249,-1458.22771872494
2016-03-06 19:00:00,58407.75,56982.4567568009,1425.29324319911
2016-03-07 11:00:00,71574.75,73506.4266271,-1931.67662709998
2016-03-08 11:00:00,73220.25,73200.8966378293,19.3533621706883
2016-03-09 19:00:00,72329.25,73776.3756974805,-1447.12569748049
2016-03-10 19:00:00,71350,71684.7545090855,-334.754509085484
2016-03-11 11:00:00,71703.25,71152.5728683033,550.67713169675
2016-03-12 11:00:00,61095.5,61602.1941510528,-506.694151052812
2016-03-13 19:00:00,57673.75,56730.2844828338,943.465517166194
2016-03-14 19:00:00,70277.25,72643.3191493313,-2366.06914933128
2016-03-15 11:00:00,73035,72267.009878875,767.99012112504
2016-03-16 11:00:00,73430,73073.2068514697,356.793148530269
2016-03-17 19:00:00,70976.75,71543.6219494674,-566.871949467444
2016-03-18 11:00:00,71238.75,70794.6774237246,444.072576275357
2016-03-19 11:00:00,60894.5,61462.1647724702,-567.664772470234
2016-03-20 19:00:00,57394.25,56335.1151540188,1059.13484598116
2016-03-21 11:00:00,71796,72216.3732392253,-420.373239225315
2016-03-22 11:00:00,72513,72846.274663308,-333.274663307995
2016-03-23 11:00:00,71680.75,72810.2987196302,-1129.54871963023
2016-03-24 11:00:00,71081.5,70984.0758786564,97.4241213436326
2016-03-25 11:00:00,56036,61361.7493932375,-5325.74939323754
2016-03-26 19:00:00,56737.5,55969.165657108,768.334342892027
2016-03-27 11:00:00,51089.25,47740.8426757555,3348.4073242445
2016-03-28 20:00:00,52819.5,57678.8137563566,-4859.31375635659
2016-03-29 11:00:00,70628.25,65108.6743083154,5519.57569168458
2016-03-30 11:00:00,72001.75,70806.2707219926,1195.47927800739
2016-03-31 11:00:00,70202.75,66212.947748257,3989.80225174299
2016-04-01 11:00:00,70970.5,68951.8666535427,2018.63334645733
2016-04-02 11:00:00,58023.25,59663.3510359881,-1640.10103598807
2016-04-03 20:00:00,52842.25,53776.2020651957,-933.952065195663
2016-04-04 11:00:00,68978,67590.0067464711,1387.99325352894
2016-04-05 11:00:00,69548,70708.0347664854,-1160.03476648542
2016-04-06 11:00:00,70920.75,70666.588525919,254.16147408096
2016-04-07 11:00:00,71057,70161.5305588855,895.469441114503
2016-04-08 11:00:00,69539.25,69605.6464332051,-66.3964332050818
2016-04-09 10:00:00,57173.75,59746.558051926,-2572.80805192597
2016-04-10 11:00:00,51834.25,54212.6509270704,-2378.40092707042
2016-04-11 11:00:00,68588.75,68514.028815568,74.7211844320263
2016-04-12 11:00:00,69125.75,70181.5257700764,-1055.77577007636
2016-04-13 11:00:00,70301.75,69919.2892791048,382.460720895178
2016-04-14 11:00:00,70011.25,69721.3855954467,289.864404553256
2016-04-15 11:00:00,70640,68739.7922653636,1900.20773463641
2016-04-16 11:00:00,58945.75,59704.2799981588,-758.529998158789
2016-04-17 11:00:00,53275.75,54393.4479218873,-1117.69792188732
2016-04-18 11:00:00,68934.75,69143.0976721045,-208.347672104544
2016-04-19 11:00:00,69924,70272.5917380351,-348.591738035087
2016-04-20 11:00:00,68452.25,70204.5680832321,-1752.31808323209
2016-04-21 11:00:00,67635.25,68847.8308184734,-1212.58081847338
2016-04-22 11:00:00,68071.75,68176.5462711937,-104.796271193656
2016-04-23 11:00:00,58349.25,58822.6541169842,-473.404116984209
2016-04-24 11:00:00,53053.25,54129.5259305555,-1076.27593055554
2016-04-25 11:00:00,70707.75,68684.2086587078,2023.54134129225
2016-04-26 11:00:00,71687,70811.6173961781,875.382603821854
2016-04-27 11:00:00,71979,70314.7188508217,1664.28114917831
2016-04-28 11:00:00,70406.75,69943.9681108994,462.781889100632
2016-04-29 11:00:00,69845.75,68934.6631735585,911.086826441518
2016-04-30 11:00:00,57090.5,59653.1986410783,-2562.69864107827
2016-05-01 11:00:00,50600,47555.2324847997,3044.76751520026
2016-05-02 11:00:00,67843.75,67778.3615095869,65.3884904130537
2016-05-03 11:00:00,70137.5,69910.3262466588,227.173753341151
2016-05-04 11:00:00,68636.25,69722.2439353834,-1085.99393538339
2016-05-05 11:00:00,51864.75,60858.0154083284,-8993.26540832844
2016-05-06 11:00:00,61831.5,61141.6733375671,689.826662432853
2016-05-07 11:00:00,56002.25,56617.9603007198,-615.710300719838
2016-05-08 11:00:00,50784,50561.2833907712,222.716609228752
2016-05-09 11:00:00,69608.5,66671.0204353582,2937.47956464176
2016-05-10 11:00:00,69443,70035.1191098441,-592.11910984409
2016-05-11 11:00:00,69841.25,67485.1341114314,2356.1158885686
2016-05-12 11:00:00,71127.5,66578.9006608986,4548.59933910138
2016-05-13 11:00:00,69304,68264.9866797761,1039.01332022394
2016-05-14 11:00:00,57381.5,58624.8136816124,-1243.3136816124
2016-05-15 11:00:00,51281.5,47842.6941317209,3438.80586827907
2016-05-16 11:00:00,51787,60130.7410081161,-8343.74100811612
2016-05-17 11:00:00,68746.25,61932.6062263336,6813.64377366637
2016-05-18 11:00:00,69052.5,69853.772087159,-801.272087158985
2016-05-19 11:00:00,70237.75,65020.6216291404,5217.12837085955
2016-05-20 11:00:00,70461.5,69607.7575850912,853.742414908818
2016-05-21 11:00:00,57896.25,58451.6205003129,-555.370500312856
2016-05-22 12:00:00,52388,52922.9478073247,-534.947807324701
2016-05-23 11:00:00,69793.25,66273.8594700751,3519.39052992493
2016-05-24 11:00:00,71336.5,70119.6031967633,1216.89680323674
2016-05-25 11:00:00,69634.5,70176.493264146,-541.993264146018
2016-05-26 11:00:00,58304.25,61585.3321819291,-3281.08218192914
2016-05-27 11:00:00,64627.75,63862.5084370265,765.241562973468
2016-05-28 11:00:00,56783.25,57432.0700554599,-648.820055459924
2016-05-29 12:00:00,52781,51864.5764660609,916.423533939116
2016-05-30 11:00:00,71035.5,68369.2062951265,2666.29370487347
2016-05-31 11:00:00,70587.25,70316.0645946178,271.185405382173
2016-06-01 11:00:00,69983.75,68892.0553763329,1091.69462366709
2016-06-02 11:00:00,69501.5,67856.4874099235,1645.01259007648
2016-06-03 11:00:00,68590.25,67845.8961737421,744.353826257939
2016-06-04 11:00:00,57332.5,58470.7319276604,-1138.23192766037
2016-06-05 11:00:00,51067.25,53829.0736996517,-2761.82369965166
2016-06-06 11:00:00,68443.5,67332.8129184356,1110.68708156442
2016-06-07 11:00:00,68921.75,69578.5694889237,-656.819488923706
2016-06-08 11:00:00,69139,68689.9618206315,449.038179368523
2016-06-09 11:00:00,68389.75,68572.9949393383,-183.24493933827
2016-06-10 11:00:00,67766.5,67496.2142772534,270.285722746587
2016-06-11 11:00:00,55950.5,57900.7493781577,-1950.24937815771
2016-06-12 11:00:00,51462.25,52770.9221777013,-1308.6721777013
2016-06-13 11:00:00,68579.25,67108.3072959654,1470.94270403463
2016-06-14 11:00:00,69293.5,69051.9027419302,241.597258069829
2016-06-15 11:00:00,68880.5,68814.8893293141,65.6106706859136
2016-06-16 11:00:00,68942,68150.8342113828,791.165788617189
2016-06-17 11:00:00,69422.5,67562.1322190415,1860.36778095848
2016-06-18 11:00:00,57642,58280.1170532965,-638.117053296504
2016-06-19 11:00:00,51568,53567.2279742672,-1999.22797426717
2016-06-20 11:00:00,68070.5,67365.8198417914,704.680158208648
2016-06-21 11:00:00,68810,69140.95920321,-330.959203210004
2016-06-22 11:00:00,69361.25,68558.511617369,802.73838263104
2016-06-23 11:00:00,70497.75,68463.0025573893,2034.74744261066
2016-06-24 11:00:00,70606.25,68405.2357834826,2201.01421651737
2016-06-25 11:00:00,59021,58902.8454492877,118.154550712323
2016-06-26 11:00:00,51104,54220.9357154163,-3116.9357154163
2016-06-27 11:00:00,69814.5,67055.5781882281,2758.92181177194
2016-06-28 11:00:00,69440.75,70165.8927129243,-725.142712924251
2016-06-29 11:00:00,70592.75,68678.1146622576,1914.63533774239
2016-06-30 11:00:00,69913.75,69639.9308289633,273.819171036652
2016-07-01 11:00:00,69959.25,68291.2068210137,1668.04317898628
2016-07-02 11:00:00,58278.25,58966.9976199083,-688.747619908274
2016-07-03 11:00:00,50776,53854.3059699342,-3078.30596993423
2016-07-04 11:00:00,68712.25,67085.1905262008,1627.05947379921
2016-07-05 11:00:00,70952.5,69665.3830226057,1287.11697739427
2016-07-06 11:00:00,71140,69309.4508127207,1830.54918727931
2016-07-07 11:00:00,69126.25,69408.2808420874,-282.030842087421
2016-07-08 11:00:00,69831,68161.0006205607,1669.99937943926
2016-07-09 11:00:00,57518.25,58820.8062686582,-1302.55626865822
2016-07-10 11:00:00,51765.75,53347.6326406425,-1581.88264064252
2016-07-11 11:00:00,71612,67715.9097766817,3896.09022331833
2016-07-12 11:00:00,69969.5,70849.7762164895,-880.27621648951
