"ds","y","yhat","residuals"
2016-01-22 08:00:00,11.2279630242984,75563.1602812775,-75551.9323182532
2016-01-23 18:00:00,11.0788216561972,65017.023592011,-65005.9447703548
2016-01-24 18:00:00,11.0251081092532,61735.8962851705,-61724.8711770612
2016-01-25 18:00:00,11.2127489949368,74976.1189463369,-74964.906197342
2016-01-26 18:00:00,11.2110430431173,75362.7055365846,-75351.4944935414
2016-01-27 18:00:00,11.214937131663,73523.1078722862,-73511.8929351546
2016-01-28 18:00:00,11.2076563090914,73448.8613545128,-73437.6536982037
2016-01-29 18:00:00,11.1970805155198,72783.1383026845,-72771.941222169
2016-01-30 11:00:00,11.0596216149469,63048.0736011096,-63037.0139794947
2016-01-31 18:00:00,10.979543175022,60366.0027597509,-60355.0232165759
2016-02-01 18:00:00,11.2287904276782,74544.0986612254,-74532.8698707977
2016-02-02 11:00:00,11.2297863907903,74926.1728611834,-74914.9430747926
2016-02-03 18:00:00,11.2230075615769,74458.6868806448,-74447.4638730833
2016-02-04 11:00:00,11.217919974972,73259.5186863268,-73248.3007663519
2016-02-05 11:00:00,11.203587248521,71882.19067695,-71870.9870897015
2016-02-06 18:00:00,11.0419533669099,62935.679845857,-62924.6378924901
2016-02-07 18:00:00,10.9894535461699,59510.2152612558,-59499.2258077096
2016-02-08 18:00:00,11.1933570503228,74235.1871153478,-74223.9937582975
2016-02-09 11:00:00,11.2044997225805,73817.7248426159,-73806.5203428933
2016-02-10 11:00:00,11.2189469447633,73328.6326163857,-73317.4136694409
2016-02-11 18:00:00,11.1992107992215,73629.5433001566,-73618.3440893574
2016-02-12 11:00:00,11.1860520122683,72551.6449114268,-72540.4588594145
2016-02-13 18:00:00,11.0591730662305,62150.6904621419,-62139.6312890757
2016-02-14 18:00:00,11.0004067420538,58677.6075721124,-58666.6071653703
2016-02-15 11:00:00,11.2226634005328,73477.4690562743,-73466.2463928738
2016-02-16 11:00:00,11.2171070487288,74558.6336527604,-74547.4165457117
2016-02-17 18:00:00,11.2270550837477,73995.4419715614,-73984.2149164776
2016-02-18 18:00:00,11.2062542342666,74423.5956956137,-74412.3894413794
2016-02-19 11:00:00,11.2109449891504,71428.6292282098,-71417.4182832206
2016-02-20 11:00:00,11.0900267711695,62367.1895960894,-62356.0995693182
2016-02-21 18:00:00,11.0171936871518,59146.322253515,-59135.3050598279
2016-02-22 11:00:00,11.2179904870069,74204.6882012404,-74193.4702107534
2016-02-23 18:00:00,11.2060809602537,74297.2800012901,-74286.0739203298
2016-02-24 11:00:00,11.1951655556017,73189.256078086,-73178.0609125304
2016-02-25 18:00:00,11.1969605092793,72797.6053356769,-72786.4083751677
2016-02-26 09:00:00,11.1741360457538,72692.7730332258,-72681.5988971801
2016-02-27 18:00:00,11.019898828567,63366.7831624746,-63355.763263646
2016-02-28 19:00:00,10.9833204402334,58689.7510094457,-58678.7676890055
2016-02-29 18:00:00,11.1877768732004,73011.802325244,-73000.6145483708
2016-03-01 12:00:00,11.2420415107943,72902.9934018267,-72891.7513603159
2016-03-02 11:00:00,11.214222889235,75187.3161811817,-75176.1019582924
2016-03-03 11:00:00,11.2032942631341,73251.2190514657,-73240.0157572025
2016-03-04 11:00:00,11.1945917266523,71257.1675234933,-71245.9729317666
2016-03-05 11:00:00,11.0146416956459,62079.7798533437,-62068.7652116481
2016-03-06 19:00:00,10.9752038654912,58427.2973960645,-58416.3221921991
2016-03-07 11:00:00,11.1784976371205,72962.3780968596,-72951.1995992225
2016-03-08 11:00:00,11.2012273010361,73213.7736325349,-73202.5724052339
2016-03-09 19:00:00,11.1889838906481,72318.4500844994,-72307.2611006088
2016-03-10 19:00:00,11.175352622905,72149.8327607726,-72138.6574081497
2016-03-11 11:00:00,11.180291353315,70913.7611070624,-70902.5808157091
2016-03-12 11:00:00,11.0201934926929,61394.5059464944,-61383.4857530017
2016-03-13 19:00:00,10.9625574096385,57664.988263615,-57654.0257062054
2016-03-14 19:00:00,11.160203412338,72306.9113112323,-72295.75110782
2016-03-15 11:00:00,11.1986940572849,72540.2941992726,-72529.0955052153
2016-03-16 11:00:00,11.2040878504457,72419.4863619597,-72408.2822741093
2016-03-17 19:00:00,11.1701076376064,70433.1659706831,-70421.9958630454
2016-03-18 11:00:00,11.1737921909274,70803.0163031282,-70791.8425109373
2016-03-19 11:00:00,11.0168981376328,60675.8898834646,-60664.8729853269
2016-03-20 19:00:00,10.9576994030739,57445.7957378636,-57434.8380384605
2016-03-21 11:00:00,11.181584043178,71805.5289602751,-71794.3473762319
2016-03-22 11:00:00,11.1915211351134,72257.6646420334,-72246.4731208983
2016-03-23 11:00:00,11.1799775107637,71868.0339465851,-71856.8539690743
2016-03-24 11:00:00,11.1715823850285,71263.1354775091,-71251.9638951241
2016-03-25 11:00:00,10.933749620316,69792.8837870591,-69781.9500374388
2016-03-26 19:00:00,10.9461906467647,56820.4812368519,-56809.5350462052
2016-03-27 11:00:00,10.8413293822406,54118.7138239676,-54107.8724945854
2016-03-28 20:00:00,10.874635719695,59403.8331333758,-59392.9584976561
2016-03-29 11:00:00,11.1651854850891,68385.0003035776,-68373.8351180925
2016-03-30 11:00:00,11.1844457032584,70093.7859876491,-70082.6015419459
2016-03-31 11:00:00,11.1591427630358,66565.3985331603,-66554.2393903973
2016-04-01 11:00:00,11.1700195767246,65244.3944835602,-65233.2244639835
2016-04-02 11:00:00,10.9685990712738,59745.3804865557,-59734.4118874844
2016-04-03 20:00:00,10.8750663391074,54160.266729926,-54149.3916635869
2016-04-04 11:00:00,11.1415428921592,66466.8130853301,-66455.6715424379
2016-04-05 11:00:00,11.1497724406477,68746.2491554801,-68735.0993830395
2016-04-06 11:00:00,11.1693183354283,69889.5762192494,-69878.406900914
2016-04-07 11:00:00,11.1712376508397,67655.0620656724,-67643.8908280215
2016-04-08 11:00:00,11.1496466203441,69100.9420479109,-69089.7924012906
2016-04-09 10:00:00,10.9538501559498,58797.8730148743,-58786.9191647184
2016-04-10 11:00:00,10.8558064066644,53327.2149810744,-53316.3591746677
2016-04-11 11:00:00,11.1358838060964,66905.5221160122,-66894.3862322061
2016-04-12 11:00:00,11.1436825886754,69398.3075454628,-69387.1638628741
2016-04-13 11:00:00,11.1605519708033,69448.5201179578,-69437.359565987
2016-04-14 11:00:00,11.1564112224041,69185.4877794456,-69174.3313682232
2016-04-15 11:00:00,11.1653518352778,68369.8730256356,-68358.7076738003
2016-04-16 11:00:00,10.9843728083708,58251.9011481346,-58240.9167753262
2016-04-17 11:00:00,10.8832365347654,52618.4719036629,-52607.5886671281
2016-04-18 11:00:00,11.1409156839944,69054.9265427204,-69043.7856270364
2016-04-19 11:00:00,11.1551642169311,70215.5278804999,-70204.372716283
2016-04-20 11:00:00,11.1338917008849,70313.8033581875,-70302.6694664867
2016-04-21 11:00:00,11.1218845758275,68603.7766875827,-68592.6548030069
2016-04-22 11:00:00,11.1283175749407,66699.4568751693,-66688.3285575944
2016-04-23 11:00:00,10.9742017841617,57651.7875372982,-57640.8133355141
2016-04-24 11:00:00,10.8790514051251,52473.96818573,-52463.0891343249
2016-04-25 11:00:00,11.1663104639817,68640.7327646632,-68629.5664541992
2016-04-26 11:00:00,11.1800646991308,70589.5866226302,-70578.406557931
2016-04-27 11:00:00,11.1841296887885,70748.0094076977,-70736.8252780089
2016-04-28 11:00:00,11.1620444182317,70953.7679779772,-70942.6059335589
2016-04-29 11:00:00,11.1540445181669,69219.8931455511,-69208.739101033
2016-04-30 11:00:00,10.9523930070212,58909.9083663468,-58898.9559733397
2016-05-01 11:00:00,10.8317068552756,53396.8939337681,-53386.0622269129
2016-05-02 11:00:00,11.1249625460607,66800.6563705902,-66789.5314080441
2016-05-03 11:00:00,11.1582128800592,69907.0409139293,-69895.8827010493
2016-05-04 11:00:00,11.1365760998023,70249.6992982475,-70238.5627221477
2016-05-05 11:00:00,10.856394647648,68428.7120129427,-68417.8556182951
2016-05-06 11:00:00,11.0321682223263,62975.5065804203,-62964.474412198
2016-05-07 11:00:00,10.9331471474816,55913.0007334868,-55902.0675863393
2016-05-08 11:00:00,10.8353366233261,51067.311592438,-51056.4762558147
2016-05-09 11:00:00,11.1506419653025,66085.8048225779,-66074.6541806126
2016-05-10 11:00:00,11.148261551166,68617.9856835926,-68606.8374220414
2016-05-11 11:00:00,11.153980088406,68573.8067982882,-68562.6528181998
2016-05-12 11:00:00,11.1722293201958,65927.1401653988,-65915.9679360787
2016-05-13 11:00:00,11.14625790357,69236.5497049274,-69225.4034470238
2016-05-14 11:00:00,10.9574772307064,57057.4104352012,-57046.4529579705
2016-05-15 11:00:00,10.8450853423368,50993.8297321776,-50982.9846468352
2016-05-16 11:00:00,10.8548944314996,66324.1033026195,-66313.248408188
2016-05-17 11:00:00,11.1381774685866,66006.2555833208,-65995.1174058523
2016-05-18 11:00:00,11.1426223638301,69330.6036404286,-69319.4610180647
2016-05-19 11:00:00,11.1596411947663,68483.1271350911,-68471.9674938964
2016-05-20 11:00:00,11.1628217403431,67899.5132877346,-67888.3504659942
2016-05-21 11:00:00,10.9664078946242,57717.6312745511,-57706.6648666564
2016-05-22 12:00:00,10.8664328364493,51881.6844878791,-51870.8180550426
2016-05-23 11:00:00,11.1532925792032,64297.0334108506,-64285.8801182714
2016-05-24 11:00:00,11.1751633968739,68965.4025898326,-68954.2274264358
2016-05-25 11:00:00,11.1510154131641,70130.1410765073,-70118.9900610942
2016-05-26 11:00:00,10.9734302684809,68927.1357931609,-68916.1623628924
2016-05-27 11:00:00,11.0763991640969,64941.3678910842,-64930.2914919201
2016-05-28 11:00:00,10.9469966668532,54457.7516761244,-54446.8046794575
2016-05-29 12:00:00,10.8739065564485,51392.2232763612,-51381.3493698047
2016-05-30 11:00:00,11.1709350310651,64874.8153696263,-64863.6444345952
2016-05-31 11:00:00,11.1646048122713,70590.5512213039,-70579.3866164917
2016-06-01 11:00:00,11.156018351225,69384.1602056711,-69373.0041873199
2016-06-02 11:00:00,11.1491036140538,68967.6808728743,-68956.5317692603
2016-06-03 11:00:00,11.1359056753329,66764.9068594168,-66753.7709537415
2016-06-04 11:00:00,10.9566229321381,57408.1443545508,-57397.1877316187
2016-06-05 11:00:00,10.8408986705318,52346.4478791551,-52335.6069804845
2016-06-06 11:00:00,11.1337638663829,67052.2707757341,-67041.1370118677
2016-06-07 11:00:00,11.1407270820781,69302.7629639554,-69291.6222368733
2016-06-08 11:00:00,11.1438742499634,68177.1615391988,-68166.0176649488
2016-06-09 11:00:00,11.1329782385803,68712.3883869458,-68701.2554087072
2016-06-10 11:00:00,11.1238232515257,67113.4263072936,-67102.3024840421
2016-06-11 11:00:00,10.9322226502506,57151.6452563589,-57140.7130337087
2016-06-12 11:00:00,10.8486038081601,51375.6671890744,-51364.8185852662
2016-06-13 11:00:00,11.1357452898241,68365.8198777416,-68354.6841324518
2016-06-14 11:00:00,11.1461063856852,68941.9909722424,-68930.8448658567
2016-06-15 11:00:00,11.1401283980764,68840.2217092529,-68829.0815808549
2016-06-16 11:00:00,11.141020850384,67475.6851028191,-67464.5440819687
2016-06-17 11:00:00,11.1479663014438,68213.8583165369,-68202.7103502355
2016-06-18 11:00:00,10.9620067476378,57334.6208960561,-57323.6588893084
2016-06-19 11:00:00,10.8506566040552,51110.5768932016,-51099.7262365975
2016-06-20 11:00:00,11.1282992117948,68529.5826431668,-68518.454343955
2016-06-21 11:00:00,11.1391043621965,69398.3580489042,-69387.218944542
2016-06-22 11:00:00,11.1470836332067,69033.8337171099,-69022.6866334767
2016-06-23 11:00:00,11.1633360733975,69165.4633487461,-69154.3000126727
2016-06-24 11:00:00,11.1648739464752,69514.8713914913,-69503.7065175448
2016-06-25 11:00:00,10.9856485917624,57736.6048951488,-57725.6192465571
2016-06-26 11:00:00,10.8416180510147,51592.0831086618,-51581.2414906108
2016-06-27 11:00:00,11.1535970035659,69210.1541730317,-69199.0005760281
2016-06-28 11:00:00,11.1482291499671,70426.9262916917,-70415.7780625417
2016-06-29 11:00:00,11.1646827269901,69691.7547481788,-69680.5900654518
2016-06-30 11:00:00,11.1550176184622,70243.4940141321,-70232.3389965137
2016-07-01 11:00:00,11.1556682086634,69742.2547114781,-69731.0990432695
2016-07-02 11:00:00,10.9729842324046,58125.0251411562,-58114.0521569238
2016-07-03 11:00:00,10.8351790809863,51869.1964847545,-51858.3613056735
2016-07-04 11:00:00,11.1376827738141,68221.9862783797,-68210.8485956059
2016-07-05 11:00:00,11.1697659180492,69891.7592541436,-69880.5894882256
2016-07-06 11:00:00,11.1724050455024,70460.1337889736,-70448.9613839281
2016-07-07 11:00:00,11.1436898218438,70758.7551315384,-70747.6114417166
2016-07-08 11:00:00,11.1538333162302,68596.7850143124,-68585.6311809962
2016-07-09 11:00:00,10.9598575677318,58036.1028434324,-58025.1429858647
2016-07-10 11:00:00,10.8544840126493,51297.8148956774,-51286.9604116647
2016-07-11 11:00:00,11.1790179366712,69340.306131427,-69329.1271134903
2016-07-12 11:00:00,11.1558147117947,71354.1536825424,-71342.9978678306
2016-07-13 11:00:00,11.1427961295509,69975.2868660386,-69964.144069909
2016-07-14 11:00:00,11.1530131435181,68250.9562852513,-68239.8032721078
2016-07-15 11:00:00,11.1475989178948,69055.8116391152,-69044.6640401973
2016-07-16 11:00:00,10.9524411749961,57858.0856176975,-57847.1331765225
2016-07-17 11:00:00,10.8522503148071,51680.195499547,-51669.3432492322
2016-07-18 11:00:00,11.1325943354508,69213.5869461617,-69202.4543518263
2016-07-19 11:00:00,11.1490460596829,69762.1810717176,-69751.032025658
2016-07-20 11:00:00,11.158448104575,68903.6612003136,-68892.502752209
2016-07-21 11:00:00,11.1614441536,69777.2311863175,-69766.0697421639
2016-07-22 11:00:00,11.1440622593066,69918.2409080716,-69907.0968458123
2016-07-23 11:00:00,10.9552527879714,57742.1675580721,-57731.2123052841
2016-07-24 12:00:00,10.8289609939849,52243.7103475778,-52232.8813865838
2016-07-25 11:00:00,11.1456841790539,68957.3429096195,-68946.1972254405
2016-07-26 11:00:00,11.1513887216146,69571.2584524897,-69560.1070637681
2016-07-27 11:00:00,11.1417313402894,69505.1319492748,-69493.9902179345
2016-07-28 11:00:00,11.1337748242663,66925.501435199,-66914.3676603747
2016-07-29 11:00:00,11.1218993609079,68036.6079543553,-68025.4860549944
2016-07-30 11:00:00,10.9306172658322,56806.8685526662,-56795.9379354004
2016-07-31 11:00:00,10.8193381875819,51303.0761221068,-51292.2567839193
2016-08-01 11:00:00,11.1050812790995,67298.8876658902,-67287.7825846111
2016-08-02 11:00:00,11.1253493896978,68623.9649111631,-68612.8395617734
2016-08-03 11:00:00,11.1346693129979,68058.7643285318,-68047.6296592188
2016-08-04 11:00:00,11.1426730486178,67205.2753794636,-67194.132706415
2016-08-05 11:00:00,11.1052429001211,68340.6014028644,-68329.4961599643
2016-08-06 11:00:00,10.9198905520761,56214.9600331261,-56204.040142574
2016-08-07 11:00:00,10.8012476477908,50663.2487072685,-50652.4474596207
2016-08-08 11:00:00,11.1292279640848,64055.4445532652,-64044.3153253011
2016-08-09 11:00:00,11.1101430053408,68778.4231283845,-68767.3129853791
2016-08-10 11:00:00,11.1069402216152,67941.7762075342,-67930.6692673126
2016-08-11 11:00:00,11.099642375934,61862.8730842782,-61851.7734419023
2016-08-12 11:00:00,11.1154843285257,65061.7873406631,-65050.6718563346
2016-08-13 11:00:00,10.9494327966363,55544.6086731425,-55533.6592403459
2016-08-14 11:00:00,10.8134181012576,50447.2907198594,-50436.4773017581
2016-08-15 11:00:00,11.0683634360462,66621.8654271928,-66610.7970637567
2016-08-16 11:00:00,11.1086533949091,66876.7948358822,-66865.6861824873
2016-08-17 11:00:00,11.1005150439166,66469.0113529169,-66457.910837873
2016-08-18 11:00:00,11.1154843285257,65572.2152768516,-65561.0997925231
2016-08-19 11:00:00,11.1072065746621,66366.4234803595,-66355.3162737848
2016-08-20 12:00:00,10.9459350512036,55691.8718532144,-55680.9259181632
2016-08-21 11:00:00,10.8331534369301,50130.1145652242,-50119.2814117873
2016-08-22 11:00:00,11.1370604203883,66315.883304002,-66304.7462435816
2016-08-23 11:00:00,11.1351618528534,68562.6821928826,-68551.5470310297
2016-08-24 11:00:00,11.1367145010496,68559.0426127576,-68547.9058982565
2016-08-25 11:00:00,11.1418255510389,67782.6672071648,-67771.5253816137
2016-08-26 11:00:00,11.145532574208,67491.7527532932,-67480.607220719
2016-08-27 11:00:00,10.9617378103289,56756.4481259211,-56745.4863881107
2016-08-28 20:00:00,10.8454265377915,51260.6100085675,-51249.7645820297
2016-08-29 11:00:00,11.1579419469068,67298.7248065891,-67287.5668646422
2016-08-30 11:00:00,11.1307605370536,69480.1121305879,-69468.9813700509
2016-08-31 11:00:00,11.1259901155811,68736.7151968237,-68725.5892067081
2016-09-01 11:00:00,11.1281339283057,67933.0468335971,-67921.9186996688
2016-09-02 11:00:00,11.1218919683951,67669.5279916705,-67658.4060997021
2016-09-03 11:00:00,10.9286820154601,57115.1377551148,-57104.2090730994
2016-09-04 12:00:00,10.8580466211201,52201.8899752709,-52191.0319286498
2016-09-05 11:00:00,11.1300642041344,68300.0776094533,-68288.9475452492
2016-09-06 11:00:00,11.1170529504676,68654.3002894231,-68643.1832364726
2016-09-07 11:00:00,11.1213965455008,67787.0531656671,-67775.9317691216
2016-09-08 11:00:00,11.1434402472947,67295.4411040648,-67284.2976638175
2016-09-09 11:00:00,11.1327625397243,68332.8451501356,-68321.7123875958
2016-09-10 11:00:00,10.9281078879611,56871.9640850759,-56861.0359771879
2016-09-11 11:00:00,10.8298028699322,50952.396722874,-50941.5669200041
2016-09-12 11:00:00,11.1279649436094,67135.2335156605,-67124.1055507169
2016-09-13 12:00:00,11.1468493250904,68270.2383292523,-68259.0914799272
2016-09-14 12:00:00,11.1321993098421,68896.7868977616,-68885.6546984518
2016-09-15 12:00:00,11.1412529025968,67818.9100513572,-67807.7687984546
2016-09-16 11:00:00,11.114475691756,68232.0791721377,-68220.964696446
2016-09-17 11:00:00,10.9296904256861,56692.9855367011,-56682.0558462754
2016-09-18 11:00:00,10.8449975875431,51274.2686769651,-51263.4236793776
2016-09-19 11:00:00,11.1256403448615,67755.6368126639,-67744.511172319
2016-09-20 11:00:00,11.1233767661149,68408.8142855958,-68397.6909088297
2016-09-21 11:00:00,11.1051113501047,68086.9027107465,-68075.7975993964
2016-09-22 11:00:00,11.0926943743489,65260.7893488138,-65249.6966544394
2016-09-23 11:00:00,11.1060919209806,66116.2733706064,-66105.1672786854
2016-09-24 11:00:00,10.9170864668773,55706.5447078023,-55695.6276213355
2016-09-25 20:00:00,10.8526326212812,51541.3691196915,-51530.5164870702
2016-09-26 11:00:00,11.1212523091304,66839.104667938,-66827.9834156289
2016-09-27 11:00:00,11.133087898124,67699.740871974,-67688.6077840759
2016-09-28 11:00:00,11.1564469303134,68231.6334873931,-68220.4770404628
2016-09-29 11:00:00,11.156293377256,69046.8390779238,-69035.6827845465
2016-09-30 11:00:00,11.1481247389621,68982.6214660578,-68971.4733413189
2016-10-01 11:00:00,10.9321422187804,56340.8236932093,-56329.8915509905
2016-10-02 11:00:00,10.84945358472,51858.9528860341,-51848.1034324493
2016-10-03 19:00:00,10.9085169188316,67145.3330580944,-67134.4245411756
2016-10-04 11:00:00,11.1565576167299,66102.1812448254,-66091.0246872086
2016-10-05 11:00:00,11.1511231125967,68768.3874005742,-68757.2362774616
2016-10-06 11:00:00,11.1866688705387,67769.7380150514,-67758.5513461809
2016-10-07 11:00:00,11.1771240033292,70024.8859111033,-70013.7087871
2016-10-08 11:00:00,10.9690341469989,58517.4358047615,-58506.4667706145
2016-10-09 19:00:00,10.9197186374901,53461.7091148259,-53450.7893961885
2016-10-10 11:00:00,11.1623781373569,65612.337242976,-65601.1748648387
2016-10-11 11:00:00,11.1697905821331,70658.8322304075,-70647.6624398254
2016-10-12 11:00:00,11.1850947823352,71385.1771828139,-71373.9920880315
2016-10-13 11:00:00,11.1863258334093,71762.9131811017,-71751.7268552683
2016-10-14 11:00:00,11.1744447126311,71891.3947039301,-71880.2202592175
2016-10-15 11:00:00,10.97732034984,59325.0592348534,-59314.0819145036
2016-10-16 19:00:00,10.9234894406223,55363.8571711542,-55352.9336817136
2016-10-17 12:00:00,11.1595664458426,67919.9047219847,-67908.7451555389
2016-10-18 11:00:00,11.1796112365877,71071.1765189846,-71059.996907748
2016-10-19 11:00:00,11.1926168896914,71563.2180532701,-71552.0254363804
2016-10-20 11:00:00,11.1921242932677,72406.59890378,-72395.4067794867
2016-10-21 11:00:00,11.1878841457611,72222.9007271192,-72211.7128429734
2016-10-22 11:00:00,10.9898754265815,59999.4496937066,-59988.45981828
2016-10-23 19:00:00,10.942884902401,55782.4936533307,-55771.5507684283
2016-10-24 11:00:00,11.1807828420302,71789.3078189045,-71778.1270360624
2016-10-25 11:00:00,11.1867485491912,72011.8685947463,-72000.6818461971
2016-10-26 11:00:00,11.1693782596771,72157.3997782646,-72146.2304000049
2016-10-27 11:00:00,11.1750617607068,71042.7593147479,-71031.5842529872
2016-10-28 11:00:00,11.1832505739623,70978.9979370257,-70967.8146864517
2016-10-29 18:00:00,10.9713055260308,60382.8770829867,-60371.9057774607
2016-10-30 18:00:00,10.9360312612345,56573.0998801898,-56562.1638489285
2016-10-31 18:00:00,11.070252915716,71068.4145092079,-71057.3442562921
2016-11-01 18:00:00,11.0494047759822,70106.8020725207,-70095.7526677447
