"ds","y","yhat","residuals"
2016-01-01 00:00:00,43731.75,44503.5943449233,-771.844344923324
2016-01-01 01:00:00,41962,41860.8593805215,101.140619478545
2016-01-01 02:00:00,40222.5,40793.0908364885,-570.59083648846
2016-01-01 03:00:00,39243,40212.1623295857,-969.162329585663
2016-01-01 04:00:00,38749.5,40105.8368873481,-1356.33688734811
2016-01-01 05:00:00,38060,38803.3367376925,-743.336737692538
2016-01-01 06:00:00,36689,36530.1690343428,158.830965657224
2016-01-01 07:00:00,36925,38269.5169568028,-1344.51695680281
2016-01-01 08:00:00,37604,41526.1919521592,-3922.19195215921
2016-01-01 09:00:00,39606.75,44590.2516405868,-4983.50164058677
2016-01-01 10:00:00,42318.25,46053.2767322754,-3735.02673227543
2016-01-01 11:00:00,45348.25,47229.7245609002,-1881.47456090021
2016-01-01 12:00:00,46199.5,46733.7623644422,-534.262364442198
2016-01-01 13:00:00,45488.5,44195.1357417794,1293.36425822059
2016-01-01 14:00:00,45338.5,42411.4003813689,2927.09961863108
2016-01-01 15:00:00,46020.25,42274.8205372645,3745.42946273545
2016-01-01 16:00:00,48631,44772.8750025721,3858.12499742788
2016-01-01 17:00:00,52169,48642.5834670002,3526.41653299978
2016-01-01 18:00:00,52797.25,48551.7757815487,4245.47421845125
2016-01-01 19:00:00,51298.75,46087.0213833552,5211.7286166448
2016-01-01 20:00:00,49284.75,43388.2254029272,5896.52459707278
2016-01-01 21:00:00,47752.5,42315.6924169782,5436.8075830218
2016-01-01 22:00:00,47393.25,42712.7983691948,4680.45163080525
2016-01-01 23:00:00,44163,41621.0957572098,2541.90424279023
2016-01-02 00:00:00,40932.5,41851.1257384987,-918.625738498733
2016-01-02 01:00:00,38946.5,39897.6525892995,-951.152589299498
2016-01-02 02:00:00,38158.5,38254.5584797604,-96.058479760417
2016-01-02 03:00:00,37844.5,37258.5952191562,585.904780843819
2016-01-02 04:00:00,38761.5,36701.989022017,2059.51097798297
2016-01-02 05:00:00,39661.75,35701.4278673603,3960.32213263975
2016-01-02 06:00:00,40625.5,33144.4341094181,7481.06589058191
2016-01-02 07:00:00,43705.75,33750.2669856366,9955.48301436342
2016-01-02 08:00:00,47548.5,36688.9526091906,10859.5473908094
2016-01-02 09:00:00,51254.5,40286.0411491965,10968.4588508035
2016-01-02 10:00:00,53798.5,42361.997077459,11436.502922541
2016-01-02 11:00:00,55752.25,44384.4207539086,11367.8292460914
2016-01-02 12:00:00,56315.75,44787.6851645245,11528.0648354755
2016-01-02 13:00:00,55552.75,43684.8167190821,11867.9332809179
2016-01-02 14:00:00,54969.75,42808.6681221682,12161.0818778318
2016-01-02 15:00:00,55152,43364.2190885226,11787.7809114774
2016-01-02 16:00:00,57045.75,46401.8643603605,10643.8856396395
2016-01-02 17:00:00,60059.75,50360.2166573309,9699.53334266914
2016-01-02 18:00:00,60431.25,51313.5231996804,9117.7268003196
2016-01-02 19:00:00,58884,49465.3975028415,9418.60249715854
2016-01-02 20:00:00,55174.25,47081.6097175436,8092.64028245638
2016-01-02 21:00:00,52626,45174.0525437228,7451.94745627716
2016-01-02 22:00:00,52114.5,44893.6977117732,7220.80228822678
2016-01-02 23:00:00,49025.5,41934.007228692,7091.49277130804
2016-01-03 00:00:00,45832.5,37049.7791306063,8782.72086939368
2016-01-03 01:00:00,43141.75,34879.7218440344,8262.02815596563
2016-01-03 02:00:00,41809.5,34177.4095892548,7632.09041074518
2016-01-03 03:00:00,41299.25,33813.98470852,7485.26529147998
2016-01-03 04:00:00,41359.25,34393.7667675705,6965.48323242952
2016-01-03 05:00:00,41036.25,34015.3194633266,7020.93053667338
2016-01-03 06:00:00,40391,31223.6416073754,9167.35839262461
2016-01-03 07:00:00,42025.75,31523.9863883362,10501.7636116638
2016-01-03 08:00:00,44714.25,34451.9261045154,10262.3238954846
2016-01-03 09:00:00,48107.5,38612.2743533475,9495.22564665246
2016-01-03 10:00:00,51113,41128.5631373539,9984.4368626461
2016-01-03 11:00:00,54048.25,44943.797778911,9104.45222108901
2016-01-03 12:00:00,54315.25,45841.8984277416,8473.35157225841
2016-01-03 13:00:00,52856,44579.0186565971,8276.98134340291
2016-01-03 14:00:00,51276.75,43585.2194062443,7691.53059375575
2016-01-03 15:00:00,50848.75,44037.765631474,6810.98436852601
2016-01-03 16:00:00,53166,46454.2215419379,6711.77845806205
2016-01-03 17:00:00,57296,50942.5133329314,6353.48666706862
2016-01-03 18:00:00,57888.5,52740.0624535659,5148.43754643414
2016-01-03 19:00:00,56793.5,51740.0002375867,5053.49976241326
2016-01-03 20:00:00,54613.75,49723.482091932,4890.26790806804
2016-01-03 21:00:00,52918.5,49285.9934855872,3632.50651441278
2016-01-03 22:00:00,52606.75,50740.4555338842,1866.29446611585
2016-01-03 23:00:00,49547.75,47999.7879370624,1547.96206293756
2016-01-04 00:00:00,46864.25,45274.2234592116,1590.02654078844
2016-01-04 01:00:00,44952.25,43311.3543431088,1640.89565689118
2016-01-04 02:00:00,43773.5,42631.1759079696,1142.32409203039
2016-01-04 03:00:00,43858.25,42789.6915665009,1068.55843349909
2016-01-04 04:00:00,45447.75,44099.1553078107,1348.59469218929
2016-01-04 05:00:00,48595,46635.3532664745,1959.64673352552
2016-01-04 06:00:00,54769.25,51363.9292049411,3405.32079505891
2016-01-04 07:00:00,60886,55664.6840402553,5221.31595974466
2016-01-04 08:00:00,64645,57650.5980084496,6994.40199155041
2016-01-04 09:00:00,66072,59167.1563033554,6904.84369664456
2016-01-04 10:00:00,67255.75,61045.4308935566,6210.31910644344
2016-01-04 11:00:00,68614.5,63789.8236387707,4824.67636122931
2016-01-04 12:00:00,68653.25,64299.4422704221,4353.80772957794
2016-01-04 13:00:00,68023.5,64168.2148176031,3855.28518239694
2016-01-04 14:00:00,66801,63005.6617116088,3795.33828839121
2016-01-04 15:00:00,66266.75,62877.1650048757,3389.5849951243
2016-01-04 16:00:00,67034.75,64012.0755915068,3022.67440849322
2016-01-04 17:00:00,70706.75,66955.8605683061,3750.88943169388
2016-01-04 18:00:00,70768.25,66572.3218716139,4195.92812838608
2016-01-04 19:00:00,68949.5,64939.4189176131,4010.08108238694
2016-01-04 20:00:00,64676.5,61429.9393504354,3246.56064956464
2016-01-04 21:00:00,61587.25,58656.3062548001,2930.94374519993
2016-01-04 22:00:00,59319.75,56523.6949994567,2796.05500054328
2016-01-04 23:00:00,55200.25,52715.2649957372,2484.98500426278
2016-01-05 00:00:00,52053.25,48558.4532931776,3494.79670682239
2016-01-05 01:00:00,49741,46479.6215240069,3261.37847599309
2016-01-05 02:00:00,48433.5,45247.8765473287,3185.62345267132
2016-01-05 03:00:00,48902,45097.2204704404,3804.77952955964
2016-01-05 04:00:00,49553.25,46484.0051167117,3069.24488328829
2016-01-05 05:00:00,52538.5,48747.2538251097,3791.24617489026
2016-01-05 06:00:00,58196.75,53079.1273608183,5117.62263918175
2016-01-05 07:00:00,63923.25,58057.3408731467,5865.90912685332
2016-01-05 08:00:00,66976.75,60986.8064667039,5989.94353329613
2016-01-05 09:00:00,67694.75,62513.7848210368,5180.96517896317
2016-01-05 10:00:00,68753.5,64326.441706339,4427.05829366102
2016-01-05 11:00:00,69993.25,66270.7474297666,3722.50257023341
2016-01-05 12:00:00,70017,66472.0043165699,3544.99568343007
2016-01-05 13:00:00,69089.5,65881.6199538158,3207.88004618416
2016-01-05 14:00:00,68327.25,64655.8814649858,3671.3685350142
2016-01-05 15:00:00,68020.25,64320.8336129953,3699.41638700472
2016-01-05 16:00:00,69106.75,65305.3822976516,3801.36770234835
2016-01-05 17:00:00,71862.75,68852.069065436,3010.68093456404
2016-01-05 18:00:00,71581.25,69037.4141831785,2543.83581682153
2016-01-05 19:00:00,69763.75,67129.1784357715,2634.57156422852
2016-01-05 20:00:00,65609.5,62976.4692700091,2633.03072999089
2016-01-05 21:00:00,62128,60131.3435631813,1996.65643681873
2016-01-05 22:00:00,59354.5,58272.3841152543,1082.11588474575
2016-01-05 23:00:00,55038.75,54403.9201981437,634.829801856336
2016-01-06 00:00:00,52151.25,51001.9616186584,1149.2883813416
2016-01-06 01:00:00,50053.25,48723.5579671593,1329.69203284073
2016-01-06 02:00:00,48845.75,47219.424110722,1626.32588927799
2016-01-06 03:00:00,48738.5,47209.625388725,1528.87461127502
2016-01-06 04:00:00,49720,47039.1068285687,2680.89317143127
2016-01-06 05:00:00,51362.75,47218.925471738,4143.82452826198
2016-01-06 06:00:00,55162,47354.2081249106,7807.79187508945
2016-01-06 07:00:00,60182.75,49987.4761935814,10195.2738064186
2016-01-06 08:00:00,63015.25,52305.9752120549,10709.2747879451
2016-01-06 09:00:00,64050,54246.4087395691,9803.59126043087
2016-01-06 10:00:00,65568.25,56177.3351515132,9390.91484848678
2016-01-06 11:00:00,67443.5,58252.2679256,9191.23207439999
2016-01-06 12:00:00,67090,58256.7773759322,8833.22262406782
2016-01-06 13:00:00,65702.5,56842.4471794109,8860.05282058907
2016-01-06 14:00:00,64479,55838.9290123855,8640.07098761454
2016-01-06 15:00:00,64129.5,55808.199036946,8321.30096305397
2016-01-06 16:00:00,65889,57656.1991630176,8232.80083698239
2016-01-06 17:00:00,68980.5,61755.5455758536,7224.95442414644
2016-01-06 18:00:00,68914.25,62783.7663177955,6130.48368220455
2016-01-06 19:00:00,67184,61638.1672582074,5545.83274179256
2016-01-06 20:00:00,63539.75,58611.9938975627,4927.75610243735
2016-01-06 21:00:00,60652.75,56240.854839757,4411.89516024298
2016-01-06 22:00:00,58711.75,54929.5831963207,3782.16680367928
2016-01-06 23:00:00,54737.5,52017.697838115,2719.80216188503
2016-01-07 00:00:00,51721,51417.939801667,303.060198332962
2016-01-07 01:00:00,49479,49360.3978449775,118.602155022505
2016-01-07 02:00:00,48291.75,48182.5516745211,109.198325478908
2016-01-07 03:00:00,48345.25,48223.9383554178,121.311644582194
2016-01-07 04:00:00,50100.5,49762.9760368923,337.523963107706
2016-01-07 05:00:00,53620.75,52694.2640943844,926.48590561562
2016-01-07 06:00:00,61083.25,57777.0095034022,3306.24049659784
2016-01-07 07:00:00,67590.5,63184.5737530412,4405.92624695882
2016-01-07 08:00:00,70299.5,66188.2747236277,4111.22527637226
2016-01-07 09:00:00,70303.75,67639.9404738751,2663.80952612488
2016-01-07 10:00:00,70282.75,70600.7884073195,-318.038407319458
2016-01-07 11:00:00,72113.25,71835.6840407795,277.565959220548
2016-01-07 12:00:00,72112.5,71555.2161774193,557.283822580692
2016-01-07 13:00:00,71591,70739.7952910217,851.204708978345
2016-01-07 14:00:00,70997.25,69674.9193211804,1322.33067881965
2016-01-07 15:00:00,70794,69441.6013810069,1352.39861899312
2016-01-07 16:00:00,71425.75,69857.787629811,1567.96237018902
2016-01-07 17:00:00,74199.5,72948.5810772144,1250.91892278555
2016-01-07 18:00:00,73782.75,72525.1227860509,1257.62721394912
2016-01-07 19:00:00,71393.5,70305.5143415858,1087.98565841424
2016-01-07 20:00:00,67458.25,65790.3546913022,1667.89530869781
2016-01-07 21:00:00,63779.75,62148.6469235793,1631.10307642066
2016-01-07 22:00:00,61360.75,60090.6631294551,1270.08687054486
2016-01-07 23:00:00,56772.75,56586.1695681247,186.580431875314
2016-01-08 00:00:00,53532.5,50943.3586736051,2589.14132639492
2016-01-08 01:00:00,51434,48927.9197404773,2506.08025952274
2016-01-08 02:00:00,50044,47544.9345794056,2499.0654205944
2016-01-08 03:00:00,50199,47559.3155237473,2639.68447625266
2016-01-08 04:00:00,51459.75,48895.0634655609,2564.68653443911
2016-01-08 05:00:00,54567,51899.9348785863,2667.06512141366
2016-01-08 06:00:00,62656.25,57335.0709586172,5321.1790413828
2016-01-08 07:00:00,69177.5,62930.2179884915,6247.28201150846
2016-01-08 08:00:00,71473.25,66221.3285688758,5251.92143112424
2016-01-08 09:00:00,70917.25,67167.6011372737,3749.64886272635
2016-01-08 10:00:00,70569.25,67887.4765565941,2681.77344340589
2016-01-08 11:00:00,71093.5,70768.1559434341,325.344056565853
2016-01-08 12:00:00,70660.5,70345.003750362,315.496249638032
2016-01-08 13:00:00,69474,68987.4397338639,486.560266136119
2016-01-08 14:00:00,67869.5,67878.4756700464,-8.97567004640587
2016-01-08 15:00:00,66990.25,67603.0032218506,-612.753221850551
2016-01-08 16:00:00,68070,67583.5160303265,486.483969673529
2016-01-08 17:00:00,71333.25,70639.4140623442,693.835937655822
2016-01-08 18:00:00,70929.5,70123.829320534,805.670679465969
2016-01-08 19:00:00,68905,67573.9401315976,1331.05986840239
2016-01-08 20:00:00,64386.5,63385.7416493108,1000.7583506892
2016-01-08 21:00:00,60856.5,59947.1365270881,909.363472911864
2016-01-08 22:00:00,58489.5,58530.3165158616,-40.8165158615666
2016-01-08 23:00:00,54399,54773.1880141975,-374.188014197462
2016-01-09 00:00:00,51343.25,51368.5416390521,-25.2916390520841
2016-01-09 01:00:00,49310.25,49275.600942584,34.6490574159834
2016-01-09 02:00:00,47924.5,47767.7796859219,156.720314078135
2016-01-09 03:00:00,47211.25,47364.3545707468,-153.104570746764
2016-01-09 04:00:00,47038.5,47627.7171558813,-589.217155881277
2016-01-09 05:00:00,46984.5,47697.3738510012,-712.873851001234
2016-01-09 06:00:00,47127,48622.7117478968,-1495.7117478968
2016-01-09 07:00:00,49695.5,52142.1766572163,-2446.67665721626
2016-01-09 08:00:00,53381,56160.5575299256,-2779.55752992557
2016-01-09 09:00:00,56834.5,58667.8909224117,-1833.39092241168
2016-01-09 10:00:00,58502,59532.7325843719,-1030.73258437189
2016-01-09 11:00:00,59998.5,60370.668430677,-372.168430676968
2016-01-09 12:00:00,59335,59859.8793475799,-524.879347579939
2016-01-09 13:00:00,57090.5,58190.6037450412,-1100.10374504118
2016-01-09 14:00:00,55845.5,56849.8824871384,-1004.38248713838
2016-01-09 15:00:00,55918,56633.7812217143,-715.781221714307
2016-01-09 16:00:00,57408.25,58362.6800959678,-954.430095967822
2016-01-09 17:00:00,61771,62417.9965268379,-646.996526837866
2016-01-09 18:00:00,62274,62860.2653370026,-586.265337002616
2016-01-09 19:00:00,60331.25,60866.2090850422,-534.959085042159
