"ds","y","yhat","residuals"
2016-01-08 00:00:00,53532.5,51528.2299623239,2004.27003767607
2016-01-08 01:00:00,51434,49196.378461253,2237.62153874697
2016-01-08 02:00:00,50044,47858.7357692872,2185.26423071281
2016-01-08 03:00:00,50199,48136.7649119833,2062.23508801674
2016-01-08 04:00:00,51459.75,49831.370115426,1628.37988457405
2016-01-08 05:00:00,54567,53665.6491258186,901.350874181386
2016-01-08 06:00:00,62656.25,59975.2614783617,2680.98852163828
2016-01-08 07:00:00,69177.5,65438.4410228127,3739.05897718725
2016-01-08 08:00:00,71473.25,67864.4697195753,3608.78028042473
2016-01-08 09:00:00,70917.25,68266.9981912418,2650.25180875821
2016-01-08 10:00:00,70569.25,68928.3372455019,1640.91275449806
2016-01-08 11:00:00,71093.5,70352.5827906575,740.917209342471
2016-01-08 12:00:00,70660.5,69999.6920415242,660.80795847578
2016-01-08 13:00:00,69474,68977.7398767698,496.260123230226
2016-01-08 14:00:00,67869.5,68037.5257936882,-168.025793688168
2016-01-08 15:00:00,66990.25,67737.0058744595,-746.75587445953
2016-01-08 16:00:00,68070,68660.5188940643,-590.518894064342
2016-01-08 17:00:00,71333.25,71181.8365159391,151.413484060875
2016-01-08 18:00:00,70929.5,71010.9783831017,-81.478383101683
2016-01-08 19:00:00,68905,68507.7635417495,397.236458250482
2016-01-08 20:00:00,64386.5,64494.2271391687,-107.727139168732
2016-01-08 21:00:00,60856.5,60836.3806748035,20.1193251964578
2016-01-08 22:00:00,58489.5,58770.1357666323,-280.635766632266
2016-01-08 23:00:00,54399,54702.1976158121,-303.197615812052
2016-01-09 00:00:00,51343.25,51394.6390502419,-51.3890502419163
2016-01-09 01:00:00,49310.25,49660.1343958366,-349.884395836627
2016-01-09 02:00:00,47924.5,48387.3986244056,-462.898624405585
2016-01-09 03:00:00,47211.25,48045.0339309959,-833.783930995858
2016-01-09 04:00:00,47038.5,48329.0565175128,-1290.55651751276
2016-01-09 05:00:00,46984.5,47920.9094125334,-936.409412533372
2016-01-09 06:00:00,47127,48658.8722015693,-1531.87220156927
2016-01-09 07:00:00,49695.5,51963.356872785,-2267.85687278499
2016-01-09 08:00:00,53381,55571.7689687837,-2190.76896878372
2016-01-09 09:00:00,56834.5,58109.2473851985,-1274.74738519854
2016-01-09 10:00:00,58502,59231.4553459406,-729.45534594058
2016-01-09 11:00:00,59998.5,60296.006761262,-297.506761262048
2016-01-09 12:00:00,59335,59819.4410458208,-484.441045820844
2016-01-09 13:00:00,57090.5,58083.796703533,-993.296703532978
2016-01-09 14:00:00,55845.5,56424.9670671415,-579.467067141471
2016-01-09 15:00:00,55918,55988.6485090447,-70.6485090447095
2016-01-09 16:00:00,57408.25,57645.8651709596,-237.615170959631
2016-01-09 17:00:00,61771,61475.4466966632,295.553303336834
2016-01-09 18:00:00,62274,62133.1943878895,140.805612110547
2016-01-09 19:00:00,60331.25,60376.6596087219,-45.4096087218641
2016-01-09 20:00:00,56412.25,56293.2140637574,119.035936242566
2016-01-09 21:00:00,54118,53792.1742863765,325.825713623519
2016-01-09 22:00:00,53653.25,52994.1449756124,659.105024387631
2016-01-09 23:00:00,50700.5,49919.9997822057,780.500217794259
2016-01-10 00:00:00,46517.5,47002.342699253,-484.842699253015
2016-01-10 01:00:00,44645.5,44833.423560191,-187.923560190982
2016-01-10 02:00:00,43503.5,43495.5838180415,7.9161819584624
2016-01-10 03:00:00,43221.25,42748.3189196772,472.931080322764
2016-01-10 04:00:00,43262.25,42595.5338598463,666.716140153709
2016-01-10 05:00:00,42601.25,42505.388469276,95.8615307239961
2016-01-10 06:00:00,42054,41974.0326346977,79.9673653022619
