"ds","y","yhat","residuals"
2016-01-22 00:00:00,58527.25,57414.4438083152,1112.8061916848
2016-01-22 01:00:00,56658.25,55317.8986691909,1340.3513308091
2016-01-22 02:00:00,55066.25,54108.1665247875,958.083475212501
2016-01-22 03:00:00,54863.25,54184.3189245407,678.931075459303
2016-01-22 04:00:00,55732.25,55017.2261682023,715.023831797698
2016-01-22 05:00:00,58812,57985.9708070678,826.029192932197
2016-01-22 06:00:00,66137.75,65250.1614306275,887.588569372499
2016-01-22 07:00:00,73233.5,72174.237688654,1059.262311346
2016-01-22 08:00:00,75204.25,74410.4518924397,793.798107560302
2016-01-22 09:00:00,75011.5,74157.97589807,853.524101930001
2016-01-22 10:00:00,75100.5,75110.2653137914,-9.76531379140215
2016-01-22 11:00:00,75098.25,75282.6343961494,-184.384396149399
2016-01-22 12:00:00,74001.5,73942.2943260841,59.2056739159016
2016-01-22 13:00:00,72395.5,73178.9345581675,-783.434558167501
2016-01-22 14:00:00,71068.75,72083.8120760868,-1015.0620760868
2016-01-22 15:00:00,70382.5,71519.3748744802,-1136.8748744802
2016-01-22 16:00:00,70530.5,71558.843094055,-1028.343094055
2016-01-22 17:00:00,74598.75,75008.1612267845,-409.411226784505
2016-01-22 18:00:00,74784.75,75043.574849924,-258.824849924
2016-01-22 19:00:00,72926.5,73786.5171059468,-860.017105946798
2016-01-22 20:00:00,68648.75,69520.3299211627,-871.579921162702
2016-01-22 21:00:00,65350.25,66275.934543856,-925.684543855998
2016-01-22 22:00:00,64002.25,63888.2954497107,113.954550289302
2016-01-22 23:00:00,60651.75,59808.0519549606,843.698045039397
2016-01-23 00:00:00,57718.75,57306.6092349086,412.140765091397
2016-01-23 01:00:00,54912.75,55144.9793659155,-232.229365915497
2016-01-23 02:00:00,52749.75,53903.041077771,-1153.291077771
2016-01-23 03:00:00,51502.5,53079.3532224461,-1576.8532224461
2016-01-23 04:00:00,50584.5,52288.3499727542,-1703.8499727542
2016-01-23 05:00:00,49925,52233.0279122288,-2308.0279122288
2016-01-23 06:00:00,50343,51856.8149107702,-1513.8149107702
2016-01-23 07:00:00,54049.25,55330.6066775772,-1281.3566775772
2016-01-23 08:00:00,58202,58130.1091831344,71.890816865598
2016-01-23 09:00:00,61870.75,60434.4298451224,1436.3201548776
2016-01-23 10:00:00,64031.5,62103.8854636157,1927.6145363843
2016-01-23 11:00:00,64699,63358.9303017089,1340.0696982911
2016-01-23 12:00:00,63785.25,62780.9568665205,1004.2931334795
2016-01-23 13:00:00,61542.75,60606.4851203689,936.264879631097
2016-01-23 14:00:00,60010.25,59112.9641513718,897.285848628198
2016-01-23 15:00:00,59429.25,58764.4011346846,664.848865315398
2016-01-23 16:00:00,59931.75,59975.3858970302,-43.6358970302026
2016-01-23 17:00:00,63890.25,64283.5137853206,-393.263785320603
2016-01-23 18:00:00,64784.5,65080.6973653066,-296.197365306602
2016-01-23 19:00:00,62326.25,63487.7818130314,-1161.5318130314
2016-01-23 20:00:00,58335,59923.3064523003,-1588.3064523003
2016-01-23 21:00:00,55802.25,57805.8487324361,-2003.5987324361
2016-01-23 22:00:00,54875,57161.1212170947,-2286.1212170947
2016-01-23 23:00:00,52035,54337.7939547457,-2302.7939547457
2016-01-24 00:00:00,48994.75,50799.638326992,-1804.888326992
2016-01-24 01:00:00,46773.5,49082.6753712528,-2309.1753712528
2016-01-24 02:00:00,45778.25,47389.9027212346,-1611.6527212346
2016-01-24 03:00:00,45033.25,46283.8155767886,-1250.5655767886
2016-01-24 04:00:00,45040.75,45955.4366055445,-914.686605544499
2016-01-24 05:00:00,45089.75,45345.3195017706,-255.569501770602
2016-01-24 06:00:00,43774,44327.8403066977,-553.840306697697
2016-01-24 07:00:00,45492,46470.4499498093,-978.449949809299
2016-01-24 08:00:00,49083.75,49493.6405526987,-409.8905526987
2016-01-24 09:00:00,52779.5,52974.4351875997,-194.935187599702
2016-01-24 10:00:00,55474.5,56123.9602671488,-649.460267148803
2016-01-24 11:00:00,58251.25,58244.1335825406,7.11641745940142
2016-01-24 12:00:00,57600.75,58109.8931973582,-509.1431973582
2016-01-24 13:00:00,55505,56067.9446125715,-562.944612571497
2016-01-24 14:00:00,54274.5,54511.5905879637,-237.090587963699
2016-01-24 15:00:00,53836.5,54450.5663515529,-614.066351552901
2016-01-24 16:00:00,55176.25,55298.9621788344,-122.712178834401
2016-01-24 17:00:00,59654.75,60437.073683534,-782.323683533999
2016-01-24 18:00:00,61396.5,62521.3002065265,-1124.8002065265
2016-01-24 19:00:00,59511.25,61318.2210057968,-1806.9710057968
2016-01-24 20:00:00,56632.25,58596.6027856065,-1964.3527856065
2016-01-24 21:00:00,54565.5,56948.6327957599,-2383.1327957599
2016-01-24 22:00:00,55055,56778.0173475884,-1723.0173475884
2016-01-24 23:00:00,52289,53828.7802022726,-1539.7802022726
2016-01-25 00:00:00,49533,51191.2920406555,-1658.2920406555
2016-01-25 01:00:00,47595.5,49323.0262959689,-1727.5262959689
2016-01-25 02:00:00,46913.5,48717.1912628658,-1803.6912628658
2016-01-25 03:00:00,47006.25,48581.1454988615,-1574.8954988615
2016-01-25 04:00:00,48778.25,51413.3252088108,-2635.0752088108
2016-01-25 05:00:00,52694.25,55859.8896987957,-3165.6396987957
2016-01-25 06:00:00,61717.25,64094.2393964191,-2376.9893964191
2016-01-25 07:00:00,69475.25,71465.3825643337,-1990.1325643337
2016-01-25 08:00:00,71600,73564.5568042577,-1964.55680425771
2016-01-25 09:00:00,71433.5,73941.8329977592,-2508.33299775919
