"ds","y","yhat","residuals"
2016-01-01 18:00:00,52797.25,50406.7356190506,2390.51438094945
2016-01-02 18:00:00,60431.25,50462.5787033728,9968.67129662722
2016-01-03 18:00:00,57888.5,50801.9644836919,7086.53551630811
2016-01-04 18:00:00,70768.25,67979.2447722926,2789.00522770738
2016-01-05 17:00:00,71862.75,69013.0981470547,2849.6518529453
2016-01-06 17:00:00,68980.5,60954.2073637117,8026.29263628829
2016-01-07 17:00:00,74199.5,71509.1117851877,2690.38821481226
2016-01-08 08:00:00,71473.25,70387.9656622138,1085.28433778622
2016-01-09 18:00:00,62274,59942.4065099702,2331.59349002979
2016-01-10 18:00:00,59470.75,56111.3227214907,3359.42727850935
2016-01-11 10:00:00,79285,72356.6161504588,6928.38384954119
2016-01-12 17:00:00,74867.25,76898.7508689414,-2031.50086894137
2016-01-13 17:00:00,75190.75,74584.3246693184,606.425330681552
2016-01-14 18:00:00,74703.25,73843.9927893184,859.257210681564
2016-01-15 11:00:00,74677.25,73355.143404643,1322.10659535696
2016-01-16 18:00:00,64550.5,64224.7986286725,325.701371327479
2016-01-17 18:00:00,61811.5,59704.8344042259,2106.66559577409
2016-01-18 18:00:00,76541.5,75755.6448070896,785.855192910414
2016-01-19 18:00:00,77175.25,76842.6834810732,332.56651892676
2016-01-20 18:00:00,76147.5,76799.8964590637,-652.396459063748
2016-01-21 18:00:00,76340,75292.3013324816,1047.6986675184
2016-01-22 08:00:00,75204.25,75097.9073677498,106.342632250191
2016-01-23 18:00:00,64784.5,65302.8653944208,-518.365394420827
2016-01-24 18:00:00,61396.5,60499.4480218135,897.051978186544
2016-01-25 18:00:00,74068.75,76067.3296605788,-1998.57966057883
2016-01-26 18:00:00,73942.5,75868.6340010221,-1926.13400102215
2016-01-27 18:00:00,74231,75058.1998624608,-827.19986246078
2016-01-28 18:00:00,73692.5,73914.5189445771,-222.018944577125
2016-01-29 18:00:00,72917.25,73196.9636609845,-279.713660984533
2016-01-30 11:00:00,63552.5,63426.3532658094,126.146734190559
2016-01-31 18:00:00,58661.75,59098.2991579077,-436.549157907662
2016-02-01 18:00:00,75266.5,73835.0350249297,1431.46497507031
2016-02-02 11:00:00,75341.5,75669.7600169928,-328.260016992848
2016-02-03 18:00:00,74832.5,75234.471725241,-401.971725241005
2016-02-04 11:00:00,74452.75,73943.4923172447,509.257682755298
2016-02-05 11:00:00,73393.25,73468.1726396699,-74.9226396698505
2016-02-06 18:00:00,62439.5,63656.1461997293,-1216.64619972926
2016-02-07 18:00:00,59246,58462.3010037019,783.698996298088
2016-02-08 18:00:00,72646.25,74062.5795198897,-1416.32951988965
2016-02-09 11:00:00,73460.25,74243.9031031259,-783.653103125936
2016-02-10 11:00:00,74529.25,73931.4248835433,597.825116456675
2016-02-11 18:00:00,73072.75,73372.8621946371,-300.112194637142
2016-02-12 11:00:00,72117.5,72371.8807412213,-254.380741221263
2016-02-13 18:00:00,63524,62525.16523213,998.834767869987
2016-02-14 18:00:00,59898.5,58594.4103688884,1304.08963111158
2016-02-15 11:00:00,74806.75,74159.9607074115,646.78929258851
2016-02-16 11:00:00,74392.25,75313.7901838104,-921.54018381043
2016-02-17 18:00:00,75136,74549.0208762306,586.979123769357
2016-02-18 18:00:00,73589.25,73866.8205089116,-277.57050891158
2016-02-19 11:00:00,73935.25,72852.7589325188,1082.4910674812
2016-02-20 11:00:00,65514.5,63737.1291961193,1777.37080388067
2016-02-21 18:00:00,60912.5,60037.363934818,875.13606518197
2016-02-22 11:00:00,74458,75235.7635128515,-777.76351285151
2016-02-23 18:00:00,73576.5,75542.8881248675,-1966.3881248675
2016-02-24 11:00:00,72777.75,74460.3026047979,-1682.55260479788
2016-02-25 18:00:00,72908.5,72746.3594379189,162.140562081098
2016-02-26 09:00:00,71263.25,72410.6629760695,-1147.41297606949
2016-02-27 18:00:00,61077.5,62167.9015083406,-1090.40150834058
2016-02-28 19:00:00,58883.75,57230.2516436733,1653.49835632674
2016-02-29 18:00:00,72242,73336.1152844408,-1094.11528444085
2016-03-01 12:00:00,76270.5,73526.4028545197,2744.09714548029
2016-03-02 11:00:00,74178,75072.7537610776,-894.753761077562
2016-03-03 11:00:00,73371.75,73106.7084199656,265.04158003442
