"ds","y","yhat","residuals"
2016-01-22 00:00:00,58527.25,57266.1702373167,1261.07976268328
2016-01-22 01:00:00,56658.25,55036.2939244142,1621.9560755858
2016-01-22 02:00:00,55066.25,53563.4988789421,1502.75112105788
2016-01-22 03:00:00,54863.25,53473.183767554,1390.06623244603
2016-01-22 04:00:00,55732.25,54391.2866008957,1340.96339910434
2016-01-22 05:00:00,58812,57362.9199094416,1449.08009055845
2016-01-22 06:00:00,66137.75,64420.2987236874,1717.45127631256
2016-01-22 07:00:00,73233.5,71281.9569730901,1951.54302690992
2016-01-22 08:00:00,75204.25,73375.3439079554,1828.90609204458
2016-01-22 09:00:00,75011.5,73450.0870446865,1561.41295531347
2016-01-22 10:00:00,75100.5,74262.6827769029,837.81722309714
2016-01-22 11:00:00,75098.25,74258.3635911379,839.886408862149
2016-01-22 12:00:00,74001.5,73426.7702678146,574.729732185428
2016-01-22 13:00:00,72395.5,72042.7218424242,352.778157575813
2016-01-22 14:00:00,71068.75,70736.3467828965,332.403217103478
2016-01-22 15:00:00,70382.5,69993.8978400811,388.602159918853
2016-01-22 16:00:00,70530.5,70247.1834446821,283.316555317855
2016-01-22 17:00:00,74598.75,73811.5200487216,787.229951278408
2016-01-22 18:00:00,74784.75,74179.4331521027,605.316847897266
2016-01-22 19:00:00,72926.5,72306.6843992607,619.815600739326
2016-01-22 20:00:00,68648.75,68084.7906635166,563.959336483371
2016-01-22 21:00:00,65350.25,64862.9401645505,487.309835449516
2016-01-22 22:00:00,64002.25,62984.5782291978,1017.67177080224
2016-01-22 23:00:00,60651.75,59468.4773497274,1183.27265027259
2016-01-23 00:00:00,57718.75,56857.3448774823,861.405122517681
2016-01-23 01:00:00,54912.75,54743.751061315,168.998938684963
2016-01-23 02:00:00,52749.75,53091.2391329998,-341.489132999806
2016-01-23 03:00:00,51502.5,52307.1459550667,-804.645955066706
2016-01-23 04:00:00,50584.5,52148.8727603272,-1564.37276032719
2016-01-23 05:00:00,49925,52279.112679201,-2354.112679201
2016-01-23 06:00:00,50343,53680.7486513074,-3337.74865130743
2016-01-23 07:00:00,54049.25,58050.2055447591,-4000.95554475912
2016-01-23 08:00:00,58202,61219.1789952519,-3017.17899525187
2016-01-23 09:00:00,61870.75,63421.8385973942,-1551.08859739421
2016-01-23 10:00:00,64031.5,64439.7602340249,-408.260234024936
2016-01-23 11:00:00,64699,64497.7069793229,201.293020677142
2016-01-23 12:00:00,63785.25,63493.2520755539,291.997924446056
2016-01-23 13:00:00,61542.75,61543.3397390715,-0.589739071518125
2016-01-23 14:00:00,60010.25,60233.4163212167,-223.166321216719
2016-01-23 15:00:00,59429.25,59946.3294996598,-517.079499659776
2016-01-23 16:00:00,59931.75,60886.5668504956,-954.816850495554
2016-01-23 17:00:00,63890.25,65483.5972574487,-1593.34725744875
2016-01-23 18:00:00,64784.5,66543.122125966,-1758.62212596602
2016-01-23 19:00:00,62326.25,64881.2867136658,-2555.03671366576
2016-01-23 20:00:00,58335,60916.7136848977,-2581.71368489768
2016-01-23 21:00:00,55802.25,58406.053572101,-2603.80357210097
2016-01-23 22:00:00,54875,58386.0945899642,-3511.09458996422
2016-01-23 23:00:00,52035,55798.810455834,-3763.81045583398
2016-01-24 00:00:00,48994.75,53134.7407093328,-4139.99070933282
2016-01-24 01:00:00,46773.5,50404.7460557914,-3631.24605579145
2016-01-24 02:00:00,45778.25,48365.7938672101,-2587.54386721009
2016-01-24 03:00:00,45033.25,47129.7038023517,-2096.45380235172
2016-01-24 04:00:00,45040.75,46205.9383339467,-1165.18833394672
2016-01-24 05:00:00,45089.75,45481.2882824313,-391.538282431327
2016-01-24 06:00:00,43774,45224.0320333327,-1450.0320333327
2016-01-24 07:00:00,45492,48171.1782335886,-2679.17823358859
2016-01-24 08:00:00,49083.75,51577.0513670567,-2493.30136705675
2016-01-24 09:00:00,52779.5,54804.8292349862,-2025.3292349862
2016-01-24 10:00:00,55474.5,57284.909310567,-1810.40931056705
2016-01-24 11:00:00,58251.25,59053.8171083073,-802.567108307325
2016-01-24 12:00:00,57600.75,58573.7749471489,-973.024947148879
2016-01-24 13:00:00,55505,56416.6561510263,-911.656151026269
2016-01-24 14:00:00,54274.5,55065.252735677,-790.752735677015
2016-01-24 15:00:00,53836.5,54582.7415085901,-746.24150859005
2016-01-24 16:00:00,55176.25,55488.8852325535,-312.635232553541
2016-01-24 17:00:00,59654.75,60223.8174289366,-569.067428936571
2016-01-24 18:00:00,61396.5,62054.3208867716,-657.820886771617
2016-01-24 19:00:00,59511.25,60548.4354303727,-1037.1854303727
2016-01-24 20:00:00,56632.25,57850.3468167328,-1218.09681673285
2016-01-24 21:00:00,54565.5,56183.6700911727,-1618.17009117268
2016-01-24 22:00:00,55055,56079.1614663678,-1024.16146636784
2016-01-24 23:00:00,52289,53346.531292365,-1057.53129236495
2016-01-25 00:00:00,49533,50917.801093359,-1384.80109335902
2016-01-25 01:00:00,47595.5,49225.922961228,-1630.42296122797
2016-01-25 02:00:00,46913.5,48471.6668820752,-1558.16688207519
2016-01-25 03:00:00,47006.25,48585.4760173526,-1579.22601735256
2016-01-25 04:00:00,48778.25,50195.2133965939,-1416.96339659393
2016-01-25 05:00:00,52694.25,54431.7085784349,-1737.45857843493
2016-01-25 06:00:00,61717.25,62005.1535726542,-287.903572654177
2016-01-25 07:00:00,69475.25,68648.3357696028,826.914230397233
2016-01-25 08:00:00,71600,71596.4311131309,3.56888686912134
2016-01-25 09:00:00,71433.5,72617.5566209934,-1184.05662099339
2016-01-25 10:00:00,71442.5,73829.4519854473,-2386.9519854473
2016-01-25 11:00:00,71753.5,74676.6705993185,-2923.17059931847
2016-01-25 12:00:00,71287.75,73815.335836535,-2527.58583653504
2016-01-25 13:00:00,70750,72964.3589635151,-2214.35896351509
2016-01-25 14:00:00,69436.75,72059.1382533242,-2622.38825332416
2016-01-25 15:00:00,68687,71429.2559293773,-2742.25592937725
2016-01-25 16:00:00,68323,71446.9929278514,-3123.99292785137
2016-01-25 17:00:00,72835,74682.7248937563,-1847.72489375633
2016-01-25 18:00:00,74068.75,74983.5485446404,-914.798544640362
2016-01-25 19:00:00,72660.75,72819.5301608621,-158.780160862123
2016-01-25 20:00:00,68015,68425.4568363896,-410.456836389567
2016-01-25 21:00:00,64620,64523.5461294777,96.4538705223385
2016-01-25 22:00:00,61838.75,62214.1038105846,-375.353810584551
2016-01-25 23:00:00,57416,57913.1652589394,-497.165258939356
2016-01-26 00:00:00,53064.25,55151.3294655226,-2087.07946552263
2016-01-26 01:00:00,51476.25,52792.2160650016,-1315.96606500157
2016-01-26 02:00:00,50978,51677.3514791966,-699.351479196637
2016-01-26 03:00:00,51065,51528.0077055298,-463.007705529766
2016-01-26 04:00:00,52121.75,52714.8341541436,-593.08415414358
2016-01-26 05:00:00,55262,55971.7880864926,-709.788086492597
2016-01-26 06:00:00,63121.25,64090.9348403476,-969.684840347596
2016-01-26 07:00:00,70516.75,71181.1525319556,-664.402531955566
2016-01-26 08:00:00,72216,73197.9209647537,-981.920964753677
2016-01-26 09:00:00,72053.5,73175.6914627449,-1122.19146274492
2016-01-26 10:00:00,72416.5,73719.132031191,-1302.63203119101
2016-01-26 11:00:00,72713.5,74294.8381489798,-1581.33814897983
2016-01-26 12:00:00,71471.5,73694.5089617578,-2223.00896175783
2016-01-26 13:00:00,70821.75,73002.1368564214,-2180.38685642142
