"ds","y","yhat","residuals"
2016-01-22 00:00:00,58527.25,56811.2337715002,1716.01622849978
2016-01-22 01:00:00,56658.25,54704.5584049483,1953.6915950517
2016-01-22 02:00:00,55066.25,53340.1869309064,1726.06306909355
2016-01-22 03:00:00,54863.25,53237.3337539543,1625.91624604566
2016-01-22 04:00:00,55732.25,54149.6534803166,1582.59651968341
2016-01-22 05:00:00,58812,57012.5603969959,1799.4396030041
2016-01-22 06:00:00,66137.75,63793.0609916046,2344.68900839543
2016-01-22 07:00:00,73233.5,70341.3101377059,2892.18986229412
2016-01-22 08:00:00,75204.25,72442.3862790334,2761.86372096662
2016-01-22 09:00:00,75011.5,72702.794635592,2308.70536440796
2016-01-22 10:00:00,75100.5,73560.0421199754,1540.45788002464
2016-01-22 11:00:00,75098.25,73693.979256696,1404.27074330398
2016-01-22 12:00:00,74001.5,72853.3653536206,1148.13464637943
2016-01-22 13:00:00,72395.5,71347.4181317689,1048.08186823111
2016-01-22 14:00:00,71068.75,69942.7821705142,1125.96782948585
2016-01-22 15:00:00,70382.5,69139.29889244,1243.20110755996
2016-01-22 16:00:00,70530.5,69418.2574790533,1112.24252094675
2016-01-22 17:00:00,74598.75,72892.063147602,1706.68685239795
2016-01-22 18:00:00,74784.75,73463.0106747862,1321.73932521383
2016-01-22 19:00:00,72926.5,71646.1318113521,1280.3681886479
2016-01-22 20:00:00,68648.75,67393.5900166882,1255.15998331179
2016-01-22 21:00:00,65350.25,64089.9453274885,1260.30467251151
2016-01-22 22:00:00,64002.25,62279.2803817782,1722.9696182218
2016-01-22 23:00:00,60651.75,58868.783981567,1782.96601843296
2016-01-23 00:00:00,57718.75,56379.5759900074,1339.1740099926
2016-01-23 01:00:00,54912.75,54283.3268752333,629.423124766727
2016-01-23 02:00:00,52749.75,52692.4298951613,57.3201048387418
2016-01-23 03:00:00,51502.5,52034.7982872007,-532.29828720072
2016-01-23 04:00:00,50584.5,51950.0936300197,-1365.59363001973
2016-01-23 05:00:00,49925,51946.0771128703,-2021.07711287031
2016-01-23 06:00:00,50343,53037.7783590835,-2694.77835908352
2016-01-23 07:00:00,54049.25,56953.1200341267,-2903.87003412672
2016-01-23 08:00:00,58202,60098.1008519781,-1896.10085197812
2016-01-23 09:00:00,61870.75,62495.6595158572,-624.909515857224
2016-01-23 10:00:00,64031.5,63546.8287171046,484.671282895441
2016-01-23 11:00:00,64699,63934.8822628286,764.117737171444
2016-01-23 12:00:00,63785.25,62996.1976732524,789.052326747587
2016-01-23 13:00:00,61542.75,61011.2293564384,531.520643561642
2016-01-23 14:00:00,60010.25,59555.7833851857,454.466614814257
2016-01-23 15:00:00,59429.25,59188.6906312675,240.559368732502
2016-01-23 16:00:00,59931.75,60147.9058379983,-216.155837998311
2016-01-23 17:00:00,63890.25,64584.8306224267,-694.580622426722
2016-01-23 18:00:00,64784.5,65933.0649029256,-1148.56490292557
2016-01-23 19:00:00,62326.25,64398.4861166759,-2072.23611667588
2016-01-23 20:00:00,58335,60475.4409507834,-2140.44095078339
2016-01-23 21:00:00,55802.25,57891.4693987031,-2089.21939870315
2016-01-23 22:00:00,54875,57685.4635785294,-2810.46357852944
2016-01-23 23:00:00,52035,55106.1756060386,-3071.1756060386
2016-01-24 00:00:00,48994.75,52584.2309750636,-3589.48097506355
2016-01-24 01:00:00,46773.5,49967.4166752196,-3193.9166752196
2016-01-24 02:00:00,45778.25,48005.6653415889,-2227.41534158892
2016-01-24 03:00:00,45033.25,46815.2697404808,-1782.01974048075
2016-01-24 04:00:00,45040.75,45935.4712727873,-894.721272787348
2016-01-24 05:00:00,45089.75,45317.3135790162,-227.563579016227
2016-01-24 06:00:00,43774,45130.2760627582,-1356.2760627582
2016-01-24 07:00:00,45492,47632.7169984986,-2140.7169984986
2016-01-24 08:00:00,49083.75,50869.6639756884,-1785.91397568837
2016-01-24 09:00:00,52779.5,54089.2464227849,-1309.74642278492
2016-01-24 10:00:00,55474.5,56581.3436671717,-1106.84366717175
2016-01-24 11:00:00,58251.25,58540.7727677832,-289.522767783164
2016-01-24 12:00:00,57600.75,58068.9599181491,-468.20991814907
2016-01-24 13:00:00,55505,55942.2519879396,-437.251987939628
