"ds","y","yhat","residuals"
"2016-01-22 00:00:00",58527.25,57137.04324811,1390.20675188997
"2016-01-22 01:00:00",56658.25,55373.8580910153,1284.39190898469
"2016-01-22 02:00:00",55066.25,54154.2347264253,912.015273574718
"2016-01-22 03:00:00",54863.25,54176.3709967087,686.879003291288
"2016-01-22 04:00:00",55732.25,54375.1220960049,1357.12790399514
"2016-01-22 05:00:00",58812,57401.7368015257,1410.26319847433
"2016-01-22 06:00:00",66137.75,64252.5895738168,1885.16042618321
"2016-01-22 07:00:00",73233.5,71172.2434610574,2061.25653894265
"2016-01-22 08:00:00",75204.25,73771.0377892723,1433.21221072767
"2016-01-22 09:00:00",75011.5,72862.8124903261,2148.68750967385
"2016-01-22 10:00:00",75100.5,74485.6600446544,614.839955345582
"2016-01-22 11:00:00",75098.25,75219.742444084,-121.492444083953
"2016-01-22 12:00:00",74001.5,74425.0782431157,-423.578243115699
"2016-01-22 13:00:00",72395.5,72569.0193784483,-173.519378448342
"2016-01-22 14:00:00",71068.75,70891.4607458846,177.289254115429
"2016-01-22 15:00:00",70382.5,70008.4192240015,374.080775998547
"2016-01-22 16:00:00",70530.5,70379.8493158866,150.650684113425
"2016-01-22 17:00:00",74598.75,74606.7000982598,-7.95009825982561
"2016-01-22 18:00:00",74784.75,74169.9339471555,614.81605284453
"2016-01-22 19:00:00",72926.5,71940.9604230351,985.539576964933
"2016-01-22 20:00:00",68648.75,68082.9901771387,565.75982286135
"2016-01-22 21:00:00",65350.25,64292.5327992182,1057.71720078182
"2016-01-22 22:00:00",64002.25,62468.2691710594,1533.98082894061
"2016-01-22 23:00:00",60651.75,58806.6087809946,1845.14121900541
"2016-01-23 00:00:00",57718.75,56725.5202924117,993.229707588282
"2016-01-23 01:00:00",54912.75,54606.3438460823,306.406153917669
"2016-01-23 02:00:00",52749.75,53164.8767364368,-415.126736436796
"2016-01-23 03:00:00",51502.5,52365.5899084993,-863.089908499336
"2016-01-23 04:00:00",50584.5,52216.0274400489,-1631.52744004886
"2016-01-23 05:00:00",49925,51582.2363380738,-1657.23633807384
"2016-01-23 06:00:00",50343,51940.2844991842,-1597.28449918424
"2016-01-23 07:00:00",54049.25,55881.9164664776,-1832.66646647763
"2016-01-23 08:00:00",58202,58862.8445961818,-660.844596181836
"2016-01-23 09:00:00",61870.75,60753.0619748072,1117.68802519282
"2016-01-23 10:00:00",64031.5,62877.0542435388,1154.44575646122
"2016-01-23 11:00:00",64699,63640.9203663345,1058.07963366548
"2016-01-23 12:00:00",63785.25,62050.5263330144,1734.72366698561
"2016-01-23 13:00:00",61542.75,60595.3678641382,947.382135861801
"2016-01-23 14:00:00",60010.25,59246.3553406942,763.894659305806
"2016-01-23 15:00:00",59429.25,58550.09552097,879.154479029989
"2016-01-23 16:00:00",59931.75,59754.8073241072,176.942675892773
"2016-01-23 17:00:00",63890.25,63838.9097941686,51.3402058313732
"2016-01-23 18:00:00",64784.5,65298.4422046054,-513.94220460541
"2016-01-23 19:00:00",62326.25,64228.7712986999,-1902.52129869988
"2016-01-23 20:00:00",58335,60726.5361430179,-2391.53614301788
"2016-01-23 21:00:00",55802.25,57935.2323822428,-2132.9823822428
"2016-01-23 22:00:00",54875,57132.6983061206,-2257.69830612058
"2016-01-23 23:00:00",52035,54945.6133606256,-2910.61336062557
"2016-01-24 00:00:00",48994.75,52744.0661338189,-3749.31613381887
"2016-01-24 01:00:00",46773.5,50232.8446568621,-3459.3446568621
"2016-01-24 02:00:00",45778.25,49181.124601552,-3402.87460155198
"2016-01-24 03:00:00",45033.25,47971.6810857883,-2938.43108578831
"2016-01-24 04:00:00",45040.75,47594.6304350719,-2553.88043507193
"2016-01-24 05:00:00",45089.75,45974.1264071528,-884.376407152806
"2016-01-24 06:00:00",43774,44642.021117442,-868.021117442018
"2016-01-24 07:00:00",45492,46631.3777240361,-1139.37772403605
"2016-01-24 08:00:00",49083.75,49583.2749157765,-499.524915776463
"2016-01-24 09:00:00",52779.5,53761.1752860731,-981.675286073092
"2016-01-24 10:00:00",55474.5,56563.7222580853,-1089.22225808533
"2016-01-24 11:00:00",58251.25,58699.0643964317,-447.814396431684
"2016-01-24 12:00:00",57600.75,57952.8139967426,-352.06399674264
