ds,y,residuals,y_hat
2022-03-28 00:00:00,45708.75,-739.1875,46447.9375
2022-03-28 01:00:00,44270.75,-964.03125,45234.78125
2022-03-28 02:00:00,43668.5,-1478.38671875,45146.88671875
2022-03-28 03:00:00,44647.25,-812.8515625,45460.1015625
2022-03-28 04:00:00,46212.5,-293.4609375,46505.9609375
2022-03-28 05:00:00,50356.75,806.0546875,49550.6953125
2022-03-28 06:00:00,58066.75,3574.4765625,54492.2734375
2022-03-28 07:00:00,63313.5,4004.00390625,59309.49609375
2022-03-28 08:00:00,65807.25,3366.2109375,62441.0390625
2022-03-28 09:00:00,66587.0,2276.99609375,64310.00390625
2022-03-28 10:00:00,67023.25,1167.578125,65855.671875
2022-03-28 11:00:00,67478.5,555.421875,66923.078125
2022-03-28 12:00:00,67109.25,181.0078125,66928.2421875
2022-03-28 13:00:00,66001.5,-53.6953125,66055.1953125
2022-03-28 14:00:00,65021.75,-4.5078125,65026.2578125
2022-03-28 15:00:00,63794.75,-632.00390625,64426.75390625
2022-03-28 16:00:00,62307.75,-2330.953125,64638.703125
2022-03-28 17:00:00,62572.0,-3026.3984375,65598.3984375
2022-03-28 18:00:00,63695.75,-2663.65625,66359.40625
2022-03-28 19:00:00,64816.5,-973.53125,65790.03125
2022-03-28 20:00:00,64384.0,503.3671875,63880.6328125
2022-03-28 21:00:00,60791.75,-711.93359375,61503.68359375
2022-03-28 22:00:00,57226.0,-1771.8125,58997.8125
2022-03-28 23:00:00,53310.0,-2836.6484375,56146.6484375
2022-03-29 00:00:00,49827.0,-3592.359375,53419.359375
2022-03-29 01:00:00,47795.25,-3992.90234375,51788.15234375
2022-03-29 02:00:00,47026.75,-4239.984375,51266.734375
2022-03-29 03:00:00,47213.75,-3921.2578125,51135.0078125
2022-03-29 04:00:00,48769.5,-2959.0390625,51728.5390625
2022-03-29 05:00:00,51836.0,-2481.53125,54317.53125
2022-03-29 06:00:00,59286.0,482.1796875,58803.8203125
2022-03-29 07:00:00,63825.75,655.7890625,63169.9609375
2022-03-29 08:00:00,66076.25,218.0625,65858.1875
2022-03-29 09:00:00,66992.25,-302.71875,67294.96875
2022-03-29 10:00:00,68354.5,-68.234375,68422.734375
2022-03-29 11:00:00,69176.0,86.625,69089.375
2022-03-29 12:00:00,68480.25,-233.28125,68713.53125
2022-03-29 13:00:00,67972.0,490.4921875,67481.5078125
2022-03-29 14:00:00,66633.0,515.375,66117.625
2022-03-29 15:00:00,65866.25,657.41796875,65208.83203125
2022-03-29 16:00:00,63785.5,-1352.9921875,65138.4921875
2022-03-29 17:00:00,63892.0,-1951.8515625,65843.8515625
2022-03-29 18:00:00,63938.5,-2440.6171875,66379.1171875
2022-03-29 19:00:00,64032.5,-1580.3984375,65612.8984375
2022-03-29 20:00:00,63613.25,77.72265625,63535.52734375
2022-03-29 21:00:00,60246.75,-772.37109375,61019.12109375
2022-03-29 22:00:00,56826.75,-1574.921875,58401.671875
2022-03-29 23:00:00,52538.25,-2927.6328125,55465.8828125
2022-03-30 00:00:00,49050.25,-3629.46875,52679.71875
2022-03-30 01:00:00,47221.0,-3792.9609375,51013.9609375
2022-03-30 02:00:00,46006.0,-4474.6796875,50480.6796875
2022-03-30 03:00:00,46324.5,-4033.4375,50357.9375
2022-03-30 04:00:00,48101.75,-2877.5859375,50979.3359375
2022-03-30 05:00:00,51683.5,-1929.4453125,53612.9453125
2022-03-30 06:00:00,58689.75,531.328125,58158.421875
2022-03-30 07:00:00,63623.75,1027.703125,62596.046875
2022-03-30 08:00:00,66608.25,1242.50390625,65365.74609375
2022-03-30 09:00:00,67596.5,704.796875,66891.703125
2022-03-30 10:00:00,68524.75,410.671875,68114.078125
2022-03-30 11:00:00,69097.5,218.953125,68878.546875
2022-03-30 12:00:00,68573.75,-27.875,68601.625
2022-03-30 13:00:00,67548.75,81.140625,67467.609375
