"ds","y","yhat","residuals"
2016-01-01 00:00:00,43731.75,41939.4028776094,1792.34712239059
2016-01-01 01:00:00,41962,39996.4576946134,1965.54230538657
2016-01-01 02:00:00,40222.5,38685.9154565261,1536.58454347392
2016-01-01 03:00:00,39243,38427.0038765283,815.996123471719
2016-01-01 04:00:00,38749.5,39092.9662722492,-343.466272249221
2016-01-01 05:00:00,38060,40701.0671153898,-2641.06711538981
2016-01-01 06:00:00,36689,43654.338483653,-6965.33848365297
2016-01-01 07:00:00,36925,47030.8923380663,-10105.8923380663
2016-01-01 08:00:00,37604,50491.5462762342,-12887.5462762342
2016-01-01 09:00:00,39606.75,52481.9477544376,-12875.1977544376
2016-01-01 10:00:00,42318.25,53729.279700657,-11411.029700657
2016-01-01 11:00:00,45348.25,54977.5482098674,-9629.29820986743
2016-01-01 12:00:00,46199.5,53951.0527982172,-7751.5527982172
2016-01-01 13:00:00,45488.5,52060.4095596328,-6571.90955963283
2016-01-01 14:00:00,45338.5,50582.1390771874,-5243.63907718742
2016-01-01 15:00:00,46020.25,49695.5553655879,-3675.30536558792
2016-01-01 16:00:00,48631,47482.5819059473,1148.41809405274
2016-01-01 17:00:00,52169,46907.8130324273,5261.18696757269
2016-01-01 18:00:00,52797.25,47001.2278084284,5796.0221915716
2016-01-01 19:00:00,51298.75,47172.9455267466,4125.80447325337
2016-01-01 20:00:00,49284.75,46798.7415315296,2486.00846847044
2016-01-01 21:00:00,47752.5,46495.8002390466,1256.69976095344
2016-01-01 22:00:00,47393.25,44223.6635055836,3169.58649441639
2016-01-01 23:00:00,44163,40700.6364320877,3462.36356791233
2016-01-02 00:00:00,40932.5,41529.2471388801,-596.747138880106
2016-01-02 01:00:00,38946.5,39751.1786412823,-804.678641282262
2016-01-02 02:00:00,38158.5,38519.0744094003,-360.574409400288
2016-01-02 03:00:00,37844.5,38124.4351523986,-279.93515239859
2016-01-02 04:00:00,38761.5,38610.4837255188,151.016274481197
2016-01-02 05:00:00,39661.75,39902.5955836467,-240.84558364666
2016-01-02 06:00:00,40625.5,42470.9973515954,-1845.49735159543
