ds,y,yhat,residuals
2016-01-01 00:00:00,43731.75,42250.766,1480.984375
2016-01-01 01:00:00,41962.0,41012.625,949.375
2016-01-01 02:00:00,40222.5,40972.35,-749.8515625
2016-01-01 03:00:00,39243.0,39869.703,-626.703125
2016-01-01 04:00:00,38749.5,39187.883,-438.3828125
2016-01-01 05:00:00,38060.0,40406.254,-2346.25390625
2016-01-01 06:00:00,36689.0,40042.34,-3353.33984375
2016-01-01 07:00:00,36925.0,40463.816,-3538.81640625
2016-01-01 08:00:00,37604.0,40323.266,-2719.265625
2016-01-01 09:00:00,39606.75,41643.66,-2036.91015625
2016-01-01 10:00:00,42318.25,42624.97,-306.71875
2016-01-01 11:00:00,45348.25,44948.215,400.03515625
2016-01-01 12:00:00,46199.5,47338.152,-1138.65234375
2016-01-01 13:00:00,45488.5,46029.91,-541.41015625
2016-01-01 14:00:00,45338.5,45160.066,178.43359375
2016-01-01 15:00:00,46020.25,46128.945,-108.6953125
2016-01-01 16:00:00,48631.0,49551.25,-920.25
2016-01-01 17:00:00,52169.0,51966.164,202.8359375
2016-01-01 18:00:00,52797.25,53375.613,-578.36328125
2016-01-01 19:00:00,51298.75,51291.64,7.109375
2016-01-01 20:00:00,49284.75,48894.48,390.26953125
2016-01-01 21:00:00,47752.5,48054.36,-301.859375
2016-01-01 22:00:00,47393.25,46177.188,1216.0625
2016-01-01 23:00:00,44163.0,45077.17,-914.171875
2016-01-02 00:00:00,40932.5,41431.805,-499.3046875
2016-01-02 01:00:00,38946.5,39463.227,-516.7265625
2016-01-02 02:00:00,38158.5,37747.047,411.453125
2016-01-02 03:00:00,37844.5,38281.17,-436.671875
2016-01-02 04:00:00,38761.5,37868.312,893.1875
2016-01-02 05:00:00,39661.75,39657.832,3.91796875
2016-01-02 06:00:00,40625.5,40880.836,-255.3359375
2016-01-02 07:00:00,43705.75,42688.324,1017.42578125
2016-01-02 08:00:00,47548.5,44781.844,2766.65625
2016-01-02 09:00:00,51254.5,48155.63,3098.87109375
2016-01-02 10:00:00,53798.5,51201.652,2596.84765625
2016-01-02 11:00:00,55752.25,53167.574,2584.67578125
2016-01-02 12:00:00,56315.75,54313.344,2002.40625
2016-01-02 13:00:00,55552.75,52640.902,2911.84765625
2016-01-02 14:00:00,54969.75,52547.707,2422.04296875
2016-01-02 15:00:00,55152.0,52845.65,2306.3515625
2016-01-02 16:00:00,57045.75,56097.332,948.41796875
2016-01-02 17:00:00,60059.75,58153.816,1905.93359375
2016-01-02 18:00:00,60431.25,58716.36,1714.890625
2016-01-02 19:00:00,58884.0,56348.195,2535.8046875
2016-01-02 20:00:00,55174.25,54477.797,696.453125
2016-01-02 21:00:00,52626.0,52029.426,596.57421875
2016-01-02 22:00:00,52114.5,49724.52,2389.98046875
2016-01-02 23:00:00,49025.5,47632.848,1392.65234375
2016-01-03 00:00:00,45832.5,45725.547,106.953125
2016-01-03 01:00:00,43141.75,43436.734,-294.984375
2016-01-03 02:00:00,41809.5,42255.176,-445.67578125
2016-01-03 03:00:00,41299.25,42418.176,-1118.92578125
2016-01-03 04:00:00,41359.25,41882.176,-522.92578125
2016-01-03 05:00:00,41036.25,42625.63,-1589.37890625
2016-01-03 06:00:00,40391.0,43516.613,-3125.61328125
2016-01-03 07:00:00,42025.75,44090.82,-2065.0703125
2016-01-03 08:00:00,44714.25,45849.67,-1135.421875
2016-01-03 09:00:00,48107.5,48855.906,-748.40625
2016-01-03 10:00:00,51113.0,51993.266,-880.265625
2016-01-03 11:00:00,54048.25,54305.203,-256.953125
2016-01-03 12:00:00,54315.25,56385.754,-2070.50390625
2016-01-03 13:00:00,52856.0,54888.566,-2032.56640625
2016-01-03 14:00:00,51276.75,53879.008,-2602.2578125
2016-01-03 15:00:00,50848.75,52882.695,-2033.9453125
2016-01-03 16:00:00,53166.0,55072.58,-1906.578125
2016-01-03 17:00:00,57296.0,58417.75,-1121.75
2016-01-03 18:00:00,57888.5,59761.04,-1872.5390625
