"ds","y","yhat","residuals"
2023-01-01 00:00:00,38536.5,37488.9652682907,1047.5347317093
2023-01-01 01:00:00,37935.5,35088.1504752268,2847.34952477321
2023-01-01 02:00:00,37103.25,34079.2306631834,3024.01933681659
2023-01-01 03:00:00,36139.5,33320.5903788155,2818.90962118454
2023-01-01 04:00:00,35711.5,33326.2702002344,2385.22979976562
2023-01-01 05:00:00,35854.25,32792.9342935385,3061.3157064615
2023-01-01 06:00:00,35397.75,30212.1567137668,5185.59328623316
2023-01-01 07:00:00,36336.5,29755.9094079757,6580.59059202425
2023-01-01 08:00:00,36985.75,32397.8266310951,4587.92336890488
2023-01-01 09:00:00,39389.75,35618.7014292108,3771.04857078924
2023-01-01 10:00:00,41170.75,37858.029713926,3312.72028607402
2023-01-01 11:00:00,43849,40459.6018509031,3389.39814909686
2023-01-01 12:00:00,44331.75,40656.3297483099,3675.42025169011
2023-01-01 13:00:00,43747.25,39555.4325595877,4191.81744041231
2023-01-01 14:00:00,43397,38707.4922717809,4689.50772821912
2023-01-01 15:00:00,43768.25,38907.6752882885,4860.57471171145
2023-01-01 16:00:00,45675.5,40384.6444392447,5290.85556075531
2023-01-01 17:00:00,48700.5,43319.2109464447,5381.28905355532
2023-01-01 18:00:00,48687.25,44615.01773483,4072.23226516999
2023-01-01 19:00:00,47391.25,43527.4546304931,3863.7953695069
2023-01-01 20:00:00,44877.5,42555.771647011,2321.72835298895
2023-01-01 21:00:00,43235.75,41219.204377785,2016.54562221496
2023-01-01 22:00:00,42345,41164.7681225225,1180.23187747755
2023-01-01 23:00:00,39161,39772.9158528357,-611.915852835744
2023-01-02 00:00:00,36946.75,39791.5953781623,-2844.84537816235
2023-01-02 01:00:00,35604.5,38979.5970105872,-3375.09701058725
2023-01-02 02:00:00,35473.25,38661.0276671402,-3187.7776671402
2023-01-02 03:00:00,36247.75,38659.225042319,-2411.47504231896
2023-01-02 04:00:00,37984.5,39899.3683309886,-1914.86833098863
2023-01-02 05:00:00,41087.75,43854.7470675949,-2766.99706759493
2023-01-02 06:00:00,47239,49342.0881301293,-2103.08813012929
2023-01-02 07:00:00,52321.75,53497.1029421339,-1175.35294213388
2023-01-02 08:00:00,56232,55293.0973139352,938.90268606475
2023-01-02 09:00:00,57441,56174.6143791978,1266.3856208022
2023-01-02 10:00:00,59007.5,56658.2474297794,2349.25257022062
2023-01-02 11:00:00,60423,58377.8728449629,2045.12715503707
2023-01-02 12:00:00,61395.25,58944.6487599874,2450.60124001265
2023-01-02 13:00:00,60430.5,59317.7667513301,1112.73324866989
2023-01-02 14:00:00,59184,59069.5201345304,114.479865469555
2023-01-02 15:00:00,59007.5,59230.9157078522,-223.415707852182
2023-01-02 16:00:00,59709.5,60394.274542257,-684.774542257022
2023-01-02 17:00:00,60864.25,62774.6796340366,-1910.42963403663
2023-01-02 18:00:00,60402,61841.0072714903,-1439.0072714903
2023-01-02 19:00:00,59401,59632.8585714908,-231.858571490804
2023-01-02 20:00:00,55981.75,55727.04345638,254.706543619963
2023-01-02 21:00:00,53134.5,52530.4057977873,604.09420221272
2023-01-02 22:00:00,50180.5,49981.0557795065,199.444220493548
2023-01-02 23:00:00,47104,45417.3913557027,1686.60864429728
2023-01-03 00:00:00,44239.25,40560.8669468301,3678.38305316995
2023-01-03 01:00:00,42404.25,38585.3064994744,3818.94350052563
2023-01-03 02:00:00,41866.25,38180.6100741659,3685.63992583409
2023-01-03 03:00:00,41850.25,39004.2295937429,2846.02040625706
2023-01-03 04:00:00,43469.75,40656.4730013513,2813.27699864868
2023-01-03 05:00:00,45865.5,43549.4498904118,2316.05010958817
2023-01-03 06:00:00,50697.25,49874.5691386699,822.68086133006
2023-01-03 07:00:00,55683.25,54891.0893873253,792.160612674706
2023-01-03 08:00:00,58166.5,57921.7738651876,244.726134812416
2023-01-03 09:00:00,59148.5,57330.0496970071,1818.4503029929
2023-01-03 10:00:00,59864.5,58635.8425587875,1228.65744121251
2023-01-03 11:00:00,60751.75,60088.4081926521,663.341807347948
2023-01-03 12:00:00,60446.5,60823.0935313481,-376.593531348117
2023-01-03 13:00:00,58894.25,60669.5017766392,-1775.25177663924
2023-01-03 14:00:00,58129.25,59378.4103775661,-1249.16037756614
2023-01-03 15:00:00,57770.75,59317.1308559522,-1546.38085595221
2023-01-03 16:00:00,59056,60904.2796811122,-1848.27968111222
2023-01-03 17:00:00,61637,62462.4328437281,-825.4328437281
2023-01-03 18:00:00,61314.25,61642.1834481663,-327.933448166259
2023-01-03 19:00:00,59620,59477.2443938454,142.755606154635
2023-01-03 20:00:00,56569,55899.1217960722,669.878203927794
2023-01-03 21:00:00,53652,53301.6205260265,350.379473973459
2023-01-03 22:00:00,51449.75,50317.2044092282,1132.54559077176
2023-01-03 23:00:00,48324.5,46755.1098527874,1569.39014721256
2023-01-04 00:00:00,46228.25,45096.4733904233,1131.77660957667
2023-01-04 01:00:00,44824.75,43353.75471229,1470.99528771004
2023-01-04 02:00:00,44363,42459.0346912958,1903.96530870416
2023-01-04 03:00:00,45268.75,42059.4622100848,3209.28778991524
2023-01-04 04:00:00,47044,43469.9977695721,3574.0022304279
2023-01-04 05:00:00,49862.5,46085.8958470601,3776.60415293994
2023-01-04 06:00:00,55842.5,52415.1989671515,3427.30103284847
2023-01-04 07:00:00,60130.75,57298.7820133788,2831.9679866212
2023-01-04 08:00:00,63172.25,59015.7471295003,4156.50287049967
2023-01-04 09:00:00,64264,59603.2359022369,4660.76409776309
2023-01-04 10:00:00,65639.25,59084.2108442592,6555.03915574082
2023-01-04 11:00:00,66926.25,60066.2305933054,6860.01940669456
2023-01-04 12:00:00,67167,60260.5457357054,6906.45426429457
2023-01-04 13:00:00,66016.75,59350.7106435233,6666.03935647669
2023-01-04 14:00:00,65124.5,58497.7074163932,6626.79258360682
2023-01-04 15:00:00,64507,58279.0905840386,6227.90941596143
2023-01-04 16:00:00,64662.5,59578.2306598113,5084.26934018874
2023-01-04 17:00:00,66606.75,61866.1254775972,4740.62452240279
2023-01-04 18:00:00,66202.25,61288.1566935463,4914.09330645374
2023-01-04 19:00:00,64179.5,59553.5791144054,4625.92088559463
2023-01-04 20:00:00,60557.75,56339.8905259712,4217.85947402876
2023-01-04 21:00:00,57448.25,53403.8765228928,4044.37347710723
2023-01-04 22:00:00,54776.75,51304.203097861,3472.54690213897
2023-01-04 23:00:00,51616.75,47875.009153009,3741.74084699096
2023-01-05 00:00:00,46903.5,45202.4834038974,1701.01659610261
2023-01-05 01:00:00,44801.25,43727.7532094055,1073.4967905945
2023-01-05 02:00:00,44862.5,43265.3149648725,1597.18503512748
2023-01-05 03:00:00,45252.5,44169.7296952629,1082.77030473715
2023-01-05 04:00:00,46332.75,45709.3119340664,623.438065933566
2023-01-05 05:00:00,48428.75,48003.5022071184,425.247792881644
2023-01-05 06:00:00,53187.25,53009.7826175744,177.467382425602
2023-01-05 07:00:00,59144,57209.5537681489,1934.44623185108
2023-01-05 08:00:00,61212.5,60265.0777952846,947.422204715382
2023-01-05 09:00:00,61852,60405.3324891383,1446.66751086166
2023-01-05 10:00:00,62308.75,61722.3755886759,586.374411324075
2023-01-05 11:00:00,63751.25,62932.6027729655,818.647227034526
2023-01-05 12:00:00,64051,63257.7294937902,793.270506209847
2023-01-05 13:00:00,62206,62188.5575977974,17.4424022025923
2023-01-05 14:00:00,60743,61581.3893560959,-838.38935609586
2023-01-05 15:00:00,59735.25,61383.9411011328,-1648.69110113278
2023-01-05 16:00:00,59898.5,62088.3573424311,-2189.85734243108
2023-01-05 17:00:00,61940,64307.2509596826,-2367.25095968261
2023-01-05 18:00:00,61616.25,63848.0021526602,-2231.7521526602
2023-01-05 19:00:00,59456.75,62162.9295240249,-2706.17952402488
2023-01-05 20:00:00,56190.75,58790.735934154,-2599.985934154
2023-01-05 21:00:00,52655.5,56211.0483144515,-3555.54831445151
2023-01-05 22:00:00,49842,53659.2261888567,-3817.22618885674
2023-01-05 23:00:00,46586.25,50967.9770262647,-4381.72702626466
2023-01-06 00:00:00,43969,47106.9172724081,-3137.91727240811
2023-01-06 01:00:00,42102.5,44874.2187979083,-2771.71879790834
2023-01-06 02:00:00,41591.75,44392.1324432493,-2800.38244324931
2023-01-06 03:00:00,42400,43909.5104231595,-1509.51042315947
2023-01-06 04:00:00,43894,44190.5572439652,-296.557243965239
2023-01-06 05:00:00,45962.5,44868.97643497,1093.52356503
2023-01-06 06:00:00,50012.25,46267.335336423,3744.91466357698
2023-01-06 07:00:00,53818.25,49862.7493597292,3955.50064027075
2023-01-06 08:00:00,56503.75,52200.5663501326,4303.18364986737
2023-01-06 09:00:00,58195.25,53343.117625018,4852.13237498199
2023-01-06 10:00:00,59976.75,54806.246737317,5170.50326268298
2023-01-06 11:00:00,61307.25,56620.8479758381,4686.40202416186
2023-01-06 12:00:00,61219.75,56500.0438631333,4719.70613686671
2023-01-06 13:00:00,59560.75,54328.1803594321,5232.56964056791
2023-01-06 14:00:00,58385,52403.6083797448,5981.39162025517
2023-01-06 15:00:00,57316.5,52628.6629084953,4687.83709150465
2023-01-06 16:00:00,57837.75,53352.0747591789,4485.67524082111
2023-01-06 17:00:00,59599.75,55408.3163233765,4191.43367662351
2023-01-06 18:00:00,60376,55360.1852082115,5015.81479178851
2023-01-06 19:00:00,58035.5,53205.1614000519,4830.33859994805
2023-01-06 20:00:00,54723.5,50391.6328303179,4331.86716968214
2023-01-06 21:00:00,52412.5,47561.0388815928,4851.46111840716
2023-01-06 22:00:00,50132.75,45643.7996913111,4488.95030868885
2023-01-06 23:00:00,46630.25,42934.9507607317,3695.29923926832
2023-01-07 00:00:00,43207,41945.9109487686,1261.08905123143
2023-01-07 01:00:00,41191.25,40199.7977409505,991.452259049482
2023-01-07 02:00:00,40168.25,39574.4437038832,593.80629611684
2023-01-07 03:00:00,39784.25,40359.9033454733,-575.653345473256
2023-01-07 04:00:00,40126.75,41250.7390461515,-1123.98904615146
2023-01-07 05:00:00,40907.75,42306.5117482721,-1398.76174827213
2023-01-07 06:00:00,41726.5,44223.7581070612,-2497.25810706116
2023-01-07 07:00:00,44505.25,46747.124573632,-2241.87457363196
2023-01-07 08:00:00,47376,50151.8797437146,-2775.87974371458
2023-01-07 09:00:00,50237,51991.2793911922,-1754.27939119221
2023-01-07 10:00:00,51920,54062.4377615757,-2142.43776157567
2023-01-07 11:00:00,53736.5,55403.3502057009,-1666.8502057009
2023-01-07 12:00:00,53799.75,55257.2641887505,-1457.51418875047
2023-01-07 13:00:00,52419.75,53529.4053227888,-1109.65532278879
2023-01-07 14:00:00,50318,52344.7322000462,-2026.73220004616
2023-01-07 15:00:00,50650.75,51619.4298833304,-968.679883330355
2023-01-07 16:00:00,52061.5,52472.4010088205,-410.901008820547
2023-01-07 17:00:00,55265.5,54773.8531094155,491.646890584532
2023-01-07 18:00:00,55983.25,55075.9257623512,907.324237648849
2023-01-07 19:00:00,54514,53058.4494993758,1455.55050062419
2023-01-07 20:00:00,51775.75,50405.9413570069,1369.80864299313
2023-01-07 21:00:00,49580,48828.7139331068,751.286066893204
2023-01-07 22:00:00,47970.75,47669.9630032359,300.786996764109
2023-01-07 23:00:00,44873.75,44785.7271480944,88.0228519055818
2023-01-08 00:00:00,42648.25,40255.1673892206,2393.08261077943
2023-01-08 01:00:00,40916.75,38297.8145070482,2618.93549295177
2023-01-08 02:00:00,40024.5,37459.1948951586,2565.30510484135
2023-01-08 03:00:00,40110.5,36745.8840668518,3364.61593314817
2023-01-08 04:00:00,40193,37147.3167758918,3045.68322410823
2023-01-08 05:00:00,40074,37502.7256990818,2571.27430091821
2023-01-08 06:00:00,39986.75,38078.9440465895,1907.80595341055
2023-01-08 07:00:00,41111,40498.7348491974,612.265150802647
2023-01-08 08:00:00,43759.25,43443.6733249847,315.576675015254
2023-01-08 09:00:00,47167.5,46434.8163772207,732.683622779252
2023-01-08 10:00:00,49497.25,48545.6016806809,951.648319319087
2023-01-08 11:00:00,52041.75,50936.4360155981,1105.31398440187
2023-01-08 12:00:00,51777.75,51215.5463107923,562.203689207709
2023-01-08 13:00:00,50244.25,49578.1179557429,666.13204425708
2023-01-08 14:00:00,48633.75,48112.4715465381,521.278453461942
2023-01-08 15:00:00,48440,48058.9657580876,381.034241912435
2023-01-08 16:00:00,50310.5,49392.5894924749,917.91050752507
2023-01-08 17:00:00,54139.75,52429.2604156669,1710.48958433306
2023-01-08 18:00:00,55442.5,53455.0003648875,1987.49963511254
2023-01-08 19:00:00,53869.5,52313.6834023795,1555.8165976205
2023-01-08 20:00:00,51468.75,50574.1474417981,894.602558201885
2023-01-08 21:00:00,49200.5,49124.9383633925,75.5616366074755
2023-01-08 22:00:00,47959.25,47772.6018842031,186.648115796852
2023-01-08 23:00:00,45168.75,45078.8036195508,89.9463804492334
2023-01-09 00:00:00,43544.25,43045.2303327149,499.01966728508
2023-01-09 01:00:00,42549,41669.0504548925,879.949545107454
2023-01-09 02:00:00,42217.5,41396.9492112804,820.550788719585
2023-01-09 03:00:00,42487.75,42388.1298345488,99.6201654511897
2023-01-09 04:00:00,44001.25,43974.7461557122,26.5038442878431
2023-01-09 05:00:00,47255,47043.0045369125,211.995463087515
2023-01-09 06:00:00,55887,53323.4989491063,2563.50105089365
2023-01-09 07:00:00,61701.25,57238.4752326951,4462.77476730495
2023-01-09 08:00:00,65285,59900.321657899,5384.67834210095
2023-01-09 09:00:00,65852,61405.7219773755,4446.2780226245
2023-01-09 10:00:00,66002.25,62691.1752910981,3311.07470890194
2023-01-09 11:00:00,66635,64459.3074082027,2175.69259179733
2023-01-09 12:00:00,66283.5,64652.1109982404,1631.38900175958
2023-01-09 13:00:00,65906,63795.8838175844,2110.11618241561
2023-01-09 14:00:00,64183,62262.280077541,1920.71992245904
2023-01-09 15:00:00,62857,61890.5016369339,966.498363066072
2023-01-09 16:00:00,63028.25,62760.2002157223,268.049784277748
2023-01-09 17:00:00,65680,65637.3853739582,42.6146260418027
2023-01-09 18:00:00,65595,65889.7554950952,-294.755495095189
2023-01-09 19:00:00,64005.25,64035.5358652013,-30.2858652013019
2023-01-09 20:00:00,60445.75,60497.2342900775,-51.4842900775329
2023-01-09 21:00:00,57324.25,56642.4520330156,681.79796698445
2023-01-09 22:00:00,54305.5,53364.4589795949,941.0410204051
2023-01-09 23:00:00,50896.25,49657.1261908259,1239.12380917405
2023-01-10 00:00:00,48082,46530.846751916,1551.153248084
2023-01-10 01:00:00,46007.25,45160.5406659951,846.709334004881
2023-01-10 02:00:00,45531,44582.4580014636,948.541998536435
2023-01-10 03:00:00,46084.75,44661.2040796578,1423.5459203422
2023-01-10 04:00:00,47527,45972.6232770735,1554.37672292646
2023-01-10 05:00:00,51055.25,48547.6732474598,2507.57675254017
2023-01-10 06:00:00,57569.25,55590.0696976747,1979.18030232531
2023-01-10 07:00:00,63382.75,60468.206131188,2914.54386881198
2023-01-10 08:00:00,66030.25,63562.9353335672,2467.31466643285
2023-01-10 09:00:00,66627.25,64493.7187753278,2133.5312246722
2023-01-10 10:00:00,67181.5,65287.7658419761,1893.73415802393
2023-01-10 11:00:00,67414.25,66521.4925742547,892.757425745338
2023-01-10 12:00:00,66807,66292.7930018044,514.206998195572
2023-01-10 13:00:00,66143.25,65674.4181140381,468.831885961903
2023-01-10 14:00:00,64636,64046.045831217,589.954168783021
2023-01-10 15:00:00,63964.5,63217.1166072286,747.383392771364
2023-01-10 16:00:00,64984.75,63749.3357772062,1235.41422279383
2023-01-10 17:00:00,67857,66352.6614212994,1504.3385787006
2023-01-10 18:00:00,67892.5,66340.1625896608,1552.33741033915
2023-01-10 19:00:00,66689.5,64519.0884654813,2170.41153451873
2023-01-10 20:00:00,63539.75,60869.0915387814,2670.65846121861
2023-01-10 21:00:00,60227.25,57354.5384277455,2872.7115722545
2023-01-10 22:00:00,57062.5,54252.1235386641,2810.37646133587
2023-01-10 23:00:00,54097.75,50601.6730175569,3496.07698244309
2023-01-11 00:00:00,50887,47955.3300711461,2931.66992885393
2023-01-11 01:00:00,48892.25,46203.7588249837,2688.49117501628
2023-01-11 02:00:00,48050.25,45289.6445474376,2760.60545256238
2023-01-11 03:00:00,48271.5,45995.2710820288,2276.2289179712
2023-01-11 04:00:00,49181.5,47389.0161323919,1792.48386760806
2023-01-11 05:00:00,52496,51048.6030013484,1447.39699865165
2023-01-11 06:00:00,59673.5,56746.5257354998,2926.97426450016
2023-01-11 07:00:00,65751.25,61544.0652006003,4207.18479939974
2023-01-11 08:00:00,68173.5,64241.6210356819,3931.87896431808
2023-01-11 09:00:00,67791.75,65341.203242092,2450.54675790804
2023-01-11 10:00:00,67936.75,66110.0828892428,1826.66711075723
2023-01-11 11:00:00,68611.25,66811.9083093266,1799.34169067339
2023-01-11 12:00:00,67704.75,66429.5048534264,1275.24514657359
2023-01-11 13:00:00,66663.75,65798.3927503687,865.357249631343
2023-01-11 14:00:00,65963,64194.8734510902,1768.12654890977
2023-01-11 15:00:00,65160.5,63453.4667668238,1707.03323317623
2023-01-11 16:00:00,65625.25,64268.9371609752,1356.31283902478
2023-01-11 17:00:00,68236,67096.3060953455,1139.69390465453
2023-01-11 18:00:00,68100.25,67157.0865825169,943.163417483069
2023-01-11 19:00:00,66437.75,65760.4356176452,677.314382354802
2023-01-11 20:00:00,62884.25,62515.526923038,368.723076961985
2023-01-11 21:00:00,59584.25,59380.7316189969,203.518381003123
2023-01-11 22:00:00,56558,56477.7856962889,80.2143037110945
2023-01-11 23:00:00,53967.5,53311.3152658874,656.184734112627
2023-01-12 00:00:00,51264.75,50657.7761419388,606.973858061196
2023-01-12 01:00:00,49655.75,48980.591393588,675.158606411991
2023-01-12 02:00:00,48891,47754.0256302811,1136.97436971895
2023-01-12 03:00:00,48906.75,47905.7651824254,1000.98481757462
2023-01-12 04:00:00,49865.25,48681.891924207,1183.35807579302
2023-01-12 05:00:00,53212.25,51529.4332704696,1682.81672953037
2023-01-12 06:00:00,61245.25,58778.3760265831,2466.87397341688
2023-01-12 07:00:00,66643,63748.3774629775,2894.62253702252
2023-01-12 08:00:00,69467.75,66435.5274804664,3032.22251953356
2023-01-12 09:00:00,70054,66246.017397241,3807.982602759
2023-01-12 10:00:00,70607.75,66766.2809531557,3841.46904684426
2023-01-12 11:00:00,71570.25,67426.2809735182,4143.96902648176
2023-01-12 12:00:00,70649.25,66887.7179651011,3761.53203489895
2023-01-12 13:00:00,69748.5,65923.1862615999,3825.31373840013
2023-01-12 14:00:00,68187.25,64714.2707461671,3472.97925383288
2023-01-12 15:00:00,67326,64056.4611330079,3269.53886699208
2023-01-12 16:00:00,67010.25,64857.1516404553,2153.09835954467
2023-01-12 17:00:00,68876.25,67701.9543029816,1174.29569701845
2023-01-12 18:00:00,68711,67660.23576961,1050.76423038998
2023-01-12 19:00:00,67219.25,66049.1317778521,1170.11822214791
2023-01-12 20:00:00,63489.5,62662.614642622,826.885357377978
2023-01-12 21:00:00,59954.25,59019.2488539018,935.00114609825
2023-01-12 22:00:00,57039.5,55905.5558729692,1133.94412703079
2023-01-12 23:00:00,53732.75,53142.335004674,590.414995326013
2023-01-13 00:00:00,50363.75,50323.9709104566,39.7790895434227
2023-01-13 01:00:00,48927.75,48722.7122612948,205.037738705214
2023-01-13 02:00:00,48298.75,47898.1941676892,400.555832310834
2023-01-13 03:00:00,48338.5,47934.7748697876,403.725130212428
2023-01-13 04:00:00,49506.25,49165.402348613,340.847651387026
2023-01-13 05:00:00,52638.25,52401.20186151,237.04813848999
2023-01-13 06:00:00,59019.25,58475.1522743556,544.097725644438
2023-01-13 07:00:00,64815.25,63683.3289663624,1131.92103363761
2023-01-13 08:00:00,67504.5,66472.9378189428,1031.56218105723
2023-01-13 09:00:00,67978.5,67409.0800163294,569.419983670552
2023-01-13 10:00:00,68394.75,68014.3741998959,380.375800104113
2023-01-13 11:00:00,68760,68741.1989498166,18.8010501833633
2023-01-13 12:00:00,68707.5,67728.7344977367,978.765502263268
2023-01-13 13:00:00,67605.75,66289.251712702,1316.49828729805
2023-01-13 14:00:00,65705,64558.8285822499,1146.17141775011
2023-01-13 15:00:00,65147.25,63689.9705100001,1457.27948999992
2023-01-13 16:00:00,65958,64154.7993272685,1803.20067273147
2023-01-13 17:00:00,68310.25,66439.4266533616,1870.82334663835
