"ds","y","yhat","residuals"
2023-01-02 00:00:00,36946.75,37889.4183243329,-942.668324332946
2023-01-02 01:00:00,35604.5,38246.7275348842,-2642.22753488416
2023-01-02 02:00:00,35473.25,39359.6421822473,-3886.39218224731
2023-01-02 03:00:00,36247.75,40654.6149269848,-4406.86492698484
2023-01-02 04:00:00,37984.5,42474.5837290605,-4490.08372906046
2023-01-02 05:00:00,41087.75,43996.7983737917,-2909.04837379172
2023-01-02 06:00:00,47239,46220.9060299244,1018.09397007556
2023-01-02 07:00:00,52321.75,47506.4556149505,4815.2943850495
2023-01-02 08:00:00,56232,49039.7111810361,7192.28881896391
2023-01-02 09:00:00,57441,50637.8796394142,6803.12036058582
2023-01-02 10:00:00,59007.5,52521.2363059823,6486.2636940177
2023-01-02 11:00:00,60423,54559.287168923,5863.71283107698
2023-01-02 12:00:00,61395.25,55587.3172246386,5807.93277536144
2023-01-02 13:00:00,60430.5,56225.5777447489,4204.92225525113
2023-01-02 14:00:00,59184,56551.8745317464,2632.12546825362
2023-01-02 15:00:00,59007.5,57221.2349198428,1786.26508015716
2023-01-02 16:00:00,59709.5,58944.24098344,765.259016560034
2023-01-02 17:00:00,60864.25,60444.5655779243,419.684422075654
2023-01-02 18:00:00,60402,60339.0734139365,62.9265860635205
2023-01-02 19:00:00,59401,58960.7778750461,440.222124953856
2023-01-02 20:00:00,55981.75,56978.4632238023,-996.713223802333
2023-01-02 21:00:00,53134.5,55719.2472629281,-2584.74726292811
2023-01-02 22:00:00,50180.5,53924.3870939279,-3743.88709392787
2023-01-02 23:00:00,47104,51892.8515251164,-4788.85152511641
2023-01-03 00:00:00,44239.25,43937.0365116029,302.213488397079
2023-01-03 01:00:00,42404.25,41807.9602750042,596.289724995848
2023-01-03 02:00:00,41866.25,40909.0009491007,957.249050899329
2023-01-03 03:00:00,41850.25,41231.6811510474,618.568848952615
2023-01-03 04:00:00,43469.75,42579.9425450903,889.807454909729
2023-01-03 05:00:00,45865.5,45736.7742285847,128.725771415346
2023-01-03 06:00:00,50697.25,50420.0409189268,277.209081073212
2023-01-03 07:00:00,55683.25,54867.4794639217,815.770536078286
2023-01-03 08:00:00,58166.5,57964.7231553567,201.776844643318
2023-01-03 09:00:00,59148.5,59574.6147323158,-426.114732315822
2023-01-03 10:00:00,59864.5,60977.9559941531,-1113.45599415311
2023-01-03 11:00:00,60751.75,62381.5544665523,-1629.8044665523
2023-01-03 12:00:00,60446.5,63050.2151182242,-2603.71511822416
2023-01-03 13:00:00,58894.25,62672.6473281128,-3778.39732811283
2023-01-03 14:00:00,58129.25,62091.471323753,-3962.22132375303
2023-01-03 15:00:00,57770.75,61774.4067362273,-4003.65673622731
2023-01-03 16:00:00,59056,62258.9957479145,-3202.99574791445
2023-01-03 17:00:00,61637,62591.3047874476,-954.304787447552
2023-01-03 18:00:00,61314.25,62553.6702352476,-1239.42023524761
2023-01-03 19:00:00,59620,61093.6043136081,-1473.60431360806
2023-01-03 20:00:00,56569,58592.7660254372,-2023.76602543718
2023-01-03 21:00:00,53652,55606.1199397864,-1954.11993978642
2023-01-03 22:00:00,51449.75,52394.1992714014,-944.449271401383
2023-01-03 23:00:00,48324.5,49045.1337363273,-720.63373632732
2023-01-04 00:00:00,46228.25,45169.2455184747,1059.00448152532
2023-01-04 01:00:00,44824.75,43384.5289280333,1440.22107196667
2023-01-04 02:00:00,44363,42710.9648511371,1652.03514886286
2023-01-04 03:00:00,45268.75,43399.9567602009,1868.79323979915
2023-01-04 04:00:00,47044,45003.5971533664,2040.40284663359
2023-01-04 05:00:00,49862.5,47867.483152419,1995.01684758097
2023-01-04 06:00:00,55842.5,52388.6511726015,3453.84882739851
2023-01-04 07:00:00,60130.75,56123.165484779,4007.58451522102
2023-01-04 08:00:00,63172.25,58428.4702413047,4743.77975869529
2023-01-04 09:00:00,64264,59582.1705033255,4681.82949667447
2023-01-04 10:00:00,65639.25,60381.6264453087,5257.62355469126
2023-01-04 11:00:00,66926.25,61152.6393435783,5773.61065642165
2023-01-04 12:00:00,67167,61146.901694324,6020.098305676
2023-01-04 13:00:00,66016.75,60573.2958155598,5443.45418444016
2023-01-04 14:00:00,65124.5,59927.3356641561,5197.1643358439
2023-01-04 15:00:00,64507,59704.7896135848,4802.21038641517
2023-01-04 16:00:00,64662.5,60853.7956627872,3808.70433721276
2023-01-04 17:00:00,66606.75,62025.2290897293,4581.52091027074
2023-01-04 18:00:00,66202.25,62065.7438131894,4136.50618681065
2023-01-04 19:00:00,64179.5,60676.104052617,3503.39594738304
2023-01-04 20:00:00,60557.75,58120.9398627436,2436.81013725641
2023-01-04 21:00:00,57448.25,55457.5566485888,1990.6933514112
2023-01-04 22:00:00,54776.75,52631.3003878971,2145.44961210292
2023-01-04 23:00:00,51616.75,49395.5650099473,2221.18499005268
2023-01-05 00:00:00,46903.5,48542.9149679492,-1639.41496794925
2023-01-05 01:00:00,44801.25,46593.2156886878,-1791.96568868776
2023-01-05 02:00:00,44862.5,46024.1847653329,-1161.68476533291
2023-01-05 03:00:00,45252.5,46627.6172842652,-1375.11728426524
2023-01-05 04:00:00,46332.75,48165.2244289863,-1832.47442898631
2023-01-05 05:00:00,48428.75,51476.6978460968,-3047.94784609685
2023-01-05 06:00:00,53187.25,56084.8366991215,-2897.58669912149
2023-01-05 07:00:00,59144,60026.2006869382,-882.200686938195
2023-01-05 08:00:00,61212.5,62527.5965667403,-1315.09656674031
2023-01-05 09:00:00,61852,63994.0151667786,-2142.01516677856
2023-01-05 10:00:00,62308.75,65231.6002727607,-2922.8502727607
2023-01-05 11:00:00,63751.25,66335.6274074363,-2584.3774074363
2023-01-05 12:00:00,64051,66671.2410899409,-2620.24108994087
2023-01-05 13:00:00,62206,66349.9883437871,-4143.98834378706
