ds,y,yhat,residuals
2022-03-28,67478.5,68348.3359375,-869.8359375
2022-03-29,69176.0,69445.5546875,-269.5546875
2022-03-30,69097.5,69639.0703125,-541.5703125
2022-03-31,71280.5,69233.7578125,2046.7421875
2022-04-01,75903.75,68507.6796875,7396.0703125
2022-04-02,63619.75,59145.17578125,4474.57421875
2022-04-03,56007.0,55536.515625,470.484375
2022-04-04,73286.0,67635.46875,5650.53125
2022-04-05,72734.25,68732.6875,4001.5625
2022-04-06,73594.25,68926.203125,4668.046875
2022-04-07,73075.25,68520.890625,4554.359375
2022-04-08,70754.5,67794.8125,2959.6875
2022-04-09,62137.5,58432.3046875,3705.1953125
2022-04-10,56790.5,54823.6484375,1966.8515625
2022-04-11,67361.0,66922.6015625,438.3984375
2022-04-12,67491.0,68019.8203125,-528.8203125
2022-04-13,65298.5,68213.3359375,-2914.8359375
2022-04-14,65300.75,67808.0234375,-2507.2734375
2022-04-15,53611.5,67081.9453125,-13470.4453125
2022-04-16,53772.25,57719.44140625,-3947.19140625
2022-04-17,48810.25,54110.77734375,-5300.52734375
2022-04-18,48904.25,66209.734375,-17305.484375
2022-04-19,65023.25,67306.953125,-2283.703125
2022-04-20,65566.75,67500.46875,-1933.71875
2022-04-21,66899.0,67095.15625,-196.15625
2022-04-22,66477.0,66369.078125,107.921875
2022-04-23,57060.75,57006.57421875,54.17578125
2022-04-24,54923.75,53397.91015625,1525.83984375
2022-04-25,67021.5,65496.8671875,1524.6328125
2022-04-26,67830.25,66594.0859375,1236.1640625
2022-04-27,66051.5,66787.59375,-736.09375
2022-04-28,65171.5,66382.28125,-1210.78125
2022-04-29,65140.25,65656.2109375,-515.9609375
2022-04-30,55798.25,56293.703125,-495.453125
2022-05-01,49539.0,52685.04296875,-3146.04296875
2022-05-02,64919.75,64783.99609375,135.75390625
2022-05-03,65823.75,65881.21875,-57.46875
2022-05-04,65586.0,66074.7265625,-488.7265625
2022-05-05,66398.25,65669.4140625,728.8359375
2022-05-06,65822.25,64943.33984375,878.91015625
2022-05-07,54876.25,55580.8359375,-704.5859375
2022-05-08,50768.0,51972.171875,-1204.171875
2022-05-09,65249.5,64071.1328125,1178.3671875
2022-05-10,69253.25,65168.3515625,4084.8984375
2022-05-11,68660.0,65361.859375,3298.140625
2022-05-12,66303.75,64956.546875,1347.203125
2022-05-13,67670.5,64230.47265625,3440.02734375
2022-05-14,56064.0,54889.83984375,1174.16015625
2022-05-15,50234.5,51373.71875,-1139.21875
2022-05-16,66840.0,63565.21484375,3274.78515625
2022-05-17,67437.25,64754.97265625,2682.27734375
2022-05-18,68146.25,65041.01953125,3105.23046875
2022-05-19,66597.5,64728.24609375,1869.25390625
2022-05-20,67293.25,64094.7109375,3198.5390625
2022-05-21,57576.75,54824.7421875,2752.0078125
2022-05-22,49429.0,51308.62109375,-1879.62109375
2022-05-23,66998.5,63500.1171875,3498.3828125
2022-05-24,67069.75,64689.875,2379.875
2022-05-25,64623.5,64975.921875,-352.421875
2022-05-26,53338.5,64663.1484375,-11324.6484375
