ds,y,yhat,residuals
2016-01-01,52797.25,56299.914,-3502.6640625
2016-01-02,60431.25,54593.684,5837.56640625
2016-01-03,57888.5,63663.79,-5775.2890625
2016-01-04,70768.25,68034.28,2733.96875
2016-01-05,71862.75,71852.81,9.9375
2016-01-06,68980.5,75851.55,-6871.046875
2016-01-07,74199.5,63992.64,10206.859375
2016-01-08,71473.25,71995.08,-521.828125
2016-01-09,62274.0,77757.31,-15483.3125
2016-01-10,59470.75,58976.9,493.8515625
2016-01-11,79285.0,72410.62,6874.3828125
2016-01-12,74867.25,76867.41,-2000.15625
2016-01-13,75190.75,71415.7,3775.046875
2016-01-14,74703.25,77883.195,-3179.9453125
2016-01-15,74677.25,71453.3,3223.953125
2016-01-16,64550.5,70127.22,-5576.71875
2016-01-17,61811.5,62542.97,-731.46875
2016-01-18,76541.5,79744.266,-3202.765625
2016-01-19,77175.25,74297.28,2877.96875
2016-01-20,76147.5,78113.36,-1965.859375
2016-01-21,76340.0,75917.74,422.2578125
2016-01-22,75204.25,76705.78,-1501.53125
2016-01-23,64784.5,64804.93,-20.4296875
2016-01-24,61396.5,62885.742,-1489.2421875
2016-01-25,74068.75,78870.04,-4801.2890625
2016-01-26,73942.5,69937.36,4005.140625
2016-01-27,74231.0,72295.805,1935.1953125
2016-01-28,73692.5,74419.766,-727.265625
2016-01-29,72917.25,73497.234,-579.984375
2016-01-30,63552.5,62504.438,1048.0625
2016-01-31,58661.75,60840.6,-2178.8515625
2016-02-01,75266.5,71529.57,3736.9296875
2016-02-02,75341.5,77005.04,-1663.5390625
2016-02-03,74832.5,76064.125,-1231.625
2016-02-04,74452.75,74905.87,-453.1171875
2016-02-05,73393.25,74573.83,-1180.578125
2016-02-06,62439.5,65170.25,-2730.75
2016-02-07,59246.0,60277.902,-1031.90234375
2016-02-08,72646.25,75602.56,-2956.3125
2016-02-09,73460.25,78179.48,-4719.2265625
2016-02-10,74529.25,72791.48,1737.7734375
2016-02-11,73072.75,75020.46,-1947.7109375
2016-02-12,72117.5,72877.72,-760.21875
2016-02-13,63524.0,62820.957,703.04296875
2016-02-14,59898.5,60699.613,-801.11328125
2016-02-15,74806.75,73262.37,1544.3828125
2016-02-16,74392.25,76561.62,-2169.3671875
2016-02-17,75136.0,77111.125,-1975.125
2016-02-18,73589.25,72943.34,645.90625
2016-02-19,73935.25,71696.24,2239.0078125
2016-02-20,65514.5,65686.086,-171.5859375
2016-02-21,60912.5,62557.316,-1644.81640625
2016-02-22,74458.0,75736.875,-1278.875
2016-02-23,73576.5,74388.24,-811.7421875
2016-02-24,72777.75,74669.54,-1891.7890625
2016-02-25,72908.5,71181.664,1726.8359375
2016-02-26,71263.25,73145.93,-1882.6796875
2016-02-27,61077.5,62854.56,-1777.05859375
2016-02-28,58883.75,60502.457,-1618.70703125
2016-02-29,72242.0,71680.195,561.8046875
2016-03-01,76270.5,68504.32,7766.1796875
2016-03-02,74178.0,77070.86,-2892.859375
2016-03-03,73371.75,75721.83,-2350.078125
2016-03-04,72736.0,73787.266,-1051.265625
2016-03-05,60757.25,60105.824,651.42578125
2016-03-06,58407.75,58513.383,-105.6328125
2016-03-07,71574.75,71497.52,77.2265625
2016-03-08,73220.25,74477.06,-1256.8125
2016-03-09,72329.25,70756.83,1572.421875
2016-03-10,71350.0,71630.14,-280.140625
2016-03-11,71703.25,71643.77,59.4765625
2016-03-12,61095.5,60864.715,230.78515625
2016-03-13,57673.75,58733.816,-1060.06640625
2016-03-14,70277.25,70422.0,-144.75
2016-03-15,73035.0,73138.22,-103.21875
2016-03-16,73430.0,72692.37,737.6328125
2016-03-17,70976.75,73771.57,-2794.8203125
2016-03-18,71238.75,71149.445,89.3046875
2016-03-19,60894.5,60541.258,353.2421875
2016-03-20,57394.25,58194.742,-800.4921875
2016-03-21,71796.0,70640.51,1155.4921875
2016-03-22,72513.0,74866.875,-2353.875
2016-03-23,71680.75,67701.91,3978.84375
2016-03-24,71081.5,70800.35,281.1484375
2016-03-25,56036.0,72010.09,-15974.09375
2016-03-26,56737.5,20863.5,35874.0
2016-03-27,51089.25,40266.54,10822.7109375
2016-03-28,52819.5,63351.14,-10531.640625
2016-03-29,70628.25,52660.168,17968.08203125
2016-03-30,72001.75,60596.004,11405.74609375
2016-03-31,70202.75,74953.22,-4750.46875
2016-04-01,70970.5,64244.066,6726.43359375
2016-04-02,58023.25,73908.234,-15884.984375
2016-04-03,52842.25,75450.766,-22608.515625
2016-04-04,68978.0,59839.69,9138.30859375
2016-04-05,69548.0,85198.74,-15650.7421875
2016-04-06,70920.75,85661.44,-14740.6875
2016-04-07,71057.0,74122.77,-3065.7734375
2016-04-08,69539.25,67644.055,1895.1953125
2016-04-09,57173.75,53074.203,4099.546875
2016-04-10,51834.25,51715.176,119.07421875
2016-04-11,68588.75,69828.41,-1239.65625
2016-04-12,69125.75,67961.26,1164.4921875
2016-04-13,70301.75,71575.87,-1274.1171875
2016-04-14,70011.25,69958.16,53.09375
2016-04-15,70640.0,69563.23,1076.7734375
2016-04-16,58945.75,57963.004,982.74609375
2016-04-17,53275.75,53797.625,-521.875
2016-04-18,68934.75,71617.69,-2682.9375
2016-04-19,69924.0,71033.86,-1109.859375
2016-04-20,68452.25,70798.58,-2346.328125
2016-04-21,67635.25,68241.65,-606.3984375
2016-04-22,68071.75,68824.805,-753.0546875
2016-04-23,58349.25,55358.953,2990.296875
2016-04-24,53053.25,53127.86,-74.609375
2016-04-25,70707.75,69393.766,1313.984375
2016-04-26,71687.0,71894.69,-207.6875
2016-04-27,71979.0,71840.164,138.8359375
2016-04-28,70406.75,72125.55,-1718.796875
2016-04-29,69845.75,71456.11,-1610.359375
2016-04-30,57090.5,66011.67,-8921.171875
2016-05-01,50600.0,50762.28,-162.28125
2016-05-02,67843.75,72568.51,-4724.7578125
2016-05-03,70137.5,68749.68,1387.8203125
2016-05-04,68636.25,68314.36,321.890625
2016-05-05,51864.75,67392.56,-15527.8125
2016-05-06,61831.5,51595.605,10235.89453125
2016-05-07,56002.25,50939.945,5062.3046875
2016-05-08,50784.0,51676.06,-892.05859375
2016-05-09,69608.5,67222.695,2385.8046875
2016-05-10,69443.0,77034.96,-7591.9609375
2016-05-11,69841.25,68623.89,1217.359375
2016-05-12,71127.5,58738.63,12388.87109375
2016-05-13,69304.0,84665.58,-15361.578125
2016-05-14,57381.5,71207.63,-13826.1328125
2016-05-15,51281.5,56339.85,-5058.3515625
2016-05-16,51787.0,71986.984,-20199.984375
2016-05-17,68746.25,54724.824,14021.42578125
2016-05-18,69052.5,53543.066,15509.43359375
2016-05-19,70237.75,70163.78,73.96875
2016-05-20,70461.5,68970.79,1490.7109375
2016-05-21,57896.25,61989.953,-4093.703125
2016-05-22,52388.0,51370.523,1017.4765625
2016-05-23,69793.25,59546.8,10246.44921875
2016-05-24,71336.5,86403.17,-15066.671875
2016-05-25,69634.5,88384.6,-18750.1015625
2016-05-26,58304.25,72482.53,-14178.28125
2016-05-27,64627.75,61939.86,2687.890625
2016-05-28,56783.25,50414.26,6368.98828125
2016-05-29,52781.0,43599.125,9181.875
2016-05-30,71035.5,71402.914,-367.4140625
2016-05-31,70587.25,75600.414,-5013.1640625
2016-06-01,69983.75,69855.52,128.2265625
2016-06-02,69501.5,65723.914,3777.5859375
2016-06-03,68590.25,77274.516,-8684.265625
2016-06-04,57332.5,64899.21,-7566.7109375
2016-06-05,51067.25,55094.11,-4026.859375
2016-06-06,68443.5,68725.99,-282.4921875
2016-06-07,68921.75,68655.45,266.296875
2016-06-08,69139.0,66827.85,2311.1484375
2016-06-09,68389.75,66042.055,2347.6953125
2016-06-10,67766.5,69233.234,-1466.734375
2016-06-11,55950.5,58224.97,-2274.46875
2016-06-12,51462.25,49655.688,1806.5625
2016-06-13,68579.25,70000.625,-1421.375
2016-06-14,69293.5,68379.07,914.4296875
2016-06-15,68880.5,69784.17,-903.671875
2016-06-16,68942.0,69307.51,-365.5078125
2016-06-17,69422.5,68193.97,1228.53125
2016-06-18,57642.0,58736.355,-1094.35546875
2016-06-19,51568.0,52671.55,-1103.55078125
2016-06-20,68070.5,69322.57,-1252.0703125
2016-06-21,68810.0,69004.17,-194.171875
2016-06-22,69361.25,66894.016,2467.234375
2016-06-23,70497.75,68990.664,1507.0859375
2016-06-24,70606.25,71676.766,-1070.515625
2016-06-25,59021.0,55521.316,3499.68359375
2016-06-26,51104.0,53469.883,-2365.8828125
2016-06-27,69814.5,68494.17,1320.328125
2016-06-28,69440.75,71100.984,-1660.234375
2016-06-29,70592.75,71447.47,-854.71875
2016-06-30,69913.75,70597.05,-683.296875
2016-07-01,69959.25,69416.39,542.859375
2016-07-02,58278.25,58760.207,-481.95703125
2016-07-03,50776.0,50104.53,671.46875
2016-07-04,68712.25,68705.07,7.1796875
2016-07-05,70952.5,70115.46,837.0390625
2016-07-06,71140.0,72971.766,-1831.765625
2016-07-07,69126.25,68118.164,1008.0859375
2016-07-08,69831.0,69816.984,14.015625
2016-07-09,57518.25,57566.688,-48.4375
2016-07-10,51765.75,52467.31,-701.55859375
2016-07-11,71612.0,69840.33,1771.671875
2016-07-12,69969.5,73653.25,-3683.75
2016-07-13,69064.5,69494.82,-430.3203125
2016-07-14,69773.75,67775.55,1998.203125
2016-07-15,69397.0,71314.305,-1917.3046875
2016-07-16,57093.25,55696.16,1397.08984375
2016-07-17,51650.25,54726.457,-3076.20703125
2016-07-18,68363.5,71912.266,-3548.765625
2016-07-19,69497.5,68193.11,1304.390625
2016-07-20,70154.0,70307.03,-153.03125
2016-07-21,70364.5,70508.79,-144.2890625
2016-07-22,69152.0,70070.016,-918.015625
2016-07-23,57254.0,56880.535,373.46484375
