"ds","y","yhat","residuals"
2016-01-01 18:00:00,52797.25,51296.7427053299,1500.50729467014
2016-01-02 18:00:00,60431.25,51821.9473987064,8609.30260129363
2016-01-03 18:00:00,57888.5,51419.3157097016,6469.18429029844
2016-01-04 18:00:00,70768.25,67836.8422790746,2931.40772092539
2016-01-05 17:00:00,71862.75,68844.2962346385,3018.4537653615
2016-01-06 17:00:00,68980.5,60148.4863637165,8832.01363628355
2016-01-07 17:00:00,74199.5,71896.0402208403,2303.45977915973
2016-01-08 08:00:00,71473.25,70276.1331093356,1197.11689066437
2016-01-09 18:00:00,62274,60067.3714913584,2206.62850864155
2016-01-10 18:00:00,59470.75,56109.6011536037,3361.14884639633
2016-01-11 10:00:00,79285,72980.3072344444,6304.69276555559
2016-01-12 17:00:00,74867.25,76772.0703026808,-1904.82030268079
2016-01-13 17:00:00,75190.75,74609.7594211789,580.990578821118
2016-01-14 18:00:00,74703.25,73624.1741258556,1079.07587414444
2016-01-15 11:00:00,74677.25,73200.9470011446,1476.30299885539
2016-01-16 18:00:00,64550.5,63539.4028808173,1011.09711918274
2016-01-17 18:00:00,61811.5,58962.5643566525,2848.93564334745
2016-01-18 18:00:00,76541.5,76655.3406558515,-113.840655851542
2016-01-19 18:00:00,77175.25,77158.0599412143,17.1900587857381
2016-01-20 18:00:00,76147.5,77053.6678047029,-906.167804702884
2016-01-21 18:00:00,76340,75260.9979477801,1079.00205221995
2016-01-22 08:00:00,75204.25,75059.7344970557,144.515502944327
2016-01-23 18:00:00,64784.5,64596.3708175395,188.129182460514
2016-01-24 18:00:00,61396.5,59714.2809912878,1682.21900871217
2016-01-25 18:00:00,74068.75,77050.8258295014,-2982.07582950135
2016-01-26 18:00:00,73942.5,76344.5809305737,-2402.08093057371
2016-01-27 18:00:00,74231,75486.7119561246,-1255.71195612458
2016-01-28 18:00:00,73692.5,74054.3483718464,-361.848371846427
2016-01-29 18:00:00,72917.25,73338.9685198937,-421.718519893679
2016-01-30 11:00:00,63552.5,63103.76388316,448.736116840017
2016-01-31 18:00:00,58661.75,58599.4997644841,62.2502355159086
2016-02-01 18:00:00,75266.5,74549.2568186745,717.243181325495
2016-02-02 11:00:00,75341.5,76067.1962252471,-725.696225247098
2016-02-03 18:00:00,74832.5,75590.0472231117,-757.547223111702
2016-02-04 11:00:00,74452.75,74022.9863370068,429.763662993166
2016-02-05 11:00:00,73393.25,73551.6080400329,-158.358040032865
2016-02-06 18:00:00,62439.5,63275.5606974419,-836.060697441913
2016-02-07 18:00:00,59246,58026.0529148883,1219.94708511169
2016-02-08 18:00:00,72646.25,74814.7335664657,-2168.4835664657
2016-02-09 11:00:00,73460.25,74675.5676181515,-1215.31761815146
2016-02-10 11:00:00,74529.25,74325.4205115256,203.829488474439
2016-02-11 18:00:00,73072.75,73461.6610261446,-388.911026144633
2016-02-12 11:00:00,72117.5,72496.9528652809,-379.452865280895
2016-02-13 18:00:00,63524,62315.2093459555,1208.79065404453
2016-02-14 18:00:00,59898.5,58162.0655456078,1736.43445439222
2016-02-15 11:00:00,74806.75,74977.0776289526,-170.327628952597
2016-02-16 11:00:00,74392.25,75702.3286871663,-1310.07868716629
2016-02-17 18:00:00,75136,74929.0619974335,206.938002566458
2016-02-18 18:00:00,73589.25,73938.9725472433,-349.722547243291
2016-02-19 11:00:00,73935.25,72968.4746155009,966.775384499109
2016-02-20 11:00:00,65514.5,63321.823851778,2192.67614822195
2016-02-21 18:00:00,60912.5,59395.0764361404,1517.42356385964
2016-02-22 11:00:00,74458,76209.7266941496,-1751.72669414956
2016-02-23 18:00:00,73576.5,76016.2874242803,-2439.78742428031
2016-02-24 11:00:00,72777.75,74903.5883677632,-2125.83836776321
2016-02-25 18:00:00,72908.5,72929.837768981,-21.3377689810004
2016-02-26 09:00:00,71263.25,72593.3183443773,-1330.0683443773
2016-02-27 18:00:00,61077.5,62076.0250247575,-998.525024757502
2016-02-28 19:00:00,58883.75,57014.282565883,1869.46743411697
2016-02-29 18:00:00,72242,74062.5709625404,-1820.57096254035
2016-03-01 12:00:00,76270.5,73950.6843088735,2319.8156911265
2016-03-02 11:00:00,74178,75372.8856947291,-1194.88569472909
2016-03-03 11:00:00,73371.75,73184.2451390481,187.5048609519
2016-03-04 11:00:00,72736,72564.6817253223,171.318274677673
2016-03-05 11:00:00,60757.25,62611.9396791911,-1854.68967919113
2016-03-06 19:00:00,58407.75,56901.9699759361,1505.78002406394
2016-03-07 11:00:00,71574.75,73712.9697416312,-2138.21974163121
2016-03-08 11:00:00,73220.25,73590.4613285046,-370.211328504607
2016-03-09 19:00:00,72329.25,73660.2770992701,-1331.02709927014
2016-03-10 19:00:00,71350,71859.6259435835,-509.62594358348
2016-03-11 11:00:00,71703.25,71036.8722067536,666.377793246415
2016-03-12 11:00:00,61095.5,61636.865180787,-541.365180786983
2016-03-13 19:00:00,57673.75,56642.5631863618,1031.1868136382
2016-03-14 19:00:00,70277.25,72800.2026790928,-2522.95267909284
2016-03-15 11:00:00,73035,72501.1354929644,533.864507035643
2016-03-16 11:00:00,73430,73093.3159603126,336.684039687432
2016-03-17 19:00:00,70976.75,72008.3854287667,-1031.63542876671
2016-03-18 11:00:00,71238.75,70627.0781851915,611.671814808506
2016-03-19 11:00:00,60894.5,61254.1118208287,-359.611820828744
2016-03-20 19:00:00,57394.25,56366.9772246809,1027.27277531914
2016-03-21 11:00:00,71796,72400.8913794048,-604.891379404755
2016-03-22 11:00:00,72513,73176.315739275,-663.315739274985
2016-03-23 11:00:00,71680.75,72861.6839922922,-1180.93399229218
2016-03-24 11:00:00,71081.5,71050.9824515001,30.5175484998763
2016-03-25 11:00:00,56036,61540.2119148979,-5504.21191489791
2016-03-26 19:00:00,56737.5,58102.2597458904,-1364.75974589042
2016-03-27 11:00:00,51089.25,46742.4731482897,4346.77685171026
2016-03-28 20:00:00,52819.5,62830.9171695233,-10011.4171695233
2016-03-29 11:00:00,70628.25,66741.7101957837,3886.53980421631
2016-03-30 11:00:00,72001.75,69971.2554761784,2030.49452382163
2016-03-31 11:00:00,70202.75,69463.7355205691,739.014479430931
2016-04-01 11:00:00,70970.5,68600.0156503294,2370.4843496706
2016-04-02 11:00:00,58023.25,60013.7816476369,-1990.53164763688
2016-04-03 20:00:00,52842.25,54356.163597958,-1513.91359795804
2016-04-04 11:00:00,68978,68116.6465678204,861.353432179647
2016-04-05 11:00:00,69548,70298.6490397644,-750.64903976435
