Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2015-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2015-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2015-04-06,Ostermontag,Easter Monday,AT,False,True,,Public,
2015-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2015-05-14,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2015-05-25,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2015-06-04,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2015-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2015-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2015-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2015-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2015-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2015-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2016-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2016-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2016-03-28,Ostermontag,Easter Monday,AT,False,True,,Public,
2016-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2016-05-05,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2016-05-16,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2016-05-26,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2016-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2016-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2016-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2016-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2016-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2016-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2017-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2017-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2017-04-17,Ostermontag,Easter Monday,AT,False,True,,Public,
2017-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2017-05-25,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2017-06-05,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2017-06-15,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2017-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2017-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2017-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2017-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2017-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2017-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2018-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2018-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2018-04-02,Ostermontag,Easter Monday,AT,False,True,,Public,
2018-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2018-05-10,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2018-05-21,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2018-05-31,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2018-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2018-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2018-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2018-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2018-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2018-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2019-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2019-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2019-04-22,Ostermontag,Easter Monday,AT,False,True,,Public,
2019-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2019-05-30,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2019-06-10,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2019-06-20,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2019-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2019-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2019-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2019-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2019-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2019-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2020-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2020-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2020-04-13,Ostermontag,Easter Monday,AT,False,True,,Public,
2020-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2020-05-21,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2020-06-01,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2020-06-11,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2020-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2020-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2020-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2020-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2020-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2020-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2021-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2021-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2021-04-05,Ostermontag,Easter Monday,AT,False,True,,Public,
2021-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2021-05-13,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2021-05-24,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2021-06-03,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2021-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2021-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2021-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2021-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2021-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2021-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2022-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2022-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2022-04-18,Ostermontag,Easter Monday,AT,False,True,,Public,
2022-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2022-05-26,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2022-06-06,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2022-06-16,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2022-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2022-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2022-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2022-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2022-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2022-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2023-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2023-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2023-04-10,Ostermontag,Easter Monday,AT,False,True,,Public,
2023-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2023-05-18,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2023-05-29,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2023-06-08,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2023-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2023-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2023-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2023-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2023-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2023-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
2024-01-01,Neujahr,New Year's Day,AT,False,True,,Public,
2024-01-06,Heilige Drei Könige,Epiphany,AT,False,True,,Public,
2024-04-01,Ostermontag,Easter Monday,AT,False,True,,Public,
2024-05-01,Staatsfeiertag,National Holiday,AT,False,True,,Public,
2024-05-09,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public,
2024-05-20,Pfingstmontag,Whit Monday,AT,False,True,,Public,
2024-05-30,Fronleichnam,Corpus Christi,AT,False,True,,Public,
2024-08-15,Maria Himmelfahrt,Assumption Day,AT,False,True,,Public,
2024-10-26,Nationalfeiertag,National Holiday,AT,False,True,,Public,
2024-11-01,Allerheiligen,All Saints' Day,AT,False,True,,Public,
2024-12-08,Mariä Empfängnis,Immaculate Conception,AT,False,True,,Public,
2024-12-25,Weihnachten,Christmas Day,AT,False,True,,Public,
2024-12-26,Stefanitag,St. Stephen's Day,AT,False,True,,Public,
