"date","load","hour_int","weekday_int","month_int","working_day"
2015-01-01 00:00:00,423.25,0,4,1,TRUE
2015-01-01 01:00:00,403.75,1,4,1,TRUE
2015-01-01 02:00:00,383.25,2,4,1,TRUE
2015-01-01 03:00:00,370,3,4,1,TRUE
2015-01-01 04:00:00,363.75,4,4,1,TRUE
2015-01-01 05:00:00,353.75,5,4,1,TRUE
2015-01-01 06:00:00,299.5,6,4,1,TRUE
2015-01-01 07:00:00,307.5,7,4,1,TRUE
2015-01-01 08:00:00,302,8,4,1,TRUE
2015-01-01 09:00:00,299.75,9,4,1,TRUE
2015-01-01 10:00:00,314.25,10,4,1,TRUE
2015-01-01 11:00:00,345.25,11,4,1,TRUE
2015-01-01 12:00:00,357.25,12,4,1,TRUE
2015-01-01 13:00:00,350,13,4,1,TRUE
2015-01-01 14:00:00,345,14,4,1,TRUE
2015-01-01 15:00:00,345,15,4,1,TRUE
2015-01-01 16:00:00,353,16,4,1,TRUE
2015-01-01 17:00:00,396.25,17,4,1,TRUE
2015-01-01 18:00:00,411,18,4,1,TRUE
2015-01-01 19:00:00,395.75,19,4,1,TRUE
2015-01-01 20:00:00,377.25,20,4,1,TRUE
2015-01-01 21:00:00,359,21,4,1,TRUE
2015-01-01 22:00:00,429,22,4,1,TRUE
2015-01-01 23:00:00,417.25,23,4,1,TRUE
2015-01-02 00:00:00,391,0,5,1,TRUE
2015-01-02 01:00:00,362.5,1,5,1,TRUE
2015-01-02 02:00:00,345.25,2,5,1,TRUE
2015-01-02 03:00:00,336.75,3,5,1,TRUE
2015-01-02 04:00:00,337.5,4,5,1,TRUE
2015-01-02 05:00:00,355.5,5,5,1,TRUE
2015-01-02 06:00:00,340.75,6,5,1,TRUE
2015-01-02 07:00:00,395.25,7,5,1,TRUE
2015-01-02 08:00:00,429,8,5,1,TRUE
2015-01-02 09:00:00,452.5,9,5,1,TRUE
2015-01-02 10:00:00,468.75,10,5,1,TRUE
2015-01-02 11:00:00,501,11,5,1,TRUE
2015-01-02 12:00:00,490.5,12,5,1,TRUE
2015-01-02 13:00:00,477.25,13,5,1,TRUE
2015-01-02 14:00:00,469.75,14,5,1,TRUE
2015-01-02 15:00:00,454,15,5,1,TRUE
2015-01-02 16:00:00,452.25,16,5,1,TRUE
2015-01-02 17:00:00,491.25,17,5,1,TRUE
2015-01-02 18:00:00,506,18,5,1,TRUE
2015-01-02 19:00:00,483,19,5,1,TRUE
2015-01-02 20:00:00,451.75,20,5,1,TRUE
2015-01-02 21:00:00,418.25,21,5,1,TRUE
2015-01-02 22:00:00,482,22,5,1,TRUE
2015-01-02 23:00:00,463.25,23,5,1,TRUE
2015-01-03 00:00:00,439,0,6,1,FALSE
2015-01-03 01:00:00,409,1,6,1,FALSE
2015-01-03 02:00:00,391,2,6,1,FALSE
2015-01-03 03:00:00,382,3,6,1,FALSE
2015-01-03 04:00:00,378,4,6,1,FALSE
2015-01-03 05:00:00,380.5,5,6,1,FALSE
2015-01-03 06:00:00,340.5,6,6,1,FALSE
2015-01-03 07:00:00,356.5,7,6,1,FALSE
2015-01-03 08:00:00,372.5,8,6,1,FALSE
2015-01-03 09:00:00,390.75,9,6,1,FALSE
2015-01-03 10:00:00,417.5,10,6,1,FALSE
2015-01-03 11:00:00,463,11,6,1,FALSE
2015-01-03 12:00:00,471.5,12,6,1,FALSE
2015-01-03 13:00:00,457.25,13,6,1,FALSE
2015-01-03 14:00:00,444.25,14,6,1,FALSE
2015-01-03 15:00:00,435.75,15,6,1,FALSE
2015-01-03 16:00:00,423.25,16,6,1,FALSE
2015-01-03 17:00:00,448.5,17,6,1,FALSE
2015-01-03 18:00:00,460.25,18,6,1,FALSE
2015-01-03 19:00:00,442,19,6,1,FALSE
2015-01-03 20:00:00,401,20,6,1,FALSE
2015-01-03 21:00:00,387.5,21,6,1,FALSE
2015-01-03 22:00:00,469.75,22,6,1,FALSE
2015-01-03 23:00:00,447.75,23,6,1,FALSE
2015-01-04 00:00:00,421.25,0,7,1,FALSE
2015-01-04 01:00:00,399,1,7,1,FALSE
2015-01-04 02:00:00,381.25,2,7,1,FALSE
2015-01-04 03:00:00,375.25,3,7,1,FALSE
2015-01-04 04:00:00,372.5,4,7,1,FALSE
2015-01-04 05:00:00,375.5,5,7,1,FALSE
2015-01-04 06:00:00,320.25,6,7,1,FALSE
2015-01-04 07:00:00,335.75,7,7,1,FALSE
2015-01-04 08:00:00,342.75,8,7,1,FALSE
2015-01-04 09:00:00,351.5,9,7,1,FALSE
2015-01-04 10:00:00,369.75,10,7,1,FALSE
2015-01-04 11:00:00,408.25,11,7,1,FALSE
2015-01-04 12:00:00,409.75,12,7,1,FALSE
2015-01-04 13:00:00,388.25,13,7,1,FALSE
2015-01-04 14:00:00,386.25,14,7,1,FALSE
2015-01-04 15:00:00,391.5,15,7,1,FALSE
2015-01-04 16:00:00,396,16,7,1,FALSE
2015-01-04 17:00:00,447.5,17,7,1,FALSE
2015-01-04 18:00:00,477.5,18,7,1,FALSE
2015-01-04 19:00:00,465.25,19,7,1,FALSE
2015-01-04 20:00:00,441.5,20,7,1,FALSE
2015-01-04 21:00:00,414,21,7,1,FALSE
2015-01-04 22:00:00,480.5,22,7,1,FALSE
