"date","hour_int","load","weekday_int","month_int"
2022-03-28 00:00:00,0,45708.75,2,3
2022-03-28 01:00:00,1,44270.75,2,3
2022-03-28 02:00:00,2,43668.5,2,3
2022-03-28 03:00:00,3,44647.25,2,3
2022-03-28 04:00:00,4,46212.5,2,3
2022-03-28 05:00:00,5,50356.75,2,3
2022-03-28 06:00:00,6,58066.75,2,3
2022-03-28 07:00:00,7,63313.5,2,3
2022-03-28 08:00:00,8,65807.25,2,3
2022-03-28 09:00:00,9,66587,2,3
2022-03-28 10:00:00,10,67023.25,2,3
2022-03-28 11:00:00,11,67478.5,2,3
2022-03-28 12:00:00,12,67109.25,2,3
2022-03-28 13:00:00,13,66001.5,2,3
2022-03-28 14:00:00,14,65021.75,2,3
2022-03-28 15:00:00,15,63794.75,2,3
2022-03-28 16:00:00,16,62307.75,2,3
2022-03-28 17:00:00,17,62572,2,3
2022-03-28 18:00:00,18,63695.75,2,3
2022-03-28 19:00:00,19,64816.5,2,3
2022-03-28 20:00:00,20,64384,2,3
2022-03-28 21:00:00,21,60791.75,2,3
2022-03-28 22:00:00,22,57226,2,3
2022-03-28 23:00:00,23,53310,2,3
2022-03-29 00:00:00,0,49827,3,3
2022-03-29 01:00:00,1,47795.25,3,3
2022-03-29 02:00:00,2,47026.75,3,3
2022-03-29 03:00:00,3,47213.75,3,3
2022-03-29 04:00:00,4,48769.5,3,3
2022-03-29 05:00:00,5,51836,3,3
2022-03-29 06:00:00,6,59286,3,3
2022-03-29 07:00:00,7,63825.75,3,3
2022-03-29 08:00:00,8,66076.25,3,3
2022-03-29 09:00:00,9,66992.25,3,3
2022-03-29 10:00:00,10,68354.5,3,3
2022-03-29 11:00:00,11,69176,3,3
2022-03-29 12:00:00,12,68480.25,3,3
2022-03-29 13:00:00,13,67972,3,3
2022-03-29 14:00:00,14,66633,3,3
2022-03-29 15:00:00,15,65866.25,3,3
2022-03-29 16:00:00,16,63785.5,3,3
2022-03-29 17:00:00,17,63892,3,3
2022-03-29 18:00:00,18,63938.5,3,3
2022-03-29 19:00:00,19,64032.5,3,3
2022-03-29 20:00:00,20,63613.25,3,3
2022-03-29 21:00:00,21,60246.75,3,3
2022-03-29 22:00:00,22,56826.75,3,3
2022-03-29 23:00:00,23,52538.25,3,3
2022-03-30 00:00:00,0,49050.25,4,3
2022-03-30 01:00:00,1,47221,4,3
2022-03-30 02:00:00,2,46006,4,3
2022-03-30 03:00:00,3,46324.5,4,3
2022-03-30 04:00:00,4,48101.75,4,3
2022-03-30 05:00:00,5,51683.5,4,3
2022-03-30 06:00:00,6,58689.75,4,3
2022-03-30 07:00:00,7,63623.75,4,3
2022-03-30 08:00:00,8,66608.25,4,3
2022-03-30 09:00:00,9,67596.5,4,3
2022-03-30 10:00:00,10,68524.75,4,3
2022-03-30 11:00:00,11,69097.5,4,3
2022-03-30 12:00:00,12,68573.75,4,3
2022-03-30 13:00:00,13,67548.75,4,3
2022-03-30 14:00:00,14,66019.75,4,3
2022-03-30 15:00:00,15,65198,4,3
2022-03-30 16:00:00,16,64443,4,3
2022-03-30 17:00:00,17,64833.25,4,3
2022-03-30 18:00:00,18,65335.75,4,3
2022-03-30 19:00:00,19,66034.5,4,3
2022-03-30 20:00:00,20,65138.5,4,3
2022-03-30 21:00:00,21,61887.5,4,3
2022-03-30 22:00:00,22,58568,4,3
2022-03-30 23:00:00,23,54128.25,4,3
2022-03-31 00:00:00,0,50830,5,3
2022-03-31 01:00:00,1,49254,5,3
2022-03-31 02:00:00,2,48604.5,5,3
2022-03-31 03:00:00,3,49128.25,5,3
2022-03-31 04:00:00,4,50670,5,3
2022-03-31 05:00:00,5,54056.75,5,3
2022-03-31 06:00:00,6,60895.25,5,3
2022-03-31 07:00:00,7,65436.5,5,3
2022-03-31 08:00:00,8,68471.75,5,3
2022-03-31 09:00:00,9,69495,5,3
2022-03-31 10:00:00,10,70756,5,3
2022-03-31 11:00:00,11,71144,5,3
2022-03-31 12:00:00,12,71280.5,5,3
2022-03-31 13:00:00,13,70309.25,5,3
2022-03-31 14:00:00,14,69241.75,5,3
2022-03-31 15:00:00,15,68580.5,5,3
2022-03-31 16:00:00,16,67759,5,3
2022-03-31 17:00:00,17,67888.5,5,3
2022-03-31 18:00:00,18,68369,5,3
2022-03-31 19:00:00,19,68455.5,5,3
2022-03-31 20:00:00,20,67074,5,3
2022-03-31 21:00:00,21,63964,5,3
2022-03-31 22:00:00,22,60983.5,5,3
2022-03-31 23:00:00,23,57827.5,5,3
2022-04-01 00:00:00,0,55158.75,6,4
2022-04-01 01:00:00,1,53882,6,4
2022-04-01 02:00:00,2,52920.5,6,4
2022-04-01 03:00:00,3,52810.75,6,4
2022-04-01 04:00:00,4,53858.5,6,4
2022-04-01 05:00:00,5,57287,6,4
2022-04-01 06:00:00,6,64275.25,6,4
2022-04-01 07:00:00,7,69220.25,6,4
2022-04-01 08:00:00,8,72397.5,6,4
2022-04-01 09:00:00,9,73431,6,4
2022-04-01 10:00:00,10,75001,6,4
2022-04-01 11:00:00,11,75903.75,6,4
2022-04-01 12:00:00,12,75643,6,4
2022-04-01 13:00:00,13,73861.75,6,4
2022-04-01 14:00:00,14,71969,6,4
2022-04-01 15:00:00,15,70407.5,6,4
2022-04-01 16:00:00,16,69001.75,6,4
2022-04-01 17:00:00,17,69597,6,4
2022-04-01 18:00:00,18,69255.75,6,4
2022-04-01 19:00:00,19,68696.25,6,4
2022-04-01 20:00:00,20,66705,6,4
2022-04-01 21:00:00,21,63355,6,4
2022-04-01 22:00:00,22,60708.75,6,4
2022-04-01 23:00:00,23,57481.5,6,4
2022-04-02 00:00:00,0,54442.25,7,4
2022-04-02 01:00:00,1,52531.75,7,4
2022-04-02 02:00:00,2,51082.5,7,4
2022-04-02 03:00:00,3,50162.5,7,4
2022-04-02 04:00:00,4,49549,7,4
2022-04-02 05:00:00,5,49503,7,4
2022-04-02 06:00:00,6,49949.25,7,4
2022-04-02 07:00:00,7,52776.5,7,4
2022-04-02 08:00:00,8,57380,7,4
2022-04-02 09:00:00,9,60233.25,7,4
2022-04-02 10:00:00,10,62907,7,4
2022-04-02 11:00:00,11,63619.75,7,4
2022-04-02 12:00:00,12,62623.5,7,4
2022-04-02 13:00:00,13,61212,7,4
2022-04-02 14:00:00,14,59079.75,7,4
2022-04-02 15:00:00,15,58201,7,4
