Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2015 00:00;01.01.2015 01:00;423,25;423,25
01.01.2015 01:00;01.01.2015 02:00;403,75;403,75
01.01.2015 02:00;01.01.2015 03:00;383,25;383,25
01.01.2015 03:00;01.01.2015 04:00;370,00;370,00
01.01.2015 04:00;01.01.2015 05:00;363,75;363,75
01.01.2015 05:00;01.01.2015 06:00;353,75;353,75
01.01.2015 06:00;01.01.2015 07:00;299,50;299,50
01.01.2015 07:00;01.01.2015 08:00;307,50;307,50
01.01.2015 08:00;01.01.2015 09:00;302,00;302,00
01.01.2015 09:00;01.01.2015 10:00;299,75;298,00
01.01.2015 10:00;01.01.2015 11:00;314,25;309,75
01.01.2015 11:00;01.01.2015 12:00;345,25;341,25
01.01.2015 12:00;01.01.2015 13:00;357,25;352,50
01.01.2015 13:00;01.01.2015 14:00;350,00;344,50
01.01.2015 14:00;01.01.2015 15:00;345,00;338,75
01.01.2015 15:00;01.01.2015 16:00;345,00;341,50
01.01.2015 16:00;01.01.2015 17:00;353,00;350,00
01.01.2015 17:00;01.01.2015 18:00;396,25;392,50
01.01.2015 18:00;01.01.2015 19:00;411,00;406,75
01.01.2015 19:00;01.01.2015 20:00;395,75;389,75
01.01.2015 20:00;01.01.2015 21:00;377,25;369,25
01.01.2015 21:00;01.01.2015 22:00;359,00;351,75
01.01.2015 22:00;01.01.2015 23:00;429,00;417,25
01.01.2015 23:00;02.01.2015 00:00;417,25;408,00
02.01.2015 00:00;02.01.2015 01:00;391,00;380,25
02.01.2015 01:00;02.01.2015 02:00;362,50;346,25
02.01.2015 02:00;02.01.2015 03:00;345,25;326,50
02.01.2015 03:00;02.01.2015 04:00;336,75;314,00
02.01.2015 04:00;02.01.2015 05:00;337,50;314,25
02.01.2015 05:00;02.01.2015 06:00;355,50;336,00
02.01.2015 06:00;02.01.2015 07:00;340,75;323,75
02.01.2015 07:00;02.01.2015 08:00;395,25;383,25
