Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
28.03.2022;00:00;01:00;47.248,5;41.125,5
28.03.2022;01:00;02:00;45.815,5;39.963,25
28.03.2022;02:00;03:00;45.649,25;39.959,5
28.03.2022;03:00;04:00;45.795;40.153,25
28.03.2022;04:00;05:00;47.119;41.419
28.03.2022;05:00;06:00;50.157,25;44.404,5
28.03.2022;06:00;07:00;56.665;50.923,5
28.03.2022;07:00;08:00;61.697,25;55.226,75
28.03.2022;08:00;09:00;64.495,75;53.025,25
28.03.2022;09:00;10:00;65.371,5;46.423,5
28.03.2022;10:00;11:00;66.006,25;39.876,5
28.03.2022;11:00;12:00;67.032,75;35.071
28.03.2022;12:00;13:00;66.429,25;30.634
28.03.2022;13:00;14:00;65.281;27.646,5
28.03.2022;14:00;15:00;63.414,25;26.026,5
28.03.2022;15:00;16:00;62.196;27.475,75
28.03.2022;16:00;17:00;60.590;30.849,75
28.03.2022;17:00;18:00;60.489,75;38.256,75
28.03.2022;18:00;19:00;61.624,25;47.405
28.03.2022;19:00;20:00;63.236,5;53.037,25
28.03.2022;20:00;21:00;60.741;50.888,75
28.03.2022;21:00;22:00;57.769,5;47.752,5
28.03.2022;22:00;23:00;54.970,75;45.221,5
28.03.2022;23:00;00:00;51.418,75;42.177,25
29.03.2022;00:00;01:00;46.938,25;38.390,25
29.03.2022;01:00;02:00;45.649,75;37.723,75
29.03.2022;02:00;03:00;45.098,25;37.719
29.03.2022;03:00;04:00;45.507,25;38.663,25
29.03.2022;04:00;05:00;46.978,25;40.459,75
29.03.2022;05:00;06:00;50.341;44.046,75
29.03.2022;06:00;07:00;56.756;50.741,25
29.03.2022;07:00;08:00;62.053,25;55.568,25
29.03.2022;08:00;09:00;64.944,25;55.348,25
29.03.2022;09:00;10:00;65.810,75;51.457,25
29.03.2022;10:00;11:00;66.605,5;47.722,75
29.03.2022;11:00;12:00;67.789;45.381,75
29.03.2022;12:00;13:00;67.309,75;42.603
29.03.2022;13:00;14:00;66.023;40.869
29.03.2022;14:00;15:00;64.243,25;40.219,5
29.03.2022;15:00;16:00;62.794,25;41.412
29.03.2022;16:00;17:00;61.142,5;43.601,5
29.03.2022;17:00;18:00;61.024;47.870,75
29.03.2022;18:00;19:00;62.153,75;53.387,5
29.03.2022;19:00;20:00;63.595,25;57.350
29.03.2022;20:00;21:00;61.087,75;55.055,5
29.03.2022;21:00;22:00;57.898,5;51.714,25
29.03.2022;22:00;23:00;55.302,25;49.113,5
29.03.2022;23:00;00:00;51.657,75;45.509,25
30.03.2022;00:00;01:00;48.923,75;44.119,75
30.03.2022;01:00;02:00;47.181;42.864,75
30.03.2022;02:00;03:00;46.566;42.648,5
30.03.2022;03:00;04:00;46.743,5;43.077,25
30.03.2022;04:00;05:00;47.867,25;44.233,5
30.03.2022;05:00;06:00;50.710,25;47.037
30.03.2022;06:00;07:00;57.073,75;53.339,5
30.03.2022;07:00;08:00;61.220,75;56.894,75
30.03.2022;08:00;09:00;63.955;57.600,5
30.03.2022;09:00;10:00;64.974,75;55.621,75
30.03.2022;10:00;11:00;66.520,25;54.351,25
30.03.2022;11:00;12:00;68.466,5;54.192,75
30.03.2022;12:00;13:00;69.106,25;53.739,25
30.03.2022;13:00;14:00;68.770,25;53.373,75
30.03.2022;14:00;15:00;67.641;53.039,25
30.03.2022;15:00;16:00;65.988,5;52.762,75
30.03.2022;16:00;17:00;63.968,75;52.409,25
30.03.2022;17:00;18:00;62.589;52.856,25
30.03.2022;18:00;19:00;62.432,5;54.482,75
30.03.2022;19:00;20:00;63.260,5;56.020,25
30.03.2022;20:00;21:00;61.505,75;53.822,5
30.03.2022;21:00;22:00;58.201;50.077,75
30.03.2022;22:00;23:00;55.445,25;47.032,75
30.03.2022;23:00;00:00;51.656,5;42.906,75
31.03.2022;00:00;01:00;48.694,75;38.522
31.03.2022;01:00;02:00;47.049,5;36.666,75
31.03.2022;02:00;03:00;46.409;35.320
31.03.2022;03:00;04:00;46.697,25;34.702,75
31.03.2022;04:00;05:00;48.030,75;34.753
31.03.2022;05:00;06:00;51.110,5;36.251,5
31.03.2022;06:00;07:00;57.414,25;40.805
31.03.2022;07:00;08:00;61.509,75;43.168,5
31.03.2022;08:00;09:00;64.045;43.201,5
31.03.2022;09:00;10:00;65.203;40.868
31.03.2022;10:00;11:00;66.735,25;38.826,75
31.03.2022;11:00;12:00;67.805,75;36.779,25
31.03.2022;12:00;13:00;67.886,5;34.452,5
31.03.2022;13:00;14:00;66.751,5;32.033,25
31.03.2022;14:00;15:00;65.266,5;29.946
