Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
28.03.2022;00:00;01:00;45.708,75;39.768;988,5
28.03.2022;01:00;02:00;44.270,75;38.839,75;1.134,25
28.03.2022;02:00;03:00;43.668,5;38.626,75;1.478
28.03.2022;03:00;04:00;44.647,25;39.631,25;1.777
28.03.2022;04:00;05:00;46.212,5;40.900;1.271,75
28.03.2022;05:00;06:00;50.356,75;45.181,25;858,75
28.03.2022;06:00;07:00;58.066,75;53.213,25;199,5
28.03.2022;07:00;08:00;63.313,5;57.617,25;7,25
28.03.2022;08:00;09:00;65.807,25;55.120,25;39,25
28.03.2022;09:00;10:00;66.587;48.914,25;192,75
28.03.2022;10:00;11:00;67.023,25;42.374,5;679,25
28.03.2022;11:00;12:00;67.478,5;37.132,5;2.159
28.03.2022;12:00;13:00;67.109,25;32.744,5;4.762,75
28.03.2022;13:00;14:00;66.001,5;29.408,5;5.491,25
28.03.2022;14:00;15:00;65.021,75;28.398,75;5.745,5
28.03.2022;15:00;16:00;63.794,75;29.457,25;5.346,5
28.03.2022;16:00;17:00;62.307,75;32.525,5;4.199,5
28.03.2022;17:00;18:00;62.572;39.293,75;2.227,75
28.03.2022;18:00;19:00;63.695,75;48.156;675,75
28.03.2022;19:00;20:00;64.816,5;53.005,75;46,25
28.03.2022;20:00;21:00;64.384;52.661;64,75
28.03.2022;21:00;22:00;60.791,75;49.607,75;452,5
28.03.2022;22:00;23:00;57.226;46.833,75;794,25
28.03.2022;23:00;00:00;53.310;43.639,5;1.224
29.03.2022;00:00;01:00;49.827;40.836,5;757
29.03.2022;01:00;02:00;47.795,25;39.727,25;1.814,25
29.03.2022;02:00;03:00;47.026,75;39.303,5;2.629
29.03.2022;03:00;04:00;47.213,75;39.481,5;2.718,25
29.03.2022;04:00;05:00;48.769,5;41.413;2.432,75
29.03.2022;05:00;06:00;51.836;44.632,75;1.175,5
29.03.2022;06:00;07:00;59.286;52.419;241,5
29.03.2022;07:00;08:00;63.825,75;56.850,75;4,5
29.03.2022;08:00;09:00;66.076,25;56.500,75;7,5
29.03.2022;09:00;10:00;66.992,25;52.294,25;163,5
29.03.2022;10:00;11:00;68.354,5;48.241,75;1.110,5
29.03.2022;11:00;12:00;69.176;44.746,25;1.137,25
29.03.2022;12:00;13:00;68.480,25;40.322;2.203,25
29.03.2022;13:00;14:00;67.972;38.383,5;2.401,5
29.03.2022;14:00;15:00;66.633;37.659,75;2.182
29.03.2022;15:00;16:00;65.866,25;39.582,5;1.499,75
29.03.2022;16:00;17:00;63.785,5;41.967,75;923
29.03.2022;17:00;18:00;63.892;47.693,5;330,25
29.03.2022;18:00;19:00;63.938,5;53.569,75;112
29.03.2022;19:00;20:00;64.032,5;57.695,75;1
29.03.2022;20:00;21:00;63.613,25;57.728,25;39,25
29.03.2022;21:00;22:00;60.246,75;54.171,25;145,75
29.03.2022;22:00;23:00;56.826,75;50.703;398,5
29.03.2022;23:00;00:00;52.538,25;47.035,5;432,75
30.03.2022;00:00;01:00;49.050,25;44.327;1.241,75
30.03.2022;01:00;02:00;47.221;42.998,5;1.032,75
30.03.2022;02:00;03:00;46.006;42.660,75;1.857,25
30.03.2022;03:00;04:00;46.324,5;43.370,75;1.774
30.03.2022;04:00;05:00;48.101,75;45.153;2.304,5
30.03.2022;05:00;06:00;51.683,5;49.001,25;1.177,25
30.03.2022;06:00;07:00;58.689,75;55.955,75;169
30.03.2022;07:00;08:00;63.623,75;60.317,25;11,5
30.03.2022;08:00;09:00;66.608,25;60.898,25;40,5
30.03.2022;09:00;10:00;67.596,5;58.934,75;16,5
30.03.2022;10:00;11:00;68.524,75;56.727,25;7
30.03.2022;11:00;12:00;69.097,5;55.014;6,75
30.03.2022;12:00;13:00;68.573,75;53.790;66,5
30.03.2022;13:00;14:00;67.548,75;52.773;275,5
30.03.2022;14:00;15:00;66.019,75;51.525,5;311,25
30.03.2022;15:00;16:00;65.198;51.926,75;64,25
30.03.2022;16:00;17:00;64.443;52.405;28,25
30.03.2022;17:00;18:00;64.833,25;54.925,75;81,25
30.03.2022;18:00;19:00;65.335,75;57.220,75;3
30.03.2022;19:00;20:00;66.034,5;58.745,5;2,25
30.03.2022;20:00;21:00;65.138,5;57.050,5;78,5
30.03.2022;21:00;22:00;61.887,5;52.425;460
30.03.2022;22:00;23:00;58.568;48.925,25;786
30.03.2022;23:00;00:00;54.128,25;44.491,75;1.642,75
31.03.2022;00:00;01:00;50.830;39.987;2.849
31.03.2022;01:00;02:00;49.254;37.847,25;3.359,75
31.03.2022;02:00;03:00;48.604,5;36.891,5;3.601,25
31.03.2022;03:00;04:00;49.128,25;35.881,25;4.424,5
31.03.2022;04:00;05:00;50.670;36.369;4.170,75
31.03.2022;05:00;06:00;54.056,75;38.139,75;2.184,25
31.03.2022;06:00;07:00;60.895,25;43.453,25;573
31.03.2022;07:00;08:00;65.436,5;47.391,25;3,25
31.03.2022;08:00;09:00;68.471,75;48.304,25;1
31.03.2022;09:00;10:00;69.495;46.337,25;1
31.03.2022;10:00;11:00;70.756;44.354,5;5,75
31.03.2022;11:00;12:00;71.144;42.414,5;75,5
31.03.2022;12:00;13:00;71.280,5;40.416;296,5
31.03.2022;13:00;14:00;70.309,25;37.887,25;1.115,5
31.03.2022;14:00;15:00;69.241,75;35.577;1.663
31.03.2022;15:00;16:00;68.580,5;35.663,25;857,25
31.03.2022;16:00;17:00;67.759;36.055;797,5
31.03.2022;17:00;18:00;67.888,5;37.857,75;707
31.03.2022;18:00;19:00;68.369;39.488,75;1.256,75
31.03.2022;19:00;20:00;68.455,5;39.896,75;246,25
31.03.2022;20:00;21:00;67.074;38.197,75;407,5
31.03.2022;21:00;22:00;63.964;34.835;949,5
31.03.2022;22:00;23:00;60.983,5;32.697,5;2.288
31.03.2022;23:00;00:00;57.827,5;30.633,75;3.011,5
01.04.2022;00:00;01:00;55.158,75;28.450,5;4.461,5
01.04.2022;01:00;02:00;53.882;27.335,75;5.866,25
01.04.2022;02:00;03:00;52.920,5;26.712,25;6.043
01.04.2022;03:00;04:00;52.810,75;27.149,75;5.671,5
01.04.2022;04:00;05:00;53.858,5;28.127;5.022,75
01.04.2022;05:00;06:00;57.287;30.911,75;4.079
01.04.2022;06:00;07:00;64.275,25;36.807;668,25
01.04.2022;07:00;08:00;69.220,25;41.310,25;17,25
01.04.2022;08:00;09:00;72.397,5;42.967,5;5
01.04.2022;09:00;10:00;73.431;41.403,5;80
01.04.2022;10:00;11:00;75.001;39.973,75;87,75
01.04.2022;11:00;12:00;75.903,75;38.141,5;19,75
01.04.2022;12:00;13:00;75.643;36.888,75;256,5
01.04.2022;13:00;14:00;73.861,75;35.499,25;724,5
01.04.2022;14:00;15:00;71.969;33.905,75;1.285,5
01.04.2022;15:00;16:00;70.407,5;32.699;1.209,25
01.04.2022;16:00;17:00;69.001,75;32.844,25;848
01.04.2022;17:00;18:00;69.597;35.242,5;335,75
01.04.2022;18:00;19:00;69.255,75;37.523,5;128
01.04.2022;19:00;20:00;68.696,25;39.292;30,75
01.04.2022;20:00;21:00;66.705;37.672,25;244
01.04.2022;21:00;22:00;63.355;34.115,25;1.078
01.04.2022;22:00;23:00;60.708,75;32.516;1.525,25
01.04.2022;23:00;00:00;57.481,5;30.890,75;2.820
02.04.2022;00:00;01:00;54.442,25;29.711,75;3.488,25
02.04.2022;01:00;02:00;52.531,75;29.495;3.245,5
02.04.2022;02:00;03:00;51.082,5;29.642;3.188
02.04.2022;03:00;04:00;50.162,5;29.210,25;2.530,5
02.04.2022;04:00;05:00;49.549;28.814,75;2.274,25
02.04.2022;05:00;06:00;49.503;28.911,25;1.483,5
