"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
"2016-07-22 11:00:00",69152,64856.2848087487,65995.5042587711,66432.2083078781,66432.2083078781,66530.0164603883,66656.0776318912,66795.5161981895,66894.3323886297,66903.3924757613,66938.723158874,66951.0341458437,67068.0921080472,67245.197727734,67441.3140631596,67673.2449464522,67772.2260649978,67952.8084004191,67966.2072602686,68276.8568231928,68362.9963260626,68563.072836425,68588.9316674149,68810.3713502346,68849.1323872721,68945.4818387379,68948.0758258399,69010.8669929989,69088.4826424987,69116.5770868658,69133.7815154486,69185.0889775419,69185.3664626807,69212.9473537522,69265.4856047068,69306.9829721889,69353.8516714191,69431.3501174113,69447.0267393915,69543.8359291208,69555.6440110311,69551.090346733,69581.6083576711,69662.129303428,69689.7651339888,69723.7488686574,69736.7827393175,69760.7018146678,69792.7478930104,69800.5851632352,69828.9145898631,69829.4814101444,69857.1204306522,69888.3695019535,69905.4464287616,70010.8742932173,70046.5080173986,70045.8877040835,70068.6360501713,70103.5746333776,70102.0036074542,70106.1200903869,70172.8202697511,70219.0294863803,70241.1818304088,70253.7382653,70372.0021177012,70403.5484934501,70425.3204228829,70460.2533229395,70498.5444562352,70536.5262532277,70543.2278790342,70548.7895375522,70594.6002102737,70617.306807758,70894.1177631767,70894.1177631767,70924.4737017492,70946.3672234633,71424.1424071161,71485.4402754983,71642.3927492918,71748.1425587431,71750.8315546441,72072.4956301148,72118.0647597403,72292.0267806305,72813.7793867202,73070.4169373583,72851.614520784
"2016-07-23 11:00:00",57254,55307.8637198064,55553.7087198459,55763.6845168611,55763.6845168611,55796.1420782465,55888.5011560846,56128.576560605,56445.4871575061,56547.8178670124,56572.2532993175,56649.2812044068,56846.3431250249,56843.8584338437,56836.2876524791,56810.0133295328,56876.7035344684,56959.8367233319,56990.4685739017,56939.5947566501,56991.8464507236,57058.3299135602,57294.0743611518,57289.8274829158,57303.0986428396,57386.9380817232,57387.4343970455,57395.1226869327,57423.8749264296,57417.1915968627,57443.2819907768,57441.4887055681,57433.6385802254,57433.6547598163,57433.3324856132,57586.656883612,57592.5315544909,57597.0969368698,57702.5748285412,57712.2567108743,57735.8111787425,57869.1849356842,57971.196335327,57972.8970329272,58105.9579551776,58105.2234053552,58113.594058333,58113.5940583331,58185.998607561,58186.606090163,58187.950649095,58249.8637000169,58256.1728432189,58261.0282497559,58265.3664709928,58280.8485099712,58313.2069572099,58345.862783996,58403.8479683554,58420.7117663903,58437.853723797,58453.4528038025,58523.1917668337,58466.4194362735,58490.6768554347,58482.8349894402,58505.752655782,58580.0509157499,58584.8315427804,58580.5000257279,58575.4145107094,58600.3578710973,58611.0386218475,58616.2746795474,58963.2539587237,58993.3509112216,59170.3256117403,58957.4684075549,59140.6795776684,59231.0309580141,59419.1379054723,59513.6709230549,59595.4311197455,60240.3846417477,60237.0928156412,60334.3419177413,60270.9560626136,60356.1043596536,60564.0259425492,61698.8794318653,61668.8789664723
"2016-07-24 12:00:00",50461.25,50507.8445437752,50443.1329007685,50674.2504240428,50674.2504240427,50678.184029082,50717.0069174817,50880.9240922817,51294.394389962,51414.6129076069,51418.1620024629,51515.211917823,51691.4662060341,51669.639853627,51648.6555871207,51618.5477480883,51671.8354831532,51680.6939049779,51718.2206293962,51612.7715570512,51632.2385522126,51973.1426935001,51913.5639585374,51942.3682931175,51938.3683157986,51922.6181215724,52019.1097902199,51990.0783617442,51983.8601798592,52026.5141058558,52020.9282190657,52019.1762557962,52011.9532030121,52010.8522364849,52001.1760129993,51991.0863312455,51975.4820764345,52196.2435045036,52194.8940015334,52332.0507343626,52298.7711791315,52296.7743479566,52412.9513670208,52647.59545988,52656.0219663105,52820.3541826983,52810.4466839294,52801.4390008575,52796.0847166167,52864.0316652629,52861.3992300463,52857.171194245,52931.4415141268,52917.4189674091,52897.1756747898,52903.6106440499,52884.8823605095,52877.8838603762,52877.2822667642,52922.5627980608,52926.0357222967,52934.4350874613,52994.4302925174,52980.5025163855,52973.3174679374,52970.753215317,52960.7851454744,52955.928745845,52954.7247862944,53013.7120290685,52969.5849259376,52989.4245245865,52997.9549406049,53000.0067341685,53446.4684966028,53495.7720015811,53320.6560695147,53350.3220146366,53586.601932975,53646.1772854831,53763.3305319853,53825.2563097652,53878.814991176,53928.6113905475,54786.3248582653,54584.8629050057,54691.2314876616,54745.0879582543,54851.0325299469,56111.8964375886,56021.6486531357
"2016-07-25 11:00:00",69264.25,62690.030899272,63936.581645099,64614.8521292762,64649.936262421,64704.7850368758,64759.0279541351,64646.2419260868,64729.882753163,64729.8951137265,64729.5739104963,64729.4546814768,64729.5124910139,65103.9525234251,65387.9916686353,65813.5716616956,66050.2915578721,66051.5549602298,66035.1115404012,66448.8155547205,66644.9699288401,66867.5691093692,66845.8777497774,66970.1622243392,67226.9952344545,67264.923917647,67316.8704427155,67406.5009110393,67536.1148825457,67574.5269795259,67574.7156413628,67577.3743318937,67625.9479288943,67626.2412125088,67643.3389406379,67723.1655905705,67693.9880844651,67878.1560214066,67966.1234703609,67977.3211457042,67980.6275624337,68117.8073313018,68148.4669024232,68151.9230117264,68245.5940864541,68260.355212178,68318.914948933,68302.2240684696,68321.9527389116,68322.5463516297,68325.2696407686,68324.6424496699,68343.8868854526,68321.4759827056,68337.5468367166,68349.8383491071,68382.5963874519,68439.2987422149,68397.3447790014,68492.8515646541,68506.8153766506,68506.1700848427,68484.6040005457,68510.1092445615,68510.0510307521,68563.0378944303,68599.9687409296,68636.6530848285,68683.1322743871,68684.5717870057,68698.8256230754,68710.2784314645,68711.0494978333,68708.387618823,68830.9524621677,69032.9192020143,69119.0404520285,69126.1918873063,69101.6292763673,68998.5220280237,69347.6679919648,69532.9508794035,69693.1992847519,69842.1908838947,69914.8659923187,70354.9460861616,70293.446649146,70475.7992030425,71046.0578016024,70821.7565641123,71105.9110901512
"2016-07-26 11:00:00",69660.5,67592.0245096802,68262.0452591804,68317.9197904344,68740.210138672,68744.0004946301,68735.3100460658,68744.0838647388,68765.2472064637,68791.7846842877,68790.181576916,68864.0146533441,68919.3332209467,68943.3620833971,69191.3398493276,69239.4877130633,69418.5090361294,69410.7665683795,69464.3115225439,69609.1927883739,69630.8678096741,69785.9960486087,69808.874441792,69852.6621309967,69889.6747197845,69891.8144384346,69900.721156992,69939.6268932724,70039.392616954,70059.3545635495,70081.7903498889,70074.9028205601,70073.7168872085,70075.1036350582,70075.5926239009,70172.2680266443,70225.1516429916,70261.9216801167,70322.4944221673,70349.8649185029,70368.2725976605,70425.8516654023,70429.4866797988,70451.6020429025,70578.6224683973,70635.058311197,70645.2983167181,70667.1174250825,70671.9677651607,70682.0825805774,70706.0793087411,70708.1441043002,70717.7399711133,70746.897424552,70736.2833961438,70754.2289586777,70892.5378221129,70882.0699910614,70921.1765649286,70921.7023490893,70917.2042431995,70920.104459987,70960.7210434082,70955.4745768378,70979.3572052347,71086.594613512,71128.8351571006,71180.7214144347,71190.1612069178,71203.0595037468,71214.1439521692,71232.1852937386,71245.5738216325,71328.2985695423,71366.2414772547,71369.0636880613,71369.5746493855,71370.0053345551,71481.8673539187,71545.7478484974,71823.634503762,72045.4728669854,72237.3375580159,72415.7245258832,72350.3437051029,72629.4064675519,72613.7346040421,72821.123853787,73442.450332448,73765.7105142246,74012.9749544266
"2016-07-27 11:00:00",68991,65489.9767390698,66192.7472840019,66683.4658122894,66684.8826957866,66832.5375801825,67040.0238890536,67237.0404237064,67242.0685260977,67301.3942150433,67469.1063505445,67584.6025474069,67597.1637859483,67645.311879846,67657.2189189068,67873.6038083679,67967.4913565547,68101.1506617242,68237.3682617581,68479.0325780089,68529.6019666279,68589.9629028125,68678.9899865872,68749.6128377312,68869.0723505728,69035.6220329998,69048.3675062546,69070.6378877422,69139.4943760965,69186.8453496933,69202.6369772364,69256.2294343016,69268.0285784076,69285.5426215647,69298.1505539839,69354.1033293347,69405.6993881788,69438.7410298385,69440.9284404076,69512.9814261476,69537.7465803586,69563.0431958017,69619.4292364828,69650.9427303032,69719.5135623679,69770.8550564528,69785.8392579166,69810.179117784,69842.4920613445,69881.8403104916,69891.0864338871,69894.5956387837,69927.6787093355,69930.5165449932,69978.4395110912,70102.3782122049,70135.3663539219,70152.8505008741,70193.5985822981,70198.2355159736,70221.3922128898,70284.1989142915,70304.8542603391,70331.9798963502,70364.3000266261,70476.431678007,70522.386927817,70539.2328462842,70587.8195334284,70603.0353513019,70630.6357880492,70657.4389616814,70680.9314842815,70787.5582552803,70828.4089436995,71010.8601724733,71013.7507629679,71018.22050534,71110.8618199044,71181.9754687875,71466.8132578981,71647.0954989305,71803.0189198005,71947.989347236,71898.6101100197,72209.3017395735,72246.5160435938,72412.5238737664,72916.0571443433,73355.6784178294,73536.5572914112
"2016-07-28 11:00:00",68444.25,66554.2699362542,66768.6819578265,67062.5260744964,67585.4321347237,67603.7639036411,67866.3598995991,67928.9119931013,67923.0783294469,67934.8521652366,67946.8019458027,67951.1946823213,67971.8323283343,67985.2764474062,68004.7543429869,68319.870446866,68396.1639142813,68533.7027852295,68259.1648282987,68299.5062216522,68341.9475846685,68450.6426194131,68447.4890335414,68521.7347605967,68567.5884306522,68565.3775308777,68555.7124050834,68562.6526556755,68505.3651593692,68674.1206939949,68666.1740368716,68638.8313994531,68580.9479811847,68622.137170141,68627.9153572755,68644.5670214445,68762.8158265858,68809.1790753062,68869.8732699987,68906.7063542765,68928.563325744,68986.4362725714,69021.0335408469,69020.4204462823,69009.6604312759,69236.3696515288,69286.8836103808,69309.3091490806,69327.2603570508,69310.9275820944,69305.3324320738,69329.3716381191,69331.7983625959,69330.1651392483,69328.6247267201,69314.9926370884,69312.4541143708,69327.0652494181,69440.0455007893,69453.2489541146,69449.3653980472,69422.352622064,69437.0991779915,69433.7300440945,69428.0787273617,69511.790660792,69543.8230114602,69557.2766105457,69595.4764438367,69601.8178042189,69600.742410947,69611.5730920676,69592.3827938797,69562.189109253,69623.3435893562,69576.1356072894,69586.853067891,69594.6889259023,69737.5240476174,69788.8659562914,70045.414230147,70282.9105704543,70488.3176122834,70679.295635252,70666.3385183855,70841.6419840181,70709.3961365429,71088.3888988592,71748.9453570932,72061.3792065541,72327.6859764129
"2016-07-29 11:00:00",67636.25,65065.3455469724,65172.7155176283,65358.7568173493,65727.6867651573,65738.7444688075,65923.0129413924,66107.0140805853,66201.347531205,66343.8416362933,66421.5531950345,66458.90582083,66495.3880187966,66506.4139009581,66524.1178137035,66774.7353954018,66835.7212596443,66948.3827609164,67013.0652198482,67035.6394039807,67167.6773392114,67272.5889067764,67305.069705626,67389.5003376103,67530.3681641613,67568.4592736787,67593.6166469863,67597.0152963617,67641.8994512709,67643.3341159128,67677.5207234593,67721.3811236746,67736.33347184,67747.1624202834,67778.2773252887,67783.8864428003,67857.5427437533,67874.7603291173,67925.3088270643,67973.2255347788,68013.7088570567,68091.267769205,68107.9804836977,68140.7615979045,68161.4183636308,68200.3517859716,68348.1775074932,68369.347082406,68383.891358793,68406.2784112532,68418.9203361048,68428.709039483,68445.7712226182,68461.8708612952,68483.2735092525,68559.0908800332,68578.160277142,68592.5630833294,68601.8348658406,68660.1232963944,68658.2698402962,68717.7425685285,68713.006772133,68755.2241798792,68778.9860751929,68861.9786469836,68898.9066514481,68944.7548073805,68955.8221984153,68984.3783183396,68991.5080191645,69004.0931499143,69015.7257877369,69045.6330880532,69077.2430758046,69236.6915905644,69246.8546499969,69256.7098718789,69271.5238693306,69436.9153864684,69697.5308354604,69886.2260358662,70049.425699796,70201.1612434702,70286.2077405825,70478.941199258,70443.6852774336,70678.0774204624,71200.2351918687,71651.158514574,71839.2721900021
"2016-07-30 11:00:00",55860.75,54561.9586009214,54675.7855966139,54726.6318051715,54827.6683853439,54830.6877679011,55141.1032088679,55174.031534693,55189.6456940516,55506.7574197101,55569.0817861744,55749.6442008626,55765.5880201729,55768.6381549816,55773.5356606619,55993.3948041198,56002.7632196714,56010.1105913968,56120.622739577,56136.1946976451,56143.2253907624,56188.0173129186,56355.6364101174,56377.3803494006,56458.3877400941,56468.3976854307,56471.1292580496,56473.4015670077,56480.2441135763,56481.6651501961,56576.4017505633,56576.1289441729,56572.6611556127,56613.1894174318,56616.6171743529,56619.6569061311,56628.4164877045,56642.214552745,56754.3039249192,56774.1018387351,56774.9786842353,56906.3488784543,56895.6207128854,56900.7665616258,57090.1621400248,57149.8637182845,57169.6470725821,57280.0395650218,57267.7294847074,57336.3474017593,57333.3415849825,57332.8816483382,57401.3953723836,57426.7743431414,57441.5165898503,57416.7920023735,57414.0682817435,57486.2917178674,57488.7829664823,57495.5563336804,57592.81116942,57585.7617929452,57622.9208623768,57627.7131259897,57632.4295061926,57657.2108729668,57657.6293980193,57665.3321158717,57667.528827173,57688.8729043465,57696.8206229854,57690.5125212562,57719.7027222557,57776.3367521868,57769.9646758423,58062.2405267513,58056.0572679901,58066.4509583221,58116.2300875849,58370.8333556572,58516.9848847774,58607.9066789393,58686.5435823645,58759.6565594795,59299.7167998511,59596.7091035062,59908.6041530621,59480.7102941292,59683.7726086603,60752.8422378242,60727.8544441459
"2016-07-31 11:00:00",49978,49117.7030333529,49239.0254694104,49295.9713825934,49397.7422899108,49401.3069930645,49817.5387850337,49827.0655582423,49831.1012564261,50157.7378778155,50178.331239732,50415.7618176852,50411.5102279195,50410.375298575,50408.5529781661,50486.6596234458,50472.0805281966,50680.1935398813,50671.8530859504,50690.5439272576,50670.8136551974,50761.3335308786,50761.2605597364,50759.7440509866,51034.2425404937,51029.7736585866,51030.1556168541,51099.7243953546,51088.5321890628,51088.2413871571,51088.9680433164,51184.1558082358,51178.5106838612,51171.1381648733,51228.9311873625,51207.9851514101,51200.6727133535,51177.4000478572,51228.0340121885,51197.1649901969,51377.3961792301,51389.7825170454,51513.1990975984,51538.0022106589,51528.8128261659,51696.4532510546,51860.6559563163,51891.0699372305,51913.6890696069,51884.3632657172,51880.285001914,52006.6282188279,52000.9990789743,52103.7892756461,52118.2953434388,52008.5191209596,51982.8126042841,51981.6683421611,52053.9719375684,52056.3231587937,52050.9669276171,52048.3476782153,52124.8888638457,52173.7494496073,51996.5244297011,51997.6698435651,52136.0033937222,52126.2846955422,52123.5130538263,52131.0111590003,52122.3494080593,52113.5894175309,52090.0512175228,52191.4017080647,52172.6294907426,52503.0709760281,52504.1075008393,52511.5624939563,52561.3571448516,52806.0252788425,52784.9209668125,52971.457332376,53020.3301438746,53065.7698368559,53702.7878331446,53966.1045838677,54016.7348696163,53926.1334028836,54024.6139272311,55196.1300732689,55112.2972235874
