"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-12-31 17:00:00,58511.0000000018,52899.7109396129,51552.0002360958,49765.8775417195,57323.217190539,53385.2311518766,56278.0827122755,52958.1144442681,53206.1173651666,52302.8904136537,54449.1345307323,54041.8572670787,52831.4635562461,55075.2201324674,52783.5398493166,52255.91685261,51778.9000169798,54337.7057926568,53746.2489235192,53556.6185846291,54710.881801725,53324.0315215784,52391.5746283669,53257.0319886129,54448.3759779504,52334.8661971041,52205.7765837066,54362.1393908447,52771.3315349614,52558.1857862996,55075.5701726739,55015.1090002835,52060.3149646707,55345.4727986716,53684.1648839581,53945.6720139456,54118.7715055831,53837.9785290281,52624.3313481772,53638.7852595371,52868.0849561092,53473.4351455811,53102.7797874508,54899.796887619,53717.5889283744,53025.1252176356,52466.6062756731,58738.5864253355,49131.5050240916,52418.8216833989,51589.7974496982,53508.5209920184,51406.5167808056,51174.9003884395,52038.6526512573,54179.9087850942,52682.9272131961,53278.3887854794,52931.8181620478,54140.7330362607,54089.7108873258,53127.0440572742,53419.5105720907,51775.2743076632,53174.0859397242,53793.6653835056,52857.7885245858,52717.2308125814,54226.3284285177,52012.2135822744,51259.4179953553,52191.0865017719,53962.7939813054,51669.6764170008,52270.4743284481,52096.0212202697,54305.8397012017,51836.1112126067,54534.3561821746,52524.0343334673,51350.6196474595,51913.221177898,52134.3189310186,51097.7621554436,50772.4241581822,50701.8759964824,56171.6890376846,48110.7898238315,50991.9073280103,50529.3015005797,53048.8373045158
2017-01-01 18:00:00,55528.2500000005,45425.683034431,46269.5367460751,52425.5242503565,49026.4931229873,50204.5058679935,48083.1435930934,47100.5090954422,46928.3739312757,48375.5576864504,48117.3723850323,46757.8867119641,49001.6432881854,46975.0655986744,46182.340008328,46795.2374935698,47744.9703537354,47672.6720792372,47483.0417403471,48637.304957443,47219.9562874594,46371.7320093634,47396.4630881658,47546.9840056612,46322.1488996881,46737.5785964171,48288.5625465627,46697.7546906794,46640.0167769169,48050.1878080891,48520.6181931493,47687.556466248,49271.8959543896,47870.2144270017,47988.3920821695,47941.4313664754,47475.5326943424,47026.1680791386,47565.2084152551,47376.3405294312,47812.1756301572,47182.1256975403,48826.220043337,47644.0120840924,47024.8873997287,46393.0294313911,52665.0095810535,45871.7783438815,46929.2570820256,46517.9786818465,47434.9441477364,47274.9143404087,45750.903001561,46840.0247547207,48106.3319408122,47357.0970769544,47183.4551443309,47365.7266819664,48530.319395636,48887.6918565212,47029.2029431688,47664.564147103,46536.4463283933,47592.1688369093,47743.4529706489,46784.2116803038,47338.7373316389,48152.7515842357,46243.1173900992,45577.1235600534,46117.5096574899,47889.2171370235,46148.8111470802,47566.250769647,46043.8511703312,48232.2628569197,46752.2774014271,48460.7793378926,46450.4574891853,46475.2888424099,46887.5532051053,46873.9451649101,45024.1853111616,44698.8473139002,46189.5222664902,49428.101604666,44317.9700132606,45432.6469588707,45504.2518407846,47938.3929102954,48229.8335040655
2017-01-02 17:00:00,70463.5000000003,69018.5642890039,77454.718191629,73126.3780217311,75852.9668363231,72826.5438569101,73042.9772168328,72164.7353074286,74034.9474646941,73468.9129162528,73114.8564528704,74513.4618194224,72320.7160454218,72136.6502336317,71128.9923812501,74745.8752561853,73284.4000484199,73955.5258242551,74463.3754292497,73410.1553657638,71795.2874267131,72426.7726870086,74855.4092079609,72431.1098541682,72232.3630342045,73727.5212061314,72997.5109111922,71776.7210807517,75532.8124155876,75169.796877835,72494.3553477117,74966.0793932545,73972.757268947,74396.2905252653,74574.2194529641,74169.0727270007,72413.9471185697,73535.6537881586,72929.4287233159,73751.869481376,73004.6093643734,74636.4749208873,73609.3012047891,73081.4161251754,72578.0183799748,79028.7034153059,69556.9129503726,72305.0014353742,71650.4853044862,73583.436847045,71272.8674589099,70811.2924592038,71534.9901248881,73635.5597929231,72771.8404728814,73429.0683255372,72872.8479329847,73766.6421078465,73680.370006796,73371.9317245315,73218.0838344933,71862.1555247335,73244.3079115223,73650.0228065663,72702.867555711,72644.7276441442,73928.5737579351,71584.3614579342,71759.2773193717,72069.7036513999,74355.6819443322,71326.8409338994,72383.3638798908,71391.1644399945,73846.1748513868,71952.7878736872,74129.7676964349,72850.2431367049,70734.6925792194,72037.1729157621,71714.9416049129,71009.0437878304,70676.6364006004,71219.5794117865,75593.273587978,67363.4765711159,70356.5573644841,70166.5427899041,72364.6768258531,72807.1918872007,76240.7730154822
2017-01-03 17:00:00,74107.2499999986,74483.2966741484,71551.9664568677,74016.9546105727,71246.439539151,71451.6545245136,70548.3453105677,72420.1406226667,71920.0904718969,71507.2526598258,72901.2742749853,70741.0735545357,70516.29123531,69680.3134029289,73081.3459267961,71680.377938681,72367.5278857076,72832.9601358774,71818.9165183606,70260.1859149527,71083.4775125789,73127.5633848989,70843.4657585979,70588.2882904934,72177.8247384253,71374.779845141,70416.7034446064,73535.7444272902,73364.8811964134,70868.6589855134,73297.5841127605,72400.4433865389,72742.5183509924,72950.4325933011,72575.698153494,70827.1244453397,71900.6063285892,71317.8016634362,72174.829271942,71431.7838697178,73019.6421031955,72028.0838239807,71477.0239217953,70925.0186760846,75665.9929526808,67386.1709691364,70724.2962218005,70033.4017814951,71933.6080398569,69613.8084712229,69175.8896468033,69897.9587628359,72044.5034757103,71143.2261672922,71841.2768530522,71289.7515135223,72196.2408892662,72090.7545404955,71714.586638118,71571.3465611984,70234.3459188937,71646.8662056755,72078.4648075389,71076.0953266914,71015.8159732028,72292.8069427267,69929.5623131015,70151.9500137985,70471.1344987158,72597.722245434,69693.1801640211,70800.4148711754,69965.1067705329,72211.7908697563,70295.4748780861,72455.2479375616,71274.3291537757,69216.802669024,70371.7450070142,70093.123968385,69192.5848784063,68805.8496171738,69557.0921362633,74129.4380864527,66069.0133077859,68730.6476421366,68241.8798921211,70887.1490639417,71250.6535318441,74223.9933955034,77477.9956679956
2017-01-04 11:00:00,73758.7499999991,73343.7308156735,75813.1209535836,72865.5727701571,73109.1538787298,72251.1527614013,74303.9112929403,73992.0953057627,72932.2808344423,74807.4714083986,72743.716258301,72187.3123668299,71759.0896091024,74507.8777624735,73683.8368093643,73780.7577641134,74554.9659536563,73258.1712643583,72299.0985627265,73132.9234275168,74677.8984903351,72285.8622811036,72172.9888500091,74252.6750160952,72812.0982472923,72491.7053972954,75319.5285389332,74916.0588048648,72305.3330536592,74951.5278120143,73800.4550002413,74213.274513452,74399.9564807701,73978.0366230086,72531.3886616416,73587.916913762,72830.1005290509,73576.5552668408,72997.4825837881,74646.6416207784,73665.4552635036,72912.8254300926,72399.314110135,77365.8808519893,69115.4048741969,72371.8729471999,71473.4383459596,73422.127048568,71353.9350633788,71155.7746555945,71990.7831366838,74109.2773920331,72606.4352461461,73249.2389512465,72851.250515496,74070.1798418612,74024.5181496007,73199.2308959352,73361.3314578503,71705.9897690798,73072.4793265088,73711.4561392886,72807.3793323419,72659.7152529018,74156.2044125829,71883.4665802409,71579.4137750505,72101.3760683673,74122.832728567,71573.3782505661,72230.7417076115,72013.0690437664,74203.5011045762,71761.239581435,74386.2902354837,72670.0658910969,71298.2885783464,71851.4488762904,72079.2998583924,70857.5027220757,70513.201350685,70994.1228487975,76026.4800727461,68094.6896739368,70756.3240082875,70267.556258272,72930.0083387009,73306.0739494475,75863.611051723,78858.3100455702,73667.3873327993
2017-01-05 17:00:00,73153.0000000017,74745.5875181676,72441.1966521396,72094.1909585326,71205.4553272307,73031.7184590769,72602.0475023757,72169.133493605,73506.2799477804,71409.0365845601,71165.512347305,70424.4099353615,73695.973480432,72312.7821758306,72977.3315865817,73438.9350729301,72436.0835550979,70964.4188889856,71789.6297238009,73740.8642139317,71485.8260222507,71272.953810383,72868.5339948339,72048.9509064551,71157.0257235545,74441.1310579338,74135.0492548815,71542.1857128219,73858.0234763226,73014.8357475592,73340.821174729,73540.5381967209,73186.8390959563,71460.6327953352,72517.7733653265,71991.9468818783,72791.9963086793,72226.8024360561,73621.4113009513,72645.250860718,72124.4196965631,72332.8095191649,77556.9147851399,68165.3095790734,71358.240591273,70710.2910051223,72550.7750765942,70355.1964977238,69821.0949818536,70656.1034629429,72734.0006000158,71861.6722403774,72458.4438897895,71934.9687001735,72807.1588507203,72707.9215772328,72331.7536748553,72964.7234777635,70912.6419148233,72264.0332424128,72695.6318442762,71760.3932040295,71693.2623634286,72901.763069403,70650.5688182324,70974.7166959443,71133.4582720473,73208.6799935849,71039.1151120701,71444.291482077,70678.3893700255,72820.4357588128,70988.9120437515,73042.9416250508,72344.821232531,69963.6089046055,71088.3015354531,70769.1170505358,70074.0453415981,69423.0166539111,70230.9755079602,76329.5243428463,66760.0100001959,69421.6443345466,68932.8765845311,71594.1195693285,71965.9024542711,75100.4637108857,78095.1627047329,73970.4316028995,73973.7285351638
2017-01-06 18:00:00,69877.2500000027,63406.8586247182,62538.0333676102,61724.9301141465,63706.4181206264,63393.0750662586,62369.2001821573,64149.6239768826,62157.4402283694,61601.0363368983,61172.8135791708,63932.5349797921,63093.3527957488,63214.9024361115,63935.7742034546,62683.5936260043,61712.8225327949,62576.2669746595,64053.2806201826,61699.586251172,61586.7128200775,63625.4079303625,62432.2813521936,61905.4293673638,64813.532497809,64472.8497424303,61742.2524013742,64311.7512911967,63231.7851476292,63632.2606635958,63797.4951868942,63408.4450885538,61945.11263171,63001.0598951822,62263.5382182513,63569.1768036634,62837.435261482,63998.0359921791,63061.1858196399,62342.5232131378,63302.6775310433,67988.7506131496,59027.0533637253,61785.5969172683,60910.3576936746,62845.3175492703,60968.5352115618,60569.4986256629,61404.5071067522,63518.7056640364,62463.2179012261,62706.7586854636,62274.6555514086,63482.4042438251,63434.7403148271,62531.8203634076,63827.0454070101,61439.0181255795,62512.0372952958,63118.9623034169,62219.0831839972,62207.4653200631,63546.6764092239,61297.1905503093,61588.0554097823,61515.1000384357,63642.9075117964,62014.1260467195,61644.4656776799,61426.7930138348,63601.2488990108,61316.9405114246,63773.4157624254,63210.6074393969,60712.0125484148,61288.3682240054,61493.0238284608,60356.4422646045,59926.9253207534,60462.7194953198,66425.6871069294,57508.4136440052,60170.0479783559,59681.2802283404,62408.3658284588,62739.3197987387,65338.597191043,68117.2081537816,65036.8052047487,64669.715472679,64300.9861297536
2017-01-07 18:00:00,65873.4999999979,64246.5206247061,63388.5195073777,65435.4730853143,65083.1335840241,63899.8737121369,65928.9401171222,63881.0830042773,63324.6791128062,62896.4563550787,64848.8228852649,64802.8220094799,64559.4937945443,65691.1251637287,64395.5380103346,63436.4653087028,64270.2901734931,64816.0588534508,63423.2290270799,63310.3555959854,65349.7904847932,63826.2029997507,63629.0721432717,65587.6488622527,65585.1161540382,62764.3941538547,66069.9141332221,64725.2836597383,64894.7076858971,65014.6548962021,64413.6966439713,63668.7554076179,64667.9658353269,63987.1809941592,64498.6982038266,64132.0086043667,65751.8718398447,64758.8381876792,64032.1363848891,63536.6808561113,67992.8227172277,60252.7716201732,63509.2396931762,62607.045043307,64539.3422620123,62491.3018093551,62293.1414015708,63128.1498826601,65207.5465878375,63743.8019921224,64311.2181830193,63998.2983273165,65161.884895577,65129.462051739,64157.3053373492,64481.0975616498,62843.3565150561,64208.3475658972,64821.2035553406,63942.7259599051,63797.0819988781,65246.6441380094,63020.8333262172,62379.8457811512,63238.7428143436,64926.8040527694,62710.7449965424,63368.1084535878,63150.4357897427,65293.5711585593,62898.6063274113,65504.8127503126,63579.7465567336,62435.6553243227,62922.0523962877,63216.6666043687,61994.8694680521,61650.5680966613,61189.0108850884,66583.4448714273,59232.0564199131,61893.6907542638,61404.9230042483,64066.1659890457,64443.4406954238,66950.4876995599,69859.8530214171,64235.1908507352,66249.1406575078,63962.8783034552,65340.5804145511
2017-01-08 18:00:00,61566.7500000002,61314.5384624524,63275.8094398679,62940.6738512768,61825.8926672116,63710.0273218294,61807.101959352,61250.6980678809,60822.4753101534,62747.2225104153,62684.8571427539,62465.361217087,63577.9872354529,62292.2621128277,61362.4842637775,62172.5395797808,62485.512749619,61349.2479821547,61236.3745510601,63266.5993696258,61752.2219548254,61555.0910983464,62923.8578705857,63449.6759365347,60690.4131089294,63854.9590721969,62593.9847904016,62774.8418403396,62852.8230078441,62321.5569654093,61594.7743626926,62555.2081825391,61913.1999492339,62407.1165167245,62058.0275594414,63618.3516547073,62651.302614813,61958.1553399638,61462.699811186,64876.5066546346,58178.7905752479,61435.2586482509,60533.0639983817,62424.7171589013,60417.3207644298,60219.1603566455,61054.1688377348,63087.9038506517,61669.8209471971,62196.3091285678,61924.3172823912,63055.4810068137,63009.1525390988,62083.3242924239,62369.4596504985,60769.3754701308,62134.3665209719,62728.8409645546,61868.7449149798,61723.1009539528,63133.5655429122,60946.8522812919,60305.8647362259,61164.7617694183,62820.7266409718,60636.7639516171,61294.1274086625,61076.4547448174,63172.6630930841,60824.625282486,63367.2969939913,61505.7655118083,60361.6742793974,60848.0713513624,61142.6855594434,59920.8884231268,59576.587051736,58813.1630928758,64175.1596125825,57158.0753749878,59819.7097093385,59330.941959323,61992.1849441204,62339.715599046,64509.463826502,67785.8719764918,60302.4730002006,63995.9330882968,61888.8972585299,63219.5901136339,65918.8416723024
2017-01-09 17:00:00,76083.9999999976,78449.4303802673,77782.6792948381,77502.8886107916,78881.9471296058,76790.0605482642,76597.3323042962,75661.7088651221,79068.6290969239,77615.3547192445,78260.7778634847,78791.5053447208,77720.655559819,76283.3329126222,76973.6000759406,79130.3329205246,76892.4527523264,76637.2752842218,78133.8390393413,77366.7886571647,76344.999066777,79988.2011550871,79584.7314210187,76917.6459792419,79176.5503786274,78416.5148794361,78646.7092391625,78950.2612687138,78504.23493129,76876.1114390682,77870.2109709497,77338.7385072508,78148.3020529845,77423.7668388695,78999.4195870296,77967.192162671,77480.7708634462,76974.0056698131,81574.8551127679,73435.1579628648,76773.283215529,76142.1109621135,77927.3475719554,75742.1671577496,75241.5718721348,75978.54930683,78033.9330345768,77192.2131610207,77743.0932844997,77323.3161475042,78178.6492532142,78107.5804512073,77659.5692090098,77546.1562189064,76344.4618718145,77590.357231652,78081.7160934632,77125.0823204198,77064.8029669313,78245.2278829947,76082.3887752236,76248.0863912044,76565.2782290384,78618.6590529475,75825.0681824699,76849.4018649039,75915.6882997861,78225.8004525496,76420.7320007427,78469.1276163952,77295.4265328795,75200.9078343661,76520.1214924443,76200.937007527,75505.8652985893,74854.8366109023,75662.7954649514,80304.4424504839,71997.3089299565,74664.8220363223,74170.1755142917,76814.6473639184,77233.5619306344,80259.8956539825,83526.9826617241,78084.2708330391,79346.571106489,77908.434612182,78341.7939364552,80758.0752272711,79413.8681901419
