"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,65559.5,64795.8197965892,66515.502143535,65911.9504554726,64111.5052582862,63627.2050590699,64686.4962917828,64174.0867655114,64423.3939185586,65792.4296401662,62020.5359387121,61000.7375043156,68440.1781730371,64916.2914069912,65459.5465112017,66267.7650746839,66954.3453614431,66496.7978887105,65582.2664821369,64562.4756017529,64228.9793972014,65176.6626445267,64746.2416199288,64502.7112466989,66109.7509061521,65459.0049567797,63398.0824591783,65149.741665709,63209.5974648997,63159.6768656891,63536.241480923,64025.4094697053,63887.887022666,63784.5959255721,65026.0998229686,64076.4587030244,64174.278433748,64335.9715562288,65850.7475433793,65956.841186405,64998.8450177149,65256.2002520811,63468.3547848181,64492.1509958889,65269.7192451838,65471.169766613,65326.5630198645,65545.3421052471,62603.6122700816,64340.4113786443,63743.4116071177,64248.9239018172,64038.908119321,63712.5532567824,63498.2038211339,65683.1892667191,64132.8708488094,66217.8765685086,64949.9155608802,65424.7662176648,65312.943923986,67000.3672425023,66324.995607948,65077.7743378477,61765.3398381939,62708.4575845895,56002.6789891902,62955.3353947772,62721.237364396,64134.890797716,65363.9545959195,64715.2211890865,64459.2117777375,69070.3654480523,68807.2667364331,65097.1753040268,63385.9531311407,63596.8211284925,66570.8316559059,66824.2609305947,69983.12784789,64404.2613647782,65028.8550794553,63752.7456028845,65710.2095494001,62320.1078766055,65621.2494979255,65788.6997141866,64228.8291153414,64440.2996052757,64846.0386442098
2017-01-22 18:00:00,63096.5,64799.9340208754,64196.382332813,62420.931850038,61941.8371856261,63002.5699831219,62172.3189000064,62725.8818533155,63103.8395593925,60304.9678160525,59285.169381656,65922.8405560658,63264.9473786255,63750.4852023096,64552.1969520243,64005.7109404295,64698.8311522479,63866.6983594773,62896.7002483529,61326.6905229576,62309.8413470457,63114.4654816486,62847.9111968317,64394.1827834925,62149.257303646,61630.7990792373,63452.5777955152,61494.0293422401,61444.1087430295,61820.6733582634,62334.6448159913,62248.0785922412,62099.4301297425,63310.8046695825,62395.9371356266,62501.2219210106,62651.0054641005,64135.1794207197,64241.2730637454,63295.255719712,62555.554187229,61526.3851132005,62787.3257659796,63562.297540386,63425.54893744,62691.9351885833,63830.2294428388,60888.044147422,61118.2689719398,62069.0278029125,62279.1542282322,61576.8351002427,62027.8434844581,61738.3827944683,63967.6211440595,61807.5079447215,64502.308445849,62958.0429678193,63713.0390808421,63606.08262767,65176.708776509,64280.9426782242,63368.343568796,58206.9619717883,60425.7692300264,54287.1108665306,61239.7672721176,61005.6692417364,62460.0168507076,63654.8678175268,63051.5300516979,62778.9042955509,65998.5460389758,67091.6986137735,62623.8294044472,61670.3850084811,61911.6369364103,64826.6705811015,65108.6928079351,68267.5597252304,62709.2485631389,62360.8905803648,61996.9851341228,63782.3435717554,60539.9064547202,63905.6813752659,64073.131591527,62131.6260837079,62748.0036363314,63140.6582472153,61881.2530058329
2017-01-23 18:00:00,77123.75,76099.0770081992,74289.7224331284,73799.6411300799,74883.9658689984,74030.1228444602,74589.3475481101,76528.8095146222,72162.7717605063,71142.9733261098,79176.5580474931,75576.273591781,76166.5369484005,76743.7349837908,76313.3374512333,77233.1777631665,76148.02729183,74928.0391998008,73623.5888015296,74500.7252235216,74972.2694261024,74715.6558132345,76360.1123903028,74783.0675357746,73527.6424965493,75310.381739969,73681.054923563,73301.9126874833,73678.4773027172,74229.6803714959,74105.882536695,73957.2340741963,75168.6086140363,74266.4595713338,74500.6672677588,74531.5682209166,76054.1862772668,76138.746622678,75153.0596641658,74580.262831076,73384.1890576543,74668.8187788206,75420.1014848398,75646.6997732563,74650.6255988594,75724.5023039311,72745.8480918758,73675.1786752761,73926.8317473663,74136.958172686,73434.6390446965,73885.6474289119,73596.1867389221,75916.149947452,73665.3118891753,76410.0008964781,74822.3523420485,75608.2891467634,75463.8865721238,77736.7471169583,76251.9867279463,75226.1475132498,71631.931927018,72283.5731744802,66144.9148109844,73097.5712165714,72863.4731861902,74321.446853738,75570.8430252959,74910.3466242253,74642.0089430633,78394.4280270472,78949.5025582273,74488.4889982855,73528.1889529349,73769.4408808641,76684.4745255553,76966.4967523889,80125.3636696842,74571.4509669532,74351.5649432123,74034.9100609761,75688.0333872926,72397.710399174,75825.4250885133,75992.9833651735,74979.4322789208,74615.8005833287,74998.4621916691,73739.0569502867,75512.6717619806
2017-01-24 11:00:00,78217,76655.0278843158,76738.2067538358,77288.0536444363,77418.1333515657,76954.9666108443,78839.7772443933,74521.7118872695,73501.913452873,81525.8652470742,77814.6719187816,78375.1287540248,78938.2604562523,80209.5927578376,79534.2283213823,78616.8508519961,77167.1025102457,77465.198189279,78370.1494484154,77359.0508220964,77400.3903466632,78765.5397358018,78649.4893538181,76673.617528739,77786.5291867822,76412.5310295802,75924.442196204,76423.6647475417,76753.2715342084,76780.4357152203,76320.1900521844,78147.9107367674,77770.9106037754,77461.633837828,76903.1636049146,78468.2905801419,78548.9213243409,78055.3481241824,78460.92393227,76698.1160607938,77044.1666883803,77830.0052139039,78673.189341621,78531.7102872521,78125.0213520908,75947.8111084855,77648.3058842743,76289.8197154734,77545.3161283782,77286.2695415818,76330.4795135636,76831.2552699441,78328.0406248473,77363.2407198757,78806.0695852836,78367.7692414971,78177.0645408452,77897.292660293,79931.2725894198,80403.1184009878,77948.4258913291,75347.390937828,76076.8022384508,68503.8549377476,75609.9978858537,75469.8774023183,76709.4908178105,77981.0002311869,77338.2831707963,77003.1002468193,82259.5194024166,81563.792071599,78659.5856500649,75903.2664919576,76141.8757959324,80735.7031876635,79346.5994640303,83041.5942014631,76939.3171683627,78218.0090338196,77002.0943314149,78901.8208067066,75638.5675822631,78619.3790468937,78436.1654096277,77212.2203294713,76980.9098784355,77485.1661991619,78261.5777173162,77946.006199112,77212.8127513603
2017-01-25 11:00:00,77808.75,77495.7591588618,78031.5066684709,78408.8623738491,77210.1166871451,79686.7335663007,74960.9602551651,73908.0456192988,82294.4687946874,78619.0361684495,79222.0850759322,79785.2167781597,81238.7153869741,80396.1256897271,79560.8329163886,78097.7507318619,78476.7630560328,79340.5762384338,77278.538025035,78222.7761946005,79469.217359662,79645.9734811326,77685.8793439713,77632.882582354,77436.3484716814,76915.6989941839,77326.7094737758,77535.6170019887,77562.0440998542,76864.5291968229,79016.9128201525,78511.41808567,78208.6711365699,77784.628445593,78661.628240689,78926.7708218554,78953.9201543059,79458.0951419359,77710.9128253256,77595.7374901447,78565.1664163788,79678.6119829546,79490.0465614065,78769.4920495264,76806.9271210241,78617.7292349138,76939.855762881,78504.0327943671,78264.5429392589,77282.1536907686,77761.1985514694,78996.0436548498,78361.8716245735,78916.5142843806,79068.581672534,79181.3218632064,78317.2968398703,80778.2289113272,81199.1464190288,78700.5795499097,76176.5133347367,76926.7341680903,68444.1097919863,76404.3084029992,76309.328509859,76977.2853737775,77886.2610533507,77762.1075677417,77368.4237908488,83288.6420315531,82359.82008964,79316.6114476021,76598.5611163,76086.6111270801,81531.7312057045,79868.6369439719,84070.7168305996,77898.2717438989,79207.6711857981,77995.2674408279,79839.392968078,76548.6708409678,79335.530480342,78759.7519205348,78034.260129752,77823.6115753318,78069.2202785151,78995.4378860424,77837.5475145317,77203.5880063693,79929.9061371092
2017-01-26 18:00:00,77819,76916.7881620073,77191.4132932709,76595.363227877,78033.1557724467,74191.0824807906,73171.2840463941,81027.5741851207,77160.1699135632,77693.6301704965,78593.7348853641,80068.2570556715,79225.6673584245,78390.374585086,76898.7619472125,77278.4836416537,78170.1179071312,77011.0806125151,77010.4300207419,78313.019455203,78475.51514983,76445.9007113765,77361.9983216364,76247.212051353,75749.9090648454,76124.4685737012,76289.7253217487,76307.9189255852,75974.1762975719,77846.4544888499,77244.5234761033,76965.2689728508,76594.7103792167,78105.5360031488,78137.661173663,77783.4618230033,78287.6368106333,76516.1730370163,76665.018960289,77455.8997803033,78508.153651652,78319.5882301039,77760.4269169892,75645.5401681413,77394.7080850762,75931.1240729696,77306.3047247302,77052.3178632979,76012.0222797827,76546.0220733321,77903.5324451023,77148.8386564483,78400.5518421937,77898.1233412314,78010.8635319038,77499.375807425,79732.8968574537,79728.150413002,77283.2477857968,74819.4087265377,75789.4538034167,68173.2255312687,75157.3554741334,75126.9272372502,76307.0465147761,77615.3767926331,76966.3663386677,76634.1183010695,82118.1837002505,80977.8132785116,78076.6733316535,75615.9095615574,75820.0204082722,80060.7351996777,79015.9700575514,82900.258499297,76697.0472299551,78037.2128544955,76764.7202676298,78668.9346367754,75388.6836261835,77868.5334920274,78022.5200133315,76727.8134125963,76627.9929661495,77067.7862894321,77728.5432764757,77566.6632538141,76859.4410691139,78759.4478058066,77641.7891610042
2017-01-27 08:00:00,76199.75,75303.1704137476,75311.8864458157,76615.9656002184,72903.2072393688,71883.4088049723,79147.2718757797,75881.5163183716,76413.1614464397,77305.8596439423,78133.9873924196,77906.0421709606,76528.6744294413,75500.6933238632,75344.2139784018,76308.3799010331,75728.7099448665,75564.5091449961,77025.1442137812,76541.2454865781,74726.5487435809,76113.5979543857,74575.5029007975,74437.1821414243,74464.1307713918,75533.9604070369,75429.6924535834,74686.3010561501,75980.125914048,75267.448289266,75645.452887943,75228.924477148,76817.660761727,76849.7859322412,76166.9873276356,76455.2713638835,74909.45838513,75382.4444219258,76195.4942521224,76794.3738686181,76385.318566852,76482.1124260821,74178.6595757908,75497.173662727,74643.2488315478,75372.0350614783,75395.5267191542,74615.4143110731,74969.6857095579,76615.6572036805,75985.7896630765,77112.6766007719,75963.8536779795,76369.4265344992,76241.9515969423,79384.7549429171,78748.9534645136,76179.1747482354,73798.1928342745,74301.5954965865,66885.3502898469,73843.9916216523,73759.718618529,75030.1579119909,76337.7288846637,75694.7394233163,75356.2360621912,80401.7560359229,79738.7868933234,76774.2841309151,74328.0343201356,74532.1451668504,78910.6980093879,77728.0948161296,81489.5591891678,75585.6416868973,76102.9431912436,75136.3138041783,77005.0608645117,73839.0526217924,76714.4972840254,76734.6447719097,75346.0711735456,75329.7830269726,75798.9627076479,75878.112507189,76291.1635475984,75576.7315031547,77187.5649373829,75707.5194977523,75649.7694750142
2017-01-28 18:00:00,66129.75,65923.1731691991,66661.1840210052,63535.2490653041,62515.4506309076,69192.4902965665,66431.0045335832,67045.203272375,67937.9014698776,67341.5778028819,68030.7772427848,67144.5044688578,66088.1331180323,64621.1356719446,65509.4354774838,66326.7812492516,66041.2960836184,67657.1860397165,65677.016328842,64900.6662577327,66662.7849581577,64726.8985410984,64679.4760506836,65111.5342550845,65540.1225962973,65402.600149258,65329.7113789941,66540.8129495606,65591.1718296164,65662.5418259353,65787.7832271278,67449.7025876623,67481.8277581765,66513.5581443069,65693.9241585358,64807.1163494943,65988.2778881265,66745.639780321,66649.4985286265,65860.9663030833,67114.1542520174,64145.3420783665,64596.2092640882,65299.3090521641,65478.3598414928,64861.0803284889,65258.1247337097,65037.7891939731,67247.6990296158,65050.954607515,67744.7184267072,66132.7351497985,67001.4683604345,66827.5360780577,68496.2273047978,67562.4585023755,66580.1813106465,62020.9099055497,63656.050479278,57517.3921157822,64476.0334475876,64273.9237190593,65640.3649831286,66923.2053735337,66281.8113009495,65961.8248529079,69319.6848792625,70321.9798630251,65752.5184635102,64968.6640437199,65172.1184348777,68068.5246967697,68360.1366420649,71497.840974482,65904.0455257144,65564.9260652429,65227.2663833744,67074.213126592,63908.4581215003,67212.7000765409,67366.686597845,65361.9073329595,65943.928271751,66360.7517708018,65141.9181856619,66873.9934228776,66194.8296468463,67819.6067633182,66014.4862478611,66236.5371780346,66969.770710599
2017-01-29 18:00:00,62740,63993.3242348812,61319.7999710953,60300.0015366988,66937.6727111086,64215.5554393744,64829.7541781662,65722.4523756688,65126.1287086731,65815.328148576,64929.055374649,63892.0342904411,62405.6865777358,63293.986383275,64111.3321550428,63842.2547722061,65441.7369455077,63164.0894586888,62685.2171635239,64447.3358639489,62511.4494468896,62464.0269564748,62896.0851608757,63324.6735020885,63187.1510550492,63114.2622847853,64325.3638553518,63424.9158889198,63478.475064327,63645.5172088745,65234.2534934535,65266.3786639677,64298.1090500981,63537.0693693014,62591.6672552855,63778.9979622613,64530.1906861122,64434.0494344177,63701.2516887404,64898.7051578086,61929.8929841577,62191.729008906,63083.8599579553,63262.910747284,62645.6312342801,63042.6756395009,62822.3400997643,65032.249935407,62835.5055133062,65529.2693324984,63917.2860555897,64786.0192662257,64612.0869838489,66280.778210589,65347.0094081667,64364.7322164377,58057.2631190884,61440.6013850692,55301.9430215734,62260.5843533788,62058.4746248505,63447.0927317265,64707.7562793249,64066.3622067407,63753.0546946701,66952.7931712573,68106.5307688163,63572.334132919,62753.2149495111,62956.6693406689,65853.0756025609,66144.6875478561,69282.3918802732,63712.6705843983,63349.4769710341,63011.8172891656,64858.7640323832,61693.0090272915,64997.2509823321,65151.2375036362,63146.4582387507,63737.4052521885,64145.302676593,62926.4690914531,64658.5443286688,63979.3805526375,65604.1576691094,63801.1883306451,64021.0880838258,64754.3216163902,63375.7227354076
2017-01-30 11:00:00,76882.25,74525.2014243742,73505.4029899777,80784.3933164945,77420.9568926533,78035.1556314451,78927.8538289477,79953.8216861723,79111.2319889253,78275.9392155868,77122.6875088686,77107.4696482104,78055.682537632,77316.7336083217,77097.43574372,78647.1383987866,78361.0797803308,76324.7354312812,77652.7373172278,76072.6826352428,75669.4284097537,76101.4866141546,76530.0749553674,76392.5525083281,76319.6637380642,77722.7355897755,76809.6905464388,76850.4692373616,76850.9186621534,78439.6549467324,78471.7801172466,77636.5162352,78173.2014411341,76400.9856431695,77006.589783924,77735.5921393911,78393.7182821528,78205.1528606047,78104.1066110875,75531.1047986421,77273.7942613433,76289.2614112342,77162.3622799004,76937.3755842136,76248.0770927798,76476.3048506676,78237.6513886859,77030.4984699165,78734.6707857773,77780.5821000865,77991.4207195046,77817.4884371278,79486.1796638679,79270.3273495991,77570.1336697166,74704.9733570385,75675.0184339175,68507.3444748523,75465.9858066577,75263.8760781294,76652.4941850054,77913.1577326038,77271.7636600196,76958.456147949,82003.7483307513,81311.9322220952,77962.2379621543,75958.61640279,76162.0707939478,79468.0168455773,79350.089001135,82785.8231297978,76918.0720376772,77922.7774849963,76686.1284855835,78554.4992672762,75274.2482566843,78202.652435611,78356.6389569151,76634.1193638503,76942.8067054674,77350.7041298719,77300.4587261033,77863.9457819477,77198.7256881601,78809.5591223883,77508.241652357,77226.4895371047,77959.7230696691,77182.3067845162,76984.3994155402
