"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 10:00:00,9207.25,8162.57445194429,8208.91411906669,8326.52528610095,8409.99717589474,8427.54600043871,8491.02089823764,8504.72387413123,8536.83600228258,8566.9015522325,8579.49122448311,8596.6699188898,8613.78644089878,8623.5243206427,8633.28294886911,8648.85637720941,8657.87665924553,8662.04927123352,8674.76224608729,8680.44870870201,8685.46583845194,8699.59277645511,8704.26096837364,8711.2872545336,8721.43706603606,8727.11442297494,8737.8398278072,8749.34433677619,8756.25625706486,8761.79637502995,8768.14985743629,8776.88810059998,8782.74320183727,8791.47090480478,8798.13015547301,8803.99845163896,8809.16210532076,8822.25722149754,8829.59959147977,8842.15265891592,8850.39170379655,8858.76065103151,8867.45746151953,8870.64020945882,8879.55723509224,8885.18409310949,8891.13456700411,8900.79933643082,8906.95322545438,8916.79176771608,8930.22518816091,8935.20704362391,8943.83527080756,8948.80207065628,8957.0581044885,8960.68187967435,8965.85489341692,8981.31555260204,8989.05095005542,8992.49275916269,9004.18194822305,9008.01019608279,9017.16760561894,9029.50251654361,9035.86105608064,9046.86131932499,9060.84620273483,9069.06053854967,9074.20002694984,9085.3643716437,9094.90199832583,9107.39155404598,9117.71975936473,9131.52855349599,9144.01486734849,9153.34270484985,9165.99883585304,9201.72175275995,9217.25422951211,9228.80077545573,9251.37547374294,9262.62439524522,9265.85344761334,9320.72400429738,9335.70693052856,9351.36049004734,9356.73774684916,9365.49891913106,9396.78908493276,9466.57869784517,9740.4241388598
2017-01-22 18:00:00,8470,7706.23382850643,7752.57349562883,7870.18466266309,7953.65655245688,7971.20537700085,8034.68027479978,8048.38325069337,8080.49537884472,8110.56092879464,8123.15060104525,8140.32929545194,8157.44581746092,8167.18369720484,8176.94232543125,8192.51575377155,8201.53603580767,8205.70864779566,8218.42162264943,8224.10808526415,8229.12521501408,8243.25215301725,8247.92034493578,8254.94663109574,8265.0964425982,8270.77379953708,8281.49920436934,8293.00371333833,8299.915633627,8305.45575159209,8311.80923399843,8320.54747716212,8326.40257839941,8335.13028136692,8341.78953203515,8347.6578282011,8352.8214818829,8365.91659805968,8373.25896804191,8385.81203547806,8394.05108035869,8402.42002759365,8411.11683808167,8414.29958602096,8423.21661165438,8428.84346967163,8434.79394356625,8444.45871299296,8450.61260201652,8460.45114427822,8473.88456472305,8478.86642018605,8487.4946473697,8492.46144721842,8500.71748105064,8504.34125623649,8509.51426997906,8524.97492916418,8532.71032661756,8536.15213572483,8547.84132478519,8551.66957264493,8560.82698218108,8573.16189310575,8579.52043264278,8590.52069588713,8604.50557929697,8612.71991511181,8617.85940351198,8629.02374820584,8638.56137488798,8651.05093060812,8661.37913592687,8675.18793005813,8687.67424391063,8697.00208141199,8709.65821241518,8745.38112932209,8751.19665738468,8766.63378809677,8790.01702059489,8797.21728409952,8809.51282417548,8864.38338085952,8879.3663070907,8895.01986660948,8900.3971234113,8909.1582956932,8940.4484614949,9010.23807440731,9284.08351542194
2017-01-23 17:00:00,10493.25,9557.16367638252,9603.50334350492,9721.11451053918,9804.58640033297,9822.13522487694,9885.61012267587,9899.31309856946,9931.42522672081,9961.49077667073,9974.08044892134,9991.25914332803,10008.375665337,10018.1135450809,10027.8721733073,10043.4456016476,10052.4658836838,10056.6384956718,10069.3514705255,10075.0379331402,10080.0550628902,10094.1820008933,10098.8501928119,10105.8764789718,10116.0262904743,10121.7036474132,10132.4290522454,10143.9335612144,10150.8454815031,10156.3855994682,10162.7390818745,10171.4773250382,10177.3324262755,10186.060129243,10192.7193799112,10198.5876760772,10203.751329759,10216.8464459358,10224.188815918,10236.7418833542,10244.9809282348,10253.3498754697,10262.0466859578,10265.229433897,10274.1464595305,10279.7733175477,10285.7237914423,10295.388560869,10301.5424498926,10311.3809921543,10322.7363513096,10329.7926460507,10338.1523846461,10343.0304664463,10350.8178295226,10355.0444471953,10360.194488132,10368.5484213435,10380.8493620251,10386.6661785211,10391.8962172565,10400.6433845057,10405.8825313141,10422.4780696878,10429.8932626163,10437.662481543,10453.0813786773,10462.4123584793,10468.3802305487,10479.4160158055,10483.1014865607,10501.2360357473,10510.3067041857,10520.6968376436,10537.3790360626,10543.2702234119,10558.7795410559,10594.0570927173,10602.1265052608,10617.5636359729,10640.946868471,10648.1471319756,10660.4426720516,10715.3132287356,10730.2961549668,10745.9497144856,10751.3269712874,10760.0881435693,10791.378309371,10861.1679222834,11135.013363298
2017-01-24 10:00:00,10704.75,9697.17726457122,9743.51693169362,9861.12809872788,9944.59998852167,9962.14881306564,10025.6237108646,10039.3266867582,10071.4388149095,10101.5043648594,10114.09403711,10131.2727315167,10148.3892535257,10158.1271332696,10167.885761496,10183.4591898363,10192.4794718725,10196.6520838605,10209.3650587142,10215.0515213289,10220.0686510789,10234.195589082,10238.8637810006,10245.8900671605,10256.039878663,10261.7172356019,10272.4426404341,10285.8456397737,10292.042300949,10296.5068667476,10302.8762821449,10311.6480670928,10317.5542205794,10326.1833875182,10335.8291727584,10340.9031558038,10345.4093310764,10357.7203922835,10371.2386240628,10377.3916051814,10385.394662402,10394.987125666,10402.2814604851,10406.5490875664,10417.9011463126,10419.9875744112,10426.0926318932,10436.0990826483,10445.6545308157,10452.0949611256,10464.8280007878,10469.8098562508,10478.4380834345,10483.4048832832,10491.6609171154,10495.2846923013,10500.4577060439,10515.918365229,10523.6537626823,10527.0955717896,10538.78476085,10542.6130087097,10551.7704182459,10564.1053291705,10570.4638687076,10581.4641319519,10595.4490153618,10603.6633511766,10608.8028395768,10619.9671842706,10629.5048109528,10641.249623936,10650.3202923744,10660.7104258323,10677.3926242513,10683.2838116006,10698.7931292446,10734.070680906,10742.1400934495,10757.5772241616,10780.9604566597,10788.1607201643,10800.4562602403,10855.3268169243,10870.3097431555,10885.9633026743,10891.3405594761,10900.101731758,10931.3918975597,11001.1815104721,11275.0269514867
2017-01-25 09:00:00,10581,9727.40684343572,9773.74651055812,9891.35767759238,9974.82956738617,9992.37839193014,10055.8532897291,10069.5562656227,10101.668393774,10131.7339437239,10144.3236159745,10161.5023103812,10178.6188323902,10188.3567121341,10198.1153403605,10213.6887687008,10222.709050737,10226.881662725,10239.5946375787,10245.2811001934,10250.2982299434,10264.4251679465,10269.0933598651,10276.119646025,10286.2694575275,10291.9468144664,10302.6722192986,10316.0752186382,10323.0430704319,10331.3739412181,10333.9930762116,10343.4512167691,10352.9530066264,10358.1780759035,10366.1727247897,10371.635310099,10376.9479844685,10389.5794980018,10402.0391899599,10410.6467637411,10420.4797466298,10427.2292917314,10433.0401545589,10440.1709976126,10449.1243028707,10451.6474188365,10463.3018247995,10467.2189191928,10478.9878543294,10487.6129415725,10498.3750163754,10506.3974565364,10508.9763147149,10514.6817457007,10523.9469685128,10527.037447446,10534.2607439479,10549.9365383752,10553.9322131171,10558.6447326721,10570.0624755609,10575.8178080648,10583.7061443531,10595.3426546479,10601.3718476093,10618.5375432397,10630.7490589924,10634.4024922283,10642.7736188326,10651.4140424429,10663.4931670532,10672.2239455374,10682.5521508562,10696.3609449874,10708.8472588399,10718.1750963413,10730.8312273445,10764.3002597705,10772.369672314,10787.8068030261,10811.1900355242,10818.3902990288,10830.6858391048,10885.5563957888,10900.53932202,10916.1928815388,10921.5701383406,10930.3313106225,10961.6214764242,11031.4110893366,11305.2565303512
2017-01-26 17:00:00,10422.25,9690.14085786342,9736.48052498582,9854.09169202009,9937.56358181387,9955.11240635784,10018.5873041568,10032.2902800504,10064.4024082017,10094.4679581516,10107.0576304022,10124.2363248089,10143.1679462857,10152.9887391348,10173.0818662989,10180.8046495299,10187.625704878,10192.7152414918,10203.2290112019,10209.5834326511,10220.2021838777,10227.5636311357,10233.2030072527,10239.4792697978,10252.9300953457,10260.640356049,10266.7281035879,10282.9197562011,10285.8405340702,10294.460297126,10302.2575434393,10306.3838802915,10316.9211939791,10323.5329258078,10330.9074917122,10334.5794143317,10349.7409755125,10355.02985764,10367.7121844833,10374.5831684563,10384.722214295,10390.8606185456,10397.4173269222,10405.444431631,10412.4469621735,10418.5934607916,10426.1587351623,10431.220564774,10444.2252206814,10453.907029357,10462.2077170911,10470.5545781216,10472.6164927181,10477.688195032,10487.7827323867,10490.0634510498,10497.4593043579,10513.5749044572,10518.9548751259,10524.062059635,10533.1858340944,10538.6289781964,10546.4401587808,10558.0766690756,10564.105862037,10581.2715576674,10593.4830734201,10597.136506656,10605.5076332603,10614.1480568706,10626.2271814809,10634.9579599651,10645.2861652839,10659.0949594151,10671.5812732676,10680.909110769,10693.5652417722,10727.0342741982,10735.1036867417,10750.5408174538,10773.9240499519,10781.1243134565,10793.4198535325,10848.2904102165,10863.2733364477,10878.9268959665,10884.3041527683,10893.0653250502,10924.3554908519,10994.1451037643,11267.9905447789
2017-01-27 09:00:00,10345.5,9513.99416065902,9560.33382778142,9677.94499481569,9761.41688460947,9778.96570915344,9842.44060695238,9856.14358284596,9888.25571099731,9918.32126094723,9930.91093319784,9948.08962760453,9967.02124908134,9978.02768631044,9997.32912151793,10006.2388227351,10011.5453354801,10017.3466123306,10027.1202297847,10033.976615091,10046.5519482062,10052.5172573289,10057.2335798225,10066.7595994905,10077.582940127,10086.3751749833,10091.9024641722,10107.6759657796,10113.2160837447,10119.569566151,10128.3078093147,10134.162910552,10142.8906135195,10149.5498641877,10155.4181603537,10160.5818140355,10173.6769302123,10181.0193001945,10193.5723676307,10201.8114125113,10210.1803597462,10218.8771702343,10222.0599181735,10230.976943807,10236.6038018242,10242.5542757188,10250.0120379579,10255.0738675696,10268.078523477,10277.7603321526,10286.0610198867,10294.4078809172,10296.4697955137,10301.5414978276,10311.6360351823,10313.9167538454,10321.3126071535,10337.4282072528,10342.8081779215,10347.9153624306,10357.03913689,10362.482280992,10370.2934615764,10381.9299718712,10387.9591648326,10405.124860463,10417.3363762157,10420.9898094516,10429.3609360559,10438.0013596662,10450.0804842765,10458.8112627607,10469.1394680795,10482.9482622107,10495.4345760632,10504.7624135646,10517.4185445678,10550.8875769938,10558.9569895373,10574.3941202494,10597.7773527475,10604.9776162521,10617.2731563281,10672.1437130121,10687.1266392433,10702.7801987621,10708.1574555639,10716.9186278458,10748.2087936475,10817.9984065599,11091.8438475745
2017-01-28 11:00:00,9215,8171.65818712737,8217.99785424977,8335.60902128404,8419.08091107782,8436.62973562179,8500.10463342073,8513.80760931431,8545.91973746566,8575.98528741558,8588.57495966619,8605.75365407288,8624.68527554969,8635.69171277879,8654.99314798628,8663.90284920348,8669.2093619484,8675.01063879897,8684.78425625304,8691.64064155938,8704.21597467455,8710.18128379728,8718.68526051281,8725.32576719593,8735.49208820591,8746.1312530512,8758.42807195927,8766.52322350514,8770.98778930376,8777.35720470104,8786.12898964899,8792.03514313559,8800.66431007434,8810.31009531457,8815.38407835994,8819.89025363258,8832.20131483965,8845.71954661895,8851.8725277376,8859.87558495814,8869.46804822217,8876.76238304123,8881.03001012252,8892.38206886875,8894.46849696739,8900.57355444937,8909.8830716139,8916.03696063746,8925.87550289916,8937.23086205446,8944.28715679556,8952.64689539094,8957.5249771912,8965.31234026744,8969.53895794019,8974.68899887683,8983.04293208837,8995.34387276996,9001.16068926598,9005.57938889898,9014.70316335838,9020.14630746034,9027.95748804476,9039.59399833957,9045.62319130094,9062.78888693138,9075.00040268405,9078.65383591993,9087.02496252423,9095.66538613454,9107.74451074486,9116.47528922907,9126.80349454781,9140.61228867907,9153.09860253157,9162.42644003293,9175.08257103612,9208.55160346216,9216.62101600562,9232.05814671771,9255.44137921583,9262.64164272046,9274.93718279642,9329.80773948046,9344.79066571165,9360.44422523042,9365.82148203224,9374.58265431414,9405.87282011584,9475.66243302826,9749.50787404288
2017-01-29 18:00:00,8618.5,7746.35130553156,7792.69097265396,7910.30213968822,7993.77402948201,8011.32285402598,8074.79775182492,8088.5007277185,8120.61285586985,8150.67840581977,8163.26807807038,8180.44677247707,8199.37839395388,8210.38483118298,8229.68626639047,8238.59596760767,8243.90248035259,8249.70375720316,8259.47737465723,8266.33375996357,8278.90909307874,8284.87440220147,8293.378378917,8300.01888560012,8310.1852066101,8320.82437145538,8333.12119036346,8341.21634190933,8345.68090770795,8352.05032310523,8360.82210805318,8371.8974687222,8377.1225379993,8385.1171868855,8390.57977219486,8395.89244656439,8408.52396009768,8420.98365205575,8429.59122583693,8439.42420872566,8446.17375382724,8451.98461665476,8459.11545970844,8468.06876496655,8470.5918809323,8478.46044766815,8485.27312360868,8494.828571776,8501.26900208598,8514.00204174818,8518.98389721118,8527.61212439483,8532.57892424355,8540.83495807577,8544.45873326162,8549.63174700419,8565.09240618931,8572.82780364269,8576.26961274997,8581.0838464055,8589.8310136547,8595.07016046313,8608.5170022824,8617.93278062845,8622.88388766763,8640.43866338413,8649.88220925426,8656.52686544357,8662.12901948183,8671.35275695182,8683.2894373839,8692.0444986098,8703.4754643962,8720.25825660568,8728.47108554247,8745.03361864043,8753.9240409603,8785.49860634722,8791.31413440981,8806.7512651219,8830.13449762002,8837.33476112465,8849.63030120061,8904.50085788465,8919.48378411584,8935.13734363461,8940.51460043643,8949.27577271833,8980.56593852003,9050.35555143245,9324.20099244707
2017-01-30 10:00:00,10656,9645.59853014392,9691.93819726632,9809.54936430058,9893.02125409437,9910.57007863834,9974.04497643728,9987.74795233086,10019.8600804822,10049.9256304321,10062.5153026827,10079.6939970894,10098.6256185662,10109.6320557953,10128.9334910028,10137.84319222,10143.149704965,10148.9509818155,10158.7245992696,10166.1757265716,10178.9782359006,10186.8408485106,10194.3113327332,10204.4611442357,10210.1385011746,10220.8639060068,10234.2669053464,10241.2347571401,10249.5656279263,10252.1847629198,10261.6429034773,10272.3788662596,10278.9905980883,10286.3651639927,10290.0370866122,10305.198647793,10310.4875299205,10323.1698567638,10330.0408407368,10340.1798865755,10346.3182908261,10352.8749992027,10360.9021039115,10367.904634454,10374.0511330721,10381.4935115077,10385.410605901,10397.1795410376,10405.8046282807,10416.5667030836,10424.5891432446,10427.1680014231,10432.8734324089,10442.138655221,10445.2291341542,10452.4524306561,10468.1282250834,10472.1238998253,10476.8364193803,10487.2060264227,10491.0342742824,10499.1916867082,10510.9129234492,10517.7472246124,10522.13111228,10539.6858879965,10549.1294338666,10555.7740900559,10561.3762440942,10570.5999815642,10582.5366619963,10591.2917232222,10602.7226890086,10619.505481218,10627.7183101548,10644.2808432528,10653.1712655727,10684.7458309596,10690.5613590222,10705.9984897343,10729.3817222324,10736.581985737,10748.877525813,10803.748082497,10818.7310087282,10834.384568247,10839.7618250488,10848.5229973307,10879.8131631324,10949.6027760448,11223.4482170594
