"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 10:00:00,9207.25,8709.52000127822,9032.7513790526,8801.44729445318,8770.57826701236,8832.27031461207,8913.62316689445,8768.35105058591,8784.1178241166,9107.49748270783,8483.68732127934,8809.21212476059,9413.17058604468,9333.39964190274,9237.9852990516,9270.40894970155,9293.43701443405,9457.41005980229,9264.86044402066,9247.77982391715,9121.04890812459,9134.64261874052,9136.65542194327,9158.68871783507,9228.35506926383,8961.24048137112,8889.02142164069,8873.59444662596,8802.33954558636,8765.17150740608,8807.79253425454,8818.54922916222,8823.50844036142,8941.90584519729,8847.07528900001,9062.23471254795,8635.17991976197,8955.92752660777,9551.49288401207,9369.8862689535,8924.23835723073,8946.47417084434,9088.32757124466,8864.70054694137,8953.33486104579,9176.85449192735,8981.65796987652,8859.7915527539,9178.34848709585,8910.76820512827,8850.704389387,8867.25692977005,9293.11479225594,9148.50580197361,9036.31779120011,9022.6661377558,9079.87484823994,8965.62246850055,8868.33061265343,9114.4400248549,9078.65739802022,8841.9176686718,8762.74090699104,8445.45233317941,8385.34586504778,9487.74941408687,8392.38328215436,8830.41312230204,8508.57342170599,8752.50914915393,8654.50044644838,9011.30474616615,9691.40615584347,8789.39563754797,8935.99129390717,8769.09182403064,8845.37322695499,9273.14596894969,9597.3818750201,9218.37263697035,9089.34487014131,9192.33519752123,9098.09819800945,8631.15304721038,9038.76535823051,9027.70337715035,8809.99817724206,8975.4924078101,9009.95467530481,9042.10781034172,9017.73169079113
2017-01-22 18:00:00,8470,8757.90400206908,8489.24810500788,8452.67058248108,8390.21250036157,8575.1736673019,8486.02666497591,8364.61663932613,8807.96988938005,8200.76670473478,8528.79666996189,9049.25222834791,8907.98124575596,8842.28349869801,8775.87201183851,8877.48090019109,9015.2003934643,8859.31836636495,8832.73462220883,8724.86863662356,8664.94429625984,8696.8235259608,8787.20547181192,8791.49261522925,8534.83076138415,8468.15823042329,8412.19134099393,8292.20731810458,8393.25737212042,8449.9690707267,8403.83662979909,8345.95708309808,8459.89140669862,8382.21907728908,8551.14473034058,8273.64618559692,8591.59621043873,9103.85574759755,9001.76553266407,8518.71084120747,8513.66934395319,8585.64097124942,8496.93765837986,8652.80237581007,8743.01319004025,8617.80603029994,8434.90795851456,8571.1605736734,8629.6308341365,8372.43448823063,8379.23913512559,8873.66000895503,8760.88946093223,8614.10559724482,8645.50438857143,8544.30342503872,8558.75304071176,8440.80818160574,8679.99821600345,8572.09867076684,8445.8457297875,8236.36300647093,8066.63662894438,7977.32301440212,8985.38077260396,8031.36794819879,8457.23081379898,8111.59136383403,8326.4885506723,8331.35829317628,8599.45212937075,9217.93952524264,8317.29194678383,8568.94439897729,8228.07865414237,8506.51754417952,8882.43312979295,9144.01693779063,8813.32005774187,8585.70410360584,8827.61018217604,8703.34165940006,8151.41239434168,8636.38684175183,8689.01341653454,8427.78820285855,8639.03731331817,8623.10971368102,8667.14158557043,8712.44240192517,8718.63738975707
2017-01-23 17:00:00,10493.25,10338.1116543546,10119.6481994998,10212.1797974657,10423.1974147814,10244.6007698108,10178.2597993092,10435.7019971438,9797.21900147459,10122.7463794797,10720.7229038767,10640.9519597348,10603.4118044284,10655.5424307832,10675.6643967429,10764.9623776343,10572.4127618527,10554.4610246561,10424.5549317591,10489.7776438538,10528.9445710276,10497.6612748644,10535.3800557038,10319.4502721039,10187.6570673726,10171.523259523,10096.94795538,10188.9185209283,10145.8166649953,10115.3448520866,10126.1015469942,10231.5742317583,10152.8874628096,10361.0656896555,10043.600492889,10249.4280477069,10859.0452018441,10677.4385867855,10382.3854106097,10310.8599017537,10395.5619305643,10162.7102249106,10249.2546725499,10479.9076410172,10305.9719390059,10235.8999875837,10568.9172990806,10226.0831308763,10154.1400464583,10304.7808116019,10689.9030266348,10464.5915590553,10335.2556949824,10323.5945198735,10491.3431984034,10263.0645721977,10309.7704066669,10417.0325174871,10384.0071133484,10194.3502382749,10148.7426955069,9765.02191540147,9778.97119920191,10804.4530435114,9699.93559998638,10129.6709593149,9816.12573953801,10043.1660373865,9950.15305663873,10309.3825856547,10998.9584736755,10078.1305848444,10218.3351621117,10158.7968415602,10143.9712176825,10580.6982867817,10904.9341928521,10606.4562192122,10490.3908021649,10499.2794360132,10499.4762679263,10019.5377516672,10460.9481424567,10330.2184555878,10179.3327921173,10340.0995049985,10382.9556361841,10343.8701090321,10355.49375321,10437.9422173264,10561.7415199268
2017-01-24 10:00:00,10704.75,10324.1988872587,10310.0473538109,10658.1227822739,10460.7831446531,10288.4488575286,10605.9766471736,9982.16648574506,10290.5953208695,10911.6497505104,10831.8788063685,10736.3608707826,10758.8543247581,10791.9161788998,10955.889224268,10763.3396084864,10745.3878712898,10619.5280725903,10633.1217832062,10635.5567312506,10657.1678823008,10726.3069023375,10462.3462420698,10383.3651444131,10363.1797114071,10287.8748020137,10293.6420689853,10300.8187100521,10306.845656953,10317.5773297598,10424.5042569801,10343.8523914207,10555.221657308,10145.8737184556,10440.385009663,11049.9720484778,10868.3654334192,10525.2813805757,10414.6894542353,10586.8067357104,10358.2707172196,10434.4704583729,10675.3336563931,10473.9715722758,10381.7748897381,10672.2291930555,10392.498087615,10345.5544534657,10411.3929718249,10796.5151868578,10646.9849664393,10530.9654457745,10516.2108552568,10634.2391683693,10454.4066910735,10416.3825668899,10612.9191893206,10577.1365624859,10328.8922867678,10228.034412802,9943.93149764513,9882.28309317681,10986.2285785526,9890.86244662008,10321.9876048271,10007.0525861717,10215.2908739736,10122.4879608101,10500.4346178309,11189.8853203092,10269.0574314781,10412.1023313602,10255.2311341609,10340.3968331375,10771.6251334154,11095.8610394858,10713.79031165,10583.623046836,10690.2062826469,10596.5773624752,10123.8316954527,10567.5603026797,10521.1748597962,10275.4544483835,10459.7196458368,10486.267530159,10537.4043673723,10509.7839106319,10560.7138770137,10668.3536801498,10393.4438110049
2017-01-25 09:00:00,10581,10412.4513347327,10668.3852821681,10471.0456445474,10348.4837051458,10626.5204445218,9993.93740545256,10298.2890892779,10923.4206702179,10843.649726076,10820.6997307522,10872.830357107,10865.7729563381,10967.6601439755,10775.1105281939,10757.1587909973,10631.3683088707,10696.5390676069,10734.8552524743,10719.5139097734,10738.077822045,10520.279311119,10384.6558715272,10370.7946140438,10280.8283511856,10367.1608190996,10353.889505211,10315.7614899777,10320.7406557683,10424.4838927232,10352.8142882735,10559.8101255038,10242.0663076883,10446.6566073822,11061.7429681853,10880.1363531267,10580.1372497058,10530.1562609603,10596.9705977179,10363.1737385216,10438.5129555857,10687.1045761006,10496.3712612518,10440.251839096,10789.2617475738,10403.5637765722,10355.8115920181,10497.1900698522,10902.3433099925,10665.2306709985,10532.9873936238,10521.7345316289,10689.0950374994,10463.6319423701,10500.0196608641,10620.8679357827,10585.7821755042,10389.4304807324,10321.6967052847,9975.19531214944,9996.25912552571,11021.7409698352,9902.63336632758,10329.580017674,10018.8235058792,10227.0617936811,10134.2588805176,10510.3229047634,11201.6562400167,10271.9784967425,10415.4004759249,10363.1045913191,10340.7535873819,10783.3960531229,11107.6319591933,10796.9161482688,10683.9011234109,10712.3743524062,10681.6310406676,10231.7013905214,10651.4230487462,10531.6463798848,10380.0050845086,10559.3447972031,10604.3005177052,10543.5432084914,10553.490539222,10659.421356489,10752.0846382986,10500.2786306149,10626.04159973
2017-01-26 17:00:00,10422.25,10657.9720087408,10460.6323711201,10291.3596976708,10547.9650484695,9931.51051938186,10238.7596269499,10860.9937841472,10781.2228400053,10743.5408570052,10795.67148336,10798.6474306433,10905.2332579048,10712.6836421232,10694.7319049266,10568.9414228,10624.6748791151,10651.927604928,10635.2154786592,10675.6509359743,10470.3475587914,10316.1874177657,10301.8729584111,10209.9901058133,10289.1053223639,10276.7761129457,10237.6276686487,10254.5772315978,10356.122549599,10280.1867849181,10486.9754784643,10165.2239928329,10376.086069515,10999.3160821146,10817.709467056,10530.2054973782,10450.9058830087,10526.983110618,10296.9840959776,10366.774688187,10624.6776900299,10440.3814474651,10382.0900779556,10712.1028738268,10332.4696539343,10291.3195437299,10413.7330339004,10825.1844362455,10605.5471977612,10469.2194938141,10454.2706753975,10639.1632851718,10390.3724223301,10430.0645441574,10555.5118400649,10505.6520181116,10317.9332276759,10274.4654687998,9904.54774955667,9919.10025177871,10944.5820960882,9840.20648025688,10265.6659712635,9956.39661980851,10158.2710305045,10052.8289171808,10429.8226960181,11139.229353946,10201.6095013509,10347.385385359,10285.9893041275,10273.9843224756,10720.9691670522,11045.2050731226,10729.4392531126,10630.5115064614,10639.5503162837,10639.2360735307,10157.5148050602,10584.2975230514,10459.3076455582,10303.4340363127,10477.5600883403,10519.2436266934,10470.5605075531,10503.3138399784,10572.5197449614,10684.7245538272,10419.0570178102,10563.6147136593,10674.9257645516
2017-01-27 09:00:00,10345.5,10434.1781220604,10211.9732075431,10385.1601231497,9689.68244007199,10155.5411638627,10589.389777188,10509.6188330461,10615.2542821934,10667.3849085482,10635.8425053235,10644.2554185017,10504.1792157438,10541.1387768058,10377.8524493258,10478.4556748521,10514.0684612146,10506.9289038474,10404.0469290151,10411.7311533422,10144.2394819752,10129.4682456415,10106.4612199334,10156.4700004315,10150.0286743686,10010.6758460077,10083.7290591832,10087.002035423,10135.8675502756,10275.078445832,10037.0176147868,10114.192080683,10727.7120751554,10643.9624112746,10475.5877554151,10322.6193081969,10297.0955375703,10085.696788409,10162.9453149296,10480.1943090957,10355.5322895261,10320.5688575397,10583.816299015,10078.5468524201,10022.8069197696,10250.9281085806,10696.8978614337,10522.0737352743,10361.5919524594,10187.9221981982,10569.4120559431,10182.7394057453,10267.2596188376,10409.0072833093,10374.3679770947,10202.0516512301,10192.4257499856,9819.69859161767,9790.81367696691,10816.2955212764,9669.40374074921,9994.76842030554,9743.65533761652,9924.93731756974,9879.98934196222,10195.1194427965,11014.1952561789,10010.9152974468,10078.7171109527,10163.3637118758,10002.8034598777,10538.3038287729,10773.6010661634,10591.47069971,10545.6623485224,10503.020091931,10554.3869155917,10029.8463336617,10421.4925977316,10226.1612767091,10177.7706649624,10369.5442687625,10390.9570518816,10339.7282760446,10441.7975200287,10460.4589029585,10542.1232338624,10328.6097462011,10292.0107067001,10546.6391897398,10309.1115502546
2017-01-28 11:00:00,9215,8781.98572611209,9143.55660346668,8536.35341882142,8849.25605803983,9432.44391489413,9352.67297075219,9257.15503516629,9242.50034268992,9312.7103432835,9476.68338865174,9284.13377287011,9266.18203567349,9140.39155354694,9153.91594758997,9148.64377435553,9177.96204668452,9247.10106672126,8961.14905872433,8890.141621068,8874.43123592805,8777.10137535505,8732.72907720239,8785.23081420105,8800.70049447847,8813.06547063749,8932.8964957439,8845.85759758383,9058.42560921128,8612.37071946208,8950.46583902543,9570.76621286152,9389.15959780295,8914.59966275486,8916.97691308798,9098.43324136493,8869.25563672724,8974.62402740481,9196.1278207768,8984.82766146123,8865.86105747569,9158.93173315673,8953.39274438658,8864.60847382708,8846.62549428328,9295.7473432527,9167.77913082306,9040.669624561,9025.72080614442,9102.71393903805,8972.06411847895,8862.95700454026,9126.96197081187,9077.10214885855,8837.82255801167,8756.05008070669,8464.72566202886,8365.92911110866,9507.02274293633,8411.65661100381,8827.06586310399,8527.84675055544,8712.1965767213,8668.01092407618,9003.2303594443,9710.67948469292,8760.09190600957,8922.65744167925,8738.70331712918,8841.39197033236,9292.41929779914,9616.65520386956,9234.5844760337,9108.58968926236,9211.00044703064,9117.31425633166,8609.85671192187,9017.18998343423,9030.75777630509,8759.45566848364,8974.78558321515,8980.23669046998,9042.01063830005,9036.80538128999,9068.83337017999,9117.61701421008,8891.73089122093,9135.06484440626,9121.75462388154,8872.52312165553,9000.53101034648
2017-01-29 18:00:00,8618.5,8853.30531830275,8246.10213365749,8555.13442900099,9094.58765727062,8953.31667467867,8887.61892762072,8824.31938251482,8922.8163291138,9060.53582238701,8904.65379528766,8878.07005113153,8764.2717872073,8684.74694259443,8732.88138564606,8833.73065043186,8838.04132542559,8559.45501971544,8507.33938300132,8443.16766323538,8344.01455199456,8431.48787806489,8490.02583091273,8437.64529004338,8401.08283870432,8500.66981618415,8427.46562902737,8562.69998703866,8318.98161451963,8614.2798279,9149.19117652026,9047.10096158677,8542.41568562281,8534.92263271847,8602.70761919232,8521.32176284036,8681.95801056769,8792.06980991428,8636.93163936144,8471.20343230046,8628.40747311988,8661.78650502412,8417.60049892636,8437.47407940526,8918.99543787774,8803.70544459887,8631.03953252855,8676.03486563006,8576.08949788309,8590.72670204066,8478.79766105115,8712.47701449314,8598.53914249161,8483.05439862982,8281.69843539364,8111.97205786709,8022.65844332483,9011.29712076371,8076.7033771215,8498.35087926838,8156.92679275673,8372.14078361078,8377.75963891225,8620.50909622461,9263.27495416535,8363.27206646913,8604.08846963446,8273.41408306508,8531.36209389862,8927.76855871566,9189.35236671334,8858.65548666458,8609.95954877342,8872.94561109875,8740.53801014522,8196.74782326439,8665.03930838555,8725.33364492616,8456.5241584121,8669.509601871,8644.78755829346,8692.06331124791,8746.55409612605,8762.12675784445,8750.71368406935,8502.71851179473,8810.58843997028,8777.07997337179,8567.57823176953,8703.70830007311,8711.11048196174
2017-01-30 10:00:00,10656,9899.12013701579,10209.730969345,10790.888244443,10711.1173003011,10678.4463878088,10752.8352530811,10775.4927177954,10835.1277182006,10642.578102419,10624.6263652224,10498.8358830958,10586.0507684402,10614.2577626669,10568.1486022395,10605.5453962701,10326.9801240652,10257.3375058463,10230.6413127467,10130.2268075522,10263.2899427602,10208.6469754101,10148.2959254107,10167.1132959463,10282.86805015,10201.3960953908,10427.2776997289,10119.3660727197,10303.7427509127,10929.2105424104,10747.6039273518,10390.8367261382,10382.189372457,10464.438171943,10226.2663536522,10334.976013926,10554.5721503257,10352.1444602958,10293.777243817,10650.1763076225,10314.8045083824,10220.2818624986,10397.1813553704,10789.7313476873,10526.2234603719,10400.4549678489,10391.5553012364,10527.2605747199,10333.6451850061,10409.1339574203,10485.4063003607,10481.5647343367,10266.4154647767,10181.6839474914,9832.94196920605,9854.00578258231,10879.4876268918,9770.10094055268,10183.2290642028,9886.29108010431,10056.4566917898,10031.6488909818,10378.974928296,11069.1238142418,10113.3313779528,10276.5802683701,10230.251245185,10197.0475918991,10661.6086374298,10975.0995334184,10712.0185780182,10533.1363249442,10569.4447765795,10541.8608920135,10107.2587568585,10557.7012517752,10399.1139541099,10252.8387584795,10410.2815332719,10463.3170809887,10411.0107827165,10403.7316874277,10504.5327855467,10642.1098420205,10383.9697614573,10493.5091739551,10616.9119419448,10330.6726809305,10364.12848532,10365.4950178514,10692.4403414837
