"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 10:00:00,9207.25,8856.61329905147,9051.38898310475,8871.96841868134,8789.8025588225,8579.21959486389,8819.48066420927,8714.71551401221,8956.72272295215,9032.97766560264,8681.89726097049,8535.21016010417,9488.22313291444,9260.07857217235,9132.32106974639,9396.03396601871,9887.43958901818,9773.99340840029,9544.93099323287,9359.34242463675,9045.89814895697,9231.53869745604,9733.40624847006,9479.44977263201,9293.19949390622,8999.69260301406,9050.04789126747,8812.33304212681,8775.24791503967,8826.9143133769,9029.55186396882,8696.8918726637,8751.50437933198,8897.41850646435,8864.96558978862,8976.29836517076,8795.50932920843,8835.41439525091,9463.93419431246,9136.72234593435,8761.04875703063,9105.84672746254,9022.46948851646,9091.34820471421,9071.79961523254,9221.30543504389,8880.20927922803,8894.74223551802,9126.43049201578,8915.88675290012,8922.59781650092,9096.94213070395,9318.34192134973,9034.56369859389,8868.35742946037,9041.5624047132,8960.04654937264,9140.71764162293,9128.74615126657,9178.76876393069,9024.13303820003,8952.30871411071,8771.51068530904,8734.73030624183,8596.00625227249,8817.68289815921,8279.99231465672,8408.84895961373,8671.94124910061,8674.29434367491,8690.35363465428,8710.47405554293,9020.77477692091,9148.5892251836,9240.62918489222,9188.1153659687,9055.77067062464,9453.77180272522,9630.62841290232,9385.35549427873,9671.30250536608,9339.71287615938,9263.22064440562,8995.13042651283,9196.77959509039,8914.33676622178,8756.41784627979,9121.67488880098,9078.38395585328,8903.78639056445,8931.79259602194
2017-01-22 18:00:00,8470,8619.9171905747,8437.84304678205,8313.46578093194,8087.23015224434,8390.1965922169,8257.21959010677,8499.54229849667,8550.09391062862,8250.42546844044,8103.73836757412,9056.75134038439,8768.0891295528,8700.84927721634,8904.04452339916,9395.45014639863,9342.52161587024,9052.94155061331,8867.3529820172,8554.46849449845,8739.54925483649,9340.06340517608,9158.2470623523,8801.21005128667,8479.0083706865,8559.62396296154,8463.00345341505,8343.77612250962,8363.83702310729,8538.95242544939,8214.56912103874,8250.46273230382,8433.2829029258,8420.13224384135,8487.12907436396,8338.37372967806,8401.62228681481,9070.59135101847,8743.37950264037,8259.51493671243,8615.7703605831,8630.06733998165,8698.00536142023,8647.45114919834,8729.31599242434,8408.55221160788,8394.35718176674,8694.95869948573,8484.59697009269,8526.09749164194,8606.38153408275,8826.35247873018,8603.09190606384,8430.526604134,8610.09061218315,8513.61765448837,8650.02925446718,8638.49302968255,8686.77932131114,8532.32994004733,8521.03330504776,8269.05931441108,8303.25851371178,8104.01680965294,8320.34359950726,7791.2229782043,7977.37716708368,8179.95180648106,8242.82255114486,8258.88184212423,8307.78254483328,8589.30298439086,8657.22763494294,8748.63974227266,8674.04844424807,8564.31552922449,8961.78236010567,9237.28556960834,8893.36605165918,9179.31306274653,8847.72343353983,8771.23120178607,8507.00930264491,8704.79015247084,8411.57079234322,8324.94605374974,8632.94338569523,8588.07419780249,8473.66890864552,8480.91665817225,8575.41636839305
2017-01-23 17:00:00,10493.25,10152.319865181,10045.2893947973,9752.20446121487,10144.9174861172,10071.1423568954,10297.3234836697,10269.7319014762,9964.90228683942,9818.2151859731,10771.2281587834,10567.0586626875,10428.691069016,10399.2909402144,10941.2816731182,11056.9984342692,10716.996605609,10607.7089065395,10221.0072171449,10465.8810006784,11153.9861719647,10900.0296961267,10502.420592558,10161.0998484003,10091.7895419295,10173.5929533951,10058.2529409086,10129.1027341546,10199.6012769789,10028.4918878274,10005.4481416539,10243.6223307911,10134.6090622403,10210.3033071116,10152.2606805791,10215.0431140044,10884.5141178071,10557.302269429,10062.2156355589,10154.3870650502,10443.9901067703,10511.9281282089,10461.373915987,10487.5166313393,10123.0290300069,10190.799585414,10408.119569623,10203.4186784759,10335.8653629544,10194.1433897915,10483.9987095055,10410.4836977016,10145.003422533,10327.0773792804,10319.3436889434,10416.2804472197,10327.540421277,10387.0883204238,10259.8085506879,10284.8646682598,9998.03395792517,10017.7353321108,9704.23975790704,9828.77789900022,9605.14574499296,9752.05109785383,9874.37814896224,9969.13437712963,9984.04087457609,10121.7053116219,10399.914944743,10311.2007173767,10521.3482622322,10371.6507075253,10330.9178117945,10534.6952691215,11051.208336397,10652.3188873138,10844.6748533317,10630.037079557,10439.879465243,10000.234380824,10359.9440634245,10089.8293426893,10039.4228721487,10340.0202584306,10347.6757254303,10230.9020032923,10289.9175396248,10367.4023066783,10371.6273296179
2017-01-24 10:00:00,10704.75,10229.3182735738,9953.51509671978,10342.2518861598,10262.005189798,10494.1860535547,10471.9872775312,10166.2129223443,10030.6520325418,10972.5387942883,10759.8368542531,10627.0397414609,10668.88706521,11163.612388311,11258.3090697741,10909.7747971746,10800.4870981051,10447.9832321654,10667.5062374005,11346.7643635303,11092.8078876923,10695.1987841236,10542.7260190469,10465.9068721101,10370.2955467657,10408.6364499181,10326.4509583543,10393.5499434493,10220.7840617791,10284.312134576,10439.9838612801,10346.4739842652,10403.6289134671,10345.0746880323,10408.3232451691,11077.2923093727,10750.0804609946,10397.4006180158,10383.9326024955,10641.259229458,10704.7063197745,10654.4489941038,10683.2027251938,10424.0732731895,10383.8525265199,10609.4302051279,10408.6989177788,10530.5550130085,10452.7382548745,10837.8214629078,10603.6959907614,10348.9646931854,10535.7046444786,10550.4846440059,10610.9388033683,10521.2605330389,10584.0533492426,10453.855914607,10484.447200551,10255.3304553381,10219.0459676157,10080.3601002213,10186.953561228,9797.92393655856,9944.82928941943,10097.6800780761,10158.6100050487,10197.7765786934,10316.5999206659,10592.8639767519,10528.6754720729,10714.1264537978,10747.7710498396,10526.4473373055,10910.8156114357,11243.9865279626,10845.0970788794,11205.7766261877,10857.5586251604,10779.9148608039,10380.8384305042,10677.9454295824,10274.6424859906,10240.8992700218,10682.4006910576,10542.5890475066,10465.8668090893,10627.6607991841,10650.5332728309,10598.8168963565,10365.6607419009
2017-01-25 09:00:00,10581,10152.4328405242,10463.3168710702,10381.766796314,10525.4029948708,10568.3362383721,10262.8092126653,10238.2723085491,11068.1974025552,10872.4623099192,10709.8333267285,10935.7019935399,11430.4273166409,11353.967678041,11057.3417031432,10895.9766020267,10648.3224929617,10780.9081530874,11384.6493229098,11130.6928470718,10836.1872215289,10740.9407627355,10667.9449145162,10485.2770540878,10542.2145199214,10416.3831637244,10565.4043437841,10422.4090263451,10383.1983747994,10602.5089018599,10550.108076942,10573.7502999428,10381.7104529852,10444.0050638164,11115.1772687522,10787.9654203741,10495.3226472551,10643.1390871318,10679.1441888375,10742.591279154,10692.3339534833,10775.8445336958,10554.3560668132,10482.7220713816,10705.0888133948,10497.3896264239,10564.739465956,10658.0399603721,11045.4417389151,10645.6918622788,10445.9049352783,10631.3632527455,10710.2504438555,10736.4627408001,10696.8192468202,10790.4870662556,10634.2514894524,10595.239958279,10452.8200500957,10315.6901522524,10287.9803762286,10393.0492757503,9840.39591406073,10141.8926267004,10256.7601537815,10255.6239770888,10347.1704553115,10350.0557982966,10628.6575987645,10727.5183552673,10915.777734192,10955.3913258469,10590.5580737655,11118.435887443,11281.8714873421,11023.9353775491,11413.396902195,11065.1789011677,10987.5351368112,10583.8457604528,10782.0488065371,10441.8411238016,10431.5966452204,10890.8189570583,10684.6145388313,10643.9871804451,10731.7641761388,10858.4771844967,10806.8059671322,10539.8748955992,10766.9826147086
2017-01-26 17:00:00,10422.25,10507.7454294555,10431.5295201188,10513.5323440426,10518.2133040549,10110.3774383599,10219.4669276352,10937.9057826333,10873.3805227391,10603.0664481465,10835.7652395826,11330.4905626836,11274.382313471,11020.6822124154,10812.6018046135,10644.905393265,10717.6100060772,11241.3184305332,11075.2181237777,10748.6123094421,10737.38095362,10666.1664759216,10483.6210055652,10439.6583930817,10400.3449766792,10465.3574200849,10417.9363838098,10439.6849176202,10596.1581710989,10542.6755621702,10569.5197668535,10358.345418693,10325.0838793327,10971.8463763756,10718.8039142306,10554.9671699451,10561.2850873416,10535.8132964609,10668.8631273361,10630.4682909782,10825.1427053985,10588.3858406742,10544.528067884,10584.7639732727,10344.9436044536,10495.5222651976,10649.2407057816,11046.359951735,10592.4814076535,10435.6169860807,10603.4271146798,10766.7256727596,10728.4365680872,10685.5327516512,10791.4052790755,10623.5835775286,10593.713628003,10450.0835205881,10223.9973373462,10258.7589095246,10387.6139801485,9873.53187628313,10146.5884164252,10262.5704321112,10238.5762958918,10378.6839102104,10367.3049101414,10485.3267063879,10723.2275584353,10916.6959470119,10956.3095386668,10483.461724968,11119.3541002629,11230.1403498714,11024.853590369,11414.3151150149,11066.0971139876,10988.4533496311,10574.6685127627,10848.1750462307,10394.7240857683,10426.3968945771,10891.7371698782,10675.1474191473,10635.1697022723,10797.8904158324,10859.3953973166,10807.7241799521,10533.2708227043,10767.9008275285,10762.8839779455
2017-01-27 09:00:00,10345.5,10258.7130963549,10287.2750803733,10269.774211645,9968.64813423942,9916.27772026265,10775.7308691844,10570.1913153665,10417.3667933577,10575.1791640445,11069.9044871455,11061.5011446702,10727.8187067004,10545.7374910204,10341.7161858924,10420.385323592,10934.6297812032,10853.5214710428,10526.9156567072,10434.1917462474,10362.977268549,10180.4317981926,10327.2334204217,10156.8809177491,10182.5669696408,10171.6826428021,10217.9882648853,10292.9689637263,10239.4863547976,10329.7056488064,10126.551981901,10103.494083033,10665.1577270456,10545.9874904667,10328.8099396865,10291.8356913077,10237.5359624115,10378.8208615073,10424.4573355503,10603.4460526636,10366.6891879393,10325.8719404766,10412.622280024,10203.0866147625,10213.2831038253,10346.051498409,10743.1707443624,10387.124723976,10157.0370541725,10361.1551603935,10593.9092489957,10425.2473607146,10382.3435442786,10534.4127947383,10320.394370156,10290.5244206304,10160.3831337409,10051.1809135823,9958.21655051166,10099.7008116219,9700.71545251923,9843.39920905256,10045.7698808764,10065.7598721279,10205.8674864465,10194.4884863775,10317.3664245009,10438.9997229099,10613.5067396393,10653.1203312942,10262.3546048168,10816.1648928903,10926.9511424988,10721.6643829964,11111.1259076423,10791.8373397646,10685.2641422585,10271.4793053901,10626.4783934958,10091.5348783957,10137.3033472651,10588.5479625056,10371.9582117747,10403.346189947,10576.1937630975,10556.206189944,10559.990512486,10292.1613176875,10464.7116201559,10459.6947705729,10350.2307109619
2017-01-28 11:00:00,9215,8774.42684353322,8894.69492224421,8591.70430618454,8425.47476263515,9400.65157978361,9088.62755731979,9042.28750395695,9149.38160578972,9644.10692889069,9686.42185526946,9271.02131539296,9151.33672139996,8834.40618880485,8994.58776533722,9628.74715685309,9374.79068101505,9049.86683377873,8926.88174915977,8855.66727146142,8673.23001638365,8677.34014681736,8702.89620524873,8756.76941138604,8609.53221844052,8610.72101720237,8785.65896663868,8752.4524510071,8759.02056239334,8657.43105906918,8712.22602823735,9359.2751026955,9032.06325431739,8721.7382703215,8846.37732345594,8923.24202278072,8986.68911309725,8984.22806210171,9049.82206007316,8759.27898912553,8710.20891674338,9037.54299062322,8828.00732536178,8805.67879668282,8838.74150132145,9235.86074727485,8953.99085158237,8764.03248324057,8963.81742997392,8887.23825517987,8933.20322379008,8875.03354719104,8980.90607461536,8813.0843730684,8868.72791533406,8640.92897318744,8647.158753111,8476.98626586799,8579.89144905491,8079.90672988132,8336.08921196497,8442.427323219,8554.25039937172,8593.56884483866,8617.08850588149,8942.28713510014,8927.35243499818,9106.1967425517,9145.81033420657,8887.27531541602,9308.85489580273,9525.96932128535,9214.35438590885,9603.81591055466,9255.59790952744,9177.95414517093,8764.16930830253,9019.06819468203,8653.50177014176,8663.19393244506,9081.23796541804,8903.30802456138,8824.67049781212,8968.78356428373,9048.89619285643,8997.22497549187,8781.74328618127,8957.40162306826,8967.2853541677,8742.82051214806,8807.96861585738
2017-01-29 18:00:00,8618.5,8500.17671366779,8195.82620831385,8045.60799711376,9004.52773575825,8692.50371329443,8646.16365993159,8783.66079676326,9275.06641976273,9290.2980112441,8901.980806265,8755.2128773746,8436.71825545074,8626.89572610421,9019.07934507055,9041.228544569,8692.08553984587,8345.75914264478,8420.28929402839,8349.01775625349,8283.49769833673,8306.97827017695,8394.37843813973,8097.47840951152,8094.02901355527,8333.91355570451,8356.89987077363,8343.77329409447,8261.44185083971,8325.87481720902,8802.49062106612,8624.68439084187,8118.66609002794,8484.30136445806,8380.95363465538,8479.52571687379,8592.43123228879,8653.6982160478,8342.42642175401,8273.97345513084,8641.41914659786,8432.19135574393,8347.08230509886,8469.97911210624,8707.21229620617,8559.70558065182,8370.19194015226,8567.73081486311,8388.67114836439,8537.2758950922,8506.34006822338,8562.13028673176,8382.46807425948,8472.82696259353,8129.2691409967,8252.02048545544,7980.09337510862,8194.73297362754,7667.61914540127,7925.15356245754,8051.560241742,8174.50343876329,8198.2018638143,8221.84585740527,8547.23558069811,8534.98894147002,8634.64907353972,8565.51776320703,8496.30328765353,8841.39863346977,8957.21341290002,8772.98232502328,9058.92933611063,8730.45403145174,8661.06917188956,8363.08996243857,8571.95526746449,8290.57893877513,8268.22856061007,8501.8490838672,8507.58495269704,8414.16734302728,8427.78023629093,8471.64460994899,8442.53489291448,8386.29686657384,8545.68259804495,8600.12683071835,8238.1347461875,8412.1672091648,8375.65679383756
2017-01-30 10:00:00,10656,10349.7416436969,10199.4283975194,11158.3481361639,10931.0944977736,10803.7576435205,10883.6816918772,11375.0873148767,11444.1184116497,11081.0324406951,10971.7447416256,10594.5082596544,10844.0404002867,11518.0220070508,11264.0655312128,10871.142326229,10538.330274641,10517.1995898273,10515.2000392499,10440.1574398317,10483.4284824376,10557.849355847,10390.7459872168,10362.6338550621,10588.0354274555,10511.9284995431,10561.4340478213,10499.6287855915,10566.0419918851,11248.5499528932,10925.1325134096,10457.1975855343,10571.2604139616,10819.4323066731,10881.9648727444,10829.1157585808,10864.4064049692,10497.4193372271,10543.7906084392,10795.2395470035,10586.1937658722,10693.3812848039,10586.4688893928,10851.7590051875,10774.5195327877,10524.5593300012,10731.2979982099,10666.4906822046,10780.3162823058,10678.8090594006,10749.7487806642,10611.5703705559,10627.4488927622,10353.5796168402,10406.7687703903,10094.297642501,10295.2167349384,9969.18158007906,10090.9596571278,10238.4139840483,10329.5968735208,10352.959946274,10475.7070441669,10759.512001899,10688.963852004,10894.2847609883,10763.1028909656,10690.368974199,10941.4195285837,11415.2441714831,11016.3547223999,11238.6639397011,10994.0729146431,10807.0852470972,10463.9460910293,10757.0192873501,10420.8816847214,10423.0422648751,10699.4342116258,10701.812656529,10581.3430430176,10715.3669210984,10728.9319168267,10733.0107403792,10540.4649445515,10763.9507798291,10704.5946999584,10516.5826246106,10607.4322998222,10682.0259612384,10792.7269041021
