"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,65559.5,58164.8997185654,60020.7721824961,61637.9886129552,62189.3108540814,62416.6740375787,62588.4809266345,62807.8016232544,62975.5198058925,63054.9540036916,63089.0063884171,63179.5241811393,63222.8808720776,63377.6010178522,63396.4422519056,63481.1963943822,63563.434381448,63601.2477458164,63659.1542596738,63715.6209427195,63798.3278035831,63858.8227790483,63928.2614439616,63981.3308792433,64062.6005030377,64120.446426039,64188.639020448,64248.3259899406,64292.0689016143,64384.0796726306,64422.2583098893,64439.576321252,64534.9381879007,64575.5331668788,64673.525088199,64701.8786667386,64732.6697604919,64775.1489601253,64798.3315173548,64829.968881638,64876.2807760577,64914.7544859831,64954.8363157779,65083.5815601823,65181.5543903939,65234.2108978215,65261.9145075504,65271.4482975323,65319.27409363,65334.5611987044,65390.1582933959,65433.9139446795,65459.0807767725,65528.4558808744,65603.3595098624,65654.6396958249,65698.1881014191,65730.0420943661,65771.8075632847,65817.1031233858,65870.0051825733,65884.0486444814,65911.27040884,65928.6503295229,65944.2299086771,65972.504224105,65992.6782187484,66000.9649395589,66032.2647250702,66095.7814420543,66157.9050706283,66206.1119517203,66284.7607413502,66324.3129855118,66380.5426432611,66482.4801689162,66538.6586458369,66572.007080346,66630.882568399,66728.9945270183,66852.8520268663,66908.8943836986,67107.6817934695,67324.1075127189,67440.0738111386,67606.5203925826,67920.198579823,68720.8562372956,69040.0848945641,69801.5197573194,71570.0115526086
2017-01-22 18:00:00,63096.5,54654.7675677988,56510.6400317295,58127.8564621886,58679.1787033148,58906.5418868121,59078.3487758679,59297.6694724878,59465.3876551259,59544.821852925,59578.8742376505,59669.3920303727,59712.748721311,59867.4688670856,59886.310101139,59971.0642436156,60053.3022306814,60091.1155950498,60149.0221089072,60205.4887919529,60288.1956528165,60348.6906282817,60418.129293195,60471.1987284767,60552.4683522711,60610.3142752724,60678.5068696814,60738.193839174,60781.9367508477,60873.947521864,60912.1261591227,60929.4441704854,61024.8060371341,61065.4010161122,61163.3929374324,61191.746515972,61222.5376097253,61265.0168093587,61288.1993665882,61319.8367308714,61366.1486252911,61404.6223352165,61444.7041650113,61573.4494094157,61686.2289286934,61727.6176173398,61752.7902281499,61777.3458627328,61813.3561259895,61826.0592443823,61886.8646422319,61931.027116766,61994.1003715756,62046.6315310369,62093.2273590958,62144.5075450583,62188.0559506525,62219.9099435995,62261.6754125181,62306.9709726192,62359.8730318067,62373.9164937148,62401.1382580734,62418.5181787563,62434.0977579105,62462.3720733384,62482.5460679818,62490.8327887923,62522.1325743036,62585.6492912877,62647.7729198617,62695.9798009537,62774.6285905836,62814.1808347453,62870.4104924945,62972.3480181496,63028.5264950703,63061.8749295794,63120.7504176324,63218.8623762517,63342.7198760997,63398.7622329319,63597.5496427028,63813.9753619523,63929.941660372,64096.388241816,64410.0664290564,65210.724086529,65529.9527437975,66291.3876065528,68059.879401842
2017-01-23 18:00:00,77123.75,70092.9103417923,71948.782805723,73565.999236182,74117.3214773083,74344.6846608056,74516.4915498614,74735.8122464813,74903.5304291194,74982.9646269185,75017.017011644,75107.5348043662,75150.8914953045,75305.6116410791,75324.4528751325,75409.2070176091,75491.4450046749,75529.2583690433,75587.1648829007,75643.6315659464,75726.33842681,75786.8334022752,75856.2720671885,75909.3415024702,75990.6111262646,76048.4570492659,76116.6496436749,76176.3366131675,76220.0795248412,76312.0902958575,76350.2689331162,76367.5869444789,76462.9488111276,76509.6584361343,76602.0428972948,76631.8706543415,76675.2289378749,76713.9033005168,76748.3971806235,76774.5805057477,76816.3998310857,76874.5240715537,76928.6008616561,77015.4168695838,77129.6370835452,77181.7476383885,77195.6623132502,77227.1866262394,77252.2337690246,77268.5330482603,77333.927967303,77370.5694084548,77435.2937035825,77487.5106232269,77539.0703402998,77590.509605024,77633.717888588,77666.8043533784,77722.4169516326,77751.9000841718,77802.1969492565,77812.7940378704,77839.9837689715,77861.2622796431,77873.7322640554,77903.3336587028,77920.9658608606,77930.2349730677,77961.2859669289,78037.3358253282,78107.8699326994,78155.6967319321,78233.6687908921,78256.1921746583,78310.231675452,78421.734128717,78473.3830262243,78534.6427739935,78558.8931916259,78657.0051502451,78780.8626500932,78836.9050069254,79035.6924166963,79252.1181359458,79368.0844343655,79534.5310158095,79848.2092030499,80648.8668605225,80968.095517791,81729.5303805463,83498.0221758355
2017-01-24 11:00:00,78217,71040.2797862186,72896.1522501493,74513.3686806084,75064.6909217346,75292.0541052319,75463.8609942877,75683.1816909076,75850.8998735457,75930.3340713448,75964.3864560703,76054.9042487925,76098.2609397308,76252.9810855054,76271.8223195588,76356.5764620354,76438.8144491012,76476.6278134696,76534.534327327,76591.0010103727,76673.7078712363,76734.2028467015,76803.6415116148,76856.7109468966,76937.9805706909,76995.8264936922,77064.0190881012,77123.7060575938,77167.4489692675,77259.4597402838,77297.6383775425,77314.9563889052,77410.3182555539,77457.0278805606,77549.4123417211,77579.2400987678,77622.5983823012,77661.2727449431,77695.7666250498,77721.949950174,77763.769275512,77821.89351598,77875.9703060824,77962.7863140102,78071.7411471132,78113.1298357597,78138.3024465697,78162.8580811526,78198.8683444093,78211.5714628021,78272.3768606517,78316.5393351859,78379.6125899954,78432.1437494567,78478.7395775156,78530.0197634781,78573.5681690723,78605.4221620193,78647.1876309379,78692.483191039,78745.3852502265,78759.4287121346,78786.6504764932,78804.0303971761,78819.6099763303,78850.7031031291,78868.3353052869,78877.604417494,78908.6554113552,78984.7052697545,79055.2393771257,79103.0661763584,79181.0382353184,79203.5616190846,79257.6011198783,79369.1035731434,79420.7524706506,79482.0122184198,79506.2626360522,79604.3745946714,79728.2320945195,79784.2744513518,79983.0618611227,80199.4875803721,80315.4538787918,80481.9004602358,80795.5786474762,81596.2363049488,81915.4649622173,82676.8998249726,84445.3916202618
2017-01-25 11:00:00,77808.75,71299.7815847118,73155.6540486425,74772.8704791015,75324.1927202278,75551.5559037251,75723.3627927809,75942.6834894008,76110.4016720389,76189.835869838,76244.8008669383,76334.187644752,76471.3823698938,76522.896536264,76572.1488492366,76641.5261877177,76704.6789031579,76751.0582286126,76805.9281827124,76875.6914419046,76966.8936877966,76994.3270530944,77101.5951101625,77119.9585433194,77237.2678609776,77272.7693869276,77333.1008467442,77399.6001661022,77432.5197006721,77525.948766837,77561.2443193458,77587.334641409,77686.1116423592,77773.7508516689,77820.0614835655,77844.2603344577,77891.9609846356,77921.9356304448,77956.1820910524,77987.9930289691,78039.2125845758,78083.6812890373,78213.5129462137,78240.360994293,78336.5083264647,78388.618881308,78402.5335561697,78434.0578691589,78459.1050119441,78475.4042911798,78531.8786591449,78576.041133679,78639.1143884886,78691.6455479499,78738.2413760088,78789.5215619713,78833.0699675655,78864.9239605125,78906.6894294311,78951.9849895322,79004.8870487197,79018.9305106278,79046.1522749864,79063.5321956693,79079.1117748235,79110.2049016223,79127.8371037801,79137.1062159872,79168.1572098484,79244.2070682477,79314.7411756189,79362.5679748516,79440.5400338116,79463.0634175778,79517.1029183715,79628.6053716365,79680.2542691438,79741.514016913,79765.7644345454,79863.8763931646,79987.7338930127,80043.7762498449,80242.5636596158,80458.9893788653,80574.955677285,80741.402258729,81055.0804459694,81855.738103442,82174.9667607105,82936.4016234658,84704.893418755
2017-01-26 18:00:00,77819,70399.4201664425,72255.2926303732,73872.5090608322,74423.8313019585,74651.1944854558,74823.0013745116,75042.3220711315,75210.0402537696,75289.4744515687,75344.439448669,75444.5906949069,75574.7532855353,75625.0677108048,75672.1819398536,75749.7136773885,75818.5942390703,75862.7599487735,75906.2788171759,75976.1558828061,76069.2097374672,76108.9867793153,76203.2558657587,76243.7226951067,76340.6181231459,76388.0978263374,76450.1802055239,76507.7092809825,76552.6322977561,76645.3946720629,76663.5630763445,76691.6550023096,76792.8868775777,76886.7540600526,76919.7000652962,76943.8989161884,76991.5995663663,77021.5742121755,77055.8206727831,77087.6316106998,77138.8511663065,77183.319870768,77313.1515279444,77339.9995760237,77436.1469081954,77488.2574630387,77502.1721379004,77533.6964508896,77558.7435936748,77575.0428729105,77631.5172408756,77675.6797154097,77738.7529702193,77791.2841296806,77837.8799577395,77889.160143702,77932.7085492962,77964.5625422432,78006.3280111618,78051.6235712629,78104.5256304504,78118.5690923585,78145.7908567171,78163.1707774,78178.7503565542,78209.843483353,78227.4756855108,78236.7447977179,78267.7957915791,78343.8456499784,78414.3797573496,78462.2065565823,78540.1786155423,78562.7019993085,78616.7415001022,78728.2439533672,78779.8928508745,78841.1525986437,78865.4030162761,78963.5149748953,79087.3724747434,79143.4148315756,79342.2022413465,79558.627960596,79674.5942590157,79841.0408404597,80154.7190277001,80955.3766851727,81274.6053424412,82036.0402051965,83804.5320004857
2017-01-27 08:00:00,76199.75,70010.793499711,71866.6659636417,73483.8823941008,74035.204635227,74262.5678187243,74434.3747077801,74653.6954044,74821.4135870381,74900.8477848372,74955.8127819375,75055.9640281754,75186.1266188038,75236.4410440733,75283.5552731221,75361.087010657,75429.9675723388,75474.133282042,75517.6521504444,75587.5292160746,75680.5830707357,75720.3601125838,75814.6291990272,75855.0960283752,75951.9914564145,75999.4711596059,76061.5535387924,76130.6500907094,76197.4035917212,76257.7365471118,76284.8882310441,76316.6253352939,76421.4269480244,76519.4188693446,76532.8587598732,76558.1039777895,76611.3043894707,76641.587833267,76668.6439697675,76712.3262094198,76760.5644653728,76795.4833517807,76928.9688212294,76992.110016079,77076.2961453945,77104.1813111358,77114.8589353419,77153.4501959353,77171.5057916953,77187.5137134924,77251.8111252217,77288.4525663735,77353.1768615012,77405.3937811456,77449.253291008,77500.5334769705,77544.0818825647,77575.9358755117,77617.7013444303,77662.9969045314,77715.8989637189,77729.942425627,77757.1641899856,77774.5441106685,77790.1236898227,77821.2168166215,77838.8490187793,77848.1181309864,77879.1691248476,77955.2189832469,78025.7530906181,78073.5798898508,78151.5519488108,78174.075332577,78228.1148333707,78339.6172866358,78391.266184143,78452.5259319122,78476.7763495446,78574.8883081638,78698.7458080119,78754.7881648442,78953.5755746151,79170.0012938645,79285.9675922842,79452.4141737282,79766.0923609686,80566.7500184412,80885.9786757097,81647.413538465,83415.9053337542
2017-01-28 18:00:00,66129.75,58687.7225129689,60543.5949768996,62160.8114073586,62712.1336484849,62939.4968319822,63111.303721038,63330.6244176579,63498.342600296,63577.7767980951,63632.7417951954,63732.8930414333,63863.0556320617,63913.3700573312,63960.48428638,64038.0160239149,64106.8965855967,64151.0622952999,64194.5811637023,64264.4582293325,64357.5120839936,64397.2891258417,64491.5582122851,64532.0250416331,64628.9204696723,64676.4001728638,64738.4825520503,64807.5791039673,64874.3326049791,64933.6970185893,64951.8654228709,64979.957348836,65081.189224104,65175.056406579,65208.0024118226,65232.2012627148,65279.9019128927,65309.8765587019,65344.1230193095,65389.2552226777,65437.4934786307,65472.4123650386,65605.8978344873,65669.0390293369,65753.2251586524,65781.1103243937,65791.7879485998,65830.3792091932,65848.4348049532,65864.4427267503,65928.7401384796,65965.3815796314,66030.1058747591,66082.3227944035,66126.1823042659,66177.4624902284,66221.0108958226,66252.8648887696,66294.6303576882,66339.9259177893,66392.8279769768,66406.8714388849,66434.0932032435,66451.4731239264,66467.0527030806,66498.1458298794,66515.7780320372,66525.0471442443,66556.0981381055,66632.1479965048,66702.682103876,66750.5089031087,66828.4809620687,66851.0043458349,66905.0438466286,67016.5462998936,67068.1951974009,67129.4549451701,67153.7053628025,67251.8173214217,67375.6748212698,67431.717178102,67630.5045878729,67846.9303071224,67962.8966055421,68129.3431869861,68443.0213742265,69243.6790316991,69562.9076889676,70324.3425517229,72092.8343470121
2017-01-29 18:00:00,62740,55244.6309268198,57100.5033907505,58717.7198212096,59269.0420623358,59496.4052458331,59668.2121348889,59887.5328315088,60055.2510141469,60134.685211946,60189.6502090463,60289.8014552842,60419.9640459126,60470.2784711821,60517.3927002309,60594.9244377658,60663.8049994476,60707.9707091508,60751.4895775532,60821.3666431834,60914.4204978445,60954.1975396926,61048.466626136,61088.933455484,61185.8288835233,61233.3085867147,61295.3909659012,61364.4875178182,61431.24101883,61490.6054324402,61508.7738367218,61536.8657626869,61638.097637955,61731.9648204299,61764.9108256735,61789.1096765657,61836.8103267437,61866.7849725528,61902.4813968763,61956.0119843121,61994.4856942375,62034.5675240323,62163.3127684367,62275.4705850275,62313.9421060759,62341.6457158048,62351.1795057867,62399.0053018844,62414.2924069588,62424.7914575708,62507.2397844612,62533.799993626,62600.6555808659,62664.2107603773,62686.6584138509,62734.3709040793,62777.9193096735,62809.7733026205,62851.5387715391,62896.8343316402,62949.7363908277,62963.7798527358,62991.0016170944,63008.3815377773,63023.9611169315,63055.0542437303,63072.6864458881,63081.9555580952,63113.0065519564,63189.0564103557,63259.5905177269,63307.4173169596,63385.3893759196,63407.9127596858,63461.9522604795,63573.4547137446,63625.1036112518,63686.363359021,63710.6137766534,63808.7257352727,63932.5832351207,63988.625591953,64187.4130017238,64403.8387209733,64519.805019393,64686.251600837,64999.9297880774,65800.58744555,66119.8161028185,66881.2509655738,68649.742760863
2017-01-30 11:00:00,76882.25,70292.5660562922,72148.4385202229,73765.654950682,74316.9771918082,74544.3403753055,74716.1472643613,74935.4679609812,75103.1861436193,75182.6203414184,75237.5853385187,75337.7365847566,75467.899175385,75518.2136006545,75565.3278297033,75642.8595672382,75711.74012892,75755.9058386232,75799.4247070256,75869.3017726558,75962.3556273169,76002.132669165,76096.4017556084,76136.8685849564,76233.7640129957,76281.2437161871,76343.3260953736,76412.4226472906,76479.1761483024,76538.5405619126,76556.7089661942,76584.8008921593,76686.0327674274,76779.8999499023,76812.845955146,76837.0448060381,76884.7454562161,76914.7201020252,76950.4165263487,77003.9471137845,77042.4208237099,77082.5026535047,77211.2478979091,77323.4057144999,77365.4161058333,77390.5887166433,77415.1443512262,77451.1546144829,77463.8577328757,77517.8246311227,77561.5802824063,77586.7471144993,77656.1222186012,77712.4343253113,77738.7260547997,77787.9351294724,77825.8544391459,77857.7084320929,77899.4739010115,77944.7694611126,77997.6715203001,78011.7149822082,78038.9367465668,78056.3166672497,78071.8962464039,78102.9893732027,78120.6215753605,78129.8906875676,78160.9416814288,78236.9915398281,78307.5256471993,78355.352446432,78433.324505392,78455.8478891582,78509.8873899519,78621.389843217,78673.0387407242,78734.2984884934,78758.5489061258,78856.6608647451,78980.5183645931,79036.5607214254,79235.3481311963,79451.7738504457,79567.7401488654,79734.1867303094,80047.8649175498,80848.5225750224,81167.7512322909,81929.1860950462,83697.6778903354
