"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,65559.5,57400.3057620358,59185.1470320576,60818.3097527714,61264.8689669049,61628.1381156652,61722.9975974523,62124.2799665715,62260.5373427214,62381.0587026138,62447.7089802107,62571.1511375184,62659.027257045,62780.3176285635,62868.5159474481,62897.2106294333,63029.3832211064,63153.4330234648,63185.0810204394,63225.5755900635,63259.8243093958,63319.6851271785,63408.3524520575,63461.0832545672,63511.3702438198,63608.849922994,63627.9552697981,63663.9840171935,63739.9772145276,63824.3961806247,63842.2858233121,63903.8043658533,63940.7543914015,63972.5711097466,64055.4926162672,64097.1923940092,64124.2060786155,64145.5770984265,64182.1743315019,64209.0861175759,64268.3891886878,64291.987966708,64334.5183860472,64353.8888462742,64377.6911129736,64399.8353267499,64497.7588516017,64535.3550306429,64571.5629569378,64603.0319374256,64637.4960067376,64658.9691085565,64687.2455407586,64765.1994259502,64793.7413005024,64845.3503697835,64891.0764003032,64915.2912039159,64972.5418588959,65024.8825973028,65080.5598696713,65130.3848970082,65161.006373105,65234.4521698382,65261.9222861953,65317.1188811521,65401.5654880711,65425.7091404599,65457.1326845237,65543.6426540677,65579.1156627924,65609.8908025088,65696.8329078822,65753.9719908003,65797.4437680679,65872.7966325863,65916.1483968197,65957.7835813736,66020.3618356031,66104.4632650571,66149.5756246055,66234.2136348654,66372.9442693249,66442.6569363493,66613.6580788466,66762.7009149662,66998.460804279,68022.0617446605,68717.4206059479,69398.7538648253,70457.3435947762
2017-01-22 18:00:00,63096.5,54089.3837735036,55874.2250435254,57507.3877642392,57953.9469783727,58317.216127133,58412.0756089201,58813.3579780393,58949.6153541892,59070.1367140816,59136.7869916785,59260.2291489862,59348.1052685128,59469.3956400313,59557.5939589159,59586.2886409011,59718.4612325742,59842.5110349326,59874.1590319072,59914.6536015313,59948.9023208636,60008.7631386463,60097.4304635253,60150.161266035,60200.4482552876,60297.9279344618,60317.0332812659,60353.0620286613,60429.0552259954,60513.4741920925,60531.3638347799,60592.8823773211,60629.8324028693,60661.6491212144,60744.570627735,60786.270405477,60813.2840900833,60834.6551098943,60871.2523429697,60898.1641290437,60957.4672001556,60981.0659781758,61023.596397515,61042.966857742,61066.7691244414,61088.9133382177,61186.8368630695,61224.4330421107,61260.6409684056,61292.1099488934,61326.5740182054,61348.0471200243,61376.3235522264,61454.277437418,61482.8193119702,61534.4283812513,61580.154411771,61604.5637113927,61662.5034660983,61731.1272653662,61770.2129422987,61821.5711249793,61876.4906286467,61923.7613993559,61954.9953736057,62051.8433651188,62094.6417056623,62122.0416258463,62186.1381400709,62234.1889249101,62268.1936742602,62298.9688139766,62385.91091935,62443.0500022681,62486.5217795357,62561.874644054,62605.2264082875,62646.8615928414,62709.4398470709,62793.5412765249,62838.6536360733,62923.2916463332,63062.0222807927,63131.7349478171,63302.7360903144,63451.778926434,63687.5388157468,64711.1397561283,65406.4986174157,66087.831876293,67146.421606244
2017-01-23 18:00:00,77123.75,69450.6639584328,71235.5052284546,72868.6679491684,73315.2271633019,73678.4963120622,73773.3557938492,74174.6381629685,74310.8955391184,74431.4168990108,74498.0671766077,74621.5093339154,74709.385453442,74830.6758249604,74918.8741438451,74947.5688258303,75079.7414175033,75203.7912198618,75235.4392168364,75275.9337864604,75310.1825057928,75370.0433235755,75458.7106484545,75511.4414509642,75561.7284402168,75659.208119391,75678.3134661951,75714.3422135905,75790.3354109246,75874.7543770217,75892.6440197091,75954.1625622503,75991.1125877985,76022.9293061436,76105.8508126642,76147.5505904062,76174.5642750125,76195.9352948235,76232.5325278989,76259.4443139729,76318.7473850848,76342.346163105,76385.1016942402,76404.6621337528,76431.514489199,76482.671139734,76554.8576392046,76588.1628322993,76628.8334771212,76660.8851592214,76702.7310960271,76712.2932692368,76751.0480643236,76820.7082225186,76852.7208566835,76900.0862256831,76951.9272653378,76999.7563667732,77046.3559185209,77101.3872519017,77138.596975931,77191.388168432,77272.0778320212,77285.3845681882,77335.0155935839,77424.2544557161,77458.9575328542,77484.0176436757,77557.197470592,77609.858196397,77632.2584403372,77673.3004483969,77774.5213922317,77831.7200065638,77861.9220208209,77927.7431028659,77968.3765776624,78055.2089639859,78082.4332502283,78164.5846156206,78224.4949497769,78337.5250930419,78441.7055707907,78493.0151327463,78664.0162752436,78813.0591113632,79048.819000676,80072.4199410575,80767.7788023449,81449.1120612222,82507.7017911732
2017-01-24 11:00:00,78217,70310.5296207614,72095.3708907832,73728.533611497,74175.0928256305,74538.3619743908,74633.2214561779,75034.5038252971,75170.761201447,75291.2825613394,75357.9328389363,75481.374996244,75569.2511157706,75690.5414872891,75778.7398061737,75807.4344881589,75939.607079832,76063.6568821904,76095.304879165,76135.7994487891,76170.0481681214,76229.9089859041,76318.5763107831,76371.3071132928,76421.5941025454,76519.0737817196,76538.1791285237,76574.2078759191,76650.2010732532,76734.6200393503,76752.5096820377,76814.0282245789,76850.9782501271,76882.7949684722,76965.7164749928,77007.4162527348,77034.4299373411,77055.8009571521,77092.3981902275,77119.3099763015,77178.6130474134,77202.2118254336,77244.9673565689,77264.5277960814,77291.3801515276,77342.5368020626,77414.7233015332,77448.028494628,77488.6991394498,77520.75082155,77562.5967583557,77572.1589315654,77610.9137266522,77680.5738848472,77712.5865190121,77759.9518880117,77811.7929276664,77859.6220291018,77906.2215808495,77961.2529142303,77991.3587895565,78042.7169722371,78097.6364759045,78144.9072466137,78176.1412208635,78272.9892123765,78318.8231951828,78343.8833060043,78417.0631329206,78469.7238587256,78492.1241026658,78533.1661107255,78634.3870545603,78691.5856688924,78721.7876831495,78787.6087651945,78828.242239991,78915.0746263145,78942.2989125569,79024.4502779492,79084.3606121055,79197.3907553705,79301.5712331193,79352.8807950749,79523.8819375722,79672.9247736918,79908.6846630046,80932.2856033861,81627.6444646735,82308.9777235509,83367.5674535018
2017-01-25 11:00:00,77808.75,70543.6074396024,72328.4487096242,73961.611430338,74408.1706444715,74771.4397932318,74866.2992750189,75267.5816441381,75403.839020288,75524.3603801804,75591.0106577773,75714.452815085,75802.3289346116,75923.6193061301,76031.8439078311,76122.1264853773,76181.3185510409,76315.3500569728,76336.8557698283,76372.2986603477,76419.5260964357,76493.9002010435,76569.3137917603,76643.176011871,76664.2207062744,76760.9123345218,76775.5690147014,76809.155921338,76891.4341567565,76974.9663869995,77003.2273059276,77048.4898729142,77087.4461016576,77136.002988956,77212.9836717046,77243.127550576,77272.641692902,77290.7340988445,77328.2789848929,77356.3446983734,77420.4631672069,77463.742747943,77483.3723301122,77506.8188921586,77524.492466496,77577.9211963756,77648.1110955193,77692.1751998527,77722.0912911391,77773.3997125926,77797.2322374936,77815.6522861686,77862.5710292494,77916.3835347139,77973.1223169005,78015.2901354469,78050.3556331768,78107.2563474663,78144.7408722807,78216.6934811696,78231.5404571007,78284.3316496016,78365.0213131908,78378.3280493578,78427.9590747535,78506.0670312175,78551.9010140238,78576.9611248453,78650.1409517616,78702.8016775666,78725.2019215068,78766.2439295665,78867.4648734013,78924.6634877334,78954.8655019905,79020.6865840355,79061.320058832,79148.1524451555,79175.3767313979,79257.5280967902,79317.4384309465,79430.4685742115,79534.6490519603,79585.9586139159,79756.9597564132,79906.0025925328,80141.7624818456,81165.3634222271,81860.7222835145,82542.0555423919,83600.6452723428
2017-01-26 18:00:00,77819,69467.4128586443,71252.2541286661,72885.4168493799,73331.9760635134,73695.2452122737,73790.1046940607,74191.38706318,74327.6444393299,74448.1657992223,74514.8160768192,74638.2582341269,74726.1343536535,74847.4247251719,74955.649326873,75076.8563193023,75191.5681300181,75247.55795584,75281.2058989713,75302.2987276751,75346.8313214427,75459.4245544428,75499.0691690936,75572.5062247825,75619.1517202813,75690.1716268492,75706.1250562722,75738.3027437074,75816.0035013316,75901.2570328852,75945.1544472099,75992.5407236697,76031.3732254229,76085.5430316975,76139.9271236295,76168.9870043877,76205.0524034754,76221.3141581083,76256.7819573218,76317.7643006575,76345.858383922,76390.777536679,76418.5800216146,76441.1987285316,76463.2385970907,76516.8834637219,76590.3322954482,76635.6042015528,76669.1191095978,76699.6752787796,76725.6597063501,76739.4577052105,76786.3764482913,76840.1889537558,76896.9277359424,76939.0955544888,76974.1610522187,77031.0617665082,77068.5462913226,77140.4989002115,77155.3458761425,77208.1370686435,77288.8267322327,77302.1334683997,77351.7644937954,77429.8724502594,77475.7064330657,77500.7665438872,77573.9463708035,77626.6070966085,77649.0073405487,77690.0493486084,77791.2702924432,77848.4689067753,77878.6709210324,77944.4920030774,77985.1254778739,78071.9578641974,78099.1821504398,78181.3335158321,78241.2438499884,78354.2739932534,78458.4544710022,78509.7640329578,78680.7651754551,78829.8080115747,79065.5679008875,80089.168841269,80784.5277025564,81465.8609614337,82524.4506913847
2017-01-27 08:00:00,76199.75,69048.0084727488,70832.8497427706,72466.0124634844,72912.5716776179,73275.8408263782,73370.7003081653,73771.9826772845,73908.2400534344,74028.7614133268,74095.4116909237,74218.8538482314,74306.729967758,74428.0203392765,74536.2449409775,74657.4519334068,74772.1637441226,74828.1535699445,74861.8015130758,74882.8943417796,74927.4269355472,75040.0201685473,75079.6647831981,75153.6250437184,75253.9511740212,75271.051565452,75302.5137385057,75334.1835924246,75467.3192371648,75487.8448393894,75536.6590039644,75586.9881461118,75619.2928039037,75673.8843995851,75742.5619705536,75771.5870387604,75790.6269427001,75807.6600289423,75845.6969478821,75910.0798786347,75936.4765390193,75982.2210967602,76001.5915569872,76025.3938236866,76047.5380374629,76145.4615623147,76183.0577413559,76219.2656676508,76250.7346481386,76285.1987174506,76306.6718192695,76333.0006884202,76386.6835498976,76429.4704440436,76486.1091192194,76531.2248095258,76559.8504137692,76620.2445696089,76672.5853080158,76721.811769824,76747.686356096,76793.2431465641,76881.2428433403,76883.6516529522,76945.1426997792,77047.0368849661,77059.0915919078,77086.2671770171,77160.9002821561,77218.310374026,77249.1334833761,77281.592614773,77387.8392454819,77429.0645208798,77459.2665351369,77525.0876171819,77565.7210919784,77652.5534783019,77679.7777645443,77761.9291299366,77821.8394640929,77934.8696073579,78039.0500851067,78090.3596470623,78261.3607895596,78410.4036256792,78646.163514992,79669.7644553735,80365.1233166609,81046.4565755383,82105.0463054892
2017-01-28 18:00:00,66129.75,57661.8127811744,59446.6540511962,61079.81677191,61526.3759860435,61889.6451348038,61984.5046165908,62385.7869857101,62522.04436186,62642.5657217524,62709.2159993493,62832.658156657,62920.5342761836,63041.8246477021,63150.0492494031,63271.2562418324,63385.9680525482,63441.9578783701,63475.6058215014,63496.6986502052,63541.2312439728,63653.8244769729,63693.4690916237,63767.429352144,63867.7554824468,63884.8558738776,63916.3180469313,63947.9879008502,64081.1235455904,64101.649147815,64150.46331239,64200.7924545374,64233.0971123293,64287.6887080107,64356.3662789792,64385.391347186,64404.4312511257,64443.6813506405,64470.5931367145,64529.8962078264,64553.4949858466,64596.2505169819,64615.8109564944,64642.6633119406,64693.8199624756,64766.0064619462,64799.311655041,64833.0699760764,64864.5389565642,64899.0030258762,64920.4761276951,64946.8049968458,65000.4878583232,65043.2747524692,65099.913427645,65145.0291179514,65173.6547221948,65234.0488780345,65286.3896164414,65335.6160782496,65361.4906645216,65407.0474549897,65495.0471517659,65497.4559613778,65558.9470082048,65660.8411933917,65672.8959003334,65700.0714854427,65774.7045905818,65832.1146824515,65862.9377918017,65895.3969231986,66001.6435539075,66042.8688293054,66073.0708435625,66138.8919256075,66179.525400404,66266.3577867275,66293.5820729699,66375.7334383622,66435.6437725185,66548.6739157835,66652.8543935323,66704.1639554879,66875.1650979852,67024.2079341048,67259.9678234176,68283.5687637991,68978.9276250865,69660.2608839638,70718.8506139148
2017-01-29 18:00:00,62740,54504.4411338221,56289.2824038439,57922.4451245577,58369.0043386912,58732.2734874515,58827.1329692386,59228.4153383578,59364.6727145077,59485.1940744001,59551.844351997,59675.2865093047,59763.1626288313,59884.4530003498,59992.6776020508,60113.8845944801,60228.5964051959,60284.5862310178,60318.2341741492,60339.3270028529,60383.8595966205,60496.4528296206,60536.0974442714,60610.0577047917,60710.3838350945,60727.4842265253,60758.946399579,60790.6162534979,60923.7518982381,60944.2775004627,60993.0916650377,61043.4208071851,61075.725464977,61130.3170606584,61198.9946316269,61228.0196998337,61247.0596037734,61286.3097032882,61317.1783925931,61381.2968614266,61424.5764421627,61444.2060243319,61467.6525863783,61485.3261607157,61538.7548905953,61608.944789739,61653.0088940724,61682.6106525105,61714.6623346107,61756.5082714164,61766.0704446261,61791.3809125449,61869.3347977365,61897.8766722887,61949.4857415698,61995.2117720895,62019.6210717112,62077.5608264168,62146.1846256847,62184.6952414576,62234.5202687945,62265.1417448913,62338.5875416245,62366.0576579816,62410.9115130607,62505.7008598574,62529.8445122462,62561.26805631,62647.7780258541,62680.251977341,62713.3680103562,62787.1628657695,62848.809605173,62894.5896950146,62949.0358861652,62981.5202782552,63022.1537530517,63108.9861393752,63136.2104256176,63218.3617910099,63278.2721251662,63391.3022684312,63495.48274618,63546.7923081356,63717.7934506329,63866.8362867525,64102.5961760653,65126.1971164468,65821.5559777342,66502.8892366115,67561.4789665625
2017-01-30 11:00:00,76882.25,69530.5133338829,71315.3546039047,72948.5173246185,73395.076538752,73758.3456875123,73853.2051692994,74254.4875384186,74390.7449145685,74511.2662744609,74577.9165520578,74701.3587093655,74789.2348288921,74910.5252004106,75018.7498021116,75139.9567945409,75254.6686052567,75310.6584310786,75344.3063742099,75365.3992029137,75409.9317966813,75522.5250296814,75562.1696443322,75636.1299048525,75736.4560351553,75753.5564265861,75785.0185996398,75816.6884535587,75949.8240982989,75970.3497005235,76019.1638650985,76069.4930072459,76101.7976650378,76156.3892607192,76225.0668316877,76254.0918998945,76273.1318038342,76312.381903349,76343.2505926539,76407.3690614874,76450.6486422235,76481.6804968532,76504.2992037702,76526.3390723293,76579.9839389605,76653.4327706868,76682.2548611341,76708.9971854196,76760.3056068731,76784.1381317741,76795.6558942805,76830.8974397737,76900.5575979687,76932.5702321336,76979.9356011332,77031.7766407879,77079.6057422233,77126.205293971,77181.2366273518,77211.342502678,77262.7006853586,77317.620189026,77364.8909597352,77396.124933985,77447.3264529992,77535.7712660416,77563.1711862256,77627.2677004502,77675.3184852894,77709.3232346395,77740.0983743559,77813.2350658303,77874.8818052338,77920.6618950754,77975.108086226,78007.592478316,78048.2259531125,78135.058339436,78162.2826256784,78244.4339910707,78304.344325227,78417.374468492,78521.5549462408,78572.8645081964,78743.8656506937,78892.9084868133,79128.6683761261,80152.2693165076,80847.628177795,81528.9614366724,82587.5511666233
