"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,65559.5,58365.1670249814,60709.6845300374,61515.6099704502,62937.4443029915,63235.9068123837,63354.4877569073,63466.0341332479,63533.7277148233,63624.3764008366,63811.1187904699,63825.4043034298,63916.1749560958,63963.3474191357,64047.5211703368,64093.3431156186,64206.0498952748,64283.0909264448,64332.2364784317,64368.8425067689,64458.0824515012,64499.5201480296,64548.0994248072,64580.1744475152,64611.8106355358,64652.4363243131,64686.662757469,64719.126824966,64749.5355599617,64753.6981152144,64786.8927405829,64891.671861276,64937.8175044095,64960.0420255551,65009.7585388469,65041.6638848509,65104.9363624062,65167.4684941988,65186.8444879746,65244.0749068405,65278.552160574,65316.9502869927,65344.0084277467,65386.364289736,65429.9948339736,65481.0759472679,65507.5888390515,65531.377632537,65566.0662500299,65597.1613247498,65637.3641160839,65659.8058217623,65682.1147198879,65702.4123156112,65726.3823767447,65788.0269684096,65827.6477791676,65890.3480252401,65943.5951445685,65969.0524042208,66044.0611767336,66075.5843072876,66159.2531173254,66199.8372088228,66237.1386663894,66250.5407126993,66287.6180389916,66302.0498306239,66315.6157430942,66343.7567302728,66386.9791818907,66404.0797966399,66538.3986916103,66553.45446812,66654.9860062348,66718.4314388139,66748.8667353215,66850.5869578461,66918.6985646742,67135.4935859969,67197.911168875,67287.1629540947,67355.1013023088,67419.411603701,67629.3294897029,67810.0587062942,68031.5426950713,68332.2159343454,68699.8474559501,69318.7001233734,70409.1805945867
2017-01-22 18:00:00,63096.5,55964.3656479548,58308.8831530107,59114.8085934236,60536.6429259649,60835.1054353571,60953.6863798807,61065.2327562213,61132.9263377967,61223.57502381,61410.3174134433,61424.6029264032,61515.3735790692,61562.5460421091,61646.7197933102,61692.541738592,61805.2485182482,61882.2895494182,61931.4351014051,61968.0411297423,62057.2810744746,62098.718771003,62147.2980477806,62179.3730704886,62211.0092585092,62251.6349472864,62285.8613804424,62318.3254479394,62348.7341829351,62352.8967381878,62386.0913635563,62490.8704842494,62537.0161273829,62559.2406485285,62608.9571618203,62640.8625078243,62704.1349853796,62766.8267761503,62814.1213403568,62845.2222829228,62879.2667639946,62920.5002906682,62962.0757836936,62986.3870881917,63054.5484794722,63087.9392641939,63122.0338546047,63138.3696585146,63165.2648730033,63196.3599477232,63236.5627390573,63259.0044447357,63281.3133428613,63301.6109385846,63325.5809997181,63387.225591383,63426.846402141,63489.5466482135,63542.7937675419,63568.2510271942,63643.259799707,63674.782930261,63758.4517402988,63799.0358317962,63836.3372893628,63849.7393356727,63886.816661965,63901.2484535973,63914.8143660676,63942.9553532462,63986.177804864,64003.2784196133,64137.5973145837,64152.6530910934,64254.1846292082,64317.6300617873,64348.0653582949,64449.7855808195,64517.8971876476,64734.6922089702,64797.1097918484,64886.3615770681,64954.2999252822,65018.6102266744,65228.5281126763,65409.2573292676,65630.7413180447,65931.4145573188,66299.0460789235,66917.8987463468,68008.3792175601
2017-01-23 18:00:00,77123.75,68722.8937422434,71067.4112472993,71873.3366877122,73295.1710202535,73593.6335296457,73712.2144741693,73823.7608505099,73891.4544320853,73982.1031180986,74168.8455077319,74183.1310206918,74273.9016733578,74321.0741363977,74405.2478875988,74451.0698328806,74563.7766125368,74640.8176437067,74689.9631956937,74726.5692240309,74815.8091687632,74857.2468652916,74905.8261420692,74937.9011647772,74969.5373527977,75010.163041575,75044.389474731,75076.853542228,75107.2622772237,75111.4248324764,75144.6194578449,75249.3985785379,75295.5442216715,75317.7687428171,75367.4852561089,75399.3906021129,75462.6630796682,75525.3548704389,75572.6494346454,75603.7503772114,75637.7948582832,75679.0283849568,75720.6038779822,75744.9151824803,75813.0765737608,75846.4673584824,75865.3155563135,75896.8977528032,75923.7929672919,75954.8880420118,75995.0908333459,76017.5325390243,76039.8414371499,76060.1390328732,76084.1090940067,76145.7536856716,76185.3744964296,76248.0747425021,76301.3218618305,76326.7791214827,76401.7878939956,76433.3110245496,76516.9798345874,76557.5639260848,76594.8653836514,76608.2674299613,76645.3447562536,76659.7765478859,76673.3424603562,76701.4834475348,76744.7058991526,76761.8065139019,76896.1254088723,76911.181185382,77012.7127234968,77076.1581560759,77106.5934525834,77208.3136751081,77276.4252819362,77493.2203032588,77555.637886137,77644.8896713567,77712.8280195708,77777.138320963,77987.0562069649,78167.7854235562,78389.2694123333,78689.9426516074,79057.5741732121,79676.4268406354,80766.9073118487
2017-01-24 11:00:00,78217,70384.9975130116,72729.5150180676,73535.4404584804,74957.2747910217,75255.7373004139,75374.3182449375,75485.8646212781,75553.5582028535,75644.2068888668,75830.9492785001,75845.23479146,75936.005444126,75983.1779071659,76067.351658367,76113.1736036488,76225.880383305,76302.921414475,76352.0669664619,76388.6729947991,76477.9129395314,76519.3506360598,76567.9299128374,76600.0049355454,76631.641123566,76672.2668123433,76719.5611603744,76741.0941501515,76771.0477362763,76784.5158184595,76861.7683065694,76912.2662558108,76959.6748920727,77013.180552349,77031.3561111124,77065.1858192992,77146.7675610743,77194.0407515826,77245.6024568216,77274.2709020675,77314.3155484042,77350.4543312336,77387.7603551224,77424.9008837082,77484.4155531885,77512.0453948192,77542.6657196615,77569.436711605,77594.2921787976,77637.1519411792,77669.1153442964,77681.0441286344,77715.1686753143,77726.3107095206,77752.7097226124,77823.980474118,77850.7751007225,77947.9358291176,77967.5767274456,78003.6435950176,78074.5136229219,78099.9619660466,78189.7288926795,78222.817216492,78260.7020564307,78272.3716158853,78307.4497824254,78323.2490725038,78337.6198155795,78372.5303481596,78413.7322103238,78501.2145702378,78560.8797320515,78574.183851079,78680.6129671957,78740.3720254896,78785.8537707682,78870.4174458763,78938.5290527044,79155.3240740271,79217.7416569052,79306.9934421249,79374.931790339,79439.2420917312,79649.1599777331,79829.8891943244,80051.3731831016,80352.0464223756,80719.6779439803,81338.5306114036,82429.0110826169
2017-01-25 11:00:00,77808.75,70898.0168709971,73242.5343760531,74048.4598164659,75470.2941490072,75768.7566583994,75887.337602923,75998.8839792636,76066.577560839,76157.2262468523,76343.9686364856,76358.2541494455,76449.0248021115,76496.1972651514,76580.3710163525,76626.1929616343,76738.8997412905,76815.9407724605,76865.0863244474,76901.6923527846,76990.9322975169,77032.3699940453,77080.9492708229,77113.0242935309,77144.6604815515,77185.2861703287,77232.5805183599,77254.113508137,77284.0670942618,77297.535176445,77374.7876645549,77425.2856137963,77472.6942500582,77526.1999103345,77544.3754690979,77578.2051772847,77659.7869190598,77707.0601095681,77758.6218148071,77787.290260053,77827.3349063897,77863.4736892191,77900.7797131079,77937.9202416937,77997.434911174,78025.0647528047,78055.685077647,78082.4560695905,78107.3115367831,78160.9840382737,78185.7805369174,78195.0806921549,78228.579628349,78252.6666592482,78297.720262586,78337.7512158763,78373.3854591009,78461.0256356909,78492.468098059,78553.7841305853,78591.2447489604,78665.0720648316,78718.8772621973,78735.8365744775,78773.7214144162,78785.3909738708,78820.4691404109,78836.2684304893,78850.639173565,78885.5497061451,78926.7515683093,79014.2339282233,79073.899090037,79087.2032090645,79193.6323251812,79253.3913834751,79298.8731287537,79383.4368038618,79451.5484106899,79668.3434320126,79730.7610148907,79820.0128001104,79887.9511483245,79952.2614497167,80162.1793357186,80342.9085523099,80564.3925410871,80865.0657803611,81232.6973019658,81851.5499693891,82942.0304406024
2017-01-26 18:00:00,77819,70573.1825296701,72917.700034726,73723.6254751389,75145.4598076802,75443.9223170724,75562.503261596,75674.0496379366,75741.743219512,75832.3919055253,76019.1342951586,76033.4198081185,76124.1904607845,76171.3629238244,76255.5366750255,76301.3586203073,76414.0653999635,76491.1064311334,76540.2519831204,76576.8580114576,76666.0979561899,76707.5356527183,76756.1149294959,76788.1899522039,76819.8261402245,76860.4518290017,76907.7461770329,76929.27916681,76959.2327529348,76972.700835118,77049.9533232279,77100.4512724693,77147.8599087312,77201.3655690075,77219.5411277709,77253.3708359577,77334.9525777328,77382.2257682411,77433.7874734801,77462.455918726,77488.0836457099,77529.3171723835,77570.8926654089,77595.203969907,77663.3653611875,77696.7561459092,77715.6043437402,77747.1865402299,77774.0817547186,77825.3369578377,77857.3003609548,77869.2291452928,77903.3536919728,77914.4957261791,77940.8947392709,78012.1654907765,78048.5511177739,78136.1912943639,78167.633756732,78228.9497892583,78266.4104076333,78340.2377235046,78394.0429208703,78411.0022331505,78448.8870730892,78460.5566325438,78495.6347990839,78511.4340891623,78525.804832238,78560.7153648181,78601.9172269823,78689.3995868963,78749.06474871,78762.3688677375,78868.7979838542,78928.5570421481,78974.0387874267,79058.6024625348,79126.7140693629,79343.5090906855,79405.9266735637,79495.1784587834,79563.1168069975,79627.4271083897,79837.3449943916,80018.0742109829,80239.5581997601,80540.2314390341,80907.8629606388,81526.7156280621,82617.1960992754
2017-01-27 08:00:00,76199.75,69533.0488295788,71877.5663346348,72683.4917750476,74105.3261075889,74403.7886169811,74522.3695615047,74633.9159378453,74701.6095194207,74792.258205434,74979.0005950673,74993.2861080272,75084.0567606932,75131.2292237331,75215.4029749342,75261.224920216,75373.9316998722,75450.9727310422,75500.1182830291,75536.7243113663,75625.9642560986,75667.401952627,75715.9812294046,75748.0562521126,75779.6924401332,75820.3181289105,75867.6124769416,75889.1454667187,75919.0990528435,75932.5671350267,76009.8196231366,76060.317572378,76107.7262086399,76161.2318689162,76179.4074276796,76213.2371358664,76294.8188776415,76342.0920681498,76393.6537733888,76422.3222186347,76447.9499456186,76489.1834722922,76530.7589653176,76555.0702698157,76623.2316610962,76656.6224458179,76675.4706436489,76707.0528401386,76733.9480546273,76778.8662999087,76805.2459206814,76827.6876263597,76849.9965244853,76870.2941202086,76894.2641813421,76955.908773007,76998.8264172897,77095.9871456848,77115.6280440128,77151.6949115848,77222.5649394892,77248.0132826138,77337.7802092467,77367.7190134202,77405.0204709868,77418.4225172967,77455.5010989926,77471.300389071,77485.6711321467,77520.5816647268,77561.783526891,77649.265886805,77708.9310486187,77722.2351676462,77828.6642837629,77888.4233420568,77933.9050873354,78018.4687624435,78086.5803692716,78303.3753905943,78365.7929734724,78455.0447586921,78522.9831069062,78587.2934082984,78797.2112943003,78977.9405108916,79199.4244996688,79500.0977389428,79867.7292605475,80486.5819279708,81577.0623991841
2017-01-28 18:00:00,66129.75,59189.5174441578,61534.0349492137,62339.9603896266,63761.7947221679,64060.2572315601,64178.8381760837,64290.3845524243,64358.0781339997,64448.726820013,64635.4692096463,64649.7547226062,64740.5253752722,64787.6978383121,64871.8715895132,64917.693534795,65030.4003144512,65107.4413456211,65156.5868976081,65193.1929259453,65282.4328706776,65323.870567206,65372.4498439836,65404.5248666916,65436.1610547122,65476.7867434894,65524.0810915206,65548.2756179272,65577.421044693,65601.2505288698,65678.966769586,65722.9289224667,65766.0282425916,65820.962025332,65840.5061474506,65869.7057504454,65951.2874922205,65998.5606827288,66050.1223879678,66078.7908332137,66104.4185601976,66145.6520868712,66187.2275798966,66211.5388843947,66279.7002756752,66313.0910603969,66331.9392582279,66363.5214547176,66390.4166692063,66435.3349144877,66461.7145352603,66484.1562409387,66506.4651390643,66526.7627347876,66550.7327959211,66612.377387586,66655.2950318687,66752.4557602638,66772.0966585918,66808.1635261638,66879.0335540681,66904.4818971928,66994.2488238257,67024.1876279992,67061.4890855658,67074.8911318757,67111.9697135716,67127.76900365,67142.1397467257,67177.0502793058,67218.25214147,67305.734501384,67365.3996631977,67378.7037822252,67485.1328983419,67544.8919566358,67590.3737019144,67674.9373770225,67743.0489838506,67959.8440051732,68022.2615880514,68111.5133732711,68179.4517214852,68243.7620228774,68453.6799088793,68634.4091254706,68855.8931142478,69156.5663535218,69524.1978751265,70143.0505425498,71233.5310137631
2017-01-29 18:00:00,62740,55429.1945577933,57773.7120628492,58579.6375032621,60001.4718358034,60299.9343451956,60418.5152897192,60530.0616660598,60597.7552476352,60688.4039336485,60875.1463232818,60889.4318362417,60980.2024889077,61027.3749519476,61111.5487031487,61157.3706484305,61270.0774280867,61347.1184592566,61396.2640112436,61432.8700395808,61522.1099843131,61563.5476808415,61612.1269576191,61644.2019803271,61675.8381683477,61716.4638571249,61763.7582051561,61787.9527315627,61817.0981583285,61840.9276425053,61918.6438832215,61962.6060361022,62005.7053562271,62060.6391389675,62080.1832610861,62109.3828640809,62211.3386935835,62249.0201820425,62302.3671746074,62339.9276867962,62358.5125931859,62385.3292005067,62426.9046935321,62451.2159980302,62519.3773893107,62552.7681740324,62571.6163718634,62603.1985683531,62630.0937828418,62675.0120281232,62701.3916488958,62723.8333545742,62746.1422526998,62766.4398484231,62790.4099095566,62852.0545012215,62894.9721455042,62992.1328738993,63011.7737722273,63047.8406397993,63118.7106677036,63144.1590108283,63233.9259374612,63263.8647416347,63301.1661992013,63314.5682455112,63351.6468272071,63367.4461172855,63381.8168603612,63416.7273929413,63457.9292551055,63545.4116150195,63605.0767768332,63618.3808958607,63724.8100119774,63784.5690702713,63830.0508155499,63914.614490658,63982.7260974861,64199.5211188087,64261.9387016869,64351.1904869066,64419.1288351207,64483.4391365129,64693.3570225148,64874.0862391061,65095.5702278832,65396.2434671573,65763.874988762,66382.7276561853,67473.2081273986
2017-01-30 11:00:00,76882.25,70142.6702490649,72487.1877541209,73293.1131945337,74714.947527075,75013.4100364672,75131.9909809908,75243.5373573314,75311.2309389068,75401.8796249201,75588.6220145534,75602.9075275133,75693.6781801793,75740.8506432192,75825.0243944203,75870.8463397021,75983.5531193583,76060.5941505283,76109.7397025152,76146.3457308524,76235.5856755847,76277.0233721131,76325.6026488907,76357.6776715987,76389.3138596193,76429.9395483965,76477.2338964277,76501.4284228343,76530.5738496001,76554.4033337769,76632.1195744931,76676.0817273739,76719.1810474987,76774.1148302391,76793.6589523577,76822.8585553525,76924.8143848551,76962.4958733141,77015.842865879,77053.4033780678,77071.9882844575,77098.8048917783,77140.3803848037,77164.6916893018,77232.8530805823,77269.7181308725,77300.3384557148,77327.1094476583,77351.9649148509,77394.8246772325,77426.7880803497,77438.7168646877,77459.6179439714,77479.9155396947,77503.8856008282,77565.5301924931,77608.4478367758,77705.6085651709,77725.2494634989,77761.3163310709,77832.1863589752,77857.6347020999,77947.4016287328,77977.3404329063,78014.6418904729,78028.0439367828,78065.1225184787,78080.9218085571,78095.2925516328,78130.2030842129,78171.4049463771,78258.8873062911,78318.5524681048,78331.8565871323,78438.285703249,78498.0447615429,78543.5265068215,78628.0901819296,78696.2017887577,78912.9968100804,78975.4143929585,79064.6661781782,79132.6045263923,79196.9148277845,79406.8327137864,79587.5619303777,79809.0459191549,80109.7191584289,80477.3506800336,81096.2033474569,82186.6838186702
