"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
"2017-01-21 18:00:00",65559.5,57942.5087413501,60003.5333917833,60580.773703942,61688.1214969168,62447.4568592263,62809.1048224667,62996.5856051639,63067.8333416076,63116.0218260423,63187.1128750051,63192.9643043681,63304.1246137981,63447.1298902943,63543.7972390946,63788.3693734934,63836.327510835,63843.8428525066,63966.2048917756,63985.5454111599,64015.7223118379,64014.9277379625,64084.4003253777,64163.8271999314,64212.560976633,64276.4884103494,64300.5300960601,64352.8490584161,64388.3875829549,64415.9295391598,64442.6601252127,64452.8611669707,64458.5096539911,64485.9332405779,64515.7429162909,64565.754743337,64609.6357276393,64693.9540573119,64721.6391803073,64773.0379858801,64788.7631856579,64805.351365917,64814.9650418715,64845.6385525666,64867.2450261102,64919.2893849984,64944.8519942318,64977.9476762296,65003.853461209,65024.1680920065,65047.8139591564,65098.9089985427,65135.1659241233,65213.1194353735,65272.8480178175,65323.6631352365,65375.5789136303,65390.5121382478,65434.6162471862,65476.528459781,65602.6748817822,65658.3741164286,65680.3985542762,65700.0732277889,65704.474129091,65734.602259306,65810.6663336346,65834.4040928351,65869.2352777815,65913.5648422364,65939.812855813,65971.961270711,66018.9295186314,66116.4901302491,66158.4755026618,66239.4915804543,66295.8508091089,66401.5451821645,66534.3396420107,66608.2198889392,66823.028746212,66998.5168732924,67056.8053822445,67154.8165400654,67199.2302255405,67343.0570471402,67708.6158042243,68019.876727521,68622.9351957047,69056.7698817781,69521.9989792853
"2017-01-22 18:00:00",63096.5,53921.558244631,56307.0411487621,57108.9247952839,58672.9549406182,59701.2706996328,59973.1980592867,60122.1945643045,60163.8410512626,60198.3115582965,60248.4049430933,60258.5212334202,60438.8747546757,60617.8763461762,60803.0351089049,60974.4967912756,61026.9169809705,61028.1315675376,61151.6823440045,61157.3277535059,61179.0630374052,61178.3442348957,61241.9388847988,61316.7244802723,61354.2610263164,61420.9229164186,61447.5226555046,61541.2954233422,61557.5978451003,61592.2624995437,61615.6918779807,61623.3561158524,61626.2507799185,61650.9817730681,61682.8805032647,61723.4906499973,61758.2264554219,61834.701974516,61874.9882144314,61912.6712395847,61938.5096748653,61952.71340777,61960.8171586125,61974.6162338916,62013.9237212038,62050.2384709915,62078.395866665,62134.274751266,62146.9376803725,62172.729133006,62175.7830921433,62291.1694214046,62296.8613866046,62325.622532263,62452.2678728281,62475.7677176004,62538.923832062,62578.2879769977,62631.286754897,62734.8356488631,62794.525686913,62878.9618676998,62827.0252867184,62907.2108626299,62880.55414038,62918.9377503483,63021.8395188307,63034.5649235833,63085.680465334,63120.7049951317,63145.7784388052,63171.0714503407,63212.2740143774,63305.6558144607,63339.7465108071,63419.8463412625,63476.3939263561,63580.3096030797,63712.1225929071,63792.9165129144,64031.152593121,64245.7961941871,64267.5432922956,64361.6195455396,64393.6573476142,64499.9484081691,65011.9664556639,65311.0141760847,66097.3970911305,66498.1009414418,67003.0100992836
"2017-01-23 18:00:00",77123.75,74123.0707242555,74545.8751902557,74521.4723210103,74423.1919227532,74263.9148535024,74509.4638621919,74689.0433644581,74789.5825303201,74901.3828180062,74974.6300198487,74984.3562736498,74987.7928554622,75031.4691714646,75178.5168547685,75188.3509388193,75237.688481065,75253.7827298809,75412.1743249801,75425.431350705,75497.1099321395,75510.5388886972,75593.6953466541,75638.3077453772,75738.0634690603,75779.5346499493,75803.5041055423,75815.4807789653,75811.2043691495,75841.1837242862,75875.366602583,75888.3273483061,75896.1667010587,75919.1382568381,75972.0145475883,76026.7191892108,76085.1769094132,76144.9287947545,76130.9314802649,76254.7828089761,76252.9569670012,76256.4222766117,76278.8760858216,76370.381223631,76434.0359994478,76483.8411033401,76482.7491884711,76476.0816104819,76470.3241000847,76488.6931749594,76564.4176587156,76689.6378167946,76774.8680472159,76775.1916085636,76768.1333026398,76753.8534240598,76777.2341200633,76776.1818911758,76792.6996474139,76810.6421703505,76853.0979676848,76855.9986989927,76850.9257608546,76946.1237283139,77014.9757639029,76995.2506202384,77038.6089006989,77054.8575031553,77063.3709047999,77142.4636983018,77159.9709471718,77215.8127542418,77268.7398430824,77335.9293881959,77400.252612179,77438.640883835,77461.5612656424,77515.8962313395,77576.7941203662,77679.7740612784,77885.944054634,77946.4549437182,78118.843031856,78189.9659979144,78279.2127042182,78596.2602906102,78607.7635937022,78704.5808294119,78655.9156395928,78928.7752025766,79595.0973640701
"2017-01-24 11:00:00",78217,76058.2864177758,76196.0522297236,76184.4401167673,76046.8824764742,75862.7781621817,75964.8053624485,76085.6987835542,76175.0039289336,76276.6094652786,76326.2853420925,76337.3443881027,76363.6980619936,76471.362274941,76684.6846391985,76662.1591656517,76691.2502149982,76759.4652947872,76863.0798729692,76876.8261094925,76950.7510774888,76964.0064494159,77006.1525639743,77064.9489566344,77165.0883505673,77214.5551079803,77250.7127796902,77265.9086740281,77250.9559691605,77279.9464825602,77317.774908394,77331.4751994961,77346.5890861787,77378.7717027803,77436.2794434264,77449.9290076819,77513.731905445,77566.3994447239,77578.9825602137,77642.7189492543,77646.5817226614,77660.4828522467,77693.2222500418,77756.5762693007,77823.9037487841,77869.7859258814,77892.8546011694,77895.3579380086,77891.9530913032,77961.1364197236,78021.5421136428,78147.8564025521,78169.5888916654,78155.9073842702,78169.8387156589,78155.3992544592,78182.3826029589,78165.3941877819,78196.2484365102,78223.9141707261,78255.692788973,78258.0229277815,78282.1278888633,78353.0072598621,78406.9965550099,78407.693055833,78421.1745669816,78446.001606369,78450.2804895873,78519.3087604587,78543.1301694986,78602.9604878799,78659.178270898,78712.831382167,78784.080867216,78802.5118708658,78820.9050827994,78858.8122323419,78896.5916256764,79007.8605155812,79280.0797225774,79374.492220144,79542.1688161695,79585.057110235,79668.7812469116,79977.6229630112,79981.4934820472,79873.3397903768,79860.1308133641,79970.2408934694,80703.8386915869
"2017-01-25 11:00:00",77808.75,76636.3575804835,76684.869207988,76680.9393264095,76537.3036942231,76349.1846807056,76402.3837536507,76503.2625916458,76588.4142100663,76686.4071340262,76727.965277352,76739.522866215,76774.4991626225,76865.1377166644,77113.8777015374,77101.2717422161,77138.4916204671,77196.41617695,77301.5304756949,77332.6271289317,77387.8884688263,77402.8124053796,77500.1882727593,77549.248110401,77640.8361752045,77659.8977106913,77680.3062760673,77703.6002037767,77696.1084036847,77723.6268332642,77762.0083080402,77768.4030690301,77788.2091402582,77833.2568044365,77889.2164369987,77914.2757477072,77978.3109014846,77989.8872770686,78073.8899829923,78059.3515724648,78090.5825255627,78077.2178047306,78149.7164416871,78202.6659172434,78263.5619126788,78285.7857158244,78313.238390448,78314.8897083963,78347.8875515324,78413.3108739883,78444.7095620134,78592.2121323521,78591.6045846722,78581.9085108537,78586.7846327575,78595.3422481229,78616.0748666212,78622.2989339629,78632.285256681,78648.3675584242,78673.3634491605,78676.8385186841,78767.9969233527,78769.896192361,78828.0287682701,78842.5036507061,78833.5681035421,78860.8179513092,78863.9133973733,78934.3320454496,78957.5963924549,79018.6435730517,79075.8721451678,79124.9903051413,79198.419165229,79212.460865208,79227.1467854123,79259.6041228266,79289.734646303,79404.0419252571,79698.317840676,79804.5964152251,79970.1395155497,80003.6115898091,80085.3049309848,80390.8026175602,80394.3527372358,80249.2756314679,80223.6883822727,80275.2401201147,81031.603791662
"2017-01-26 18:00:00",77819,75681.1859113218,75783.0068322746,75857.1422800732,75813.8746017411,75735.3919179321,75731.6943823628,75800.1132820115,75879.5291484714,75958.2788692662,76001.4014584312,75998.3489598433,76053.0289319551,76226.1392586381,76475.460035475,76497.5804129583,76532.6893548048,76575.6589508744,76692.5053337265,76724.9628669899,76784.6499137866,76783.254748627,76864.8576761189,76893.6125625449,77007.6881258697,77025.8344215193,77084.5078386334,77106.0478163564,77110.497250814,77127.8059378004,77146.4099223077,77151.1907528081,77188.7881264258,77203.7696688239,77257.3741022617,77281.3217500846,77349.4096846059,77351.334194762,77424.7888531321,77400.4298293663,77416.305819424,77408.0894366509,77479.7831540749,77530.0058975021,77595.5973497398,77617.6210056295,77647.7680327321,77656.3757717858,77692.1909774911,77732.5811549749,77786.0248062581,77938.7545703131,77929.1698688899,77892.3251524805,77931.4206325499,77940.3005704491,77978.8383112499,77964.2631001067,77988.4404780471,78037.7533769266,78051.7523296287,78065.3390041067,78121.0267599813,78137.8713458341,78176.0941551914,78205.9191675663,78200.4228294071,78217.6988730184,78238.0791563261,78307.4824855707,78331.4440975822,78392.4020969619,78427.4139769558,78499.9992845933,78576.486769447,78590.2568083795,78604.1747536371,78636.487733148,78665.7627437605,78765.2575067763,79119.6064159723,79268.2009876303,79414.8276631417,79433.0882604017,79503.5863272121,79772.9206230898,79804.647775799,79656.26258597,79658.6311656023,79615.9669943621,80363.3492328943
"2017-01-27 08:00:00",76199.75,74526.3633663169,74824.5553665592,74867.27774793,74795.6663651056,74755.171972643,74839.8297461383,74955.7251071008,75049.2084033328,75084.5489112176,75186.1967845458,75195.2388327898,75218.0342117585,75484.252362498,75624.4217845757,75612.0591621105,75654.2468070274,75753.4221593879,75823.8236447867,75854.4333826036,75916.3173222017,75965.7506059343,76009.6925168972,76015.4186320003,76154.1261709085,76170.8924604609,76230.5835198787,76250.5288471285,76251.3525357632,76271.7348964258,76288.8814416754,76292.4192054456,76323.4604614942,76344.5501756729,76400.4311903367,76430.8324917375,76497.7846909206,76514.5452973771,76592.416152658,76585.0265383367,76603.8630390151,76596.5211717176,76664.9490762862,76716.0402562719,76799.2698334644,76810.2153542739,76831.2903912027,76867.1594413198,76886.4490890253,76924.2539548803,76992.3217815491,77080.63868542,77109.3524696737,77079.9156583697,77104.9024821863,77118.6258435151,77132.4150194629,77156.9663638863,77170.4400134167,77187.210920105,77217.1886964624,77248.638469712,77296.5431109597,77307.6354568781,77340.1404306692,77347.378217514,77380.410180571,77397.3533063556,77416.36608547,77471.7733951664,77509.2458195225,77568.1941068037,77592.5727271452,77687.2797744364,77743.5066394154,77785.8061111623,77809.2782948388,77856.1718954112,77915.4072044652,78000.0820604723,78284.4548608788,78430.6186279841,78582.3874996006,78620.4845460931,78694.3977270146,78965.8806379241,78982.7617400702,78904.6484876577,78944.2244924153,79027.2699982637,79704.4753620754
"2017-01-28 18:00:00",66129.75,58765.8342030169,60714.2497548922,61291.2028968966,62328.5261561459,63084.509515627,63408.5593169207,63567.2258016469,63641.3691649736,63770.7781036823,63710.7209322082,63755.6454294227,63849.649174462,64234.2131921521,64346.0370406133,64448.4458781488,64473.3261600239,64591.7671654132,64641.4156977555,64649.1180332274,64698.654764452,64759.6795064367,64728.235940837,64822.9415137524,64908.7255184389,64927.3105655805,64954.1602169875,64975.6056246589,65028.2987921864,65053.3105708848,65096.0432054511,65104.7305331137,65117.3317256629,65138.8296333162,65160.0861858521,65226.8621061547,65277.9377472129,65328.2699253377,65372.6260953444,65394.7767130638,65406.1508129493,65412.3948768935,65445.902838558,65470.9213059676,65545.8188362119,65564.6128793344,65577.911543837,65602.9806011965,65629.1115781768,65655.7161684146,65723.6146004277,65778.8589427421,65825.6046645418,65878.0452025763,65943.1755646426,65983.7914210636,66007.0497242001,66020.4899489561,66092.4673931852,66090.8682697561,66252.3555743005,66280.242197974,66261.6785319848,66304.5433299002,66329.7525059877,66341.1120507385,66422.6029851745,66474.4106315232,66488.503946183,66529.132629403,66556.0070216529,66591.2108884486,66624.6773090221,66728.8451686115,66791.7086495922,66857.6453139311,66920.1189539823,67007.6716216268,67111.7103946426,67206.2807271923,67450.9088085635,67697.0990133133,67748.7887686929,67828.1361854939,67864.8648488103,68108.6161984336,68324.659212834,68849.5414290841,69173.5990264688,69496.2709666769,69950.1643699258
"2017-01-29 18:00:00",62740,53677.4129057906,56212.3763968342,56908.0616505817,58285.1624356985,59245.4592042402,59699.0235955918,59916.2161551517,59986.4846001779,60106.6959461081,60066.653084355,60123.3738097313,60375.0178519939,60540.1909038816,60670.1058555569,60753.595222621,60760.5845888442,60870.8539135621,60930.0903190344,60932.6432374181,60969.9054769564,61036.0872169138,61092.7732468631,61123.0752215882,61201.3469798042,61230.5531567044,61256.928137506,61261.7673092262,61320.7893107249,61356.192615463,61397.3643445665,61405.4264391542,61413.282749998,61450.0802599291,61493.2814902707,61543.1390041436,61577.8663124064,61653.7981986754,61717.5003093332,61754.1930196132,61761.3833984314,61798.5167412218,61810.674166886,61846.9626981528,61897.2418761446,61912.6306420856,61920.3529735532,61942.0345912364,61959.4335554589,62000.1281974737,62079.1435633217,62144.4640737178,62155.0283466633,62281.9383106104,62298.9574104621,62365.0918498138,62371.6069944265,62413.4189860948,62469.0545370341,62527.0643324911,62613.3142956755,62623.5716250065,62649.5488105008,62704.7177092118,62742.2772126371,62753.0796417501,62847.9317699106,62863.50034118,62904.9163129531,62929.5862984413,62961.6327461366,62986.9372810223,63022.2765581034,63134.0247540647,63170.1311668873,63262.8194853676,63339.6090897272,63437.4480850617,63605.9219068212,63672.8912199964,63846.3565763166,64052.9571459386,64090.0747131499,64207.3234336346,64245.2928272855,64357.9654187739,64801.123650719,65580.1790183925,65971.7777629135,66520.9921710978,66914.0656290576
"2017-01-30 11:00:00",76882.25,75376.515527257,75539.0996909126,75594.6324254535,75564.2622780384,75458.2861263955,75501.0091548994,75594.5389290645,75674.6705456085,75712.1571607659,75813.1528976384,75823.7643877418,75852.6408552412,76113.586407598,76208.5284143667,76221.921331659,76260.0326984395,76347.597006373,76420.7299680561,76450.1917144858,76513.2529834959,76561.8026729664,76624.0720839152,76707.7481520933,76763.79623694,76793.7240687154,76839.1111308086,76849.5581301072,76881.3538744007,76890.1415090594,76888.1782505437,76897.6574695949,76925.9447048192,76951.9366040886,77046.2598061882,77056.0722286511,77089.6365638913,77100.8270248631,77193.1956098973,77185.4205962337,77205.4512527625,77241.2442442728,77272.2418660577,77338.8873935109,77386.3756673808,77409.4795678426,77418.5101070464,77450.721083216,77499.621976896,77543.8963762813,77677.5919714271,77680.0268777772,77690.0353143235,77682.3776107361,77695.0036691795,77717.5035906246,77717.0078702967,77727.1951677625,77757.1289224372,77781.5019712692,77800.3688019951,77832.4649688919,77872.0428603367,77925.2884702573,77922.4793352953,77929.7810183201,77961.3213270544,77977.438641785,77996.2166140846,78064.2730886247,78087.6233531581,78146.8803963848,78171.0539210215,78242.5054535697,78315.4973326325,78340.4089550635,78357.446318086,78374.2674108082,78398.1771813081,78529.1443428554,78820.4650534354,78961.7543564743,79116.1565479323,79148.6781833903,79225.755743438,79515.2944705202,79553.2113966554,79449.2834290036,79443.3448678803,79486.9215654702,80237.0863622079
