"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-01-01 18:00:00,52797.25,56798.3865227201,61151.4708118616,56202.3750574894,58420.5811027612,62859.3754624944,54348.9061647082,61461.0134615192,58386.2719828091,52928.375623648,58610.7398984401,61503.417173826,60574.273613513,58043.2375596835,60583.0329960254,59345.0363159781,61675.3249736779,61145.630926729,55016.4259056005,60338.4138444368,58909.5063467287,61946.0019777883,60238.2278412175,58454.473723268,59304.6131041079,58797.0493001148,58272.618967094,56999.9813727627,56783.5197373078,64393.636955467,57982.7903845771,61969.6832366803,54786.2730154203,56715.3475189043,57616.9389768835,57797.1073769389,60056.3174015723,59532.7685563764,57880.5766225707,61232.7951899259,58290.6097933224,57937.3189741262,57828.4824049542,60489.6655369248,57805.993480809,57834.3095103638,56971.5495595511,55318.6183257935,62021.5332805748,57917.7724915579,61036.2392866774,60111.9223735987,58201.1900178144,62520.9534615351,57015.0954346708,55764.9977668885,58119.5170725368,60965.9830895753,58166.9309107571,63188.4613338911,60326.3238552953,55994.1003505773,58245.6938189047,62005.2206161057,54815.3652604741,58673.728855806,57619.0571356031,57981.7773117369,60985.1515523155,63748.3421582732,57825.955532473,60045.1396439544,56624.4154056639,57185.2334664355,56971.2104294097,53672.724862291,56824.0556265935,57326.7956457926,60104.3217707012,67831.7506398614,59741.1635671552,58666.9804381755,57693.5313005221,59950.0320169826,55719.3245521762,56471.8096082172,55520.7001198442,54725.6998636956,60107.6064825482,59627.7033216019,59343.6668006405
2016-01-02 18:00:00,60431.25,57120.6666627867,60739.2653635282,62490.732047898,57756.7725209968,63591.7171986123,58774.5622644168,60814.8102116654,62141.2194254099,60153.7737371082,60425.5539453483,61377.800688158,59279.4477168393,61945.1231593009,65804.7053056277,61283.8846023858,60446.0975854889,57514.1114769991,64345.0395427097,61075.2334683235,62801.7442371912,55858.2547184937,65674.7038280276,59509.0060137129,61559.7898512743,58635.1894212322,61683.6587562234,66291.1450943675,64135.780155239,61297.1363939082,59393.306210839,60377.9011491143,57850.5265353445,61236.0174920569,62620.8027010076,62283.7613166598,59614.6642691299,66530.4866512762,62266.8529310397,62147.7851545389,57318.5863576919,62284.2410227298,61350.5547049353,58429.716814411,63309.6840629908,59510.8643840675,62959.9801966818,60793.7487579462,60276.0572026621,61298.7631756508,59340.3848895225,63747.4356158115,64765.2272160058,61819.2700521599,62427.7139214475,62794.3807560973,60840.8881250147,63437.8329168828,60439.8180131756,63089.6873784534,62224.6425478706,60081.5878838084,57832.8753052352,59475.1099230837,61254.8497324769,64469.2932641385,60508.3698471466,59456.9543098854,63593.1299852758,62473.4206223401,65254.4016718622,62827.9018498985,59773.3009584985,62080.5458237856,64313.8119276192,63762.4959193927,59155.1414753397,64702.0060916714,59365.9854222676,64797.8316690152,61985.2109681966,62264.7459065497,59261.9764619133,60332.6092813096,59676.3441613933,57446.3097807049,64858.1179680383,68021.7705177309,59247.6223627059,58898.2725761544,61739.6785833886
2016-01-03 18:00:00,57888.5,60359.0889666901,57454.6009134731,55388.828921042,58818.4280182047,59131.4202756879,55599.3215124955,58553.4633077862,59672.2425105902,55286.464565034,56627.3042580751,59046.4036842749,62064.4346647781,59660.1826589629,58949.1081347443,56253.2112462284,58684.871295574,60739.2022595382,55532.690583295,55558.6167761813,58691.9509324789,54635.4372435298,59872.9978904627,56830.4930320911,57660.2131235794,57231.8485269864,56551.533234424,56909.1486426992,61969.148472189,58985.0579521544,56073.8624593336,54162.605451267,55234.0735478783,57295.1421569079,60365.7898877493,55505.2319626773,56064.2230550659,55772.902303872,55573.0842111949,57534.8700722813,61044.6577386371,63391.5328701649,58178.2135157175,61532.3889759596,56547.3200110817,59108.9397938787,51879.7520599819,56881.9662606931,57645.7501072686,55329.8728070356,58134.7349365642,57652.1001049319,54790.1005723243,59858.5208945135,54591.4672170967,58367.8029754222,54563.1072968818,60983.739813158,65502.187825117,56475.1765747436,57073.7325144498,60255.9599934056,59356.8080722379,60287.0768455146,59175.323467618,56908.8548600901,61470.7430349983,54303.5058002465,54257.7847426847,54771.7735752309,54919.224662977,59275.0835645176,55061.5041566128,55670.4698623035,57261.9845739034,56368.2106114315,57237.1982146635,61972.4399878644,60939.997171236,56657.9987636672,59289.1842969059,60643.6096806467,55437.9737992396,58331.6129543879,54566.6796905325,62528.6899818701,51609.3208171815,58456.231426897,57285.8951564897,61542.5612539634,58653.3624021682
2016-01-04 18:00:00,70768.25,75592.2788335422,75736.9414212049,73658.1973387075,72942.7231219506,76105.5694897659,72702.4630111041,75959.0168335144,74254.2165945284,69868.0431395665,72378.6345962552,69164.4460885425,75319.5950211344,75561.3256918223,75418.5488009882,74502.0715536129,72745.8099729051,72639.6698029673,71313.2681591854,69803.2229211837,70412.0133390549,65630.2720272147,66785.2950303244,69577.6420813198,74103.7081645665,70743.6768339126,75232.7838223535,73245.6399177727,70553.5978808386,72331.2765223055,70954.2204530862,73471.4699303805,72725.4170043822,72439.3833152701,74228.873229473,71543.257267732,72957.0562943106,75352.0611366695,69266.5817008761,72168.7115226076,77650.1679333478,71293.6167663392,69646.4214770389,72111.5436357831,74993.8259091245,68224.9402206129,71835.76894713,74311.7100205823,68603.3112889762,73241.1231049092,73829.491723695,74861.5107130108,71280.9873715941,71228.4915399761,72219.0126188077,71343.5068641785,77226.235643707,72961.1139647455,76673.8573688655,73505.0441393504,67035.2747861188,72181.2986782394,76580.8684934887,74251.6019168809,73265.2915208318,74239.9394410504,71542.2659814548,75713.589235341,71898.4173593342,71857.3485710877,71186.9838474447,75480.2428697118,76141.6995289628,71922.6292958099,70910.736656382,77166.3570595367,72271.3078012433,71911.7185862741,67290.1806995911,72695.1811906166,75431.7413691034,72841.5040936578,67555.6614711167,75026.9566411836,70136.9720459459,72642.2879789052,75402.3760710452,71157.4381631142,68705.8685562678,70229.352554938,75757.9187723855
2016-01-05 17:00:00,71862.75,71978.9932919882,75827.7690447779,73856.7952847176,70244.846606389,74172.7220532635,76039.0881906033,70906.146934694,71613.357512014,76890.2757402562,76520.4664935454,71133.6590219905,76174.0692405232,77638.6937408261,77059.2347571238,74596.4842621958,73145.6949117638,78626.7916263345,71643.4180956423,73504.7650715912,74541.4832058835,72786.3452574191,76790.7791917058,73082.2766855248,75202.0478405205,76852.4877433291,74964.3601500792,76954.8993931183,76036.6335759594,75049.7451666482,77514.1720702065,74163.9689174517,77504.2148389675,76341.9849802838,74336.9997035364,73243.0996791514,75845.0291006597,75173.3562030542,76139.0724647682,75059.1200605276,67766.9232101536,75371.0762214608,76339.112572212,70900.3135967506,73611.3139847885,78519.805198714,73081.2093231815,70583.0412460214,76403.7576532496,70578.4334175436,71424.9402095255,72504.6646815256,74128.6023697193,74819.7070089565,73757.114080642,78599.5668211771,77256.6987885579,72393.8093328158,76047.6008337196,74827.9977914812,70578.2291834518,78566.8988961499,72821.7012335583,71864.5615979273,71692.1536700312,73645.1737116056,74306.0916520936,79414.606283428,69880.8395384804,74684.3532109505,75128.9839237544,71463.2873116682,76117.6553140374,77005.1699208203,72285.0621919395,76505.1263055562,77541.4347538723,67159.6513836331,76115.4921455267,73340.8362973438,77488.0763043331,76793.3269781971,75402.4049359696,77740.4903484683,74756.075661068,73467.9087523795,73632.6784041148,76224.3146502443,78870.5861184821,72828.928852255,71217.3522791434
2016-01-06 17:00:00,68980.5,71219.6036047468,64553.5982612205,64359.1478147666,64846.2129321214,64000.1990819557,64321.0625546192,67932.2615673054,69168.1846311151,63656.2684747066,65139.772827795,62769.4093416384,62882.5768026063,68691.7202128939,61946.1210578224,59973.9008487868,64929.8314249261,68289.8804975281,65933.3363903538,63731.8122978974,64124.7270743529,64955.9406614505,66760.1568948469,66053.4964095962,64759.4940728614,60907.2269451431,66386.89583563,66836.0489474122,65942.0527700977,63993.4295031217,62582.4300537422,70035.7278991809,64907.860760248,67250.7849782881,65614.8490721911,63261.3826964984,67251.8839852717,64346.3914186003,68915.2911970548,64144.9623377,63987.397127076,68187.8054963846,66393.8021520012,67459.5716721042,69750.7235534419,64291.5042571126,68055.7089624394,61836.5243345665,62242.914229175,64913.1547266196,69083.6974246618,70406.8738653028,64767.8103185937,71415.1778674716,64342.6511518811,70957.2195016783,64191.6704165187,64800.1655245048,66035.0901174066,67189.6804537712,64717.9288875702,66028.7576224735,62477.6826231401,66640.0339549947,67117.4245115215,65710.9937606499,68798.3468558048,65964.9463993005,67115.8774355552,62029.4527505325,63609.2971177502,66682.9767947266,65155.2170216716,66655.1339716351,65894.2317660355,66399.2207475981,63621.5451351178,68765.1694613275,69598.9463949235,70892.8867814613,61607.9072795596,69206.7932615579,69629.0984114795,68373.9665629564,62431.4270104286,68476.1328422993,64991.7748406533,65843.8237718204,59046.2690317867,65291.2948501555,60802.7609645347
2016-01-07 17:00:00,74199.5,74743.735580039,76192.7134305897,75560.3999702003,79764.1545109227,83512.4669599631,77942.1006527876,75303.4405350815,74037.8608179015,78890.8027383707,77282.3086623631,78183.1677847049,77558.0996057504,80464.7524748152,74307.4683390041,79419.1626094695,82194.5642146564,76422.5684725325,77108.9123768985,78719.7055278604,75077.3025607499,75629.57135753,78748.6393830975,76018.2080464158,79873.8608665005,74650.0501745779,81405.2597029717,73146.8220015863,77814.5165733887,78090.0766961934,77348.2010486621,76347.3943425215,80048.4568800318,77501.948110864,79173.8572035017,78028.1500733651,80641.3769567084,72830.6987189647,77869.9192495076,75183.9921877283,79189.008669386,73987.5942640225,75792.9645040118,79321.0746417919,73662.7691031269,77800.6889621183,78020.3988219048,79646.0988234754,81391.3480505978,77379.3305982052,74806.5555857163,72362.3169571114,80572.4675621516,81345.2579931257,74735.4431858179,75597.6392261823,74606.8029703049,74430.9563116736,75784.9106990594,77453.0636583851,78423.28536084,74475.4992216929,74169.7327099306,76261.2130870327,73009.6309059831,75326.5960688508,77993.5672158671,77670.1145958473,75064.8295909949,80350.0373513416,80114.4401624466,72587.7073305563,73025.7068439938,77772.3195060158,76957.9606775105,76106.7631323355,79076.532712626,82419.1180349186,74997.6213536341,75172.3240387663,77238.9696437428,82788.8105402798,75354.3776102701,78818.1965679579,79107.7832759082,77910.5833429019,81512.0794080464,77540.2858068939,77469.6133869509,79595.1287649606,76219.5781333627
2016-01-08 08:00:00,71473.25,70154.4526357251,73951.1239905676,72272.7277490803,76229.0444271031,74088.1800391946,78086.4763320918,72854.9386910406,74182.7976360719,78113.477736217,70964.1455094857,76183.1520682294,72032.0630622847,69633.1035266848,70584.2870693194,74310.3093993004,73933.6032981763,79041.8700524984,74937.5121328389,73223.8431438372,77358.811859422,71145.5088434056,73717.5566913639,73895.0337044136,76470.478257389,73627.8165658931,70246.8463919075,72789.9075490833,78273.3801265742,74293.1265247442,77636.9013122794,74924.4170929043,71658.3414452547,74358.4774811869,70806.3669785142,72858.2133744416,77010.1234775968,70689.5456268975,73857.7558898838,72316.19740721,72361.0439771248,73417.5526635066,74702.1245301656,74418.6537235679,66133.0040035464,73275.9610630734,75887.7267671638,70787.7888537716,75572.1078334443,71807.1880119902,70212.3041686167,71658.3025895021,71991.9902163262,71255.0327152391,72977.4198963127,70465.9588450532,78335.3009510218,73314.6817294657,75213.0248619793,78032.6563106266,74171.0879672015,73206.7247865546,72767.7001990698,80111.5601877939,73754.1529936163,72734.4244752502,73028.6872888937,74734.712324825,75127.4497950377,74563.4935805334,72081.6390848918,78351.9662370181,71616.2624381685,72816.9205797222,76353.9228709324,74471.9673238384,72310.0940281571,72455.1037546579,70970.5039643123,74291.123114744,73384.7068347587,73780.3360177741,73652.5817917794,73117.9329123207,76159.2647612655,75756.5155080682,71969.419697862,75474.9464802628,75887.1675687123,71841.6444081713,70836.6614276013
2016-01-09 18:00:00,62274,65722.2067703214,59913.2642571185,61283.3482741517,64741.622878781,61706.061214825,61815.5612116367,62738.3311279688,64231.6622076632,62578.9152648337,59800.1374042652,63917.8942427558,64651.5070319417,67147.0158286235,63610.3104750427,66867.3557586783,62947.0666027964,65917.924325901,61166.5004383453,61991.3575703932,62112.2568870731,64346.8557735367,63336.7846220131,63659.3623777126,61161.866970702,65856.0944930157,61616.3765652808,62255.9872484112,64296.8425901113,64881.7421570074,70063.7709804928,63623.1385279133,62947.9092577825,62424.9875206601,63376.7343454138,63806.6198149851,65266.681261311,62236.4563421846,64340.6662312409,60264.248277187,59177.0431278393,60478.6693395988,63031.6806861443,62070.3057322289,57289.8628979116,62523.0920767407,65148.2371555374,60861.7455718518,60262.2839531477,60447.4184589901,64409.3242884632,59118.6904700589,62369.6104772437,59594.0041559937,60243.2715921013,63795.1290389892,64152.4484600143,62682.4491425013,60787.3782951286,61868.8309333072,63294.4950854734,62231.7933020907,64139.6251180262,62634.6598972779,66578.5930651517,62154.7238510821,64649.8935714473,57957.8765770346,61120.4296660208,63335.3397773626,60284.1530083234,62288.0505783039,62243.4435818056,63029.3250088377,63252.7993273128,56717.5545580098,63249.9705704901,65419.4178588728,66781.1788449374,60950.8746640819,62419.0583010481,61910.6525038554,65250.5527335861,59127.7493913388,58608.6844774069,61606.2677049658,66697.3416223014,64951.9464928825,63652.4126056665,63387.1889870887,59732.1199182337
2016-01-10 18:00:00,59470.75,56469.4867390411,60029.8269633891,57921.4385961728,61581.7695669692,56987.0656041378,55763.9242280086,57016.2698126842,63200.5523308426,54983.9346068809,56773.7981535955,60196.6493851437,56418.3956194427,64197.1546429098,59701.3688692217,58664.9426821028,56113.5324070911,59151.9572286217,57418.5905968107,60338.9033546003,59383.5322006695,55235.6969087885,62539.7074755598,54231.2069410242,55508.9762025615,55570.2635052086,58268.3448655745,62652.9574551896,61194.4510520479,60363.6914850582,56916.2794913492,58789.9646783381,57747.5136248574,56642.3282868731,56931.9962162587,62851.3294084971,54691.8427725398,56710.413532247,58609.7733220357,63037.9424018356,58322.7676013846,56353.8063869159,63372.0316809258,60732.256076697,56661.6745969672,52120.8991419905,60904.2370101999,57210.4436429289,60228.4642060991,60254.5639195442,60808.5098184564,57104.0662748661,60485.6758820223,61762.4550749847,57638.2454525254,59588.8916506728,55239.3121789253,61171.9618889216,58826.368140839,51790.3615007938,58819.8133112503,58396.1580988728,59585.1098452324,57287.1289853883,63060.231713162,60021.1150497329,59218.3195394383,55771.1613219402,52912.2807805176,57182.8621397057,59197.9535105443,58855.1572498428,57556.3660530779,56275.6976560885,58595.0719730798,61273.7007260721,58713.446251201,62826.0822801395,65323.1271747047,57297.4917308701,54767.0968098156,59339.2732470487,57150.8348093802,57891.0093233381,61294.9136913227,58298.2941560739,60000.8114384196,56146.7158315616,52848.4311222368,62644.9927477019,62951.8078408285
