"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,65559.5,64156.0616603441,65048.3086716564,66224.7203942601,64502.8209001973,64527.0976636239,66143.5055169718,65065.5680866857,64250.2281272871,65870.1920461261,66104.7074965244,63749.2933472737,67135.2464265643,65772.8390295668,66087.5488171177,65561.3042468372,65124.332877905,65530.0545749214,66039.2247814776,65255.2008538384,66104.6535531885,65586.2929507647,65627.4631090934,65061.7291056356,66495.8910046234,66212.4101683085,68620.1920201597,62103.064825629,64200.5690693138,63446.7406778958,64920.5832221636,64837.5864723702,63697.6603325649,64586.3975896607,66409.2469258072,64694.4826342346,64779.8832307223,64453.3344656984,66938.894237581,66579.4148917837,65716.4722003673,66475.8984817436,63988.5437709128,64337.2697665258,65205.8394848867,66446.5583238684,65423.6925255344,66776.3205064347,64141.466787484,64168.6230348321,63526.3254319866,65840.8246442208,65113.824797863,64738.4003170938,64654.7316871078,66379.7852423093,63955.9992506236,65376.3849367234,64902.6426002751,64405.1214967161,64323.3098683387,64614.4929150185,63352.533226504,62468.9377536375,62925.5616248243,71186.0347021338,59760.9482078256,63115.979661374,62918.8446996557,65287.4507788113,66291.6606093537,68277.6191837715,70909.9523376352,66738.0531146824,67044.5134364388,66010.9995605207,65978.1700956062,69398.8264397755,66559.4958798834,64643.2291974473,66058.650527417,65552.0015624868,66062.4515531252,64378.9825388688,65880.9791289229,64871.2368245904,64903.6563753479,65674.0152279211,65437.0425498457,65569.9624980004,66186.6563948646
2017-01-22 18:00:00,63096.5,63034.6582118541,64211.0699344578,62464.1315363016,62513.4472038216,64129.8550571695,62751.9874963258,62186.9186095115,63168.9741627957,64091.0570367221,61735.6428874714,65121.595966762,63759.1885697645,64073.8983573154,63187.6895266461,62928.467863107,63516.4041151191,64025.5743216753,63241.5503940361,63456.6265375676,63140.7896102371,63606.5647016675,63048.0786458333,64482.2405448211,62788.8613285633,65883.9589726048,60089.4143658267,62142.4112005418,61433.0902180935,62906.9327623613,62823.9360125679,61635.1982021509,62572.7471298584,64395.5964660049,62680.8321744323,62490.5522205031,62439.6840058961,64925.2437777786,64565.7644319814,63697.2010218163,63487.1020414126,61858.97797655,62309.6594085364,63103.3459566245,64432.9078640661,63001.5749776578,64762.6700466324,62127.8163276817,61592.1207786705,61512.6749721843,63346.5676830517,63082.2056885349,62724.7498572915,62641.0812273055,64366.134782507,61942.3487908213,63362.7344769211,61919.996285215,62391.4710369138,62236.5776674848,62600.8424552162,61338.8827667017,60455.2872938352,59518.1716194798,65924.8680042495,57747.2977480233,61102.3292015717,60905.1942398534,63273.800319009,64278.0101495514,66263.9687239692,68665.7372137688,61776.6647443756,65030.8629766365,63310.3231471197,63964.5196358039,67385.1759799732,64221.7533962304,62045.5182792782,63920.3595149519,63538.3511026844,63150.244288253,62323.6193067235,63867.3286691206,62857.5863647881,62890.0059155456,63644.6821696194,63423.3920900434,63555.6707143472,64173.0059350623,62365.3320790665
2017-01-23 18:00:00,77123.75,77070.631423519,75329.7102152263,75402.1446562915,76989.4165462307,75622.7150621843,75083.9832521192,76780.9782473789,76950.6185257833,74603.886989808,77981.1574558233,76618.7500588257,76933.4598463766,76028.5356518569,75802.0079513979,76346.6635304738,76885.1358107365,76047.2510157074,76282.9535791046,75962.9074456857,76415.2322034084,75895.1798162542,77341.8020338823,76029.1585549275,78743.520461666,72948.9758548879,75017.126957749,74323.0098577162,75783.2878069645,75690.2606080448,74500.8399424768,75435.2967691653,77255.1579550661,75564.1372361972,75352.3867725865,75300.9691164704,77784.8052668399,77425.3259210426,76556.7625108775,76316.1880266288,74724.5962230451,75169.2834767322,75942.5575148479,77292.4693531273,75869.2374194432,77622.2315356936,74994.0753551605,74467.469736816,74408.4710752802,76169.8846361809,75915.275447142,75593.9963739595,75502.208899439,77225.6962715682,74841.7272066274,76206.1291721129,74786.4767341302,75264.5283890799,75109.2792249455,75469.5922112292,74276.0915602959,73314.8487828964,72769.7307111448,81002.7830887528,70606.8592370845,73961.890690633,73764.7557289146,76101.1118830973,77137.5716386126,79123.5302130304,81525.29870283,76375.7420790086,77890.4244656977,76133.3618080702,76824.0811248651,80244.7374690344,77081.3148852916,74915.3859916989,76779.9210040131,76375.9656041803,76000.3510992983,75183.8448349981,76726.8901581818,75717.440526017,75752.2204076096,76504.2436586806,76222.2959659823,76397.9125917457,77032.5674241235,75227.2638442644,76466.1261907287
2017-01-24 11:00:00,78217,76843.4797066827,76801.4787550423,78437.1866872299,77386.4979210804,76472.9901787573,78858.8049517001,78484.5676464389,75992.8939164461,79378.2115299282,78161.2185314375,78340.1774970971,77909.6698735987,77533.1725255297,77774.2872693109,78327.0780263191,77490.4985694818,78421.9193274763,78054.4095948835,77862.3810649904,77288.7354976361,78730.8089605204,78537.999399029,81066.3553963364,74337.982781526,76406.1338843871,75712.0167843543,77175.3066254764,77080.844712571,75997.7138689084,76829.7188915786,78644.1648817042,77139.1587386891,77144.3133925148,76694.506919258,79173.812193478,78814.3328476807,78011.2738209902,78799.9680327867,76349.7260519825,76558.2904033703,77584.1049978,78681.4762797654,77847.5743836092,79011.2384623317,76383.0822817986,76499.6014977793,75797.4780019183,78159.5302506373,77336.529374899,77125.4430137366,76902.5248440163,78614.7031982063,76230.7341332655,77613.8589881048,77244.842390602,76653.535315718,76498.2861515836,76878.1969726787,75665.098486934,74703.8557095345,75235.487260296,83495.9603376054,71995.8661637226,75350.8976172711,75153.7626555527,77528.8420463136,78526.5785652507,80983.841838683,83877.6265874817,78954.7650886887,79279.4313923358,78226.9039174945,78288.3684189651,81633.7443956725,78775.0289805108,77005.4669751331,78336.3686956774,77790.6495103892,78376.1077010221,76572.8517616362,78187.0698017744,77114.0314480901,77146.1868625883,77977.3034247224,77677.8248628251,77804.8804538974,78460.8010227332,76659.0438465978,77908.9331838181,77319.1191671212
2017-01-25 11:00:00,77808.75,76780.4491735871,78429.807778747,78121.0182481342,76510.7543349593,79321.7024756879,78947.4651704267,76240.6418858684,80148.0244673065,78577.7941110539,78693.717351359,78651.6193225096,78225.978098782,77994.1493600003,78389.3379418292,77655.4682748308,79145.9206384004,78687.5705597617,77838.6935785105,77500.8802863963,78862.4146111239,79257.2553484372,81997.9829948533,74943.6401035801,76439.9470090002,75745.8299089674,77549.9487755319,77372.344017739,76777.3989054149,76842.7038444374,78648.5163228194,78041.9000832471,77864.0877140327,77173.053434287,79207.6253180911,78848.1459722938,78485.6702214482,79361.9522201891,77123.5783052595,76601.0490112988,78294.3630654947,78715.2894043785,78564.8532584586,79191.7322648546,77068.2823437628,77296.3686978637,75831.2911265314,78905.3683485884,77928.4785700645,77565.8439206996,76917.4534631475,78560.3916898638,76679.5737882028,77631.339203439,77984.0743874167,76696.3652214129,76666.2817101965,76880.8429535041,75773.9705243624,74737.6688341476,76023.8218998101,84265.7732749837,72029.6792883357,75384.7107418842,75187.5757801658,77524.3116940949,78526.1648389676,81446.7393626708,84467.5656624275,79519.6631349676,79313.2445169489,78832.6575108364,78284.0661410331,81667.5575202856,79307.8123364073,77742.7882582141,78791.8019637734,78213.0181109924,79040.7615940933,76948.4617513268,78173.4466148673,77128.1092717525,77164.6367534967,77942.7463084312,77886.9321256098,77824.4626350023,78470.9998118431,77174.3364718495,77896.1941896035,77723.8122919229,79951.3477741645
2017-01-26 18:00:00,77819,77934.5748480226,77546.3492862173,76020.1174843236,78436.010459403,78073.6509856585,75531.4741103348,79609.8867945873,77692.102094769,77975.2869607432,78113.4816497904,77655.2847053712,77439.0765454664,77826.9486128538,76982.0007276121,78607.7829656812,78149.4328870425,77343.4606477861,76885.2588682012,78269.3891544091,78719.1176757181,81572.2563991998,74405.5024308609,75946.289805783,75250.596978243,76989.9531425286,76792.1584451795,76207.2968666162,76300.5958134096,78153.283392095,77589.3547576386,77288.5051852577,76627.5432853297,78712.3923873666,78352.9130415694,77903.4851736815,78823.8145474699,76570.7710239437,76106.3106147064,77742.1197946079,78220.0564736541,77947.532548729,78653.5945921354,76485.745179045,76717.9959131395,75336.058195807,78367.2306758692,77338.8522158564,76628.6029155665,76387.9910648042,78065.1587591394,76113.2612618274,77136.1062727146,77427.5381214317,76208.5411630498,76079.2763780617,76359.8957394464,75242.5822742427,74242.4359034232,75487.4819017506,83727.6356022645,71534.4463576113,74889.4778111597,74692.3428494414,77029.0787633705,78030.9319082432,80561.0473463859,83754.4015786135,78964.5903204337,78818.0115862245,78294.5198381172,77753.8209296838,81172.3245895612,78769.6746636881,77162.1534360222,78236.7291492395,77517.4358332541,78502.6239213741,76389.2377634617,77678.2136841428,76611.0846221559,76644.7349743761,77447.5133777068,77152.4391819935,77329.2297042779,77975.7668811186,76576.0221002118,77400.961258879,76831.9560963978,79525.621178511,78080.9996865322
2017-01-27 08:00:00,76199.75,76716.5528093278,74618.2177546079,76252.7060133551,77384.2891937441,74129.5743806191,78682.8154688923,76472.8882058153,77499.3539193089,77186.4103240954,76728.2133796763,77048.9742337309,76463.7584904921,75849.7410274694,77680.7116399862,77222.3615613475,76012.2002430471,75958.1875425062,77016.6421903107,77792.0463500231,79968.5237848759,73599.7062466351,74692.8516496434,74011.6955533998,76043.261144423,76258.7492387399,75278.4536590626,74898.6960836939,76937.1729389246,76087.1837098906,76361.4338595627,75690.4922372162,77310.4926576509,76951.0133118537,77139.3238983489,78040.3736901608,75603.0733453486,74756.7116006574,76815.0484689129,76818.1567439384,77020.461223034,77726.5232664404,75550.0502946566,75800.3740614352,74277.3314863721,77440.1593501742,76862.9191744221,75812.4886699671,75420.3970819005,76694.0981659239,75753.5244987368,75765.8540105776,76500.4667957367,75594.8243614772,74904.6008070548,75407.3896814474,74633.3249297785,73322.8350011262,74560.4105760556,82800.5642765696,70132.5466278956,73487.5780814441,73290.4431197257,75669.1605791712,76629.0321785275,79419.1004929644,83780.6782486253,78488.6572789994,77503.3775267693,78053.9239042044,77656.5718334564,79770.4248598455,78121.4456568306,76292.0452653547,78088.7036696784,77526.1306971902,77575.5525956791,75891.7109843971,76886.2616311699,75235.0654557583,75509.7085676891,76735.428663275,76381.756760299,76054.0179149454,76573.8671514029,76092.8525936037,76045.8916269686,75433.3275257056,78308.9211708214,77153.9283608372,76143.3306158813
2017-01-28 18:00:00,66129.75,64915.7384705996,66419.2191327789,66830.1958342986,64427.0950966108,67804.365562626,66466.7531434243,66774.3786772617,65920.6425566515,65565.0248090483,66177.9676384531,66761.2792064838,65884.6380555515,66414.9438725423,65956.5937939036,66243.3619756686,65663.7185185291,67165.0101406851,66526.2785825792,69261.3452476641,62772.1839616907,64841.910792059,64146.217964519,65528.4973273041,65425.305027078,64324.0480492796,65196.2167996856,67048.9043783709,65323.8508231695,65173.3218163671,65146.9011321656,67608.0133736427,67248.5340278454,66420.1701216473,66630.975454331,64547.8043298479,65001.9316009824,65756.829660947,67115.6774599301,65754.6934555901,67445.4396424964,64824.7544136793,64565.3919320056,64231.679182083,66174.3915827303,65727.5770826738,65358.9112161575,65283.6120510802,66960.7797454154,64683.8248124579,66035.6318952154,65253.0976215586,65104.1621493258,64974.8973643377,65255.5167257224,64099.2996670987,63138.0568896992,63294.6428086117,71534.7965091256,60430.0673438873,63785.0987974357,63587.9638357174,65929.2918532625,66926.5528945192,68946.7383198332,71348.5068096328,67072.258420057,67713.6325725005,66219.0851669154,66722.5695991298,70067.9455758372,66895.0022028979,65057.3620643405,66632.2658436524,66208.9150638072,66309.7848282352,65027.9714725767,66585.8557335914,65467.8380587636,65492.8804861561,66343.4123429603,66063.3747265693,66228.6191360617,66871.3878673946,65072.5072414494,66309.7209590388,65697.3130433465,67214.7100269754,65888.1605933933,65839.5142845659,66672.1446362863
2017-01-29 18:00:00,62740,63808.7151652838,64793.0232489115,62407.4936924888,65784.764158504,64425.8735970329,64754.2252284641,63850.4436813402,63545.4234049263,64150.4392663017,64737.0665490574,63865.0366514296,64093.8518291802,63755.3738613298,64219.4802299401,63644.1171144071,65145.4087365631,63385.2731644012,66547.1271643468,60752.5825575687,62822.309387937,62126.616560397,63508.8959231821,63405.703622956,62304.4466451576,63153.7204122451,65029.302974249,63264.0106469582,63127.2997280436,63084.5607452038,65588.4119695206,65228.9326237234,64391.9032007651,64125.2777897555,62528.2029257259,62955.2959602157,63737.228256825,65096.0760558081,63565.6295533977,65425.8382383744,62805.1530095573,62271.0764394968,62212.077777961,63992.7426130226,63707.9756785518,63304.2494190475,63235.9153216004,64940.2007111919,62664.2234083359,64016.0304910934,62598.8770540238,63052.9058373274,62896.1370664776,63176.6153955636,62079.6982629767,61118.4554855772,60181.3398112218,66686.0815854005,58410.4659397653,61765.4973933137,61568.3624315954,63909.6904491406,64884.9215879724,66927.1369157112,69328.9054055108,62457.4038074136,65694.0311683785,63947.0798910409,64695.019582154,68048.3441717152,64874.2381261998,62735.9156564267,64601.6695778171,64188.8870453536,63782.1644302359,62982.3301968604,64554.2332662968,63448.2366546416,63473.2790820341,64323.5329598608,64043.7733224473,64205.2492864319,64836.1741268043,63008.3700684547,64276.9808410331,63677.7116392245,65058.7646577469,63591.636054849,63819.9128804439,64629.8405118378,63339.3098120355
2017-01-30 11:00:00,76882.25,77086.6007865559,74707.2593577047,78417.7779993729,76719.4511346773,77047.8027661085,76921.372854576,76461.0081018797,76444.0168039461,77030.6440867018,76144.0212189846,77415.6741704668,76957.3240918281,76513.0577675845,75937.6946520515,77438.9862742075,77527.0088805037,80330.9012852379,73213.3936356465,75115.8869255814,74420.1940980414,75819.7023075983,75699.2811606004,75013.3960036309,75447.2979498895,77322.8805118934,76347.9996436766,76129.3753356387,75439.8672246144,77881.989507165,77522.5101613678,76699.0851054657,77631.7057522555,75382.5623101235,75248.8734978601,76508.9018260601,77389.6535934525,76755.4237535146,77719.4157760188,75329.6601874273,75539.167967224,74522.6985098437,77175.1218806548,76183.8798619595,75597.8269566918,75529.4928592448,77233.7782488363,74969.6697579938,76286.3201506669,76252.1347051915,75346.4833749718,75189.714604122,75470.192933208,74373.2758006211,73412.0330232216,74135.0548602728,82535.5268070501,70704.0434774097,74059.0749309581,73861.9399692398,76158.614189074,77178.4991256168,79220.7144533556,82048.4291256375,77093.3626651057,77987.6087060229,77102.4110429028,76988.5971197984,80341.9217093596,77577.5658684737,76056.88043083,76895.2471154615,76482.464582998,77310.5151261597,75275.9077345048,76847.8108039412,75741.814192286,75766.8566196785,76617.1104975052,76309.6080287378,76498.8268240763,77129.7516644487,75301.9476060991,76570.5583786775,75971.2891768689,78284.2660645491,76888.8908913178,76102.2927029282,76923.4180494822,75775.9370119542,76337.3508600917
