"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,65559.5,65224.7088823546,65838.6115717263,65450.9943862145,64878.8162896964,64177.9178789645,65324.6396164029,64705.4924068461,64319.4819528672,66875.850975944,66500.7465137038,64287.320084195,68705.3712975755,66542.486601675,66316.0408230521,66772.2983861347,66368.9842359174,68157.2665202146,66475.2273208296,66136.7895275402,65025.9111342655,64857.6442871304,64934.1941837195,66435.0709138526,67027.1476793117,65701.4234262015,67542.988030801,65612.2436986914,64219.6280570415,63815.0451974629,65161.293842229,64949.4759993709,64145.1422683596,64661.5514575268,65883.3014403277,64893.0538044705,65372.0859163301,65555.6572651844,66275.7040721418,66799.4117711511,65606.6163134314,65214.061198965,64429.4277919907,65203.8956888793,66006.2772152078,65932.6675564369,65326.7906023605,66696.7827399768,64002.6106296532,64502.8000954809,64188.5150043704,65522.7026435435,64276.9620312457,64133.0943103827,64342.0123742771,65777.6825288704,64366.8945801442,65912.4313551644,65232.6258031728,65977.3789097962,66602.0680561089,67213.081322465,65747.3831159589,64263.6009373879,62275.1152409593,63107.0573325583,58843.3141910585,62799.6194454845,62014.21605592,63187.3043969431,64033.0637522865,64887.0017927711,65018.8099811507,68241.4798409179,69153.0586150884,67809.7894618128,65588.3605185216,69005.1058321158,68443.3969200978,66947.4340358508,70458.7753971487,66526.5643005193,66455.314840409,65617.5509598062,67048.2957287498,63972.150960828,64571.1549404674,65039.0799301177,64929.0138383698,65197.6948543564,65713.807103662
2017-01-22 18:00:00,63096.5,62694.3232145532,62306.7060290414,61742.713435598,61289.6333238213,62180.3512592298,61408.250845321,61862.2852045628,62549.3266917073,62979.1974306582,61000.8539111865,64187.0143733067,63112.4565667033,62255.1774878284,63628.0100289616,63224.6958787443,63725.4572965802,63447.5006075247,62562.3070178868,61505.8363033771,61633.3085841857,62614.6339817295,63290.7825566795,63882.8593221386,62533.5799000193,63167.1609093155,62439.3068446185,61231.2315287643,61033.1577725441,62082.8589685283,61582.4097520771,61033.6295217914,61426.8665832943,62739.0130831546,61675.6522620113,62227.797559157,62411.3689080114,63131.4157149687,63655.123413978,62053.4064971833,61840.8781207547,61335.3176106052,61983.2262450396,63227.6844222963,62788.3791992638,62105.4083496001,63552.4943828037,60888.7753951134,60670.7568402898,60858.3222724801,62023.0841265481,61175.1935956941,60655.6149641646,60547.132796371,62667.3511932971,61521.9829660587,62768.1429979914,62026.7791756647,62833.0905526232,63478.593880617,64068.7929652919,61734.5279325233,61132.6736740726,57657.9787942826,59962.7689753852,55699.0258338854,59655.3310883114,58665.9580816879,59869.8128089179,60996.8311304926,61755.2527541959,62436.4502552543,65097.1914837448,65674.8643491981,63093.6865630832,62882.6367090054,66475.5737780475,64752.2806525159,63812.4543277775,66668.8900521195,63382.2759433462,62780.1693951709,62133.3241901734,63174.2272189817,60765.5029456547,61471.5763090487,62355.9929198614,61685.951746535,62080.4205251815,62567.6073511354,60895.4324793208
2017-01-23 18:00:00,77123.75,75862.6303727394,75254.0175629418,74584.3699016937,75737.801920103,75438.5007304217,74784.0353332725,76985.3102355877,76650.6945667913,74509.8841130118,78814.8305572192,76651.9458613187,76425.5000826958,77137.0402307869,76733.7260805696,78266.7257798583,77066.5869801781,76246.2487871839,75624.1675078611,75664.4404898426,75530.0764089829,76799.8127585048,77391.8895239639,76573.7149804912,78278.0289796359,76034.5570791265,74628.3427820401,74631.1571104645,75418.2201109306,75097.1254536014,74542.6597236167,74935.8967851196,76249.9797371539,74996.9792793087,75773.2757578572,75976.9855433436,76640.445916794,77164.1536158033,75716.0755730751,75903.5442240517,74844.3478124305,75533.4102217985,76437.0928821197,76319.4522281702,75793.703777589,77061.524584629,74397.8055969387,75232.1782289009,74387.5907719394,76016.001860788,74901.02092352,74386.106936835,75070.5897770664,76158.4524601251,74969.4886857878,76280.1082613924,75572.9183426081,76344.9338979027,76966.8099007611,77577.8231671172,75958.5066475672,74641.7038758979,72820.8005017748,73693.6573119272,69286.3601991957,73164.3612901367,72552.1626296689,73296.7636565868,74432.9438559922,75275.0809345002,75461.1871836198,78606.2216855701,79469.8705763318,78559.8212660199,77994.7076375693,80107.4518684821,78707.2144695913,77312.175880503,80568.2346567924,76959.2834875484,77379.020419734,76352.591908641,77783.3366775846,74670.9294361702,74980.606510874,75513.9320713682,75202.8517478879,75620.2278238638,76118.13946347,74703.3758483656,75388.5776744814
2017-01-24 11:00:00,78217,76636.8071245922,76466.5423122782,77125.2455462655,76874.353933665,76131.5235823863,78330.8230631817,78161.123281189,75892.0116459745,80160.3433848133,78003.871868022,77771.432464159,78516.9748042064,78124.4586759574,79612.2386074524,78365.0460640804,77605.1483308804,77065.0672458103,77461.7843294697,76918.514125733,78181.9734953861,78771.8240973834,78129.59489411,79848.7811379634,77358.3375785688,76009.8978690243,76158.7655316318,76815.4283848395,76483.4012845157,75924.8942320907,76322.0960206513,77633.068953421,76342.4921069027,77161.7444079859,77305.8520165005,78035.027477013,78544.0881892228,77355.2286774358,77247.5612317021,76230.6553808729,76914.2850827432,77832.4522754616,77716.242518886,77295.0920659267,78444.4791199859,75777.7401703582,76536.300128218,75747.2870477249,77327.1163872557,76634.3637657923,76279.0140846974,76492.6990070141,77506.6049082512,76607.9102229557,77669.5992727697,76968.2803041352,77732.2303643564,78362.6213434292,78957.7577405367,77283.2995119973,76026.2901325184,74726.0705888567,75696.4312019322,70587.9906091302,74544.2958635562,73850.6217135712,74662.9167201956,75836.4141671608,76663.1070442513,76844.9728578567,79986.1562589896,81154.4242279589,80070.2499804176,79505.136351967,81917.5620748322,79898.3690073355,78692.1104539225,82397.0778646808,78455.8415112672,78662.5507261765,77685.6135298085,79081.7957614869,76023.9579413312,76430.3076747645,77031.0413414528,76606.479011211,77004.7246190248,77474.4958660613,76184.7244084064,76771.3917120702,77609.0930448293
2017-01-25 11:00:00,77808.75,76900.4976511595,77737.8769611593,77787.0924531819,76206.7726358401,78605.4273562841,78457.4970031687,76055.691538467,80434.9476779156,78273.4342843411,78046.0367572614,78599.5092090694,78468.5190979914,79886.8429005547,79427.3350838585,77879.7526239828,77961.8789014971,77933.1654188533,76774.9152445312,78264.5079002491,78854.3585022464,78970.1705025762,80638.7770833163,77388.3864213635,76888.0721055344,76456.6240905015,77573.3436881779,76948.6967065643,76448.5633414639,76439.3774519313,77691.6274496923,76816.7331938931,77530.0340301207,77333.7295915003,78117.561881876,78626.6225940858,77839.5585568456,78310.6093162457,76336.0225020044,76992.4518811267,77904.0935157618,77752.1336776327,78177.5411106314,78527.0135248489,76081.1589890254,77571.1921676661,76016.8964645351,78403.6062958009,77265.3011909985,76811.0766842056,77399.3657778879,78023.4397588269,77255.8168036681,77715.603358284,77865.5483035305,78774.3223385278,78445.1557482922,79261.2033343627,78350.2598362252,76120.7298451162,75283.5171018989,76130.3865408135,71629.0489274739,74626.8302684192,74991.5961514632,75272.1528582422,76047.3183078733,76721.5918301589,76910.9021114478,80747.7702542837,81830.6186800122,80905.578514328,79801.5100739467,82632.8412793245,81049.9031978695,79020.5061409683,82927.0951867007,79320.9981036804,79721.7091480122,78758.7848645458,80144.084781265,77087.0007135708,76864.2630136457,77439.1997466354,77203.085468788,77491.0344467531,77535.3405468713,77096.7552892037,76827.4576564877,77638.9113855996,78153.098411401
2017-01-26 18:00:00,77819,77359.9837718225,77631.0689518555,76193.7638166564,77423.8728788195,78141.2262454948,75758.666295847,80141.2469928425,77418.8411699779,77739.6138992273,78456.6119946356,78345.4064856003,78874.4203720564,79304.2224714674,77600.6444238986,77810.0528064622,78093.5517502649,77007.7864032186,77596.9427973419,78451.9241558182,78971.3931990455,80515.6644709252,76733.4463106095,76695.3964455344,76219.160514659,77512.302783227,76775.384345548,76474.6060686896,76383.8016001225,77297.8766446488,76765.0016809261,77385.8191990842,77174.7136611121,77449.9967789688,77959.0574911786,77962.2403207757,78187.4967038546,76273.1539830692,76718.0327610039,78044.4420993008,77703.6947364083,78054.4284982403,78137.9124865647,76119.6747654226,77415.6390707352,76159.9726086334,78280.4936834098,77289.8666719366,76944.3521590145,77254.6594980971,77838.766289106,77215.911868677,77211.5509110641,77849.9541820281,78775.5450349971,78163.3701215427,79138.0907219716,78227.1472238341,75520.9978456454,75391.3494064048,76364.7892334059,71630.2716239432,73959.265165512,74868.4835390721,75117.8798551594,75812.1317006727,76046.6475127986,76255.2470497218,80748.992950753,81819.703045507,80782.4659019369,79485.2393162728,81508.7751640886,81051.1258943388,78897.3935285772,83062.3566822289,79197.8854912893,79722.9318444815,78635.6722521547,80020.9721688739,76946.602904884,77099.8822450107,77670.5232253022,77112.2834786195,77353.9795545489,76867.7754439641,77043.4155764609,76752.0152771491,77191.9599315327,78384.4218900678,77974.1601871725
2017-01-27 08:00:00,76199.75,76258.6251900938,75316.8233739001,76168.3930042278,78069.0025860444,74715.4180060299,78727.1327814161,76075.2165247325,76808.2731850254,77042.4977832093,76931.292274174,77613.2443875725,78245.8511923808,76353.8776292077,76972.9465506657,77104.9292985675,75992.0876244767,76251.9122554331,77190.7481713344,77533.6977271743,79117.1467456335,75395.4290088874,75357.5450906024,76066.6448364872,76080.3154493071,76327.6293048554,75559.7671623136,75330.7745746724,76191.8249352458,75658.0554054486,76299.5837181596,75776.3544642248,76605.8178107853,76864.5197237614,77062.4815111513,76773.3824924283,75451.4304286692,75442.2852444428,77134.3834828907,76886.8122125703,76905.8790273205,77040.3107488621,75127.5665762495,75992.8072063033,74991.0166692664,76866.3794719835,76030.3412381777,75714.272663259,75870.6451453425,76781.0771235515,76487.7050646803,75760.3672614197,76253.8078181475,77179.3986711165,77166.1293216111,78089.6307178793,76854.5259255449,74651.6653060369,74239.7710015137,75100.5340349965,70034.1252600626,72622.5471623633,73697.1201369683,74453.0361789867,75228.2016286178,74698.8355998669,74961.0240338118,79152.8465868724,80558.5270610232,79978.129285273,79413.0156568224,81813.724600069,79454.9795304582,77483.2793171509,81904.1869477846,77827.5636211318,78126.7854806009,77315.4101877077,78606.8579574476,75609.8585288814,75834.4105078288,76395.6408456771,75862.1395274461,75901.9101125108,75825.7889154762,76039.4414598726,75693.7845806324,76325.7479132301,77123.245905584,76486.2129350095,75941.2697504981
2017-01-28 18:00:00,66129.75,64116.2733910668,65398.6810173465,65743.1551204538,63917.0625392585,67083.0957409106,66015.1757280675,65160.3269236358,66524.0913965655,66160.9595827642,66621.5386641841,66231.7255645407,65437.905947396,64724.1105654481,64695.0386623566,64662.1321002788,66191.8714587681,66778.9406897425,65733.2365933182,67429.722229911,65307.4502756153,64000.8992774896,63645.0905740548,64778.5083044293,64401.917670981,63966.1772506808,64304.3322129249,65590.0291249227,64267.3701685084,65124.8530858816,65241.5162517138,66047.6233793149,66551.2047815819,64977.9280443639,65101.5544628405,64229.9208917604,64921.4016751023,65728.4042255503,65655.1782732562,65038.0607121057,66451.595712345,63814.6671331754,64362.1373142609,63770.3911671638,65194.5514423957,64070.2073417184,63602.0218308004,64142.3816086361,65461.0785185847,64151.7013636637,65626.3296133027,64970.459203335,65679.5148601645,66411.1472904033,66964.8743328958,65141.20498282,64022.8001803295,62074.4622484937,62902.3050104405,58595.1072014893,62551.4124559153,61782.541298058,62670.0333125547,63876.2795811039,64635.8336083109,64852.0894502158,67993.2728513487,68621.563826607,67696.5236609228,65488.8759847466,68756.8988425467,67427.29452682,66699.2270462816,69718.0403332955,66327.1015313688,66342.049039519,65549.7300111406,66935.0299278598,63877.9458601656,64322.9479508982,64905.9486775562,64532.9028107986,65007.2789896423,65457.826329379,63548.9494870346,64750.6623012925,65518.0196568305,65971.9844735175,64814.3849054217,64822.5449771986,65840.6081688804
2017-01-29 18:00:00,62740,63234.4263882883,63578.9004913956,61752.8079102003,64918.8411118524,63850.9210990093,62996.0722945777,64359.8367675073,63967.3206392583,64457.2840351259,64067.4709354825,63273.6513183378,62158.69332184,62237.6630419228,62734.0598415914,64024.835458687,64614.6860606843,63171.1335831642,63943.3766720529,63143.1956465571,61836.6446484314,61480.8359449966,62614.2536753711,62203.4030475944,61801.9226216226,62103.1155394502,63425.7744958645,62065.6662627022,62960.5984568234,63077.2616226556,63883.3687502567,64386.9501525237,62813.6734153057,62476.8140996622,61987.4467346055,62757.1470460441,63564.1495964921,63490.923644198,62873.8060830475,64287.3410832868,61650.4125041172,61432.294719526,61606.1365381056,62770.1833731997,61905.9527126602,61131.0807396184,61314.6614835865,63296.8238895266,61952.0187620086,63462.0749842445,62806.2045742768,63515.2602311063,64246.8926613451,64800.6197038376,62368.6481817404,61858.5455512713,57864.6476366505,60738.0503813823,56430.8525724311,60387.1578268571,59299.4301659449,60505.7786834966,61712.0249520457,62425.6482846083,62687.8348211576,65829.0182222905,66406.6910877438,62914.545693386,63044.837385075,66594.9996379095,65263.0398977618,64534.9724172234,67400.7167906652,64162.8469023106,63322.2686462849,62906.6233363977,63729.212310744,61556.1290356534,62140.0775838667,62741.694048498,62319.9219903218,62843.0243605842,63293.5717003208,61384.6948579764,62586.4076722343,63353.7650277723,63807.7298444594,62523.2170461585,62658.2903481404,63676.3535398222,62471.5789792527
2017-01-30 11:00:00,76882.25,78154.7166224497,76328.6240412544,80230.5794857309,78426.7372300634,77989.8527282041,78935.6528985614,78543.1367703124,79682.47470837,78648.1424917328,77810.2425193424,77494.4494407806,77448.6108878642,77081.7851386064,78600.6515897411,79190.5021917384,78735.6016294961,79761.4255672723,77719.0117776112,76412.4607794855,76056.6520760507,77276.5112136776,76779.9413178522,76377.7387526767,76678.9316705043,77929.5811588264,76641.4823937563,77536.4145878775,77653.0777537097,78459.1848813108,78962.7662835778,77389.4895463598,77400.6628166721,76563.2628656596,77332.9631770982,78139.9657275463,78066.7397752521,77809.9613061453,78863.1572143409,76226.2286351713,76529.2101113767,76181.9526691597,77677.7135601476,76749.0988320889,76071.0780565376,76461.9858613875,77869.3878313749,76527.8348930627,78001.5906269186,77620.6031442659,78539.7534654477,78822.7087923992,79376.4358348917,77338.7748150978,76434.3616823254,74355.5987256766,75313.8665124364,71394.4800543937,74962.9739579112,73897.3099940254,75081.5948145507,76287.8410830998,77025.157105566,77269.3149609265,80513.2013812036,81502.6888264893,80027.7331040744,78586.1588674648,81219.6369753342,80815.3343247894,79110.7885482775,82259.5042887388,78738.6630333647,79487.1402749321,77664.498707108,79049.7986238272,76131.9451667075,76715.8937149208,77317.5101795521,76902.0793788707,77418.8404916383,77849.4674493919,76862.1864161236,77163.6013459798,77898.084777339,78383.5459755135,77750.1922783854,77247.0458009398,78252.1696708763,77048.7730573623,78037.8911152986
