"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-20 08:00:00,76000.75,59271,56550.25,71738.5,72167.75,70925,71329.25,71915.75,58180.5,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25
2017-01-21 18:00:00,65559.5,56550.25,71738.5,72167.75,70925,71329.25,71915.75,58180.5,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75
2017-01-22 18:00:00,63096.5,71738.5,72167.75,70925,71329.25,71915.75,58180.5,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5
2017-01-23 18:00:00,77123.75,72167.75,70925,71329.25,71915.75,58180.5,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5,63096.5
2017-01-24 11:00:00,78217,70925,71329.25,71915.75,58180.5,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5,63096.5,77123.75
2017-01-25 11:00:00,77808.75,71329.25,71915.75,58180.5,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5,63096.5,77123.75,78217
2017-01-26 18:00:00,77819,71915.75,58180.5,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5,63096.5,77123.75,78217,77808.75
2017-01-27 08:00:00,76199.75,58180.5,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5,63096.5,77123.75,78217,77808.75,77819
2017-01-28 18:00:00,66129.75,56164,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5,63096.5,77123.75,78217,77808.75,77819,76199.75
2017-01-29 18:00:00,62740,64231.75,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5,63096.5,77123.75,78217,77808.75,77819,76199.75,66129.75
2017-01-30 11:00:00,76882.25,62906.5,73116.75,72586,71990.5,62225.5,59241.75,73446.5,74834.75,75068.75,74830.25,74747.75,63979.5,61319.25,76333.75,76577,75929,76068.5,74065.75,63116.25,61090,75468.5,74362.75,74416.75,75218.25,73426.75,63136.25,59870.5,76555.5,77870.25,78182.75,77206,74391.75,63951,61885.75,77296.75,77684.5,79218,76309.75,74859.25,62480.25,61040.75,75555,75928.25,75297,75900.75,73979.25,63948.25,60120,73391.25,74180.25,74255.75,71650.5,67692.5,57364.75,54846,53925.75,63218.5,62255.5,62512,61657.25,58511,55528.25,70463.5,74107.25,73758.75,73153,69877.25,65873.5,61566.75,76084,76869.5,78078.5,75841,76602.75,64873.5,62288.5,75850.75,76715,76992.5,77334.25,76000.75,65559.5,63096.5,77123.75,78217,77808.75,77819,76199.75,66129.75,62740
