"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,18,19,19,19,12,19,19,11,19,18,19,19,19,19,19,12,12,19,19,19,12,12,19,19,19,12,13,19,19,19,19,19,12,19,19,19,12,19,19,19,19,12,12,19,12,19,12,19,19,12,19,12,11,19,19,19,19,19,12,19,19,19,19,19,12,12,19,19,19,19,19,19,10,11,19,11,19,19,11,12,11,19,12,19,19,19,19,19,19,19,19
2017-01-22 18:00:00,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2017-01-23 18:00:00,18,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,12,19,19,19,19,19,19,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2017-01-24 11:00:00,11,12,19,19,12,19,18,18,19,12,18,19,12,18,19,19,19,12,12,19,19,19,12,13,19,19,19,19,19,12,19,19,13,12,19,19,19,19,12,12,19,12,19,12,19,19,12,19,12,11,18,19,19,19,19,12,19,19,19,19,19,12,12,19,19,19,19,19,18,9,11,19,11,19,19,11,12,11,19,12,19,19,19,19,19,19,19,19,11,19,19
2017-01-25 11:00:00,11,19,19,12,19,18,18,18,12,18,18,12,12,11,18,18,12,12,19,12,18,12,13,12,19,19,12,12,12,19,19,13,12,12,19,19,12,12,12,19,12,19,12,12,12,12,19,12,12,18,19,19,11,19,12,19,18,19,12,19,12,12,19,19,19,19,19,18,9,11,19,12,10,19,12,12,11,9,12,12,19,19,19,19,18,19,19,11,19,18,13
2017-01-26 18:00:00,18,19,12,19,18,13,19,12,18,11,12,12,11,19,19,12,12,19,12,19,12,13,12,19,19,13,12,12,19,19,13,12,12,19,19,12,12,12,19,12,19,12,12,12,12,19,12,11,18,19,19,11,19,12,19,19,19,12,19,12,12,19,19,19,19,19,18,9,11,19,12,19,19,12,12,11,12,12,12,19,19,19,19,19,19,19,11,19,19,13,12
2017-01-27 08:00:00,8,11,19,18,10,19,12,11,11,12,12,10,19,11,12,12,19,12,11,12,12,11,9,10,12,10,12,19,11,12,12,12,19,19,11,11,12,11,12,19,12,12,12,11,11,12,11,11,11,12,10,19,12,10,10,10,10,11,12,12,19,19,19,19,19,12,9,11,12,9,10,19,11,12,10,9,12,9,11,12,11,9,11,11,19,11,19,19,11,12,11
2017-01-28 18:00:00,18,19,18,19,19,19,19,19,12,19,19,19,19,12,12,19,19,19,12,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,19,19,19,19,12,19,19,12,19,12,19,19,19,19,19,19,12,19,19,19,19,19,12,12,19,19,19,19,19,19,19,11,19,11,19,19,19,12,19,19,12,19,19,19,19,19,19,19,19,19,19,19,13,12,19,19
2017-01-29 18:00:00,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2017-01-30 11:00:00,11,19,19,12,19,19,12,12,19,19,19,12,12,19,19,19,12,13,12,19,19,12,19,12,19,19,13,12,12,19,19,12,12,12,19,12,19,12,19,12,12,19,12,12,19,19,19,19,19,12,19,19,19,19,19,12,12,19,19,19,19,19,19,13,11,19,12,19,19,12,12,19,19,12,19,19,19,19,19,19,19,19,19,19,19,13,12,19,19,13,19
2017-01-31 11:00:00,11,19,12,12,12,12,12,12,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,12,12,12,12,19,19,12,12,12,19,12,12,12,12,12,12,12,12,12,11,12,12,12,19,12,19,19,19,12,12,12,12,19,19,19,19,19,12,9,11,12,12,19,19,12,12,11,12,12,12,12,12,12,19,11,12,19,12,19,19,12,12,12,19,12,19,12
2017-02-01 18:00:00,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,13,13,12,12,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,11,12,12,12,12,12,12,19,19,13,19,19,12,13,11,12,12,10,19,12,12,11,12,12,12,12,12,12,11,12,12,12,12,19,19,13,12,12,19,13,19,12,12
2017-02-02 18:00:00,18,19,11,12,12,12,19,12,12,12,19,12,19,12,13,12,19,19,12,12,12,19,12,13,12,12,19,19,12,12,12,19,12,19,12,12,12,12,12,12,12,11,12,19,12,19,12,19,19,19,12,12,12,12,19,19,19,19,19,12,9,11,12,12,19,19,12,12,11,12,12,12,12,19,12,19,11,19,19,11,19,19,12,12,12,19,13,19,12,12,13
2017-02-03 11:00:00,11,11,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,19,12,12,12,12,12,12,12,12,12,12,12,12,11,11,12,12,10,12,12,10,10,11,12,12,12,12,19,19,19,19,19,12,9,11,12,9,10,19,12,12,10,9,12,11,12,12,12,9,11,12,11,11,19,10,12,12,12,19,12,19,12,11,11,11
2017-02-04 18:00:00,18,12,12,19,19,19,12,12,19,12,19,12,13,12,19,19,12,12,12,19,19,12,12,12,19,19,12,12,12,19,12,19,12,19,12,12,19,12,12,19,19,19,12,19,12,19,19,19,19,19,12,12,19,19,19,19,19,12,13,11,19,12,19,19,12,12,11,12,12,12,19,19,19,19,19,19,19,12,19,19,12,12,19,19,19,19,12,12,12,19,19
