"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-08 11:00:00,69831,62802.0864843025,64845.2320304024,65081.4211425337,65579.8841885149,65772.4734454679,65884.8982814734,66180.5626201174,66227.691224137,66420.4855983185,66518.5119134413,66612.1015611846,66712.4109202788,66840.740628931,66875.6727573846,66943.3539455259,66996.0938238818,67029.8297631666,67068.7355669677,67100.9445971975,67322.5988714297,67385.5299923695,67406.2929012359,67432.9400617657,67495.5310142962,67509.9829185448,67538.8883905332,67586.080165573,67602.0912128157,67623.8075577655,67651.1462085579,67722.5619174835,67815.141943087,67827.1893098829,67860.6888523396,67937.8074611482,67959.9328374263,67993.3247392262,68040.0224222815,68058.9255655185,68091.3427482421,68198.3426768323,68226.3078694607,68231.4168369589,68269.1316669629,68337.5224550792,68385.9213120428,68408.6728841744,68431.7114680692,68442.2252839896,68485.4809612513,68550.3970093864,68592.4409700351,68615.7779314657,68654.9363836611,68697.3601023465,68725.8985790445,68836.7600545547,68867.9464270085,68902.9329430307,68927.1785055419,68936.8618136918,68979.9930354561,69029.114152688,69061.1037913876,69085.1504354218,69130.3488754219,69205.3207168085,69255.7459248192,69267.7668257511,69361.4224043903,69425.9004373289,69556.7817840208,69600.7928819413,69643.8235086671,69791.2166862328,69825.9018845425,69837.5221661744,69946.2482416588,70026.6220217844,70079.0149207737,70180.1733071098,70209.4600674257,70375.6501489068,70665.4233096054,70931.6954709834,71152.7247626448,71513.3815071804,71695.8992292269,72724.292905415,73673.1735747555
2016-07-09 11:00:00,57518.25,53461.8921324,55505.0376784999,55741.2267906312,56239.6898366124,56432.2790935654,56544.7039295709,56840.3682682149,56887.4968722345,57080.291246416,57178.3175615388,57271.9072092821,57372.2165683762,57500.5462770285,57535.4784054821,57603.1595936234,57655.8994719793,57689.6354112641,57728.5412150652,57760.750245295,57982.4045195272,58045.335640467,58066.0985493334,58092.7457098632,58155.3366623937,58169.7885666423,58198.6940386307,58245.8858136704,58261.8968609132,58283.613205863,58310.9518566554,58382.3675655809,58474.9475911845,58486.9949579803,58520.4945004371,58597.6131092457,58619.7384855238,58653.1303873237,58699.828070379,58718.731213616,58751.1483963395,58858.1483249298,58886.1135175581,58891.2224850563,58928.9373150604,58997.3281031767,59045.7269601403,59068.4785322719,59091.5171161667,59102.0309320871,59145.2866093487,59210.2026574839,59252.2466181325,59275.5835795632,59335.5039958646,59374.2784311609,59432.161480532,59516.1825888534,59542.501229211,59572.5052331018,59588.9136521434,59615.7871981591,59678.098926885,59702.3694378009,59733.4765138078,59767.2060216461,59839.187715569,59888.5283087543,59925.0136285779,59951.9925625495,60047.3364546085,60130.093856192,60248.6300365821,60274.5003385776,60372.6273863977,60469.2067372581,60489.1718982686,60497.3278142719,60606.0538897563,60686.4276698819,60738.8205688712,60839.9789552073,60869.2657155232,61035.4557970043,61325.2289577029,61591.5011190809,61812.5304107423,62173.1871552778,62355.7048773244,63384.0985535125,64332.979222853
2016-07-10 11:00:00,51765.75,47988.7185043843,50031.8640504842,50268.0531626155,50766.5162085967,50959.1054655497,51071.5303015552,51367.1946401992,51414.3232442188,51607.1176184003,51705.1439335231,51798.7335812664,51899.0429403605,52027.3726490128,52049.8475570319,52097.7408891093,52155.5213663418,52205.3276551796,52227.5906049159,52269.3276761119,52386.9061348137,52544.003458103,52586.8784201592,52606.698801295,52649.2863148839,52690.7275131491,52706.4575867279,52748.5139466924,52780.5167456357,52801.3763012345,52825.1982334804,52862.887962602,52973.799056035,53009.3888963365,53015.8083204728,53087.1925080826,53140.659002937,53158.4734461648,53206.5900588497,53238.5491740041,53262.2920660957,53328.3514796219,53406.7898700693,53413.1383250456,53434.0795177651,53490.8795909342,53551.3140749821,53581.78039627,53609.4132651918,53620.0336301729,53641.155251592,53715.7082385639,53756.0406406238,53793.7787654623,53828.0992180052,53883.9921224283,53912.5305991263,54023.3920746365,54054.5784470903,54099.3316050861,54115.7400241277,54142.6135701434,54204.9252988693,54229.1958097852,54260.3028857921,54294.0323936304,54366.0140875533,54415.3546807386,54451.8400005622,54478.8189345338,54574.1628265928,54656.9202281763,54775.4564085664,54801.3267105619,54899.453758382,54996.0331092424,55015.9982702529,55024.1541862562,55132.8802617406,55213.2540418662,55265.6469408555,55366.8053271916,55396.0920875075,55562.2821689885,55852.0553296872,56118.3274910652,56339.3567827266,56700.0135272621,56882.5312493087,57910.9249254968,58859.8055948373
2016-07-11 11:00:00,71612,62356.9956404235,64400.1411865234,64636.3302986547,65134.7933446359,65327.3826015889,65439.8074375944,65735.4717762384,65782.600380258,65975.3947544395,66073.4210695623,66128.7436757912,66247.1159706343,66317.931641156,66412.4125989399,66430.4313975024,66497.9253778762,66550.6984781158,66584.6434994191,66623.2963276326,66655.6284768297,66876.1622484512,66940.0705562195,66961.1466620115,66987.7223550228,67050.0927373778,67064.8041688036,67093.5513186039,67140.7205927118,67156.8739793855,67178.639291284,67205.9500226472,67276.888316706,67370.0047761477,67382.0822039623,67415.0603341625,67492.292460489,67514.7509665182,67547.9455794582,67594.7689870591,67613.7823905596,67646.1703683852,67752.8920590712,67781.2150912599,67786.2258775442,67823.8130161678,67892.2418726872,67940.7814885582,67963.4439719876,67986.6107375678,67996.9581188632,68039.7438612155,68105.1327738091,68147.1071987176,68170.5360578094,68230.3799075564,68269.3042994398,68326.2647520599,68411.1228716486,68438.5918192913,68482.0876616629,68491.7709698128,68534.9021915771,68584.023308809,68616.0129475086,68640.0595915428,68685.2580315429,68760.2298729295,68810.6550809402,68822.6759818721,68916.3315605112,69025.1973642155,69143.7335446056,69169.6038466011,69267.7308944212,69364.3102452816,69384.2754062921,69392.4313222954,69501.1573977798,69581.5311779054,69633.9240768947,69735.0824632308,69764.3692235467,69930.5593050278,70220.3324657264,70486.6046271044,70707.6339187658,71068.2906633013,71250.8083853479,72279.202061536,73228.0827308765
2016-07-12 11:00:00,69969.5,65490.8620802313,67534.0076263312,67770.1967384624,68268.6597844437,68461.2490413967,68573.6738774022,68869.3382160462,68916.4668200658,69109.2611942473,69207.2875093701,69262.610115599,69380.9824104421,69451.7980809638,69546.2790387477,69564.2978373102,69631.791817684,69684.5649179236,69718.5099392269,69757.1627674404,69789.4949166375,70010.028688259,70073.9369960273,70095.0131018193,70121.5887948306,70183.9591771856,70198.6706086114,70227.4177584117,70274.5870325196,70290.7404191933,70312.5057310918,70339.816462455,70410.7547565138,70503.8712159555,70515.9486437701,70548.9267739703,70626.1589002968,70648.617406326,70681.812019266,70728.6354268669,70747.6488303674,70780.036808193,70886.758498879,70915.0815310677,70920.092317352,70957.6794559756,71026.108312495,71074.647928366,71097.3104117953,71120.4771773756,71130.824558671,71173.6103010232,71238.9992136169,71280.9736385254,71304.4024976172,71364.2463473642,71403.1707392476,71460.1311918677,71544.9893114564,71572.4582590991,71615.9541014706,71625.6374096206,71668.7686313849,71717.8897486168,71749.8793873164,71773.9260313506,71819.1244713507,71894.0963127373,71944.521520748,71956.5424216799,72050.198000319,72159.0638040233,72277.5999844134,72303.4702864089,72401.597334229,72498.1766850894,72518.1418460999,72526.2977621032,72635.0238375876,72715.3976177132,72767.7905167025,72868.9489030386,72898.2356633545,73064.4257448355,73354.1989055342,73620.4710669122,73841.5003585736,74202.1571031091,74381.5854176252,74851.8597228997,76070.2281842812
2016-07-13 11:00:00,69064.5,63782.3785771447,65825.5241232446,66061.7132353758,66560.1762813571,66752.7655383101,66865.1903743156,67160.8547129596,67207.9833169792,67400.7776911607,67498.8040062835,67554.1266125124,67692.7030131209,67821.0327217732,67843.5076297923,67891.4009618697,67949.1814391022,67998.9877279401,68021.2506776763,68062.9877488723,68180.5662075741,68313.9319194892,68365.4534929407,68386.5295987327,68413.105291744,68475.475674099,68490.1871055248,68518.9342553251,68566.103529433,68582.2569161067,68604.0222280052,68631.3329593684,68702.2712534272,68795.3877128689,68807.4651406835,68840.4432708837,68917.6753972102,68940.1339032394,68973.3285161794,69020.1519237803,69039.1653272808,69071.5533051064,69178.2749957924,69206.5980279811,69211.6088142654,69249.195952889,69317.6248094084,69366.1644252794,69388.8269087088,69411.993674289,69422.3410555844,69465.1267979367,69530.5157105303,69572.4901354388,69595.9189945306,69655.7628442776,69694.687236161,69751.6476887811,69836.5058083698,69863.9747560125,69907.4705983841,69917.153906534,69960.2851282983,70009.4062455302,70041.3958842298,70065.442528264,70110.6409682641,70185.6128096507,70236.0380176614,70248.0589185933,70341.7144972324,70450.5803009367,70569.1164813268,70594.9867833223,70693.1138311424,70789.6931820028,70809.6583430133,70817.8142590166,70926.540334501,71006.9141146266,71059.3070136159,71160.465399952,71189.7521602679,71355.942241749,71645.7154024476,71911.9875638256,72133.016855487,72493.6736000226,72673.1019145386,73143.3762198131,74361.7446811946
2016-07-14 11:00:00,69773.75,63600.0401414174,65643.1856875173,65879.3747996485,66377.8378456298,66570.4271025828,66682.8519385883,66978.5162772323,67025.6448812519,67218.4392554334,67316.4655705562,67371.7881767851,67510.3645773936,67638.6942860459,67661.169194065,67709.0625261424,67766.8430033749,67816.6492922128,67838.912241949,67880.649313145,67998.2277718468,68131.5934837619,68183.1150572134,68204.1911630054,68230.7668560167,68293.1372383717,68307.8486697975,68336.5958195978,68383.7650937057,68399.9184803794,68421.6837922779,68448.9945236411,68519.9328176999,68613.0492771416,68625.1267049562,68658.1048351564,68735.3369614829,68757.7954675121,68790.9900804521,68837.813488053,68856.8268915535,68883.7970072477,68938.7308112113,69017.967334776,69024.4575205373,69045.151671975,69101.6557410199,69162.2219038655,69192.9435332512,69220.5577126792,69231.3263247263,69252.3876640788,69326.7478143623,69367.1015434378,69405.0458354284,69438.9428904907,69495.0534385539,69523.6477901586,69654.1673726425,69681.6363202852,69725.1321626568,69734.8154708067,69777.946692571,69827.0678098029,69859.0574485025,69883.1040925367,69928.3025325368,70003.2743739234,70053.6995819341,70065.720482866,70159.3760615051,70268.2418652094,70386.7780455995,70412.648347595,70510.7753954151,70607.3547462755,70627.319907286,70635.4758232893,70744.2018987737,70824.5756788993,70876.9685778886,70978.1269642247,71007.4137245406,71173.6038060217,71463.3769667203,71729.6491280983,71950.6784197597,72311.3351642952,72490.7634788113,72961.0377840858,74179.4062454673
2016-07-15 11:00:00,69397,62815.8883302641,64859.033876364,65095.2229884953,65593.6860344765,65786.2752914295,65898.700127435,66194.364466079,66241.4930700986,66434.2874442801,66532.3137594029,66587.6363656318,66726.2127662404,66854.5424748926,66877.0173829117,66924.9107149891,66982.6911922216,67032.4974810595,67054.7604307957,67096.4975019917,67214.0759606935,67347.4416726086,67398.9632460601,67420.0393518521,67446.6150448634,67508.9854272184,67523.6968586442,67552.4440084446,67599.6132825524,67615.7666692261,67637.5319811246,67664.8427124878,67735.7810065466,67828.8974659883,67840.9748938029,67873.9530240031,67951.1851503296,67973.6436563588,68006.8382692988,68059.3779374927,68087.7937401411,68105.0630582258,68211.7847489118,68240.1077811005,68245.1185673848,68282.7057060084,68351.1345625278,68399.6741783988,68422.3366618282,68445.5034274084,68455.8508087038,68498.6365510561,68564.0254636497,68605.9998885582,68629.42874765,68689.272597397,68728.1969892804,68793.5484202675,68881.7482729701,68926.5014309659,68942.9098500075,68969.7833960232,69002.0097721978,69042.9159986496,69074.9056373492,69098.9522813834,69144.1507213835,69219.1225627701,69269.5477707808,69281.5686717127,69375.2242503519,69484.0900540561,69602.6262344462,69628.4965364417,69726.6235842618,69823.2029351222,69843.1680961327,69851.324012136,69960.0500876204,70040.423867746,70092.8167667353,70193.9751530714,70223.2619133873,70389.4519948684,70679.225155567,70945.497316945,71166.5266086064,71527.183353142,71706.611667658,72176.8859729325,73395.254434314
2016-07-16 11:00:00,57093.25,53100.0767632344,55143.2223093343,55379.4114214656,55877.8744674468,56070.4637243998,56182.8885604053,56478.5528990493,56525.6815030689,56718.4758772504,56816.5021923732,56871.8247986021,57010.4011992106,57138.7309078629,57161.205815882,57209.0991479594,57266.8796251919,57316.6859140297,57338.948863766,57380.685934962,57498.2643936638,57631.6301055789,57683.1516790304,57704.2277848224,57730.8034778337,57793.1738601887,57807.8852916145,57836.6324414149,57883.8017155227,57899.9551021964,57921.7204140949,57949.0311454581,58019.9694395169,58113.0858989586,58125.1633267732,58158.1414569734,58235.3735832999,58257.8320893291,58291.0267022691,58343.566370463,58371.9821731114,58389.2514911961,58495.9731818821,58524.2962140708,58529.3070003551,58566.8941389786,58635.3229954981,58683.8626113691,58706.5250947985,58729.6918603787,58740.0392416741,58782.8249840264,58848.21389662,58890.1883215285,58913.6171806203,58973.4610303673,59012.3854222507,59077.7368532378,59165.9367059404,59210.6898639362,59227.0982829778,59253.9718289935,59286.1982051681,59327.1044316199,59359.0940703195,59383.1407143537,59428.3391543538,59503.3109957404,59553.7362037511,59565.757104683,59659.4126833221,59695.4564426223,59854.7720629527,59898.7831608732,59941.813787599,60089.2069651647,60123.8921634744,60129.5965878047,60244.2385205907,60324.6123007163,60377.0051997056,60478.1635860417,60507.4503463576,60673.6404278386,60963.4135885373,61229.6857499153,61450.7150415767,61811.3717861122,61990.8001006283,62461.0744059028,63679.4428672843
2016-07-17 11:00:00,51650.25,48282.1347107289,50325.2802568288,50561.4693689601,51059.9324149413,51252.5216718943,51364.9465078998,51660.6108465438,51707.7394505634,51900.5338247449,51998.5601398677,52053.8827460966,52192.4591467051,52271.8728081078,52337.5516692453,52355.5704678078,52423.0644481816,52475.8375484212,52509.7825697245,52548.4353979381,52580.7675471351,52748.3858961808,52837.3074218105,52880.1935254891,52899.9303726046,52942.3025751514,52984.1402939509,52999.7561776641,53041.6709091812,53073.9242396396,53094.6455049839,53118.4093021174,53155.9383443963,53266.4264546742,53302.6993682805,53309.1990822009,53380.2231660428,53434.050226838,53451.7298077759,53499.7050272386,53538.921460865,53565.8915765592,53620.8253805228,53700.0619040875,53706.5520898488,53727.2462412865,53783.7503103314,53844.316473177,53875.0381025627,53902.6522819907,53913.4208940378,53934.4822333903,54008.8423836738,54049.1961127493,54087.1404047399,54121.0374598022,54177.1480078654,54205.7423594701,54336.261941954,54392.7478114307,54409.1562304723,54436.029776488,54468.2561526626,54509.1623791144,54541.152017814,54565.1986618482,54610.3971018483,54685.3689432349,54735.7941512456,54747.8150521775,54841.4706308166,54877.5143901168,55036.8300104472,55080.8411083677,55123.8717350935,55271.2649126592,55305.9501109689,55311.6545352992,55426.2964680852,55506.6702482108,55559.0631472001,55660.2215335362,55689.5082938521,55855.6983753331,56145.4715360318,56411.7436974098,56632.7729890712,56993.4297336067,57172.8580481228,57643.1323533973,58861.5008147788
