"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-22 11:00:00,69152,56152.7832801822,63245.1483755797,67113.6798350662,67877.1676473342,68096.5168828325,68212.8093971028,68293.4731149924,68327.1488755458,68482.4433964871,68527.0328727807,68588.2015808687,68633.9240595841,68766.0716596601,68896.0200648018,68946.8049450863,69010.2710088201,69080.9545392786,69142.4984966791,69188.2624813778,69354.5103004979,69393.657648975,69422.4695796336,69451.8284769226,69500.764148665,69553.2584612232,69573.6793207738,69593.4942581145,69614.7389786265,69632.3109381194,69643.854979653,69653.866964131,69715.0485147433,69746.3263738089,69821.3625239721,69857.4264714822,69894.5799765635,69912.407529164,69926.048314578,69945.8856094273,69996.413821919,70019.3832503045,70046.0845674881,70084.8603339159,70122.2757578577,70136.0524832816,70155.2173586889,70172.5311310632,70215.224142413,70243.8658812202,70264.0792397452,70310.3019480692,70355.0778571794,70380.0536402098,70410.3107497684,70423.4146484598,70455.8157668093,70500.5068759682,70519.5554175335,70553.6685188308,70583.2138566655,70613.2810602127,70630.7568502993,70711.5027091884,70743.477130105,70785.1180386221,70893.4516703121,70952.5583851719,70986.7252895434,71026.0848604251,71113.1766994235,71129.5750628368,71149.9047253664,71171.9629960707,71211.0212795257,71257.5616645698,71294.0999820474,71321.0217743244,71401.6772197988,71462.1907770057,71674.2605169073,71752.6632653326,72002.6877274718,72188.5056313774,72247.2468539696,72425.1627442275,72490.0082634367,73075.2302655762,73324.1598504133,73589.9442071698,75416.9837491692
2016-07-23 11:00:00,57254,43976.7099301827,51069.0750255801,54937.6064850667,55701.0942973346,55920.4435328329,56036.7360471033,56117.3997649929,56151.0755255463,56306.3700464876,56350.9595227812,56412.1282308692,56457.8507095846,56589.9983096606,56719.9467148023,56770.7315950868,56834.1976588206,56904.8811892791,56966.4251466796,56977.0385280987,57124.7057833688,57192.893736515,57240.7480864276,57252.174193801,57301.4456624501,57352.7773649599,57397.6059707743,57417.420908115,57438.665628627,57456.2375881199,57467.7816296535,57477.7936141315,57538.9751647438,57570.2530238094,57645.2891739726,57681.3531214827,57718.506626564,57736.3341791645,57749.9749645785,57769.8122594278,57820.3404719195,57843.309900305,57870.0112174886,57908.7869839164,57946.2024078582,57959.9791332821,57979.1440086894,57996.4577810637,58039.1507924134,58067.7925312207,58088.0058897457,58134.2285980697,58179.0045071799,58203.9802902103,58234.2373997689,58247.3412984603,58279.7424168098,58324.4335259687,58343.482067534,58377.5951688313,58407.140506666,58437.2077102132,58454.6835002998,58535.4293591889,58567.4037801055,58609.0446886226,58717.3783203126,58776.4850351724,58810.6519395439,58850.0115104256,58937.103349424,58953.5017128373,58973.8313753669,58995.8896460712,59034.9479295262,59081.4883145703,59118.0266320479,59144.9484243249,59225.6038697993,59286.1174270062,59498.1871669078,59576.5899153331,59826.6143774723,60012.4322813779,60071.1735039701,60249.089394228,60313.9349134372,60899.1569155767,61148.0865004138,61413.8708571703,63240.9103991697
2016-07-24 12:00:00,50461.25,38478.2527196884,45570.6178150858,49439.1492745724,50202.6370868403,50421.9863223386,50538.278836609,50618.9425544986,50652.618315052,50807.9128359933,50852.5023122869,50913.6710203749,50959.3934990903,51091.5410991663,51221.489504308,51272.2743845925,51335.7404483263,51406.4239787848,51467.9679361853,51478.5813176044,51626.2485728745,51694.4365260207,51742.2908759333,51753.6538782529,51776.9792299947,51825.9848097828,51879.5103274363,51911.1024728079,51927.3169193054,51949.7993471456,51963.8897998934,51976.3460815074,52029.3736309986,52071.7958133151,52146.8319634783,52182.8959109884,52220.0494160697,52237.8769686702,52251.5177540842,52271.3550489335,52321.8832614252,52344.8526898107,52371.5540069943,52410.3297734221,52447.7451973639,52461.5219227878,52480.6867981951,52498.0005705694,52540.6935819191,52569.3353207264,52589.5486792514,52635.7713875754,52680.5472966856,52705.523079716,52735.7801892746,52748.884087966,52781.2852063155,52825.9763154744,52845.0248570397,52879.137958337,52908.6832961717,52938.7504997189,52956.2262898055,53036.9721486946,53068.9465696112,53110.5874781283,53218.9211098183,53278.0278246781,53312.1947290496,53351.5542999313,53438.6461389297,53455.044502343,53475.3741648726,53497.4324355769,53536.4907190319,53583.031104076,53619.5694215536,53646.4912138306,53727.146659305,53787.6602165119,53999.7299564135,54078.1327048388,54328.157166978,54513.9750708836,54572.7162934758,54750.6321837337,54815.4777029429,55400.6997050824,55649.6292899195,55915.413646676,57742.4531886754
2016-07-25 11:00:00,69264.25,55191.8852817301,62284.2503771276,66152.7818366141,66916.2696488821,67135.6188843804,67231.2346300294,67319.3187297571,67342.9552626575,67454.8861790016,67536.1134723051,67572.3296824893,67638.7310425395,67745.0472785754,67856.3294870703,67967.3523504294,68036.4039870457,68096.554930458,68150.6834144827,68190.3584089515,68226.8803552728,68393.265436675,68432.4391545389,68461.5656606392,68469.2375285858,68516.3469729894,68567.6176273411,68619.3710672559,68640.9494813471,68663.4319091873,68677.5223619351,68689.9786435491,68743.0061930403,68785.4283753568,68860.46452552,68896.5284730301,68933.6819781114,68951.5095307119,68965.1503161259,68984.9876109752,69035.5158234669,69058.4852518524,69085.186569036,69123.9623354638,69161.3777594056,69175.1544848295,69194.3193602368,69211.6331326111,69254.3261439609,69282.9678827681,69303.1812412931,69349.4039496171,69394.1798587273,69419.1556417577,69449.4127513163,69462.5166500077,69494.9177683572,69539.6088775161,69558.6574190814,69592.7705203787,69622.3158582134,69652.3830617606,69669.8588518472,69750.6047107363,69782.5791316529,69824.22004017,69932.55367186,69991.6603867198,70025.8272910913,70065.186861973,70152.2787009714,70168.6770643847,70189.0067269143,70211.0649976186,70250.1232810736,70296.6636661177,70333.2019835953,70360.1237758723,70440.7792213467,70501.2927785536,70713.3625184552,70791.7652668805,71041.7897290197,71227.6076329253,71286.3488555175,71464.2647457754,71529.1102649846,72114.3322671241,72363.2618519612,72629.0462087177,74456.0857507171
2016-07-26 11:00:00,69660.5,55805.8008246003,62898.1659199977,66766.6973794842,67530.1851917522,67749.5344272505,67845.1501728996,67933.2342726273,67956.8708055277,68068.8017218718,68150.0290151753,68186.2452253595,68252.6465854097,68358.9628214456,68470.2450299405,68581.2678932996,68650.3195299159,68733.9720836967,68795.5160410972,68806.1294225163,68953.7966777864,69021.9846309326,69069.8389808452,69081.2019831647,69104.5273349066,69153.5329146947,69207.0584323482,69246.5118025326,69267.7565230446,69285.3284825375,69296.8725240711,69306.8845085491,69387.6367001407,69434.3254852493,69492.872845211,69533.0051689748,69557.7661549792,69573.7593168289,69581.2072602277,69627.0636028514,69659.3356506127,69687.4477784673,69715.6618521666,69757.9898452469,69786.5299243567,69795.858158021,69819.6805254193,69842.2282723646,69878.3885822463,69896.8834256383,69917.0967841633,69963.3194924873,70008.0954015975,70033.0711846279,70063.3282941865,70076.4321928779,70108.8333112274,70153.5244203863,70172.5729619516,70206.6860632489,70236.2314010836,70266.2986046308,70283.7743947174,70364.5202536065,70396.4946745231,70438.1355830402,70546.4692147302,70605.57592959,70639.7428339615,70679.1024048432,70766.1942438416,70782.5926072549,70802.9222697845,70824.9805404888,70864.0388239438,70910.5792089879,70947.1175264655,70974.0393187425,71054.6947642169,71115.2083214238,71327.2780613254,71405.6808097507,71655.7052718899,71841.5231757955,71900.2643983877,72078.1802886456,72143.0258078548,72728.2478099943,72977.1773948314,73242.9617515879,75070.0012935873
2016-07-27 11:00:00,68991,55739.6743213854,62832.0394167828,66700.5708762694,67464.0586885373,67683.4079240357,67779.0236696847,67867.1077694124,67890.7443023128,68002.6752186569,68112.9000132541,68175.0926220719,68220.8151007873,68352.9627008633,68482.911106005,68533.6959862895,68644.3724897281,68698.8517171583,68738.1865850592,68775.153522581,68941.4013417011,68980.5486901782,69009.3606208368,69017.0274962566,69064.4100536528,69115.7417561626,69167.4648412902,69188.8376473306,69211.303125392,69225.3686318322,69237.854237861,69291.6406317579,69333.3850174819,69408.6623048003,69444.5823326489,69481.5852826401,69499.3670070592,69512.9644697253,69533.1005888201,69583.5151105491,69594.3778228197,69621.3212752524,69649.5353489517,69691.863342032,69720.4034211418,69729.7316548061,69753.5540222044,69776.1017691497,69812.2620790314,69830.7569224234,69850.9702809484,69897.1929892724,69941.9688983826,69966.944681413,69997.2017909716,70010.305689663,70042.7068080125,70087.3979171714,70106.4464587367,70140.559560034,70170.1048978687,70200.1721014159,70217.6478915025,70298.3937503916,70330.3681713082,70372.0090798253,70480.3427115153,70539.4494263751,70573.6163307466,70612.9759016283,70700.0677406267,70716.46610404,70736.7957665696,70758.8540372739,70797.9123207289,70844.452705773,70880.9910232506,70907.9128155276,70988.568261002,71049.0818182089,71261.1515581105,71339.5543065358,71589.578768675,71775.3966725806,71834.1378951728,72012.0537854307,72076.8993046399,72662.1213067794,72911.0508916165,73176.835248373,75003.8747903724
2016-07-28 11:00:00,68444.25,53160.0438073096,60252.408902707,64120.9403621935,64884.4281744615,65103.7774099598,65199.3931556089,65287.4772553366,65311.113788237,65423.0447045811,65533.2694991783,65595.4621079961,65641.1845867115,65773.3321867875,65903.2805919292,65954.0654722137,66064.7419756523,66119.2212030825,66158.5560709834,66195.5230085052,66361.7708276253,66400.9181761024,66424.9815203839,66435.444965874,66458.7703176159,66507.775897404,66561.3014150575,66600.7547852419,66621.9995057539,66639.5714652468,66651.1155067804,66661.1274912584,66741.87968285,66788.5684679586,66847.1158279203,66887.2481516841,66912.0091376885,66928.0022995382,66935.450242937,66981.3065855607,67013.5743072874,67026.6437774319,67053.3450946155,67092.1208610433,67129.5362849851,67143.313010409,67162.4778858163,67179.7916581906,67222.2616301642,67240.5930595375,67259.1227202625,67286.8144592632,67349.5742417535,67371.7915398041,67402.5152080932,67424.0527472876,67442.3952607833,67482.4230984544,67517.2382968082,67537.4115795231,67580.0073972741,67609.9773080405,67630.9114518141,67718.7632363158,67750.7376572324,67792.3785657495,67900.7121974395,67959.8189122993,67993.9858166708,68033.3453875525,68120.4372265509,68136.8355899642,68157.1652524938,68179.2235231981,68218.2818066531,68264.8221916972,68301.3605091748,68328.2823014518,68408.9377469262,68469.4513041331,68681.5210440347,68759.92379246,69009.9482545992,69195.7661585048,69254.507381097,69432.4232713549,69497.2687905641,70082.4907927036,70331.4203775407,70597.2047342972,72424.2442762966
2016-07-29 11:00:00,67636.25,54271.1503264659,61363.5154218633,65232.0468813499,65995.5346936179,66214.8839291162,66310.4996747652,66398.5837744929,66422.2203073933,66534.1512237374,66644.3760183346,66706.5686271524,66752.2911058678,66884.4387059438,67014.3871110855,67065.17199137,67175.8484948087,67230.3277222388,67269.6625901397,67306.6295276615,67472.8773467816,67512.0246952587,67536.0880395402,67546.5514850304,67569.8768367723,67618.8824165603,67672.4079342138,67711.8613043982,67733.1060249102,67750.6779844031,67762.2220259367,67772.2340104147,67852.9862020063,67899.6749871149,67958.2223470766,67998.3546708404,68023.1156568448,68039.1088186946,68046.5567620933,68092.413104717,68124.6808264438,68137.7502965882,68164.4516137718,68203.2273801996,68240.6428041414,68254.4195295653,68278.367832415,68307.5777742302,68343.7380841119,68362.2329275039,68382.4462860289,68428.6689943529,68473.4449034631,68498.4206864935,68528.6777960521,68541.7816947435,68574.182813093,68618.873922252,68637.9224638172,68672.0355651145,68701.5809029492,68731.6481064964,68780.3888433577,68845.5167902252,68870.5199206259,68954.9869801708,69052.7974557776,69084.3557683225,69129.5118341146,69189.9001836198,69239.0770994732,69259.7197590373,69274.189450658,69307.404279765,69366.450403883,69409.0797891688,69425.7889363392,69504.8486329709,69548.7657405126,69580.5578232894,69792.627563191,69871.0303116163,70121.0547737555,70306.8726776611,70365.6139002533,70543.5297905112,70608.3753097204,71193.5973118599,71442.526896697,71708.3112534535,73535.3507954529
2016-07-30 11:00:00,55860.75,43041.4109247768,50133.7760201742,54002.3074796608,54765.7952919287,54985.1445274271,55080.7602730761,55168.8443728038,55192.4809057043,55304.4118220483,55414.6366166455,55476.8292254633,55522.5517041787,55654.6993042547,55784.6477093964,55835.4325896809,55946.1090931196,56000.5883205497,56039.9231884506,56076.8901259724,56243.1379450925,56282.2852935696,56306.3486378511,56316.8120833413,56340.1374350831,56389.1430148712,56420.3284485965,56468.8967103026,56490.4751243938,56512.957552234,56527.0480049818,56539.5042865958,56592.531836087,56634.9540184035,56709.9901685667,56746.0541160768,56783.2076211581,56801.0351737586,56814.6759591726,56834.5132540219,56885.0414665136,56896.1143413869,56922.9519854107,56973.4879785105,57010.9034024523,57024.6801278762,57048.6284307259,57077.8383725411,57113.9986824228,57132.4935258148,57152.7068843398,57198.9295926638,57243.705501774,57268.6812848044,57298.938394363,57312.0422930544,57344.4434114039,57389.1345205628,57408.1830621281,57442.2961634254,57471.8415012601,57501.9087048073,57550.6494416686,57615.7773885361,57640.7805189368,57725.2475784817,57823.0580540885,57854.6163666334,57899.7724324255,57960.1607819307,58009.3376977841,58029.9803573482,58044.4500489689,58077.6648780759,58136.7110021939,58179.3403874797,58196.0495346501,58275.1092312818,58319.0263388235,58350.8184216003,58562.8881615019,58641.2909099272,58891.3153720664,59077.133275972,59135.8744985642,59313.7903888221,59378.6359080313,59963.8579101708,60212.7874950079,60478.5718517644,62305.6113937639
2016-07-31 11:00:00,49978,37537.6184942174,44629.9835896149,48498.5150491014,49262.0028613693,49481.3520968677,49576.9678425167,49665.0519422444,49688.6884751449,49800.6193914889,49910.8441860861,49973.0367949039,50018.7592736193,50150.9068736953,50280.855278837,50331.6401591215,50386.0770913864,50465.7897533138,50527.3337107143,50537.9470921334,50685.6143474035,50753.8023005497,50788.0446160027,50807.2988731265,50814.9707410731,50862.0801854767,50899.5329895427,50938.6174412913,50978.2513883345,50999.413621842,51017.0558632748,51028.6292475897,51038.6970593699,51119.392298669,51165.6353844264,51224.6098897479,51264.5854733357,51289.4737318953,51305.4695404156,51313.0025322721,51358.5826790143,51391.1197773097,51403.9806028253,51440.852210145,51489.6385009618,51518.3084163226,51527.5456191816,51557.3663450984,51599.836317072,51618.1677464453,51636.6974071703,51664.389146171,51727.1489286614,51749.3662267119,51780.089895001,51802.3747756932,51840.6509808445,51885.3420900034,51904.3906315687,51938.503732866,51968.0490707007,51998.1162742479,52046.8570111092,52111.9849579767,52136.9880883774,52221.4551479223,52319.2656235291,52350.823936074,52395.9800018661,52456.3683513713,52505.5452672247,52526.1879267888,52540.6576184095,52573.8724475165,52632.9185716345,52675.5479569203,52692.2571040907,52771.3168007224,52815.2339082641,52847.0259910409,53059.0957309425,53137.4984793678,53387.522941507,53573.3408454126,53632.0820680048,53809.9979582627,53874.8434774719,54460.0654796114,54708.9950644485,54974.779421205,56801.8189632045
