"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
"2016-07-22 11:00:00",69152,63624.7194153616,63687.6121028848,64680.828395339,64776.3804925945,64800.3150038638,65139.7457082437,65309.6085096988,65513.9651144187,65632.5853049764,65689.6533126604,66131.3039539656,66248.6439110579,66275.3842827128,66337.0027203304,66469.0252935837,66603.8452364962,67002.4079567896,67023.2346423051,67033.3997891834,67252.9645240917,67376.7482691567,67832.9062718367,67842.4138722267,67950.4248931441,68198.3023847663,68287.426374656,68311.3491271039,68433.6537371011,68443.1064302364,68526.3770654128,68710.888532805,68816.3435990429,68841.1024219866,69080.1777296702,69092.7125901686,69116.2996050711,69166.4161318776,69163.9882890276,69182.5425419049,69220.226967631,69229.6654621333,69296.0055823988,69297.8120057605,69311.9948800555,69366.2336438193,69468.672251547,69487.8073400621,69553.0138153067,69634.0961755618,69698.1240689396,69737.9138023493,69733.1559746203,69753.7862808127,69780.90426949,69844.0808101562,69849.6908358771,69986.7993342558,69991.1695734215,70013.9763842198,70012.905842216,70037.5836212513,70025.1463241484,69991.4439740187,70050.9327600148,70050.9327600148,70105.3841016638,70070.4462202705,70110.1636000857,70129.9390112911,70271.5526813448,70362.567659471,70371.3690796404,70365.5634061406,70479.1919564439,70497.6394413978,70592.8127301702,70820.2121014152,70864.9919520255,70840.7854315206,70836.7317187297,71153.7046051582,71395.0948672786,71405.1875166232,71547.4211530189,71771.2302753703,71797.1903866188,71910.0255908903,72604.034748385,72659.4799636669,72799.7104459883
"2016-07-23 11:00:00",57254,54132.3114199432,54546.9685102484,54934.2895060387,54832.9641021707,54858.7629759466,55100.1866641093,55167.1580604604,55460.6970207994,55559.0745063945,55793.896829583,56034.8301278121,56144.5841489608,56151.4417782051,56170.1779164041,56210.3216343157,56251.315940242,56438.163794009,56665.0936643296,56667.480777698,56739.5918397686,56969.7297632337,57081.444429197,57090.4096400421,57154.5301822709,57250.5499317376,57283.2303716702,57290.3828073233,57358.0166122285,57358.0166122285,57376.0624287173,57474.0972255524,57506.8753618562,57582.9210394573,57692.0933635682,57798.5132625134,57796.2264701487,57792.9050427551,57812.4338601878,57812.8085249845,57896.1063189075,57896.5367270423,57896.1878396421,57917.7244343486,57933.2597914853,57961.5744619639,58011.3958309855,58024.6145742653,58046.7217703218,58048.5507558877,58140.8878023732,58203.1226304725,58245.0250201588,58251.7314676415,58253.0133165287,58264.2748516804,58279.0589365461,58299.4900161455,58301.9371994589,58411.6997858912,58416.1272965069,58409.5974422721,58457.7522538348,58526.5500260083,58542.071467025,58543.6095694689,58644.9774170025,58712.0592203459,58762.1607407236,58764.6314912272,58908.1120906572,59029.471685949,59088.3478207979,59109.189197612,59312.4560786034,59345.6670301329,59386.7771445593,59428.87018697,59469.1992666153,59869.2666114873,59971.0269711109,59996.7132394697,60552.895831505,60915.7916344532,61179.3276019087,61209.5068213253,61786.835040303,62176.1093501106,63277.2167055619,63652.747126147,64083.5503904908
"2016-07-24 12:00:00",50461.25,49670.9943867388,50269.8970369662,50400.2552856988,50324.7540910017,50333.9728321001,50510.5878571015,50693.4366573162,50792.1314744402,50846.2430669674,51142.4464958793,51318.7673957289,51405.6517108435,51404.4647455975,51404.0758195831,51426.6924699435,51387.1778443828,51590.0407020145,51844.6286961945,51840.8052565164,52068.1754699722,52101.6125964036,52162.9567307165,52166.6558810893,52185.1075775634,52212.0000483952,52209.9833473599,52213.1747973941,52212.2257103024,52199.3696401498,52245.1724706853,52244.732657875,52327.1877645184,52341.1638419619,52402.1908747894,52409.3263006614,52532.1468694699,52566.1237870418,52572.897624026,52605.2755962106,52602.8902323558,52616.5191042134,52642.1545488654,52640.7060003276,52668.4353755647,52685.9973915749,52694.3658103926,52693.3824305872,52684.1960549761,52681.4321407013,52803.9438287237,52807.6542949145,52880.3691823894,52881.6984907287,52876.3209745719,52876.7735730297,52882.859778131,52869.1712360544,52886.6511034692,52879.4031403723,53051.1370832364,53032.7622313577,53109.6681339983,53069.3125242733,53170.7858544416,53187.8878632129,53349.8241190819,53362.8513803134,53540.5957721356,53516.8390505145,53603.226621409,53701.1009310548,53762.7758638347,53778.7505217193,53990.8030647019,54028.5938072784,54051.1698981232,53968.2305736336,54017.2744017352,54598.4525653236,54598.4525653236,54651.7106090923,54444.9325713011,55735.5169959055,55980.3048055428,55872.6109862653,56621.0456119356,57072.5414734818,58712.7480763228,59201.0262397343,59668.6484200025
"2016-07-25 11:00:00",69264.25,62030.2973861042,62170.8145580954,63220.8987656278,63577.197735841,63558.2117533336,63728.0609500248,64029.6649425849,64029.6649425848,64153.0081761818,64145.5569411481,64203.6114858807,64727.8878415073,64757.0893048211,64761.3035019962,64919.152076731,65028.3253947995,65631.4720713894,65757.0715720499,65935.8779801911,65935.8779801911,65914.8074729854,65971.2990871657,66563.9085796439,66656.7285794199,66790.1513957183,66987.7144605221,67101.0428113063,67072.4088728307,67195.8545945626,67196.9649010333,67257.7845088326,67536.9963821077,67653.3497243155,67664.973014798,67761.8767412376,67766.1771475148,67879.8809221265,67971.8271123844,67970.8827801104,67955.5917717458,67955.6267632828,68025.8227806846,68040.9954901229,68046.9203865072,68067.4406507539,68133.1420674717,68132.7193413328,68296.0688206275,68343.7305758287,68434.6244496908,68430.6871767185,68425.2180229054,68435.653965464,68441.2590422508,68447.1979891827,68471.5651139485,68481.7087648477,68651.3509575054,68670.700351636,68692.1349345974,68724.8889145712,68734.5297354739,68690.9417471413,68830.1536804508,68817.450663347,68842.0055953711,68857.3203407755,68867.0199021911,68862.7659512331,68846.9574939062,68851.0526277302,68874.7236493041,68865.2691210796,69073.1746089958,69188.5109436216,69340.4782528104,69082.1862590137,69138.6363074507,69167.7374998318,69110.071170462,69457.2051210448,69401.787796308,69421.08808476,69421.08808476,69600.2700315528,69397.8482939109,69340.1346305619,70769.274531457,70945.6572914228,70863.4907242974
"2016-07-26 11:00:00",69660.5,66735.5209823029,67062.8593908231,67149.0746317585,67498.5948394163,67554.9424573637,67642.7041442978,67942.9578456544,67946.1268121109,68025.0264621574,68055.879061167,68175.234628796,68287.4068210147,68351.6579803517,68570.4659391411,68752.407679227,68843.7018213085,68971.1090785267,69067.6234325427,69127.1885955359,69129.9238469658,69128.9582843316,69316.6678892819,69331.2136322853,69326.7656074273,69340.8671372584,69356.3477281353,69358.7362253482,69361.3605708111,69391.9608009791,69411.4991626255,69446.8391926616,69506.3338835837,69578.6583528952,69594.3302204399,69613.1168452857,69625.5091828723,69656.9315750673,69666.9439953646,69704.2344574441,69721.325463342,69754.5316849603,69773.9492709703,69776.1084641777,69784.4834238732,69819.5302544937,69889.8764948409,69987.7252370616,70068.954897071,70184.58147572,70187.4538351037,70221.7188740864,70234.5610450968,70262.832403816,70283.733074787,70297.0900424399,70340.6017092338,70342.4815088132,70360.8796207544,70430.5662271352,70433.5534203805,70457.0834250608,70498.1046978065,70522.3358892938,70557.6387984121,70602.2496558544,70627.3792619451,70648.9114519905,70737.9896044843,70797.695256227,70840.2822847438,70898.4437292088,70904.6457547828,70945.9297632666,71031.0538300407,70999.3745445761,71073.6102581592,71235.0608418268,71361.9275079431,71371.4005719498,71419.9415441518,71490.1721228623,71730.9768843425,71864.3496998189,71992.4811184037,72138.0833584194,72329.9567096586,72442.639543779,73489.8272580408,73453.1766836445,73368.3136087147
"2016-07-27 11:00:00",68991,64946.4699683829,65195.8008517317,65229.0890733129,65354.1560874325,65397.9827948199,65455.2583341313,66033.7852476756,66055.6819389633,66292.0719507186,66368.8319842684,66660.5168178221,66687.213974218,66879.8644508914,67043.5726887052,67123.5655273938,67179.4716541258,67287.636795098,67435.322627155,67476.7114068659,67530.2471500898,67514.340266861,68094.2926179344,68075.9022736595,68080.9735260793,68237.3827385838,68355.959760786,68435.7058108767,68468.6896584234,68523.3178553057,68530.343495669,68669.1609328697,68803.9128865024,68858.6138249632,68908.6001895814,68992.2645093173,69066.9558721418,69087.0235648332,69106.7935305721,69107.6238744749,69107.6238744749,69173.3492360254,69205.6732411775,69215.1083650991,69259.5099136607,69380.7503574979,69393.2499371531,69481.1763269095,69561.1235382352,69630.1147818998,69632.3181360758,69682.1135582026,69719.1462792368,69745.2338362897,69780.2208130232,69791.3395510719,69864.0884548071,69866.9397216112,69919.1933536299,69923.2884957549,69932.7850695297,69956.3175635084,70002.4305706841,70013.3034579376,70015.3266148853,70024.9900444757,70077.7232853026,70098.5493235773,70064.0430333172,70225.097191848,70228.587344962,70362.549184405,70377.6243764545,70514.197362101,70569.2009280247,70603.4590638466,70792.8659483941,70879.2025477593,70928.5425310333,70931.4231649643,71022.2521654911,71179.6712347669,71588.4194753538,71583.4014114133,71779.6614776747,71991.3224758886,72157.8435324013,72355.0152089862,73203.0847900311,73193.3528484128,73080.2745881563
"2016-07-28 11:00:00",68444.25,67039.8096117902,67076.5976168869,67191.0553920827,67607.6704434893,67671.6750237519,67785.1667136176,67688.8514783287,67843.4476315498,67861.2432141307,67940.5609962247,67998.4248115597,68153.6270466472,68149.9756581604,68309.3815648687,68391.775383343,68433.8521930835,68506.6982455738,68571.2238018924,68598.9236901088,68600.9578318805,68586.0958214873,68577.1999650025,68303.0140243682,68323.520223858,68324.3035220171,68119.4372705943,68095.3159641609,67958.6120379602,67937.7136893367,67917.8390461984,67991.7601966938,67875.7021684687,67845.3314519912,67843.7184932567,67843.3125287342,67830.4026211144,67807.5495388257,67845.1669338581,67850.9226490742,67847.2757065459,67852.8548615394,67859.7215009735,67861.712979956,67912.0134512416,67930.3610520423,67898.7085884184,68067.4289229089,68106.6404330569,68200.3679766693,68200.9624905624,68217.493673307,68261.0620240857,68270.0196168203,68272.4486708686,68300.4034571426,68327.874339096,68292.1922079702,68305.616841927,68403.5506350199,68450.3192289661,68445.3375137026,68435.1514436111,68500.0988336802,68558.759474076,68651.3830321663,68655.7604584734,68651.9684669596,68966.1606520779,68998.2543995939,68966.3495128439,68993.4184943292,68993.9163008452,69143.46029055,69014.0167669436,69009.2574411578,69076.9678251889,69151.7765328593,69384.0486613641,69360.4409617167,69458.6543056187,69442.5785284723,69513.3122779125,69988.7481920799,70102.7543030055,70133.743640711,70528.4107520781,70639.3318268257,71491.0573385464,71874.3089815509,71909.0463494257
"2016-07-29 11:00:00",67636.25,64146.6764327836,64282.5538899364,64400.2447499304,64750.076154128,64802.7935390562,64895.1407258414,65291.3664362653,65434.5702430541,65470.11794907,65660.921151472,65751.8179972424,65876.9917761724,65914.0211356521,66231.7879166845,66291.2218652507,66316.7877109487,66402.1031090952,66577.186168002,66639.1901355071,66652.3187321589,66693.4206311928,66868.4851014347,67054.4862015383,67073.4006761053,67075.536640116,67173.4224773164,67228.9900001822,67329.0466273771,67336.2016503668,67391.9857177479,67450.6650967899,67532.5611774112,67631.3259192992,67668.6408730733,67706.3312465528,67720.441062427,67722.5600434944,67813.4619484642,67826.3270807742,67855.7428401129,67867.7635490925,67908.0051984257,67919.2871112646,67963.1924608698,68025.6196358861,68100.1964437104,68222.3965812052,68289.576588052,68295.1673595654,68309.9649928437,68359.4515576511,68367.5069203102,68387.9665092388,68422.9697711099,68442.9946443166,68453.7333676431,68499.1165299488,68521.7073839994,68572.0478304057,68574.6555461214,68599.8086617632,68643.877989552,68662.3970724459,68683.0861832757,68712.7463420736,68731.9752747282,68780.0653746507,68820.4296556625,68925.7899769067,68932.8350826343,69011.5598864205,69020.3502596065,69110.6033695125,69202.3337480681,69208.4854595806,69373.800043051,69415.0044644047,69483.1147080293,69513.843611928,69583.3966139856,69728.8236094734,69939.3454539685,70101.0799170537,70243.8774263532,70400.7256738796,70570.5948022544,70722.1051026857,71593.6462453114,71815.6704692022,71794.134935764
"2016-07-30 11:00:00",55860.75,53821.4202567937,54232.2721753447,54267.8188281658,54474.9157442139,54495.3717903186,54519.1442201371,54703.1798831939,54746.3534385265,54887.5795215054,55236.3293193983,55308.8213462144,55341.6799560512,55414.4999652383,55582.8309959264,55628.1526244194,55674.246319509,55708.7402155124,55782.289130576,55947.484757192,55946.1644595749,55873.9934445714,56103.5197389942,56394.1844504348,56399.0182895937,56407.9050909928,56460.268274978,56526.0914520608,56551.0873694968,56581.8536346081,56617.074013515,56624.9453201243,56627.3132243236,56704.8343255781,56727.8847502516,56817.4195245953,56823.7637503602,56824.7165122107,56920.4348335034,56958.8373373659,56960.417211244,57021.3016498601,57008.1540818944,57004.9978737503,57074.0587207958,57081.4224684389,57080.8057848739,57178.3296967421,57174.9291324442,57198.2855394503,57200.1970996107,57207.9154847041,57283.0059546361,57341.2979057368,57351.696111468,57345.7085548832,57416.596965568,57441.7777766237,57449.5758661612,57459.757074452,57461.3282842168,57465.5586558797,57473.0560873491,57533.7476337916,57596.2852675468,57664.4677459873,57660.022821894,57702.172078981,57910.312522201,57922.9326611347,57921.0384686126,58139.5644196127,58164.3002996088,58097.1425089875,58301.5439888857,58312.6237359904,58460.0318138218,58474.7929142125,58551.2729183867,58544.4530588448,58903.4506403513,58952.9822357549,59069.3933530385,59530.8703354688,60251.3966995612,60226.5623138051,60842.3624116756,61212.5649172817,60812.7561547752,62528.0921055542,62882.0258182819
"2016-07-31 11:00:00",49978,48995.8044575497,49458.7135195896,49455.4364444672,49899.8940196122,49923.4686199111,49916.0784922518,49923.5140079262,49918.2109000792,50081.1461842156,50410.4570349392,50442.5318588755,50442.1044075083,50530.6001831825,50677.8483899822,50719.7719025031,50779.7061372963,50804.3421318945,50862.0184477271,50945.892729088,50941.8304588421,50890.7108596869,50899.2256873633,51201.1511815844,51391.2130853281,51403.437339723,51418.8333961732,51473.4600696175,51348.2639903756,51416.6461557387,51371.81989726,51352.491643842,51339.7055721475,51432.4626744576,51448.9343772165,51474.4317632762,51561.4012730608,51561.5884334376,51593.3879585721,51647.799650159,51636.8683032729,51696.8691011905,51711.3171505634,51771.5501592109,51780.4239420427,51782.2529599665,51771.9096822522,51796.1952362634,51769.7073576366,51779.7116893545,51812.4447295653,51808.5457908294,51812.1071981343,51816.2864504528,51928.7882760446,51925.0231403783,51968.7936736711,52056.7704986592,52059.5551450065,52051.48322585,52053.3113248114,52047.4343627027,52035.2653668646,52124.1198380721,52217.1445296866,52273.3949863822,52301.1855634069,52341.0976781084,52669.0776641058,52589.0445842912,52579.1230955705,52801.3572612929,52834.2343860744,52726.5182671603,52874.7466625353,52968.0631479292,53020.3802294621,53004.6253324237,53103.4869577259,53072.2077333568,53557.0151861758,53333.3874744289,53448.3323618306,54103.454536337,55049.6853717785,54910.6340923435,55619.2942373932,56076.6611813358,55247.4800436524,57677.9745984966,58156.8311543284
