"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-01-01 18:00:00,52797.25,53639.0560767786,57123.1492940742,54454.3819608104,58015.2748452584,56423.329504318,60830.7713674593,51531.9012921786,55285.5636178978,54187.2037176652,57187.2637262655,51975.4789110826,53725.1974194506,57053.0880018151,57404.5984035134,57119.4378726788,60019.6927838628,52831.5304754058,54046.3393869215,54754.6355755671,55166.5552382533,55484.2433137949,58000.7872408191,61544.7837754861,56209.4725615758,56019.6272299771,59542.7021656821,56879.3407469772,53387.5245096558,59221.6031387022,57047.3269895831,57871.8494128643,55243.4217188193,55496.3184540764,60122.746001897,49983.748991934,53275.9209460466,55521.4462153201,59319.211878561,54247.6304244029,56286.3444554786,59985.4508888521,53464.8468888432,56272.4662664189,55126.4017543142,53088.0634471942,59776.1215958391,60132.5484068992,55687.0996637565,55661.8319358225,61894.7823700952,56305.7433534153,54750.7867257042,55809.6324076347,53927.5547884212,54693.2892096821,52893.6780219281,57561.3837205121,56272.8181919311,57691.7091398731,52998.702716492,56771.9434227891,59332.5275568702,56075.0030148053,58099.1419892776,56184.6758554652,55072.0935979134,51821.4105530374,52987.0752300765,49303.4357006119,55109.9747842041,56521.4191742427,54435.4535326433,57186.9739800706,56417.0381464668,56544.3313878244,55948.8863682955,55389.6560094543,53349.4617956593,55654.5986926527,57436.5654166602,52525.5157327593,55352.537306429,54373.1931460091,59411.3141585645,56452.0682199867,54855.3756975319,56777.6280959071,56446.7885727731,60064.900549631,56383.4550347263
2016-01-02 18:00:00,60431.25,58180.4644604255,59922.784549759,59854.0647282699,68474.5453091769,58564.5063630472,62301.1410208018,60850.9962226601,59143.4703517809,62043.1416312442,60558.238672747,62271.705530883,62991.6596205794,58417.0726255256,58510.0388245797,57263.369643538,59300.4381335993,60380.6244076205,63862.2037247399,66365.8071582598,63519.4799238801,61760.2879795148,61479.22405297,57543.9611936406,61201.3091887304,62792.1380976833,59137.282450634,62741.2693790602,61738.8706828912,60579.8957495356,59565.7004008087,57988.5979100674,62710.3974882916,57590.2532524593,65120.6398185286,60285.7133433274,55158.1267310568,59471.8174378268,58670.0733205728,58356.6920407606,62015.1502274784,59470.4407009368,62836.8777906425,58370.6287346131,62042.2315787151,61155.5723272441,62674.9792870164,61098.6243011204,58798.4561011305,58952.4255483968,59237.0245650065,56932.5567998196,60272.5649053481,60540.0590123752,61973.7915001839,61787.387261928,63083.7494983102,58942.4589923646,63654.8679520289,60776.2902324872,62123.9398446842,60597.2250037689,62128.0525635182,64226.6747729806,61628.7679058238,60989.5769360182,62209.0973038026,62125.5854083493,61720.1884639968,65283.0814386983,61835.20538647,58894.8613430926,64224.557239856,57588.8987748329,60421.1934755326,62029.6782267008,62688.5377460944,60368.2164950052,60986.3808612111,62296.3448309939,58663.864430621,70565.686129961,65962.4764644875,62608.6216242282,60514.9913934559,63704.8590553453,62792.1002559515,62880.1087743936,56005.8328788388,59689.8577115295,60433.1133946796
2016-01-03 18:00:00,57888.5,60389.2151827384,55486.3092391459,61964.5903062227,52433.0626522421,56911.4876221115,58478.9185532352,54367.7733088505,57303.2002113622,55665.0332902043,58320.5934548709,55610.6858864049,59600.9217603914,60241.5336889326,56131.5063573658,58791.3496071133,52367.015418036,61183.4142165615,56028.8111573489,57650.1564144561,60465.1039792786,59746.9616340167,53141.1543725136,54593.1241404496,55681.1866101135,58459.9923176559,54659.8700572554,54546.8410122502,56945.3670436372,57267.343123763,55077.2084550069,57345.0618273885,57065.6326110891,57832.1601792695,53784.5482549072,60715.0725783841,52446.7169108529,60319.1878901938,59127.2177444888,58257.1159674488,54391.5970003553,52777.5182468133,54888.1510105447,58105.7589032066,60925.0009801173,57141.4589356066,56631.6910587849,60438.3451016032,58716.7834978642,65928.5496491677,55135.5331990681,58779.5001324767,57321.903322835,56916.1540124717,58420.9413013676,58481.1359932335,58885.8380869924,57089.8429018361,58092.2187426567,56732.8912620485,54733.2896324633,58726.3913352679,59317.1395122704,55407.9238769279,51707.0556427129,58739.8018080604,57189.6912297993,56249.8631366833,56887.7322103649,57360.2823890161,57455.9866934931,57178.0174890508,61795.1915411012,54850.5207305185,58688.2950414811,59791.3681546386,55784.9243897436,62072.1455147397,59687.3004780163,62716.5169850927,57059.5961445306,56167.6592576909,63267.3361109811,58402.9483671587,56513.471988161,53030.412896696,58465.2497611747,56918.6820834271,54298.0276601504,53667.8809484758,58338.0591688603
2016-01-04 18:00:00,70768.25,76603.8712589149,76628.397431666,80120.4251081174,69125.1195944507,73550.9020421714,73447.6512031665,72631.7062580144,74798.7427724386,71680.4972718849,70154.1014466759,73313.7176645698,73309.2051268283,74879.7111515292,69735.7882606188,76096.2243998375,77685.1992121008,70502.0951232985,72460.3881630875,75784.649841186,71318.5464758022,73702.9468326944,76602.0828138612,76618.4027045566,67496.4343603706,75454.2133749252,78053.1121259958,80165.7885016689,69792.174013759,76227.3848150072,72379.1442214187,73939.7806913653,70522.6553254948,77997.8776761692,73022.731228306,70496.5128548602,72098.3983381357,75201.6195681175,79829.8960801403,75838.3540021524,72386.8365794004,84128.9288602814,72614.3593970458,80444.0200966243,70214.1620213815,77163.5564646962,76369.2052758606,69472.657466691,69383.6389225672,67563.5603994804,74710.3101949177,74336.966935857,74204.0937377835,78290.6536775361,72333.4824309035,79486.0515824476,75975.0970522482,71091.1552333056,75919.5103239079,73749.4414466152,75014.2104900101,77315.0652369953,74687.0410459017,70085.1883516951,78260.8599043328,77894.0347575843,74982.6374647488,74030.7185282522,71864.4319389945,69936.509382014,74817.362885987,75304.0971073719,74244.0042365323,83006.8757517127,69607.2233146728,75895.4104696707,74752.3691310867,78698.9597305301,67807.5100384833,73650.5087387093,71282.5115699361,69438.7220941527,81209.4867175969,72823.5436819637,78346.7050426802,73968.9445716755,75363.9284562479,66315.1130676778,74824.7449543943,68639.7353904091,77775.5908979767
2016-01-05 17:00:00,71862.75,75181.4049614587,75251.0326672227,71842.0008868941,68770.2322093317,80288.2790835603,70636.4004491007,84080.8652039346,75323.8079708419,70197.6691142411,82086.3610340338,75163.4928567884,76880.0227103298,78107.9753146725,76359.4407922376,71716.3721538815,71338.2834373209,69055.1202482491,82186.9103230414,77721.1235986317,73771.3183997525,73424.3164226132,75449.3213273991,74704.3818854629,81205.6419176087,75948.2226818702,81131.9560722445,81487.6050215418,79688.7032057472,82004.1020203856,72445.0885735665,72405.1012203194,74014.3011740226,72526.1271219037,79361.5089986351,73576.4603088376,76199.4757195186,74784.3044051843,71216.4645980275,75167.4818788009,71615.2907752223,77034.137559729,73339.8735713888,73286.785720499,66166.4666583085,79706.9393967973,72321.8408568909,74108.0023450915,78372.3378144226,77345.5556638078,78770.1941865937,76073.1274320346,72734.7723649582,73996.9338831369,71133.8934202798,78550.1917767495,76427.4244670266,84734.2079431441,81840.190897981,72717.5879085564,70904.7922169305,72799.93087057,78180.6823299339,78708.5461905799,81645.264699542,76297.5197570209,75698.0062709234,77366.9799348923,80920.8842928623,83960.2214882317,70151.6131082463,70674.4402480585,74268.5456009539,73728.9410983304,74150.8418984225,81223.100064085,72883.0771488592,83518.9562169974,78019.2433630504,77295.9344709653,78332.1003863532,73829.1307367091,72902.3571440633,79630.264179457,77551.4955056267,74004.3359019,65881.8682185287,74561.4515548396,74977.444282832,75485.5140753788,70598.7753642041
2016-01-06 17:00:00,68980.5,59490.1129719792,66960.6937012458,60904.8943024198,66853.4602366713,63616.1554403775,58467.0467350962,62471.6968785937,62467.5580513645,59075.4968274977,63150.7583802641,62010.6910748874,60915.3817707398,61189.5415225187,62279.5284062034,68116.3859849995,71615.5808474765,60422.1822258883,66795.1043766851,60636.1285873029,64702.9652294842,61033.6827046732,65909.5797952499,62998.8850280714,59577.3850041775,65447.1783161164,61422.1749766268,64014.6201503132,58983.6860840262,64970.1412783597,64796.6940786669,59713.5151529754,62058.49220637,61368.203660889,63871.2087826049,67720.9035375543,60156.0352682511,65283.4875056051,61182.5326288916,64596.8935344837,62772.2271494601,62585.2915920248,60750.8225501112,66100.1244941756,63890.4438178853,63542.5173309809,59914.1971187418,64879.5277453255,62725.2666851751,65853.0943676929,67534.0160957443,62035.8438359735,61266.9100634679,66702.5063818839,63376.2888072744,67001.03144358,61752.0862820555,59299.6027270566,67424.6920496823,60538.5785560104,64735.703157351,65295.4376143024,64404.7229053348,65303.1599170336,64746.8372396089,65716.5445606158,63624.0071210784,62587.664509017,63814.3637385317,62952.1396572575,62188.642231083,64802.4719359112,58220.2011169527,60957.9834829281,68277.3192727603,69866.6240831497,68832.5797623209,65193.3520601873,65627.4347201845,62137.3518817487,63853.6654688758,61507.6936038871,63687.6159058451,64992.8145914066,59821.8941983951,59855.665103364,59706.2814416988,63306.3435510293,63658.1619357624,62621.5641103288,67219.4196790669
2016-01-07 17:00:00,74199.5,80489.1649659374,81351.926309401,89218.670644198,80824.8951027232,85255.9838516088,87656.0611994889,82276.7636885034,81546.2889362513,84735.6715065617,79389.491260053,79572.2225329411,81348.5267196386,81796.5018243612,80599.2703598459,76217.3177770399,77456.8601355655,80858.1106409497,86677.875115382,79323.0792148803,80282.3134860201,85646.0388230019,76349.9762037784,85961.7914205078,79839.8347150939,81805.9327578483,79527.4210863029,80669.6178687818,74738.0485618987,90204.2468634803,84561.9976077333,80718.5921810512,80043.8330622571,86072.3845433988,80629.1685511898,78193.918099473,81937.0763556541,76705.6557634425,83963.300945124,78667.8768335241,78411.6308161712,80931.7524612035,77242.615528217,82215.1293682945,81430.0422173704,75202.1242601212,83591.8933737551,78358.2324687775,77470.8713322998,80821.7062727508,79371.7767788018,81142.7650931852,82717.9285672192,84977.1136577793,83498.5979824083,78109.1179272087,76732.7172934826,86964.5241600438,78963.2285202705,71768.2726880964,76894.5131729365,75500.1991590458,81305.533444225,80842.5117159609,84024.1964796472,75572.4225588214,83917.3004683226,79527.715759106,80033.3476982004,79962.207726337,82651.219034411,82804.0148121484,80444.0870607042,83921.6582106789,84480.944493965,83013.091481284,80695.5801542988,76652.0202896744,80438.8055439962,80919.1736416814,81880.6051506191,89616.2746454983,82009.1694002799,82701.6033530025,80157.4729377838,82142.6001123553,77435.0667179612,76925.0613709377,83283.9822002606,84365.163952243,80501.8093193154
2016-01-08 08:00:00,71473.25,73557.4126579384,74809.6184057933,77764.2755686908,65225.6240970548,78448.3210217422,71320.0481915947,77152.8241043679,74811.6837877521,70118.9682575351,72212.4222672655,70356.9309719929,70788.3230881133,76721.3950782318,76012.1673747335,71849.4021133402,74873.8163285829,71134.4803461407,73989.9060978863,75516.0530946267,72272.2729820205,80839.787466326,78162.8962992486,75020.1651248315,70362.426782276,74268.8733399311,72195.0400261933,81030.66153006,73537.0312554702,83227.2840871,72458.4585457311,74701.5384751283,72040.6907357425,77572.9616593161,74651.3545274397,74233.7384263022,73903.8614182253,72876.5429834679,75473.8121309274,75344.3593491884,72423.8011991976,75340.4887392822,71335.3397910999,65566.9812450605,75525.5451304303,72697.087079086,72515.5600028165,71717.9313679171,73612.7443841196,74723.0131644755,74310.0146849617,74298.2325896547,75589.523586637,76485.2844885728,72656.2397341192,70741.7528996099,75359.8551570899,70740.6391874828,70717.4768027548,75752.2825216055,77373.2462043871,69640.2834689114,69567.4501394145,76738.1360136529,70510.014435595,85088.2216044678,79939.8754677976,73402.9450169176,78655.3568321017,74987.6629281152,74006.8117137542,71367.0829637386,74639.0015927913,76807.9101047374,74925.0535833089,74941.6114770244,74253.0374155086,75438.5204763028,74883.4876112679,72713.6902844629,72834.8272416622,77306.2973809454,71476.6610330281,76347.4048661207,71722.6369809342,69539.085645874,76848.3858633158,70827.488462347,79025.91053914,69140.0155380477,73136.6209998982
2016-01-09 18:00:00,62274,59941.2267491918,62782.9110497696,66209.298951378,62251.1001733369,60977.1488518713,57687.5313087847,65130.9810226895,65725.9600292743,56370.1018848017,69337.5679999657,60875.7093065138,62056.3196805376,63326.0072976594,60288.3938144332,64077.8649253909,60043.1079392018,60722.9877461956,60183.3448392708,62349.4923305777,62987.2179009137,63698.9106871976,63670.6455933471,66050.5542431265,62179.5283488372,67528.7413237445,61532.4403083915,58840.4073824181,60544.3407944216,60610.1262945964,63872.7513020088,63218.8542153066,63611.6004339779,60585.083617574,56677.0537181598,61569.2360583773,66152.7102070446,66737.8257989396,60599.2687178711,69855.8257532078,63927.3891368981,63622.4445622752,64669.1478730715,66042.3910313961,65177.7098817915,65572.0699508488,64573.760782252,62518.4673500645,65758.2495195253,65376.3965636522,58700.4395161062,66746.4049858362,63587.2592208122,62148.3150233462,64642.4371506186,62353.668206839,61369.5966884897,64619.0665845448,63670.4387341724,60758.0773677122,62983.0887741977,65311.3045050367,66846.6964874129,62520.6416601856,61133.6993829498,62819.8417482987,64418.6530030374,60602.0855412382,59062.9734089266,67755.2377258998,59480.4399019271,58157.7479200676,66680.0556048314,61843.8898777212,63040.9354337095,63424.7966637337,66666.3368201496,63178.9536288137,62430.4994660924,64104.9698875051,62378.696985292,66103.2478220431,66059.0639326339,60426.6099947331,66417.0465779299,60736.0833724822,62708.3651619835,63281.3285628344,61399.9562700433,58927.6852891114,61144.6658500386
2016-01-10 18:00:00,59470.75,55136.5327709513,62751.7919536716,58108.7696903674,61845.9367199176,58971.6357314962,65712.4448732943,58111.27573185,61624.9839844986,59554.0756916585,58767.298046122,59566.37920926,57019.4644065972,61168.0925219899,54046.9546368669,58245.2559606162,58631.5606812033,60032.3016758421,57395.0869758687,56447.3499645236,60728.2040303266,57256.9584228799,54791.1458374389,57726.598687613,63372.5941743586,63481.1681775708,61143.7873188215,60424.5892154533,61520.1975392159,56588.8697282545,61358.635359139,56697.663160292,62018.158491984,57020.4319052972,58996.4699550347,58102.9605286064,55489.9136652585,63084.1560394519,61861.5546765848,56790.5728374892,62389.5604348012,57731.5253690362,59513.9622441275,55896.027759294,58580.7893447173,58398.3950212663,58885.472109709,59873.6291823901,60242.2413299541,55183.2579535381,57388.243759761,58430.0731246217,60246.5620538569,59762.939113508,57933.6507192846,59925.8394978176,57460.7216695663,58046.8602134006,58814.2654340002,56098.4445234032,56953.9891969675,61368.998458056,60956.5384309643,63449.8250959602,58029.8648456848,59486.7061367568,59580.6885947871,57683.6565574042,61072.8891859347,57010.2087703275,58282.2291128269,59482.6688879578,60671.3060443201,55068.5764760489,58746.1456679477,60002.521047801,62677.1235800645,64946.0778786543,59794.5898389298,55019.8226795073,59327.4086036992,56513.0348648195,56743.7548700474,59652.325409987,58951.6586931484,64633.8013475586,54103.2523777586,59553.5906466064,58906.9900708517,54533.8113727832,59313.0225623013
