"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-07 18:00:00,65873.5,61576.9401886753,60436.9963111167,61565.5299758225,61167.9545598027,60084.3227312316,62034.0225732151,60537.6828151967,59946.6558262773,59422.9569393224,60779.2917635557,60958.5543040964,61032.4087715911,61890.7143260931,61229.2929847042,60128.8575307683,60887.2266602067,61096.735268428,60049.0342827047,59802.4130266236,61307.5791549367,60372.8761938707,59991.7740803004,61541.3444701536,62177.8542676177,63245.3042698979,64087.1111323841,62880.4146158786,63565.4774208795,62570.5759585123,62828.8945648527,61397.5140169082,61854.4636945638,61063.9677036427,61499.6755194565,61251.8898035287,62612.0888613522,62446.2598483731,61478.3475250767,61032.2163628357,67864.2320809998,62294.837596332,60319.4640503448,60755.436636997,61769.2264727428,60152.242221173,59318.8876767838,59979.3765414501,61802.669060663,60552.7962013892,60936.5050470951,60847.6020863887,61979.7360024284,62140.0827345262,61640.8030099252,61817.3827248834,60185.4751256831,61148.0817589696,61940.1498639628,60918.2607259666,60492.8401598436,62508.6587863236,60256.0270791735,59509.9375228457,59784.1033729165,61602.4340620029,59714.1642632253,59834.3668299354,59643.3461631472,61728.6712572114,59891.0163530684,61817.4940626733,60431.1743763948,59103.0954057075,59259.6193869116,59571.1052621445,58862.174941972,58385.8743926774,58032.6455718497,64825.5657873262,55463.2392141054,59530.8224983209,57821.4560791207,59043.0098469629,58631.9992754527,63075.0798205101,64822.6627827206,61347.4672330293,62222.0120888473,60301.1874478485,60596.782590507
2017-01-08 18:00:00,61566.75,60410.9794186477,61510.9651115067,61124.4358258985,60040.8039973274,62211.7811399103,60494.1640812925,59903.1370923731,59535.1576438929,60735.7730296515,60915.0355701922,60988.8900376869,61823.7457722074,61187.506328171,60085.3387968641,60843.7079263025,61053.2165345238,60005.5155488005,59758.8942927194,61266.0389670556,60329.3574599665,59948.2553463961,60780.4626028617,62098.5110294176,63046.2297751772,63566.1497320158,62807.4759948842,63435.6446845055,62474.082326052,62646.6604937928,61380.1362771587,61784.2288447738,61020.4489697385,61457.7792419586,61209.0274214753,62534.0787597288,62277.2115890476,61446.1129435438,60616.3813379476,67820.7133470956,62193.5890875979,60275.9453164406,60711.9179030928,61687.8256671393,60108.7234872688,59275.3689428796,59935.8578075459,61729.5355144028,60509.277467485,60892.9863131909,60804.0833524845,61945.6447256419,62075.3966702928,61561.9608553506,61610.6356877446,60141.9563917789,61104.5630250654,61871.4164297213,60874.7419920624,60449.3214259393,62418.1231749474,60212.5083452693,59466.4187889415,59740.5846390123,61525.8994049146,59670.6455293211,59790.8480960312,59599.827429243,61639.4092712641,59847.4976191642,61760.3598593532,60226.6059198864,59059.5766718033,59216.1006530074,59527.5865282403,58818.6562080678,58342.3556587732,57989.1268379455,62572.6147292903,55419.7204802012,59487.3037644167,57777.9373452165,58999.4911130586,58588.4805415485,62840.1658343606,64281.709379414,61309.3892022052,62141.9002509362,60257.6687139443,60553.2638566028,64825.977006905
2017-01-09 17:00:00,76084,75987.5033281788,75633.1979363479,74569.4389086099,76428.1712415612,74977.9563372219,74431.7720036556,73908.0731167007,75491.4312794258,75421.6212244734,75443.6704814747,76312.8637560563,75653.070737181,74613.9737081466,75332.718263767,75916.4184629457,74534.150460083,74287.5292040019,75737.6623327578,74857.992371249,74476.8902576786,77144.4133236704,77485.2721019886,77754.9538674914,79222.3803143025,77588.2367672896,77967.3579310481,77288.4282551766,77602.6174976067,76400.4068104671,76288.9947706357,75996.5616890011,76531.0699555693,75945.9095228989,77200.7536968905,76722.2239988804,76279.4896097791,75622.5561447585,82349.3482583781,76670.5351622187,75382.082681714,75730.6862203049,76752.0639858359,75035.1028209673,74116.7855845794,74464.4927188284,76216.4605784218,75788.6259822678,76004.0201020121,75708.4365062495,76952.4263811031,76919.1511285835,76579.1925029711,76322.5051119124,75089.3187736018,76073.4245034474,76502.8151172125,75870.4447928409,75341.3031092878,76972.7464227425,74976.6417300441,74856.7417371247,74570.7471347131,77033.3992047456,74386.3086051404,74788.0400362767,74264.1897026077,76241.9910084119,74655.9217979514,76451.6478471354,75428.7742242587,73740.4868619777,74297.1023831132,74200.7484454989,73527.7703803093,72870.9905700557,73149.2666411906,79608.2042897105,69948.3553914837,74175.5453667244,72306.572256499,73528.1260243412,73117.1154528311,77905.8523489952,80530.0738317324,76153.816494293,77088.7174683185,75184.8574901908,75454.0512710262,79354.6119181875,78437.4408755992
2017-01-10 17:00:00,76869.5,77281.3475324762,76583.9006679285,78065.4927376403,76615.2778333009,76069.0934997347,75545.3946127798,77286.6745671931,77058.9427205525,77121.6755533878,77950.1852521354,77363.2878773212,76251.2952042257,76970.0397598461,77642.4736812563,76171.4719561621,75924.850700081,77431.9953744172,76962.7140282476,76114.2117537577,78916.4422120858,79257.3009904039,79526.9827559068,81626.9163633953,79360.265655705,79739.3868194635,79060.4571435921,79374.6463860221,78081.1542368605,77950.5430852964,77717.9384113143,78284.0857614328,77915.4959579728,78972.7825853059,78427.6699020199,78011.6347003558,77966.4309079467,84089.8826794265,78307.8566582978,77113.3319977032,77480.4653946649,78524.0928742513,76807.1317093827,75888.8144729948,76211.6776229838,77913.1215591466,77502.7151087203,77768.5905774165,77456.866431339,78724.4552695185,78691.1800169989,78335.4859731032,78499.5834481207,76861.3476620172,77776.0489904275,78248.9568445337,77613.1675793275,77276.4647605181,78744.7753111579,76748.6706184595,76628.7706255401,76342.7760231285,78805.428093161,76158.3374935558,76560.0689246921,76036.2185910231,77988.5075777755,76427.9506863668,78216.2524426465,77572.359543139,75512.5157503931,76069.1312715286,75972.7773339143,75299.7992687247,74508.3120661348,74921.295529606,82095.4078253518,71585.6768875628,75947.5742551398,74061.7531282118,75165.4475204202,74754.4369489101,79677.8812374106,82302.1027201478,77845.4533918628,78860.7463567339,77411.7451888847,77200.8031126741,81105.4507141717,80278.7181082858,78167.2658066244
2017-01-11 11:00:00,78078.5,76145.3713522383,77441.9647672368,76122.2931316498,75445.5655293312,74921.8666423763,76863.9004079541,76448.7228083299,76751.371543507,77326.6572817319,76729.9347651291,75627.7672338222,76321.2046432842,76793.3628948076,75547.9439857586,75301.3227296775,76806.4888579906,76540.5258588225,75490.6837833543,78060.8711829105,78401.7299612287,78671.4117267315,81225.7700477269,78504.6946265297,78883.8157902882,78204.8861144167,78519.0753568468,77534.7886554659,77302.7882963113,76848.1306424496,77776.3570605816,77545.9619033399,78117.2115561306,77736.017524556,77155.0308926203,77595.6248296678,83363.1417840537,77684.3286878943,76222.9565965312,76624.0518033439,77668.521845076,75893.0995892842,75033.2434438195,75478.2862445041,77230.2541040974,76646.4736152861,76864.6218245481,76564.7531070785,77868.8842403432,77835.6089878236,77479.9149439279,78086.4910267227,75983.2739053914,76918.4319769052,77393.3858153584,76738.5833095044,76912.4111696136,77889.2042819826,75838.7221413592,76234.2035238803,75487.2049939532,78019.2929856846,75501.9202873427,75704.4978955168,75180.6475618478,77153.0641247027,75572.3796571915,77360.6814134712,77193.9797180015,74656.9447212177,75213.5602423533,75117.206304739,74444.2282395494,73884.7840957313,74065.7245004307,81738.281970785,70962.1489171593,75092.0032259645,73320.3657821746,74541.9195500168,74130.9089785067,78822.3102082353,81446.5316909724,77464.7584938555,78005.1753275586,77039.5894428041,76284.7980021993,81151.5288322695,79878.6720383916,77713.1186739503,76948.7545156001
2017-01-12 11:00:00,75841,77073.0673133521,75661.1804920388,75076.6680754465,74552.9691884916,76174.6264851851,76079.8253544452,76152.2182443823,76957.7598278472,76359.3052338734,75214.3349804008,75952.3071893995,76222.3525461153,75179.0465318739,74932.4252757928,76414.4524628234,75863.4336886188,75121.7863294696,77436.1923573147,77777.0511356328,78046.7329011357,80514.8682813873,77880.0158009339,78259.1369646924,77591.6541580208,77894.396531251,77008.0488635938,76933.8908424266,76223.4518168538,77218.6645300459,76873.6220679919,77647.6133091254,77367.1200706713,76619.6439266172,76924.5570179658,82994.244330169,77315.4312340096,75598.2777709354,75999.3729777481,77043.8430194802,75270.7737720919,74448.899925953,75109.3887906193,76861.3566502127,76021.7947896903,76239.9429989523,75940.0742814827,77244.2054147474,77210.9301622278,76855.2361183321,77401.7429913085,75358.5950797956,76293.7531513094,76997.2767552808,76113.9044839086,76234.5908705372,77450.742572121,75315.4873748523,75550.9999896625,74914.1156220857,77343.7944439192,75175.1148139567,75079.819069921,74773.3584123164,76784.166670818,75021.0286022376,76903.0664974762,76530.4856531581,74233.1076548767,74588.8814167575,74701.1175113137,73992.1871911412,73515.8866418466,73441.0456748349,81053.5339353709,70593.2514632746,74660.8347474901,72951.4683282899,74173.022096132,73762.011524622,78197.6313826395,80821.8528653767,76785.1868065296,77380.4965019628,76369.8712989038,75680.6866854438,80727.9540127818,79245.6607374793,77067.8857904189,76744.8543503694,75400.1369029598
2017-01-13 11:00:00,76602.75,74972.7158653183,73374.5185848565,72795.1251882671,74813.1481784976,74743.977822303,75272.3810745384,75970.6983870173,75225.122000381,73638.9982107268,73341.1461822761,75655.9477867691,74120.3112912259,73491.5091671187,74547.9747584423,75083.3351886099,73055.8648909152,75386.552923388,76461.6149656609,75997.093467209,79201.7102287137,75857.5531530746,77251.1084393736,75926.9591563736,76500.7614428059,76333.1418671194,75077.0523623594,74170.4196862635,76424.4220964914,75990.9443729751,75442.8932966081,75157.8634411314,75277.005907701,76130.3145844113,81630.8122979105,74677.477074063,74491.2081073148,74327.203416374,75356.9952686029,74896.6280102206,73447.9263815988,72898.3342811886,75120.2195495495,74275.4681532271,75022.6265938038,74440.3381834806,75194.5659808207,75161.2907283011,75500.1437251638,76607.500557754,74741.0476913211,74239.8930813834,75762.5708252185,74999.5481385002,75433.420700645,75640.2919546543,74409.9137457111,74756.757556108,73175.2263237462,76549.5520103647,74753.7545957241,73791.676382138,73571.7550786207,75118.2478084302,74596.8035819107,74686.3631539487,75671.6896453036,73139.0230726595,73007.4245033967,73266.5396404484,72879.1587305386,72041.6626533493,72530.9702418847,80261.1282157903,67955.297303328,72417.684966442,70531.863839514,71850.9726624259,72201.0936460298,76147.9919487128,78772.2134314499,75961.824811016,75330.8570680361,75514.1447113314,73610.4797426768,80367.0045964801,78023.89350655,76273.6433568644,76069.947353895,74530.0960030788,76079.3796344374
2017-01-14 18:00:00,64873.5,62873.3365494521,62316.9169473244,63654.3006536213,63875.602885811,63997.7162059067,64761.2245141136,64145.8498115307,62995.0503591104,63743.0481010556,64038.0057276933,62967.4817089269,62696.3730346256,64238.8613205018,63781.3482311186,62939.1175307858,64703.0728157915,65043.9315941097,65777.6445762668,67975.8546059515,65584.139235699,65983.7085170834,65355.6019168536,65510.0934711965,64662.3819656395,64721.70758668,63986.3003049481,65155.8601260218,64707.1653410101,65411.5610679582,65131.0678295041,64395.2579838648,64852.1642326877,70758.1920890018,65079.3789928424,63241.8231776662,63640.0033264583,64625.3044090455,63045.2802806915,62212.8476847858,62885.0551909509,64667.014256309,63405.1273564737,63833.2724597096,63696.658304999,64837.0150721849,64892.93439202,64504.2287419062,65319.6575338083,63235.070493853,64061.2976612026,64808.8951716275,63791.2230727703,64152.505413037,65214.6903309538,63134.6878952665,63480.5181442534,62678.0633809185,65263.6039796086,62828.0038943606,62728.3268379374,62537.3061711492,64576.8880131703,62784.9763610704,64697.8386012594,64410.0818456432,61997.0554137095,62153.5793949136,62465.0652701465,61756.134949974,61279.8344006794,61105.0846583013,68971.4484778707,58357.1992221074,62424.7825063229,60715.4160871227,61936.9698549648,61525.9592834547,65744.9547367904,68088.7333238535,64683.8313678328,65035.9897713238,64247.7538495414,63433.5137504787,67763.4557488112,66736.0504826043,64994.6578623934,64440.191114261,63192.3069561497,64817.9808940352,63302.8157329527
2017-01-15 18:00:00,62288.5,59870.8790208115,61032.3507847031,61225.6199179544,61267.9503440558,62168.3402568138,61515.600450951,60359.8291671717,61089.0057632438,61378.6477631929,60331.4649890306,60088.7204928704,61570.747679901,60634.170635911,60277.4026491957,61088.2172457832,62405.2228704438,63169.9920345116,63895.9759321668,62976.4866939438,63376.0559753282,62747.9493750984,62902.4409294413,61683.821483155,62116.7048304685,61350.2751698895,61787.6054421096,61538.1972697755,62803.908526203,62523.4152877489,61775.9391436948,60825.8612087235,68150.5395472466,62471.7264510872,60603.1000445057,60998.4285205762,62038.578253328,60387.3978173552,59605.1951430306,60265.6840076969,62073.098309539,60764.0243764278,61214.0726775558,61046.6481118661,62254.0680887773,62285.2818502648,61898.0332379529,61943.0607231551,60437.6277389363,61423.7653083385,62220.6325703892,61135.3955593004,60714.3920637445,62607.0377891986,60461.68213279,59796.2449890925,60070.4108391633,61860.2123722694,60000.4717294721,60120.6742961822,59929.653629394,61975.6051378648,60177.3238193152,62090.6580826542,60525.5453431942,59389.4028719543,59545.9268531584,59857.4127283913,59148.4824082188,58672.1818589242,58318.9530380965,63756.8587121561,55749.5466803522,59817.1299645677,58107.7635453675,59329.3173132096,58918.3067416995,63137.3021950352,64611.535579565,61631.2087787466,62428.3372295686,60584.6544143945,60797.4748147185,65155.803207056,63765.4708846565,61453.6451194474,61183.5705310151,60555.3657405332,60912.200786295,60232.9632925241,61844.4812468939
2017-01-16 18:00:00,75850.75,76536.6598108408,76752.3039678204,76763.851208219,77706.5715470784,76991.876409712,75869.6962792952,76584.8794021307,76888.5064601541,75815.6339394603,75608.6421294279,77076.4285600401,76141.3313347703,75803.9152979615,78135.7699215736,78518.527905118,78788.2096706208,80593.8327388593,78621.492570419,79000.6137341775,78321.684058306,78635.8733007361,77324.8597321354,77654.9361207331,76883.1391147601,77581.2370765969,77053.8317412156,78342.1398164677,78061.6465780135,77271.8288365096,77181.6485298952,83688.7708375112,78009.9577413518,76196.9977290924,76505.4419683902,77785.3197889653,75898.0604574363,75143.4264332952,75771.1945827887,77611.3295998036,76572.0292719007,76943.7219768681,76570.5820749677,77985.5979435416,77938.3463110083,77612.4483061005,77654.0839454839,76009.8975331735,76979.8699753921,77764.1960269557,76748.0396051999,76460.9514596808,78145.2690794632,75975.8590292009,75761.456682273,75538.7030197367,78065.9290482087,75467.8849196586,75689.1776010808,75395.6440186559,77513.8364281294,75658.9055864468,77628.8893729188,76683.0684612735,74927.6341622189,75234.0042486283,75355.3612548323,74686.7136984835,74210.4131491888,74182.52244432,81310.6254473004,71287.7779706168,75334.4762793571,73645.9948356321,74867.5486034743,74456.5380319642,78939.1081521246,81563.3296348618,77108.9789701656,78103.0794572498,76496.6985895856,76339.7545404205,80694.0344973206,79470.6966787286,77428.4927213385,76673.626849565,76063.7766334588,77042.278318459,75889.9975402541,77382.7125371585,77325.8367323742
