"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-08 11:00:00,69831,61893.4118066385,64127.9532904325,65088.5649103524,65504.3413896617,65735.6277750495,66229.0154244891,66396.6627222632,66479.3826952516,66585.99668308,66707.6823982959,66723.2472569562,66854.4598910634,66938.2611001155,66976.3262774446,67018.2605722227,67049.7069257359,67081.3718326684,67105.1811879334,67229.9612064587,67259.9714145137,67330.6758734084,67445.1483398768,67457.3267063728,67484.9257748793,67508.4308738443,67625.5600097974,67657.4051972305,67698.620668477,67761.0203552627,67785.7039803917,67798.3861497045,67840.5576017287,67906.7326764503,67926.277761419,67953.5146567003,67977.0101397321,68009.9868682482,68037.0945641492,68075.8313782655,68112.3188785061,68136.7968606536,68171.2017640248,68192.7892624004,68242.1591599411,68337.1946842307,68369.4274934482,68412.4348098572,68432.7227752449,68457.3873353501,68482.1622543424,68497.5475419355,68534.8017362331,68603.267243339,68667.3790097883,68692.2348590226,68760.1571540129,68799.021225977,68836.0898808111,68904.1763427972,68918.3890102013,68943.2669798627,68968.6166050027,68991.44706582,69023.8278111219,69060.6674645492,69068.5645916759,69105.5702918714,69207.1474491466,69233.1212135726,69253.5324822368,69264.9676329304,69332.9353828144,69427.1305175414,69567.1334691195,69582.1116739103,69620.7212668382,69709.49775278,69758.3142506136,69848.05566822,69874.0652175882,69980.6082102757,70026.7624735084,70203.0010392686,70315.0143691364,70598.1794395715,70849.3048583543,71852.1090021737,72232.2173620453,72721.7666214979,73460.1507269132
2016-07-09 11:00:00,57518.25,52575.7633515337,54810.3048353277,55770.9164552476,56186.6929345569,56417.9793199447,56911.3669693843,57079.0142671584,57161.7342401468,57268.3482279752,57390.0339431911,57405.5988018514,57536.8114359586,57620.6126450107,57658.6778223398,57700.6121171179,57732.0584706311,57763.7233775636,57787.5327328286,57912.3127513539,57942.3229594089,58013.0274183036,58127.499884772,58139.678251268,58167.2773197745,58190.7824187395,58307.9115546926,58339.7567421257,58380.9722133722,58443.3719001579,58469.9252545225,58494.3445474766,58553.6862542696,58604.8470896938,58624.3652096752,58647.9384615588,58679.6111338622,58707.7844115938,58721.2244863705,58786.5707227598,58802.0457480634,58838.2553150541,58862.6131341628,58895.9186880866,58975.7307207444,59039.5003139229,59068.5943496948,59111.0059405724,59128.2756094127,59150.9285184416,59167.24104036,59201.6559124244,59247.4544465321,59320.8934415904,59355.6310745798,59409.1566603573,59475.7582122044,59492.3929040559,59552.1574057448,59591.7609229732,59611.7453660464,59643.8082397815,59658.969918436,59687.2879342717,59734.2043158733,59743.2821605952,59771.5206118374,59840.5939120408,59911.3979852837,59923.3516992024,59941.6249685079,59974.4087242649,60057.7734882493,60235.8235346883,60254.9119543856,60278.3518234923,60330.9142306386,60424.9368640407,60515.0935552147,60530.4072131152,60556.4167624834,60662.9597551709,60709.1140184036,60885.3525841638,60997.3659140316,61280.5309844667,61531.6564032495,62534.4605470689,62914.5689069405,63404.1181663931,64142.5022718084
2016-07-10 11:00:00,51765.75,47027.7780270837,49262.3195108777,50222.9311307976,50638.7076101069,50869.9939954947,51363.3816449343,51531.0289427084,51613.7489156968,51720.3629035252,51842.0486187411,51857.6134774014,51980.2485391157,51997.2989474208,52091.5833657104,52140.1462363829,52171.001998498,52193.9106806584,52233.4958940273,52271.8570949298,52391.1698422003,52445.267900008,52542.5092473,52587.2346016673,52597.7530285562,52630.2436814585,52691.5788510046,52783.4934943307,52812.5100990374,52870.8479588478,52900.785573048,52932.7523701497,52974.9238221739,53041.0988968955,53060.6439818642,53087.8808771455,53111.3763601773,53144.3530886934,53171.4607845944,53210.1975987107,53246.6850989513,53271.1630810988,53305.5679844699,53327.1554828456,53376.5253803863,53471.5609046759,53503.7937138934,53546.8010303024,53567.0889956901,53591.7535557953,53616.5284747876,53631.9137623807,53669.1679566783,53737.6334637842,53801.7452302335,53826.6010794678,53894.5233744581,53933.3874464222,53970.4561012563,54043.7755985232,54063.7600415964,54095.8229153315,54110.984593986,54139.3026098217,54186.2189914233,54195.2968361451,54223.5352873874,54292.6085875908,54363.4126608337,54375.3663747524,54393.6396440579,54426.4233998149,54509.7881637993,54687.8382102383,54706.9266299356,54730.3664990423,54782.9289061886,54876.9515395906,54967.1082307647,54982.4218886652,55008.4314380334,55114.9744307209,55161.1286939536,55337.3672597138,55449.3805895816,55732.5456600167,55983.6710787995,56986.4752226189,57366.5835824905,57856.1328419431,58594.5169473584
2016-07-11 11:00:00,71612,61848.6852823208,64083.2267661149,65043.8383860348,65459.6148653441,65690.9012507319,66184.2889001715,66351.9361979455,66434.656170934,66541.2701587624,66584.0005752134,66677.4187294405,66776.3316767308,66809.6439865413,66892.5846399744,66931.3671832391,66973.4378644085,67004.8542828721,67036.3746195779,67060.4162042096,67184.0662537123,67215.2186914691,67285.8828875667,67400.2370236149,67412.5527966998,67439.9043463407,67463.5363799156,67580.056341285,67612.5714887849,67653.6950043545,67716.141613271,67742.5083314439,67767.0452672567,67826.2860869536,67877.743381644,67897.0417979257,67920.6800768296,67952.225732012,67980.4414104002,67994.1380142172,68059.4751832428,68074.9371493595,68111.0555638877,68135.5305035095,68168.6379772528,68247.9588127097,68312.2710202815,68341.2669460353,68383.9166633987,68400.9824734724,68423.6156978249,68440.1583942372,68474.4301033526,68519.8716512285,68593.3245470149,68628.5048992186,68681.8124944015,68748.5857782774,68765.0069915454,68825.8841264488,68873.6624858837,68898.5404555451,68923.8900806851,68950.554079375,69007.1262466605,69016.2040913823,69044.4425426246,69113.515842828,69184.3199160709,69196.2736299896,69214.5468992951,69247.3306550521,69330.6954190365,69508.7454654755,69527.8338851728,69551.2737542795,69603.8361614258,69697.8587948278,69788.0154860019,69803.3291439024,69829.3386932705,69935.8816859581,69982.0359491908,70158.274514951,70270.2878448188,70553.4529152539,70804.5783340367,71807.3824778561,72187.4908377277,72677.0400971803,73415.4242025956
2016-07-12 11:00:00,69969.5,64686.1640507506,66920.7055345446,67881.3171544645,68297.0936337738,68528.3800191616,69021.7676686012,69189.4149663752,69272.1349393637,69378.7489271921,69421.4793436431,69514.8974978702,69613.8104451605,69647.122754971,69730.0634084041,69768.8459516688,69810.9166328382,69842.3330513018,69873.8533880076,69897.8949726393,70021.545022142,70052.6974598988,70123.3616559964,70237.7157920446,70250.0315651295,70277.3831147704,70301.0151483453,70417.5351097147,70450.0502572146,70491.1737727842,70553.6203817007,70579.9870998736,70604.5240356864,70663.7648553833,70715.2221500737,70734.5205663554,70758.1588452593,70789.7045004417,70817.9201788299,70831.6167826469,70896.9539516725,70912.4159177892,70948.5343323174,70973.0092719392,71006.1167456825,71085.4375811394,71149.7497887112,71178.745714465,71221.3954318284,71238.4612419021,71261.0944662546,71277.6371626669,71311.9088717823,71357.3504196582,71430.8033154446,71465.9836676483,71519.2912628312,71586.0645467071,71602.4857599751,71663.3628948785,71711.1412543134,71736.0192239748,71761.3688491148,71788.0328478047,71844.6050150902,71853.682859812,71881.9213110543,71950.9946112577,72021.7986845006,72033.7523984193,72052.0256677248,72084.8094234818,72168.1741874662,72346.2242339052,72365.3126536025,72388.7525227092,72441.3149298555,72535.3375632575,72625.4942544316,72640.8079123321,72666.8174617003,72773.3604543878,72819.5147176205,72995.7532833807,73107.7666132485,73390.9316836836,73642.0571024664,74457.8956674518,74739.1551662909,75230.5479658997,76020.1467530658
2016-07-13 11:00:00,69064.5,62993.8172673606,65228.3587511546,66188.9703710745,66604.7468503838,66836.0332357716,67329.4208852112,67497.0681829853,67579.7881559737,67703.8530544532,67810.7445390418,67823.6527176783,67946.2877793926,67963.3381876977,68057.6226059873,68106.1854766598,68137.0412387749,68159.9499209354,68199.5351343042,68237.8963352067,68335.9923917847,68360.3506765088,68431.0148726064,68545.3690086546,68557.6847817395,68585.0363313804,68608.6683649553,68725.1883263247,68757.7034738246,68798.8269893942,68861.2735983107,68887.6403164836,68912.1772522964,68971.4180719933,69022.8753666837,69042.1737829654,69065.8120618693,69097.3577170517,69125.5733954399,69139.2699992569,69204.6071682826,69220.0691343992,69256.1875489274,69280.6624885492,69313.7699622925,69393.0907977494,69457.4030053212,69486.398931075,69529.0486484384,69546.1144585121,69568.7476828646,69585.2903792769,69619.5620883923,69665.0036362682,69738.4565320547,69773.6368842583,69826.9444794412,69893.7177633171,69910.1389765851,69971.0161114885,70018.7944709234,70043.6724405848,70069.0220657248,70095.6860644147,70152.2582317002,70161.3360764221,70189.5745276643,70258.6478278677,70329.4519011106,70341.4056150293,70359.6788843348,70392.4626400918,70475.8274040762,70653.8774505153,70672.9658702125,70696.4057393192,70748.9681464655,70842.9907798676,70933.1474710416,70948.4611289421,70974.4706783103,71081.0136709978,71127.1679342305,71303.4064999907,71415.4198298585,71698.5849002936,71949.7103190764,72765.5488840618,73046.8083829009,73538.2011825097,74327.7999696758
2016-07-14 11:00:00,69773.75,62710.6276772193,64945.1691610133,65905.7807809332,66321.5572602425,66552.8436456303,67046.2312950699,67213.8785928439,67296.5985658324,67420.6634643119,67527.5549489005,67540.463127537,67663.0981892513,67680.1485975564,67774.433015846,67822.9958865185,67853.8516486335,67876.760330794,67916.3455441629,67954.7067450654,68052.8028016434,68077.1610863675,68147.8252824651,68262.1794185133,68274.4951915982,68301.8467412391,68325.478774814,68441.9987361834,68474.5138836833,68515.6373992529,68578.0840081694,68604.4507263423,68628.9876621551,68688.228481852,68739.6857765424,68758.9841928241,68777.9061187034,68794.1330615857,68827.1719368969,68854.2753552175,68892.3426502877,68929.3892910716,68953.6951016776,68988.2072461613,69009.7481310513,69058.9520852656,69154.1217156763,69186.5217279149,69229.3160754264,69249.8562829092,69274.5760614568,69299.327333167,69314.4526824921,69351.8134366627,69420.1694669467,69484.5185731023,69508.9963518999,69576.8382612313,69616.2273867146,69653.0481315832,69726.5408650339,69746.5045000108,69778.578753835,69793.6642887672,69844.7345105202,69878.1464862807,69906.384937523,69975.4582377264,70046.2623109693,70058.216024888,70076.4892941935,70109.2730499505,70192.6378139349,70370.6878603739,70389.7762800712,70413.2161491779,70465.7785563242,70559.8011897262,70649.9578809003,70665.2715388008,70691.281088169,70797.8240808565,70843.9783440892,71020.2169098494,71132.2302397172,71415.3953101523,71666.5207289351,72482.3592939205,72763.6187927596,73255.0115923684,74044.6103795345
2016-07-15 11:00:00,69397,61919.1516607852,64153.6931445792,65114.3047644991,65530.0812438084,65761.3676291962,66254.7552786358,66422.4025764098,66505.1225493983,66629.1874478778,66736.0789324664,66748.9871111029,66871.6221728172,66888.6725811223,66982.9569994119,67031.5198700844,67062.3756321994,67085.2843143599,67124.8695277288,67163.2307286313,67261.3267852093,67285.6850699334,67356.349266031,67470.7034020792,67483.0191751641,67510.370724805,67534.0027583799,67650.5227197493,67683.0378672492,67724.1613828188,67786.6079917353,67812.9747099082,67837.511645721,67896.7524654179,67948.2097601083,67967.50817639,67986.4301022693,68022.6921104763,68050.9077888645,68064.6043926815,68129.9415617071,68145.4035278238,68181.521942352,68205.9968819738,68239.1043557171,68318.425191174,68382.7373987458,68411.7333244996,68454.383041863,68471.4488519367,68494.0820762892,68510.6247727015,68544.8964818169,68590.3380296928,68663.7909254792,68698.9712776829,68752.2788728658,68819.0521567417,68835.4733700097,68896.3505049131,68944.128864348,68968.3118175797,68987.1027374009,69002.1882723331,69053.2584940861,69086.6704698466,69114.9089210889,69183.9822212923,69254.7862945352,69266.7400084539,69285.0132777594,69317.7970335164,69401.1617975008,69579.2118439398,69598.3002636371,69621.7401327438,69674.3025398901,69768.3251732921,69858.4818644662,69873.7955223667,69899.8050717349,70006.3480644224,70052.5023276551,70228.7408934153,70340.7542232831,70623.9192937182,70875.044712501,71690.8832774864,71972.1427763255,72463.5355759343,73253.1343631004
2016-07-16 11:00:00,57093.25,52181.6877664168,54416.2292502108,55376.8408701307,55792.61734944,56023.9037348278,56517.2913842674,56684.9386820415,56767.6586550299,56891.7235535094,56998.615038098,57011.5232167345,57134.1582784488,57151.2086867539,57245.4931050435,57294.055975716,57324.9117378311,57347.8204199915,57387.4056333604,57425.7668342629,57523.8628908409,57548.221175565,57618.8853716626,57733.2395077108,57745.5552807957,57772.9068304366,57796.5388640115,57913.0588253809,57945.5739728808,57986.6974884504,58049.1440973669,58075.5108155398,58100.0477513526,58159.2885710495,58210.7458657399,58230.0442820216,58248.9662079009,58285.2282161079,58313.4438944961,58327.1404983131,58392.4776673388,58407.9396334554,58444.0580479836,58468.5329876054,58501.6404613487,58580.9612968056,58645.2735043774,58674.2694301312,58716.9191474946,58733.9849575683,58756.6181819208,58773.1608783331,58807.4325874485,58852.8741353244,58926.3270311108,58961.5073833145,59014.8149784974,59081.5882623733,59098.0094756413,59158.8866105447,59206.6649699796,59230.8479232113,59249.6388430325,59264.7243779647,59315.7945997177,59349.2065754783,59377.4450267205,59446.5183269239,59517.3224001668,59529.2761140855,59547.549383391,59580.333139148,59658.3744059067,59715.4064773197,59855.4094288978,59870.3876336886,59908.9972266165,59997.7737125583,60044.8482000724,60131.9074380515,60155.2504693556,60268.884170054,60315.0384332867,60491.2769990469,60603.2903289147,60886.4553993498,61137.5808181326,61953.419383118,62234.6788819571,62726.0716815659,63515.670468732
2016-07-17 11:00:00,51650.25,47336.4538716137,49570.9953554077,50531.6069753276,50947.3834546369,51178.6698400247,51672.0574894643,51839.7047872384,51922.4247602268,52046.4896587063,52153.3811432949,52166.2893219314,52274.8625752602,52297.4125758341,52380.3532292672,52419.1357725319,52461.2064537013,52492.6228721649,52524.1432088707,52548.1847935024,52612.9956678305,52699.7803025733,52753.2236546735,52850.0826068816,52895.8567018065,52906.354690421,52938.8608292486,52999.5688106663,53092.1168151885,53120.9026942038,53179.0030750651,53209.4452752044,53241.417434278,53283.2317504679,53349.3421409466,53369.2683152539,53396.5003047884,53416.7864366726,53452.9981312913,53480.1015496119,53518.1688446821,53555.215485466,53579.521296072,53614.0334405557,53635.5743254457,53684.77827966,53786.7530093564,53829.0355353281,53871.6852526915,53888.7510627652,53911.3842871177,53927.92698353,53962.1986926454,54007.6402405213,54081.0931363077,54116.2734885114,54169.5810836943,54236.3543675702,54252.7755808382,54313.6527157416,54361.4310751765,54385.6140284082,54404.4049482294,54419.4904831616,54470.5607049146,54503.9726806751,54532.2111319174,54601.2844321208,54672.0885053637,54684.0422192824,54702.3154885879,54735.0992443449,54813.1405111036,54870.1725825166,55010.1755340947,55025.1537388855,55063.7633318134,55152.5398177552,55199.6143052693,55286.6735432484,55310.0165745525,55423.6502752509,55469.8045384836,55646.0431042438,55758.0564341116,56041.2215045467,56292.3469233295,57108.1854883149,57389.444987154,57880.8377867628,58670.4365739289
