"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-01 11:00:00,69959.25,60048.6821403398,65271.4881266924,65774.9388143157,66040.8631223719,66334.7972931671,66392.2834904982,66638.3413529063,66700.4043982272,66750.9334828199,66950.0867490682,67011.8303598521,67029.1942926946,67075.4490410685,67297.3685658496,67333.0501845765,67482.7995886183,67505.1307141916,67513.6428235476,67591.8123953952,67637.3770679381,67689.673707825,67786.6169119885,67846.9533721165,67882.7011932579,67949.0814467402,68013.243533145,68046.0220063984,68076.8993671026,68244.5517387638,68296.2951495791,68333.7805726437,68389.5713982798,68429.1607345394,68476.1596746324,68495.5661908757,68547.6268460756,68646.7850244831,68656.6530585872,68712.7641700455,68793.6702691202,68830.8535340099,68878.3071417453,68909.526903882,68949.9214885923,68973.4297161795,68995.7139323627,69018.8326645015,69039.4432588773,69080.7158759189,69193.2019022741,69227.0129341465,69287.5549018259,69325.9140094188,69358.6075175619,69480.5960762308,69511.6729072654,69532.0426425517,69605.7832096572,69736.4609269616,69772.2613986483,69803.5025587619,69820.1659306617,69838.4214002237,69860.9409036927,69910.6717832922,69976.876924468,70022.5363581562,70053.5721120562,70125.452798729,70220.7228493041,70293.8869311808,70320.7358763924,70444.3974269966,70557.2386309266,70693.957854999,70809.3127683015,70995.4964328968,71062.5012863196,71165.2844363941,71242.9805776865,71361.5778093153,71590.8727531223,71731.680921313,71886.1381100243,71960.2091345924,72464.1873320712,72764.5558527249,73108.4717120236,73473.5771621675,75553.6151082615
2016-07-02 11:00:00,58278.25,50690.4742239268,55913.2802102795,56416.7308979027,56682.6552059589,56976.5893767541,57034.0755740852,57280.1334364933,57342.1964818143,57392.7255664069,57591.8788326552,57653.6224434391,57670.9863762816,57717.2411246555,57939.1606494366,57974.8422681635,58124.5916722053,58146.9227977786,58155.4349071347,58233.6044789822,58279.1691515251,58331.465791412,58428.4089955756,58488.7454557035,58524.4932768449,58590.8735303272,58655.035616732,58687.8140899855,58718.6914506897,58886.3438223508,58938.0872331661,58975.5726562307,59031.3634818669,59070.9528181264,59117.9517582194,59137.3582744627,59189.4189296626,59288.5771080701,59298.4451421742,59354.5562536326,59435.4623527072,59472.6456175969,59520.0992253323,59551.318987469,59591.7135721793,59615.2217997665,59637.5060159498,59660.6247480886,59681.2353424643,59722.5079595059,59834.9939858611,59868.8050177335,59929.3469854129,59967.7060930059,60000.3996011489,60122.3881598178,60153.4649908524,60173.8347261387,60247.5752932442,60378.2530105486,60414.0534822353,60445.2946423489,60461.9580142487,60480.2134838107,60502.7329872797,60552.4638668792,60602.5621268915,60653.6752476139,60676.1916798791,60711.2440886753,60828.4197743005,60888.6714105173,60962.5279599794,61086.1895105836,61199.0307145136,61335.749938586,61451.1048518885,61637.2885164838,61704.2933699066,61807.0765199811,61884.7726612735,62003.3698929024,62232.6648367094,62373.4730049,62527.9301936113,62602.0012181794,63105.9794156582,63406.3479363119,63750.2637956106,64115.3692457545,66195.4071918485
2016-07-03 11:00:00,50776,45584.4093349226,50807.2153212752,51310.6660088985,51576.5903169547,51870.5244877499,51928.010685081,52174.0685474891,52236.13159281,52286.6606774027,52485.813943651,52547.5575544349,52564.9214872774,52611.1762356513,52833.0957604324,52868.7773791593,53018.5267832011,53040.8579087744,53049.3700181305,53127.539589978,53172.1295746288,53210.6864040545,53232.0807369689,53354.0347665042,53396.3833464245,53443.2669469992,53528.7472939719,53568.0729535917,53596.3253883811,53699.7420324458,53817.8934572394,53849.0834557239,53883.8424303644,53952.5203061248,53994.3926253418,54017.4952828308,54039.9581435781,54152.1982057582,54187.1476757331,54216.6425263006,54292.5053419219,54350.6237118012,54379.837592498,54440.9098261816,54464.515738084,54495.2372762103,54517.4320566521,54546.1853807294,54567.4486088383,54579.4620979336,54682.2603972809,54752.5416256361,54788.5749483385,54845.0231734936,54869.2285453747,54958.6009522897,55034.4194429873,55052.375835709,55101.586042308,55191.9792318981,55294.8668733202,55330.7140454794,55345.5327694352,55367.1113556328,55386.1810743234,55407.0249474119,55493.1164896463,55512.1203603772,55558.1777203376,55589.2514425742,55660.4343672101,55756.3703841083,55855.6696371937,55881.8587911057,56020.1094680539,56212.8240216701,56303.6851449301,56469.1494346507,56548.9795758324,56691.973323528,56732.350040247,56820.1483108771,57002.8735978636,57170.4982805071,57300.1894856651,57425.2218339603,57982.6124820002,58147.753287097,58349.4106163278,58721.4142403489,60805.2684535452
2016-07-04 11:00:00,68712.25,57812.4886593123,62962.7995914137,63439.1554754419,63682.6044766526,64058.0061029896,64124.6331947568,64242.0831639493,64457.213344464,64475.8314496826,64572.8119962668,64749.4944249475,64780.4111383038,64824.8788823818,64959.1770607462,65089.3177239471,65168.4460592189,65264.235170154,65272.9219986388,65319.7991620852,65391.6985546188,65401.2253952791,65453.4296713005,65549.1412270581,65610.3559498239,65646.2022707869,65712.3590279917,65776.927939042,65809.7198234389,65840.5292624088,66007.6791844739,66060.0145360271,66097.3710923163,66152.7454910322,66192.8225306567,66239.9180584025,66259.1706434701,66310.6633000288,66410.5519518178,66420.4037409298,66476.2775452213,66557.2544722749,66594.5431839389,66641.5638478662,66673.3135265803,66713.6449926138,66737.0598712078,66759.2168341418,66782.4677384885,66803.1956084512,66843.6888820263,66956.6130275148,66990.6869811365,67051.1237588308,67089.6275890171,67121.8404761066,67244.2121363071,67275.4569357738,67295.5796383584,67369.3627243784,67499.9101879411,67535.7445653773,67567.2505356678,67583.8166001495,67602.1015897703,67624.7166528396,67673.7704145832,67724.5157605448,67775.5614260367,67797.9403558194,67832.6846542143,67949.9710339254,68009.6568312467,68084.5012490077,68207.7991230297,68319.430849013,68456.827726893,68571.6294945167,68759.145418252,68825.1159786652,68928.7669776098,69006.370553406,69124.2434924585,69354.2552718261,69495.2145826333,69649.9352570957,69718.2962827379,70226.3553780171,70527.9122424939,70871.4640110921,71220.1668821267
2016-07-05 11:00:00,70952.5,60844.9964201468,65995.3073522482,66471.6632362764,66715.1122374871,67090.5138638241,67157.1409555913,67274.5909247838,67489.7211052985,67508.3392105171,67605.3197571013,67782.002185782,67812.9188991383,67857.3866432163,67991.6848215807,68121.8254847816,68200.9538200534,68296.7429309885,68305.4297594733,68352.3069229197,68424.2063154533,68433.7331561136,68485.9374321349,68581.6489878926,68642.8637106584,68678.7100316214,68744.8667888262,68809.4356998765,68842.2275842734,68873.0370232433,69040.1869453084,69092.5222968616,69129.8788531508,69185.2532518667,69225.3302914912,69272.425819237,69291.6784043047,69343.1710608633,69443.0597126523,69452.9115017643,69508.7853060558,69589.7622331094,69627.0509447734,69674.0716087007,69705.8212874148,69746.1527534483,69769.5676320423,69791.7245949763,69814.975499323,69835.7033692857,69876.1966428608,69989.1207883493,70023.194741971,70083.6315196653,70122.1353498516,70154.3482369411,70276.7198971416,70307.9646966083,70328.0873991929,70401.8704852129,70532.4179487756,70568.2523262118,70599.7582965023,70616.324360984,70634.6093506048,70657.2244136741,70706.2781754177,70757.0235213793,70808.0691868712,70830.4481166539,70865.1924150488,70982.4787947599,71042.1645920812,71117.0090098422,71240.3068838642,71351.9386098475,71489.3354877275,71604.1372553512,71751.1645438669,71809.1339026089,71952.4952116083,71992.4149285183,72079.9236882651,72261.9983617777,72429.9440768859,72682.4430179302,72750.8040435724,73258.8631388516,73560.4200033284,73903.9717719266,74252.6746429612
2016-07-06 11:00:00,71140,61528.8322885428,66679.1432206442,67155.4991046724,67398.9481058831,67774.3497322201,67840.9768239873,67958.4267931798,68173.5569736945,68192.1750789131,68289.1556254973,68465.838054178,68496.7547675343,68541.2225116123,68675.5206899767,68805.6613531776,68884.7896884494,68980.5787993845,68989.2656278693,69036.1427913157,69108.0421838493,69117.5690245096,69169.7733005309,69265.4848562886,69326.6995790544,69362.5459000174,69428.7026572222,69493.2715682725,69526.0634526694,69556.8728916393,69724.0228137044,69776.3581652576,69813.7147215468,69869.0891202627,69909.1661598872,69956.261687633,69975.5142727006,70027.0069292593,70126.8955810483,70136.7473701603,70192.6211744518,70273.5981015054,70310.8868131694,70357.9074770967,70389.6571558108,70429.9886218443,70453.4035004383,70475.5604633723,70498.811367719,70519.5392376817,70560.0325112568,70672.9566567453,70707.030610367,70767.4673880613,70805.9712182475,70838.1841053371,70960.5557655376,70991.8005650043,71011.9232675889,71085.7063536089,71216.2538171716,71252.0881946078,71283.5941648983,71300.16022938,71318.4452190008,71341.0602820701,71390.1140438137,71440.8593897753,71491.9050552672,71514.2839850499,71549.0282834448,71640.888677088,71700.7136779499,71800.0924289667,71825.035456814,71963.9187292093,72157.2219796282,72247.857994253,72406.3880893659,72475.3315138652,72540.2677812688,72644.7866290835,72722.2976393834,72839.4462858597,73070.1749007878,73220.0280295918,73434.6399119684,73942.6990072476,74244.2558717244,74587.8076403226,74936.5105113572
2016-07-07 11:00:00,69126.25,60583.1719133108,65733.4828454122,66209.8387294404,66453.2877306512,66828.6893569881,66895.3164487553,67012.7664179478,67227.8965984625,67246.5147036811,67343.4952502653,67520.177678946,67551.0943923023,67595.5621363803,67729.8603147447,67860.0009779456,67939.1293132174,68034.9184241525,68043.6052526373,68090.4824160837,68162.3818086173,68171.9086492776,68224.1129252989,68319.8244810566,68381.0392038224,68416.8855247855,68483.0422819902,68547.6111930405,68580.4030774374,68611.2125164073,68778.3624384724,68830.6977900256,68868.0543463148,68923.4287450307,68963.5057846552,69010.601312401,69029.8538974687,69081.3465540273,69181.2352058163,69191.0869949283,69246.9607992198,69327.9377262734,69365.2264379374,69412.2471018647,69443.9967805788,69484.3282466123,69507.7431252063,69529.9000881403,69553.150992487,69573.8788624497,69614.3721360248,69727.2962815133,69761.370235135,69821.8070128293,69860.3108430156,69892.5237301051,70014.8953903056,70046.1401897723,70066.2628923569,70140.0459783769,70216.5433984057,70293.5778217023,70329.3658132796,70344.20114265,70365.8183782234,70384.7927739826,70405.4649265579,70491.8508755355,70510.3991800919,70556.8544663243,70587.9661568975,70653.8985108047,70720.1911121633,70779.3110705891,70855.143356649,70978.0775540889,71088.4998021255,71226.5743338129,71340.822955758,71488.8472075669,71546.8766373253,71690.6055076284,71730.0682247293,71817.287473593,71998.7115336317,72166.9782812045,72423.5561974044,72981.2691338823,73144.7833454461,73344.8510852777,73717.3948276404
2016-07-08 11:00:00,69831,59763.3159400316,64913.626872133,65389.9827561612,65633.4317573719,66008.8333837089,66075.4604754761,66192.9104446686,66408.0406251833,66426.6587304019,66523.6392769861,66700.3217056668,66731.2384190231,66775.7061631011,66910.0043414655,67040.1450046664,67119.2733399382,67215.0624508733,67223.7492793581,67270.6264428045,67342.5258353381,67352.0526759984,67404.2569520197,67499.9685077774,67561.1832305432,67597.0295515062,67663.186308711,67727.7552197613,67760.5471041582,67791.3565431281,67958.5064651932,68010.8418167464,68048.1983730356,68103.5727717515,68143.649811376,68190.7453391218,68209.9979241894,68261.4905807481,68337.1962574663,68365.9944588408,68395.1233529251,68470.7730966541,68529.2836446025,68558.5714377473,68619.7376114971,68643.0307240477,68674.01483925,68696.3311335744,68725.0743071364,68746.2428689372,68758.3284289153,68860.5578512584,68931.3521596903,68966.992354768,69023.682866635,69048.0632165774,69136.582724703,69213.1083071567,69231.1731388217,69279.9334539405,69347.5163577107,69450.3802106674,69486.2484938531,69518.0192743205,69534.488031384,69552.8025410637,69575.5131637333,69623.8898076211,69675.282239532,69726.2604497934,69748.5018770935,69782.9380650872,69875.1446881422,69935.11766966,70034.5759186084,70058.272820391,70197.7886882334,70391.680635455,70482.0915414445,70640.5870544462,70709.6576317367,70773.5596061307,70883.6460753923,70997.4315003138,71178.8555603525,71347.1223079253,71603.7002241252,72161.4131606031,72324.9273721669,72524.9951119985,72897.5388543612
2016-07-09 11:00:00,57518.25,50654.6738679175,55804.9848000189,56281.3406840471,56524.7896852578,56900.1913115948,56966.818403362,57084.2683725545,57299.3985530692,57318.0166582878,57414.997204872,57591.6796335527,57622.596346909,57667.064090987,57801.3622693514,57931.5029325523,58010.6312678241,58106.4203787592,58115.107207244,58161.9843706904,58233.883763224,58243.4106038843,58295.6148799057,58391.3264356633,58452.5411584291,58488.3874793921,58554.5442365969,58619.1131476472,58651.9050320441,58682.714471014,58849.8643930791,58902.1997446323,58939.5563009215,58994.9306996374,59035.0077392619,59082.1032670077,59101.3558520754,59152.848508634,59228.5541853522,59257.3523867267,59286.481280811,59362.13102454,59420.6415724884,59449.9293656332,59511.095539383,59534.3886519336,59565.3727671359,59587.6890614603,59616.4322350223,59637.6007968231,59649.6863568012,59751.9157791443,59822.7100875762,59858.3502826539,59915.0407945209,59939.4211444633,60027.9406525889,60104.4662350426,60122.5310667076,60171.2913818264,60238.8742855966,60341.7381385533,60377.606421739,60409.3772022064,60425.8459592699,60444.1604689496,60466.8710916192,60515.247735507,60566.6401674179,60617.6183776793,60639.8598049794,60674.2959929731,60730.6718935761,60791.2298910095,60925.9338464943,60949.6307482769,61089.1466161193,61283.0385633409,61373.4494693304,61531.9449823321,61601.0155596226,61664.9175340166,61775.0040032782,61888.7894281997,62070.2134882384,62238.4802358112,62495.0581520111,63052.771088489,63216.2853000528,63416.3530398844,63788.8967822471
2016-07-10 11:00:00,51765.75,45174.0062686141,50324.3172007155,50800.6730847437,51044.1220859544,51419.5237122914,51486.1508040586,51603.6007732511,51818.7309537658,51837.3490589844,51934.3296055686,52085.4275129538,52136.8603737032,52154.3620171577,52200.6529581441,52421.6475220405,52458.3102011817,52607.2824794281,52630.404244367,52638.9154875054,52716.7908492118,52761.723731502,52799.7511656717,52821.5962479195,52943.5804917535,52985.91442742,53032.5986085011,53117.8716859769,53157.421023441,53185.7375405609,53288.0136434259,53407.1965975001,53438.4396038183,53473.3098948213,53541.9968247436,53583.5557197,53607.0212912235,53629.526123908,53710.2313934374,53772.0299694819,53781.8655136017,53837.5020107263,53918.549765759,53955.9439241972,54002.5316443165,54034.8112396079,54075.0795869645,54098.4011165654,54120.4308262502,54143.8139028048,54164.6590483545,54204.3729784631,54317.7352430848,54352.0721184558,54412.403706165,54451.0522589445,54482.7845249806,54605.5392867128,54636.9520546116,54656.8277244945,54730.6533294289,54806.6615029465,54884.3605469996,54920.0893579949,54934.9412927799,54956.5971777291,54975.4762505568,54995.9766826189,55082.6570383397,55100.7497767216,55147.6029892262,55178.7526481359,55235.9009147507,55285.6073762901,55363.221587618,55445.9365655952,55568.5070864528,55677.7198565427,55816.4720420377,55930.167518304,56079.1887334061,56137.2782341809,56281.3746657878,56373.5487388908,56589.545888935,56757.8126365078,57014.3905527077,57572.1034891856,57735.6177007494,57935.685440581,58308.2291829437
