"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-12-31 17:00:00,58511,52960.1718433024,51545.1627125884,49771.2364247428,57610.058219001,53436.7307814811,56418.9969192226,53020.1340027757,53214.653566835,52421.9091037543,54461.1835161829,53905.4203543662,52884.1314312341,54982.7412144768,52817.1410383057,52273.6506526697,52043.3648998326,54372.6406936336,53675.120411998,53561.2232290739,54648.7814157013,53344.0287559286,52460.4475158577,53281.6925135706,54486.5551129322,52263.4321376718,52157.9022323633,54384.862897057,52769.0697604512,52713.3728851924,55255.2775696356,54960.1938026185,52096.2524392392,55356.6654152957,53722.5307381103,53968.5422666393,54209.3197961997,53867.4161054524,52607.4758951016,53623.3235187667,52945.330365936,53473.4309512506,53098.5906291964,54904.9965535044,53769.6562112409,53034.609033122,52391.2714831815,58782.0550249441,49272.7417396564,52352.3081961505,51544.5048493362,53529.6205161307,51390.1900350252,51255.8540963274,51903.542709412,54153.2500722265,52689.9810793918,53314.7197673287,52991.3217435697,54185.2629532244,54101.3487692805,53144.506909132,53514.6578774445,51771.5539467879,53168.9410629026,53860.2879295504,52907.5106790328,52808.864448302,54368.2092489179,52004.5124852209,51448.0723637664,52133.5845158891,53945.4883597836,51597.9370138555,52211.5347590086,52107.2376262021,54287.9424471033,51878.0893040262,54505.5615514401,52553.3769497128,51325.7841758784,51651.1057496961,52058.1224474459,51135.7571491264,50775.8189749604,50696.108577206,56118.6222646855,47920.1207932236,50981.3541615263,50524.4799503218,53079.7970220262
2017-01-01 18:00:00,55528.25,45706.5349241339,46739.7812657708,52350.581763827,49087.9292686641,50663.3654004237,48174.4189207047,47374.1170623157,47361.3821419709,48666.359515596,48161.6920039797,47089.3074306472,49187.9172138899,47054.3403473138,46478.8266520828,46908.2678806242,48001.513584042,47880.2964114111,47766.399228487,48853.9574151144,47519.8957667418,46665.6235152708,47608.6056352059,47799.7524953391,46533.2194881735,46855.3323489511,48590.0388964701,46974.2457598643,46918.5488846055,48566.7085796691,48985.8015434232,47758.5333106598,49561.8414147088,47991.1992921811,48122.5523716175,48220.3280142435,47619.5300726505,47455.845831192,47828.4995181797,47512.0542541714,47960.9125245608,47285.5170219893,49110.1725529175,47974.832210654,47225.3100021888,46596.4474825946,52896.7909078018,46043.3018019056,47336.5284717328,46599.9524754972,47734.7965155438,47377.8715960937,45858.8697840151,47289.2671975131,48358.4260716396,47450.3988945122,47486.8685129837,47491.2759583866,48954.5454256266,48862.934154096,47303.7666286095,47714.3517060352,46695.1799144988,47660.1642260774,48065.4639289635,47112.6866784459,47414.4314759878,48573.385248331,46320.6732500491,45872.3042284966,46338.7605153022,48150.6643591967,46306.6147690723,47576.3237626545,46312.4136256152,48493.1184465164,46971.244187644,48710.7375508532,46758.5529491259,46457.0288724258,47111.3346698271,46816.165070717,45340.9331485395,44980.9949743735,46135.3963605366,49911.1946642623,44394.2634126084,45448.6518165544,45841.2925330853,48103.8585162113,48318.9166853135
2017-01-02 17:00:00,70463.5,69238.8796775141,77291.7265820524,73394.7884944546,76145.6268027866,73021.2149140273,73254.5976355761,72342.5226181911,74268.3661252788,73600.0719552515,73315.9708633007,74672.2623750854,72497.7119971051,72186.3744137634,71472.155737992,74949.9036679569,73410.8944907089,74092.8331291831,74609.7539678143,73574.285434206,72095.8543126398,72636.5843156738,75013.8523948086,72634.1855051595,72288.2064765169,73982.3781569717,73109.6996377777,72157.624332163,75601.4055037935,75245.39312361,72713.0500717773,75127.7668141072,74137.7402487324,74552.7636104052,74785.0411315961,74395.8220385038,72601.2184628392,73665.1346019966,73048.6528402364,73945.7918612713,73084.7995795736,74850.5314973747,73772.1444247946,73210.3742640028,72737.4641404142,79152.211701175,69913.9534408314,72406.0142291229,71813.8578318482,73726.8279225347,71421.6624535137,71123.3991597684,71679.855802101,73832.579693722,72887.6661771019,73637.2661791499,73171.904198967,74001.098766569,73884.4632305495,73530.9288708175,73449.1515148748,72143.8754910746,73465.0112478041,73894.7064593717,72834.060136529,72809.3894385658,74029.9096435188,71746.0995293402,72057.4271375186,72239.8277678682,74508.6278066274,71477.3220898222,72562.2300375059,71596.9500987272,73923.4903895021,71958.0532278404,74200.0020300663,72919.1458215795,70875.8696050818,71887.0654104926,71639.4848508267,71097.5840567263,70731.7565948115,71337.320278381,75931.6162536067,67387.7640459948,70481.9682432715,70360.1325713107,72487.7772555469,72966.0730159041,77723.7296809687
2017-01-03 17:00:00,74107.25,75152.5042734437,71640.6753634253,74211.2198805496,71527.7931511449,71525.5532722946,70592.442858824,72524.7286978958,71899.5418120106,71574.357367265,72918.8933305306,70805.5417794276,70450.4550232072,70281.8072515193,73158.9938527753,71721.4789729842,72354.9158055986,72870.0281908145,71856.2172570933,70416.4859725614,71289.1578057066,73216.6754134366,70920.8800848097,70549.5267309613,72280.8987788209,71407.7660346326,70643.718930514,73512.2755259367,73431.2287149309,70957.7718630098,73339.0956051237,72364.9275505379,72822.3569039741,72989.2193815811,72583.4170090244,70882.6971459086,71957.8032162625,71333.5490920895,72241.0066621198,71488.0558457285,73112.0899204129,72033.7264426426,71469.2002727368,71624.323006115,76882.6474490311,67594.8585658299,71021.3685106083,70056.0934676314,71987.8554490651,69813.1404437121,69387.3867231474,69965.6862585233,72098.6627476571,71216.5133059252,71917.5333956643,71435.7223007879,72301.3919554508,72154.7277267112,71785.6943641366,72314.9864520884,70421.1630066294,71769.0988093873,72207.0185966135,71122.7460063216,71061.237688809,72323.6439418212,70016.0875108835,70408.1834310737,70506.5655413235,72705.4236808102,70223.6290486739,70810.8271411773,70066.843717847,72219.4285281988,70206.9759845432,72462.6472114023,71669.31948587,69544.8193601166,70138.9213035023,70038.6209602462,69202.746928647,68790.9855820887,69568.9967822606,75258.4706379749,65960.4633923325,68772.763876231,68650.4301552197,71170.5584370045,71703.8607809321,74777.0408343019,77390.4954655757
2017-01-04 11:00:00,73758.75,73136.6280948536,75701.1114518485,73457.5301657043,72889.3111094305,72120.9729352715,74124.9101948265,73612.6367378429,72952.9726193795,74593.1055475455,72545.9893914186,72007.7718986045,71743.1079229563,74531.6291556021,73352.0188407508,73679.8812927034,74248.9453429746,73214.4955541761,72165.4727373515,72912.3780633416,74654.0493472892,72272.7256051753,71907.3966009895,74095.5900339382,72903.6005996874,72376.6682711411,75166.7401953428,74827.2292681022,72346.5217467723,74746.1824570964,73777.6009535678,74184.98193298,74427.0436625784,74020.3774229757,72261.9457616333,73334.5716474795,72670.3858267869,73759.7975880399,73220.2843150721,74473.9475949408,73461.2845102201,72840.5070144601,73356.4067796322,78569.7347427933,69281.945859592,72122.3005027937,71453.8750456678,73348.6801848081,71500.2277374743,70978.9675088189,71612.6178990312,73804.293800053,72917.0032527584,73272.756958428,72784.1540149023,73895.1029288004,73732.6429787678,73171.1709992588,74051.9851473286,71857.5786028867,73100.6481063021,73534.8769246209,72625.2315722633,72604.4114408265,73985.385741531,71645.7523500454,72095.2707248358,71864.4804731268,74232.7102157075,71805.7623595957,72197.6508880741,71802.8497250339,73908.412030424,71599.1154471052,74194.9040274886,73425.5849104006,71045.9878975095,71521.9297267087,71771.3306805571,70692.3955513977,70269.3095121408,70926.9349324156,77169.8069015776,67664.9503550426,70477.2508389411,70107.4571513628,72762.5802524022,73212.4352148334,76024.5160704134,78705.4492077412,74674.5481133587
2017-01-05 17:00:00,73153,75802.8892373181,73711.0737605008,72048.3203430186,72073.0184019772,72962.8692529058,72448.0219283095,72603.8871936025,73374.6033800886,72257.7809302849,71140.5733961782,70598.580450513,74106.012011558,72721.9222618409,72983.7979367251,73451.2817755587,72972.7767957389,71200.5997364917,71763.9364021092,73989.8997455964,72163.1192723816,71329.037409771,72887.4444488193,73061.5108003243,71232.1407986978,74274.818618145,74605.1200592899,71505.5309803604,74718.3895446345,72837.0359834959,73322.9524353035,73637.5668417238,73174.4134174312,72409.1574996511,72431.7661920161,71829.395060375,73859.627841503,73333.0533401276,73553.265298342,72578.417835979,72298.9861804724,73539.6697608581,78727.6449434302,69439.856060229,71300.9332109009,71336.0818154062,72993.6589238637,71658.1379381112,70685.7183781411,70477.8794444655,73583.4951110376,73074.9134533953,72933.277266346,72368.083808606,72770.0093973567,72628.6907024648,72939.5128967898,74185.062149055,72015.4888035236,72243.0617851409,73378.194515709,71924.5055536228,72762.3216414635,73762.277127177,71644.0809768926,72253.1809254728,71023.4897067149,74388.5020971948,72098.610645848,71356.6601216622,71445.2621053153,72907.247140382,71556.377005725,72974.2142356683,73514.3169802691,70063.4183113598,70680.9389602968,70755.3743587273,70437.0601273275,69264.9485578422,70953.8428841669,77462.6551878298,66520.4228825993,69332.7233664978,69102.6990092053,71618.0527799589,72030.9848109627,75231.2384936774,77864.4584413293,74766.7973260471,74356.8261047863
2017-01-06 18:00:00,69877.25,64507.4098603867,62492.2345399902,62853.2654020058,63701.401608933,63194.2653821872,63422.8109401838,64188.6773770375,63075.7520163078,61960.8040137878,61343.4581214829,64628.9497189816,63328.3953329234,63783.8337874065,64225.7661419266,63654.3842087039,62020.8303541013,62513.2029316485,64570.3446790349,62708.5935864514,62142.0959201137,63623.9281710837,63623.1156319058,61960.4389365788,64599.3629962531,65160.9556673332,61695.7415442654,65536.0955362372,63216.5219945435,64138.4830584498,64425.0938531205,63988.4527358234,62850.1684176452,62909.0815748082,62315.8648048479,64635.0813564852,63862.0959732575,63983.0613268294,63306.4287578278,62742.9070553065,64356.6776237508,69127.9627436053,60155.2406792745,62106.4911011991,61780.4674623999,63426.6217667976,62099.7080203791,61391.5793826365,61196.3885644689,64079.1796109632,63516.0892004354,63751.2649231125,63186.1839498507,63502.287831327,63295.8676491175,63384.8185866977,64927.1473735703,62494.2572041816,62443.6036905106,63932.3347127346,62424.1425381189,63265.7145274775,64230.36061473,62442.1243908842,62694.8375557782,61819.980210201,65027.8315932867,62907.0688196664,62082.5483705877,62254.9146673295,63709.0134983306,62360.5313925371,63720.2783350217,64049.395944339,60883.6489289694,60923.5912793511,61575.6049763369,61177.3448854056,59853.0801775785,61456.4623483573,67609.828376412,57248.7210204803,60061.0215043788,59691.2278168005,62346.3509178399,62795.5492476168,66426.9057411675,67869.3241037881,66036.0929133351,65206.3159184212,65235.9970598826
2017-01-07 18:00:00,65873.5,64144.3670663263,63405.5069765249,65364.2980538113,64884.0585471116,63846.2185334063,65862.0930894736,63830.523432672,63292.3059398579,63027.6419642097,64745.8185514735,64619.1056887329,64509.9036598215,65519.3160816343,64273.591315851,63450.0067786049,64192.9979158059,64787.8310216125,63221.9497726232,63156.7657999025,65258.3115136967,63734.8595227686,63661.2023123945,65517.5642763106,65632.2387822987,62657.1104544619,65954.5952947014,64636.5528820042,64819.4109658743,64934.3010832625,64336.6888462257,63546.4798028867,64583.6546242184,63936.5171222949,64385.2097080536,64047.1142936555,65692.7743611411,64695.446140469,63980.008364853,63362.5409626253,67932.116065593,60182.8117813351,63295.8894368175,62529.8774568595,64496.9692560868,62389.0687913681,62263.5015500723,62897.1519402846,65017.1770200212,63632.7399344775,64213.9663074642,63967.1790961586,65088.8278413064,64944.0914389611,64101.6718293655,64419.9421055915,62751.7930056122,64122.0273287112,64787.076731177,63909.7656135167,63794.562783391,65192.9460716774,62930.2863912988,62455.5461527459,63127.0087496648,64897.1707790963,62566.031684462,63175.4055881704,63087.3837662873,65179.6369700538,62789.7342960097,65403.275749365,63486.5236791143,62330.5219387629,62624.3546551668,63055.8647218105,61976.9295926511,61553.8435533942,61065.6192488658,66561.4519321675,58949.484396296,61761.7848801945,61391.9911926162,64011.8374902506,64460.0463246594,66738.0610028663,69720.9785114611,64855.6224332747,66150.4578482603,64061.8599435909,65434.372447416
2017-01-08 18:00:00,61566.75,61341.0736523111,63193.8781894829,62754.9776416605,61781.7852091925,63661.1479488843,61766.0901084582,61227.8726156441,60963.2086399959,62631.0128162552,62519.2213000046,62432.535931873,63369.9391232022,62149.5329832504,61385.5734543911,62079.9337421125,62445.4703356077,61157.5164484094,61092.3324756887,63128.5127474636,61670.4261985548,61596.7689881807,62491.2577488001,63454.8827574205,60592.6771302481,63809.0666757862,62554.6723645191,62722.6434069632,62832.7374548825,62209.1579916372,61482.0464786729,62489.6444936133,61872.0837980811,62293.3100953263,61982.6809694418,63612.7689391373,62572.1195577904,61915.5750406392,61298.1076384115,64673.6276786525,58118.3784571213,61542.672760095,60465.4441326457,62395.6130004456,60324.6354671543,60199.0682258585,60832.7186160708,62879.6581147473,61568.3066102637,62128.5645915921,61902.7457719449,62952.7436958074,62869.8677590487,62037.2385051517,62320.7763838398,60687.3596813984,62057.5940044974,62681.3852272597,61845.3322893029,61730.1294591773,63115.20364584,60865.853067085,60391.1128285321,61062.575425451,62819.6252228978,60742.5342583351,61121.5740812155,61022.9504420735,63024.3945170926,60725.3009717959,63299.8647295975,61422.0903549005,60266.0886145491,60559.921330953,60991.4313975967,59912.4962684373,59489.4102291804,58736.1667036014,64086.0245240465,56885.0510720822,59697.3515559807,59327.5578684024,61947.4041660369,62355.5087813777,64497.0186079537,67656.5451872473,60353.3752691566,63890.1619704876,61997.4266193771,63338.8424251512,65768.3801484824
2017-01-09 17:00:00,76084,78008.251611677,77602.3822711766,76637.4465615117,78540.8868130977,76583.7779582727,76107.6114798575,75842.9475042093,78216.987831861,77369.3833578267,77406.2898668989,78218.5812893646,77008.3034558055,76220.8125165245,76927.5153250229,78263.8917642234,76037.2553126228,75972.0713399021,77994.9425100534,76472.9860276436,76446.4888642134,78956.6843646254,78617.1734373848,76062.6697744579,78688.8055399997,77428.5418532693,77805.7027848788,78005.5383157832,77629.6266093439,76301.8292191139,77325.2091998211,76719.9911981499,77264.9631872588,76811.9488052959,78334.6216216339,77434.4112287325,76766.7047975866,76303.5229130176,81274.7523839099,72998.1173213347,76111.1949768171,75345.1829968591,77235.2476455911,75204.3743313677,75078.8070900719,75712.4574802842,77749.6066232621,76361.7853428863,76959.6726063259,76734.9290819748,77759.3969789608,77712.4763190959,76869.1476178804,77173.0489595397,75567.0985456119,76885.839581253,77510.7516804686,76659.1630147796,76549.4537579651,77904.133381306,75745.5919312984,75460.563071245,75942.3142896644,77688.3149204725,75381.3372244616,75990.71112817,75902.6893062869,77832.4825600208,75605.0398360093,78073.6170536963,76334.6505015249,75145.8274787626,75439.6601951664,75871.1702618101,74792.2351326507,74369.1490933938,74716.8791016982,79572.4453598429,71764.7899362956,74577.0904201941,74207.2967326158,76794.0549409004,77200.5152480532,79449.2598528324,82536.2840514608,77549.6449270875,78769.900834701,77316.8467240863,78179.6035938109,80648.1190126959,78536.126626379
