"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,65559.5,64900.9220884421,65800.2442144288,64585.8002819167,63868.7423278215,63417.9285466664,64733.6478128137,64029.3524705668,64364.8591234289,65599.0622849832,62053.7185331209,61686.9425325952,68905.0767707674,65246.6160218469,65014.7622345024,65942.4976331189,65746.9193752855,66288.9044717404,65438.6160165025,64293.3305218247,64058.1648480584,64560.1894210359,64125.2046009812,65224.394617318,66150.2221094771,64802.0089023084,63881.595846362,64708.0911670965,63417.4089208208,63113.4135818528,64152.6440607669,63734.1642920734,62647.4978567766,63558.3245946148,64780.8856474648,64072.2781400511,64334.3048142322,63289.3529398334,64951.9692414138,65650.9206746073,64525.0764185037,64553.0823176973,63518.0947062706,64872.4934113764,65191.9476359677,65330.8124148033,64795.710895578,65460.1218052133,62983.245249751,64496.5596442609,63695.7102566583,64465.9465645064,64143.384858698,63537.5766024168,63812.6170823289,65298.6720277276,64496.4783382363,66083.3118917776,64449.9828317946,65848.3379063708,65741.8673229709,68736.8608735383,71096.7035112363,70047.1319324536,61281.1775630035,63883.0355908821,58144.8063671512,65877.5688298604,63163.9039417657,64407.6292759649,65125.9802282517,63460.7589371201,64243.3324437651,67049.5257792879,67750.720547775,63949.394064806,63831.6838449073,62458.6959601324,67881.5025859324,65539.8489208995,70667.3527004064,65164.7721454345,65190.9954523822,63311.181908416,64929.1274740639,62757.0874781323,65072.7472589319,65519.7368308464,64585.6869927307,64517.4754149514,64839.0420950336
2017-01-22 18:00:00,63096.5,63943.58723691,62768.5516645634,62033.1232437601,61604.1019596013,62908.152931669,61903.0015038578,62550.9722984461,63166.2760612774,60197.0615556021,59830.2855550764,66472.2905470616,63163.0989292252,62924.228669946,64085.8406556001,63734.8075241683,64432.2474942216,63552.5720325358,62477.6478367134,61955.9601048101,62268.5476234624,62295.9870832481,63397.681936576,64293.5651319583,62202.4572956908,61454.5249308972,62862.8847181935,61189.5521809844,61307.2469642469,62372.7694280439,61830.588932326,60790.8408792578,61766.8624014176,62982.3851175148,62109.3894481108,62508.2021459101,61422.0378834718,63119.3862675211,63794.2636970885,62639.8213607175,62226.1126645697,61701.667617096,63045.855189427,63340.2933515408,63480.8955751522,62829.3677215431,63642.2997053737,61126.5882722322,61164.1495329477,61867.8736673402,62089.7778705642,61839.0532791395,61661.4377287518,61975.0268673885,63454.3878945975,62660.8184374326,64226.6549142588,62191.8704299208,63991.680928852,63885.2103454521,66880.2038960195,69036.0735115737,68015.7537052015,58117.005412581,60716.383045511,55712.0201434454,64020.9118523416,61356.0956996741,62588.4068231868,63288.6331151008,61648.414492775,62419.2685153727,65192.8688017691,64478.9985738751,60773.4894881215,62012.0853503027,60602.0389826136,65307.9847660572,63240.4774621889,66976.0933444761,63311.1851438625,62876.9908352949,61561.2715691476,62851.4341895777,60900.4305006135,62132.3150771885,63666.3510490644,62135.1275433912,62729.1433043979,63015.8765275031,61256.756604334
2017-01-23 18:00:00,77123.75,75671.2813892421,74742.5999569777,74278.6433454096,75772.8509064269,75174.5516151234,75005.6195101592,77004.7959992318,72702.3165078862,72280.6018416354,80310.810485016,76652.3497360955,76420.495948751,77099.0514311403,76923.1998690254,77224.296344175,76715.0660895986,75736.6118324829,75461.3430873167,75039.269933106,74976.88854215,75904.7041811565,77389.5435810795,75287.2643020574,74796.9197868086,75362.9549632657,74494.6865113616,73815.6343749537,74825.4042998184,75203.2708849907,73693.0036154091,74554.8747694301,75748.7218021484,75514.7250694851,75126.1193966554,74078.1635111163,76145.355536596,76394.471890416,75801.5279038002,75008.1613771561,74346.9683259953,75872.0112370385,75922.282368915,76519.5944833602,75618.1805776472,76176.6006419364,73576.9045587912,74572.7757718824,74318.1899538992,75231.3486993204,74598.4990299272,74642.0312112319,74455.136994559,76210.815467877,75418.4163385518,76797.7325903184,74847.6534443797,76628.2854156541,76822.149993206,79618.6823324778,81812.6486663603,80736.0475064043,71646.6923104675,74120.3901501251,70678.3350391253,76544.1706509291,74038.4611531143,75040.2473405138,75835.1044447661,74514.5181063464,75444.5785080798,78303.74903789,78686.520832316,74252.3750153776,74462.4016368617,73052.3552691726,78093.3293760985,76128.7528418505,81318.401817152,76329.4691536023,75697.706773802,74126.288418503,75591.1185594781,73350.7467871725,75278.1426724816,76185.1238107273,76012.3468216057,75182.9538483007,75473.9016715522,74590.2963047385,75613.4152157842
2017-01-24 11:00:00,78217,76983.26420258,76648.2793880986,77203.2609379404,77326.5897229203,76689.5161830591,77944.3182210176,74318.2456323707,73951.469631845,81250.3327068018,77596.6759590571,77764.5067811037,78287.2064570728,78819.7905132458,79613.267059825,78792.5716099554,76931.9711429269,77256.3372570576,78029.3434022328,76595.9800148073,77817.7549627633,78705.6456698644,77874.7528763596,76954.0728620438,77122.3133663718,76581.4170691188,76266.10719545,76879.4099755513,76719.838120998,76023.7112123999,75999.3874846676,77375.2980912709,76600.139135741,77448.3464029651,76429.360054962,77398.2538139493,78008.5436630521,77699.292880609,78272.1290533658,76864.8539778228,77197.3636821612,78211.5315371888,77709.1625924147,77983.1922567846,77994.9791844767,75771.128604758,77655.0772558854,76047.7991767587,77447.2531658014,77479.4213606981,77177.7393121346,76741.1394538948,77609.5800265433,77334.3003141436,78357.1505537794,77349.4821753227,78384.4960555514,78066.645045001,81001.3879727881,84106.8369906727,82946.6312759817,74793.7909492234,77051.2038424215,72852.6081013323,78168.7424243745,75477.2797764427,76739.3721521522,77608.4311447832,75769.5985695436,76588.5206672087,80836.1641659812,81827.0331598499,77116.3126120749,76133.2694270713,75479.6450224803,81018.3110307359,78676.657365703,84743.6653124813,78329.7806778843,78327.8038971857,76510.5957787089,78499.9939650507,75868.378357262,78209.5557037354,77874.4957974026,76990.87481944,76869.2894246879,77150.5991980919,77155.314150992,77318.0609900471,76964.0329863568
2017-01-25 11:00:00,77808.75,77489.8854458115,78312.6337039015,78682.2272942596,77410.1082434565,79297.5361689457,75006.8789056382,74161.3731011703,82603.5506547299,78949.8939069852,78862.4961349762,79727.6564117921,80335.8568921351,80083.9712503034,79972.7818857555,78144.1831636291,78502.2498730878,79001.2864041281,77941.852240367,78902.3988412377,79843.870276075,79328.7232349066,78470.9926863467,77672.2293869894,78106.4872207797,77301.0054697092,78285.9317659693,77552.967512915,77003.417796404,77119.6337997982,78347.5822532499,77830.9054894198,78517.887462668,77758.8688301165,78428.7478379619,78693.8925711537,79073.5206476217,79152.6780994358,78070.2837445136,78153.085364575,79232.2859854098,78825.4314899669,79411.3580366827,79205.9571413901,77288.8786667592,78888.5488966039,77216.2672091318,78937.5148813651,78633.6792548571,78167.4849087952,78262.0242827724,79028.8544553234,78781.5593590461,79261.8285610626,78567.695037298,79644.8187823492,79114.8901629199,81911.4225021917,85622.903369562,84031.0894715428,75934.0523866963,78535.9104145749,73154.959895009,78889.9679479281,76718.5136145826,77045.8852895815,78214.1478962232,76810.2090662083,77743.7577955757,82076.6564664819,82471.7412266782,78602.2688884988,76867.3964776789,76811.3349095084,82534.3774096252,80192.7237445923,85388.3733793096,79608.3850252072,79803.2728359621,77594.881724567,79491.3281529068,76938.1853229536,79672.6120868774,78711.8675792512,78293.0853989311,78203.157588712,77850.5518764957,78482.8876696906,78004.1923008886,77117.8497130147,79863.6380953851
2017-01-26 18:00:00,77819,77157.2799020483,77144.21407774,76757.3291162894,77866.2653942311,74446.1885259814,74079.4125254557,81172.2798800153,77518.6231322706,77352.6549196851,78403.5865462702,78846.391715018,78687.8382122353,78483.3167086384,76668.395485752,76993.4224925735,77473.859984397,76517.6745938417,77653.63489373,78554.7218655534,77839.2580577895,76949.563848224,77112.0116885728,76580.8185673965,75820.4384781432,76772.5591056553,76042.0164234719,75581.1857634089,75960.4549435639,77231.5120878941,76372.6566814253,77012.7846959707,76253.2488387629,77345.6269703793,78077.7514053888,77584.0554705046,77663.2129223187,76514.7271237715,77294.9821598063,77742.8208082927,77737.522920154,77921.8928595656,77911.3299574437,75800.3809385786,77373.0309578591,76101.9489330202,77412.9336641206,77112.8037113817,76654.717986512,76713.6924115949,77706.834439889,77272.1472222389,78485.0934473901,77046.4452374578,78258.027847881,78194.5879386117,81129.3308663988,84133.4381924449,82744.5269901797,74444.5872095792,77028.4222855509,71887.5339593612,78296.6853179852,75647.7118218314,76800.0992688254,77542.266729738,75886.7699509432,76635.8024366256,80250.1728236011,81118.6815352243,77078.2298601809,76242.0153732453,75359.1886051275,81044.9122325081,78703.2585674752,84035.3136878557,78118.9198480901,78313.807658845,76070.8771829659,78001.8629757897,75451.5040131664,78183.1469097603,77951.69165613,76805.1381752761,76909.9454078119,77265.0034978824,76981.5275092296,77384.1144967534,77017.6786349427,78374.172918268,77511.821227011
2017-01-27 08:00:00,76199.75,76087.3315666686,75737.7457454646,76608.4584824554,72911.2211002699,72544.4450997442,79189.145846535,75940.1685104872,76335.1540292793,77122.0798356956,77730.2803160386,79050.9274447287,77646.0182354225,75649.6470855019,76259.2612705045,76522.4352554712,75334.1559903495,76319.277523165,77507.9759932008,76723.1466588101,75800.9153593648,76764.5494900044,75491.9068719116,75468.0547198843,75666.6921154046,76333.9474818724,75194.7304763439,74961.7272075241,75861.0253030407,75486.5744839842,76031.0404176139,75395.3273585782,77040.4899375819,76915.0116582801,76636.8612737856,76733.5204284357,75628.9720720603,75787.0286708014,76839.4048053749,76687.0216960031,76805.7814605862,76600.3805652936,74794.4711476143,76256.9195588797,75010.2441596368,76296.8222651412,75996.6923124023,75689.7497311124,75651.6292566876,76423.2778792269,76320.3340601604,76950.1260216786,75930.3338384784,77272.0759300899,76659.6205129002,79594.3634406873,83017.3267934655,81580.7280064247,73870.0956978861,75912.3108865715,72494.8442249649,76761.7178922737,74281.9382471378,75849.3692688878,77171.855609227,74559.3854362354,75101.6044090147,80120.2582237296,80503.0300181556,76057.4674069904,74884.0547592248,74652.8255024827,79928.8008335287,77587.1471684958,83278.1008926017,77235.2204769304,77197.6962598656,75790.5966546475,77203.9036249423,75101.3855268672,77067.0355107809,76506.0477870691,74992.6088591533,75587.5522493743,76297.0135983952,76364.9488206559,75875.8070594801,76271.8686697178,77258.0615192886,76395.7098280316,75566.8061083018
2017-01-28 18:00:00,66129.75,65248.1341486811,65860.9591747838,62962.2346787773,62595.4586782516,69166.973660568,65991.1820889946,65679.0062462579,66919.6326990661,66518.4848438092,67203.8843650312,66353.1516388213,65152.6179875221,64668.174627033,64987.9595920327,65004.0787671744,66180.9163764746,67070.7680183493,64900.3349090608,64296.3311219976,65631.1368535822,64020.0956729107,64107.6030440473,65047.7697981147,64595.7620555012,63643.7421950197,64532.0355245928,65713.2692443949,64821.1754115023,65229.0251436187,64218.8271360535,65866.9890464066,66593.7975581847,65320.4763467754,64961.4598470316,64466.8407402712,65838.0422493088,66131.5119684154,66268.3240371052,65432.9827197411,66427.3761102396,63927.7871314241,63948.1693157833,64633.0467905154,64798.9257082146,64604.2264023147,64426.610851927,64721.1332279853,66237.1492571017,65355.10417713,67001.139600186,64881.8938856346,66774.0740006769,66710.6340914076,69645.3770191947,71801.2466347489,70780.9268283767,60579.8500650042,63181.7080928828,58406.7032569518,66812.7314707811,64182.6345517131,65276.4739488865,66066.7880492448,64413.5876159502,65140.2611364346,67958.0419249443,67452.3166618481,63522.0626490828,64740.1999905637,63367.2121057888,67696.7864207623,66033.3168090397,70368.9488144795,66091.6512686346,65654.2631893542,64364.2799473474,65617.8196868092,63783.0267863633,64857.8977712796,66467.7378089259,64799.8319558288,65407.2288124765,65749.5488663768,64071.3335976879,65908.7161382542,65497.8106849169,66652.5327094587,65537.5894288435,65597.7375224463,65788.3865571543
2017-01-29 18:00:00,62740,63755.9387481191,61577.9122904618,61211.1362899361,66961.9924026129,64618.3376304462,64297.2433422424,65535.3103107506,65134.1624554937,65819.5619767157,64968.8292505058,63844.7027553032,63283.8522387175,63619.7563788589,63663.4474097992,64796.5939881591,65686.4456300338,63577.1374587161,62912.0087336821,64249.7038821942,62635.7732845952,62723.2806557318,63696.5714303824,63211.4396671857,62259.4198067042,63147.7131362773,64343.9341758784,63436.8530231868,63863.8117603656,62834.504747738,64500.2370023808,65209.4751698692,63936.1539584599,63603.6372037172,63082.5183519557,64457.0303402523,64747.1895800999,64884.0016487897,64048.6603314256,65043.0537219241,62543.4647431086,62563.8469274678,63248.7244021999,63414.6033198991,63219.9040139992,63042.2884636115,63336.8108396698,64852.8268687862,63970.7817888145,65616.8172118705,63516.0125207453,65389.7516123614,65326.3117030921,68261.0546308792,70416.9242464334,69396.6044400612,57993.8188756275,61756.5780556091,56219.8817048237,65428.4090824656,62798.3121633976,63892.151560571,64688.9659027754,63029.2652276347,63768.2955992066,66573.7195366288,65978.2234253625,62137.7402607673,63355.8776022482,61982.8897174733,66802.5751015239,64650.1739855926,66054.2844483007,64716.1413933086,64278.9430919027,62979.9575590319,64234.6856953722,62398.7043980478,63473.5753829641,65083.4154206104,63392.9360851624,64022.906424161,64382.6075226496,62687.0112093724,64534.0131887658,64113.4882966014,65268.2103211432,64153.7819088019,64223.6996444479,64410.265856183,63497.5714973191
2017-01-30 11:00:00,76882.25,75180.9642987838,74814.1882982581,81375.0611003689,78221.3896387682,77900.2953505644,79138.3623190726,78957.3146075295,79422.6139850377,78650.2313738019,77371.3476075286,77104.345385085,77620.1049949635,77260.3695496438,78399.6459964811,79289.4976383558,77954.5020983746,77060.4867407355,77837.7377036942,76691.741459908,76326.3326640538,77299.6234387044,76778.1274083537,75862.4718150262,76724.3812268258,77946.9861842004,77037.56750486,77447.7547636252,76422.2780976652,78103.2890107028,78812.5271781912,77696.2842322908,77824.2106588021,76675.9797436155,78060.0823485743,78350.2415884219,78487.0536571117,78052.3062604772,78646.1057302461,76146.5167514306,77496.1415220915,76840.7989021134,77527.1400267883,77226.8529516113,76788.9426241896,76925.1635432518,78455.8788771082,77539.2059667819,79219.8692201925,77164.9170236864,78992.8036206834,78929.3637114141,81864.1066392012,84244.3610849564,82999.6564483832,74555.5101020907,77154.1713666172,70909.6788130278,79031.4610907876,76382.4875946338,77466.8637686876,78292.0179110974,76625.8384398215,77358.9907564411,80229.0287203037,81452.1589703367,77202.9150396798,76956.344498062,75585.9417257953,81155.8351250196,78814.1814599867,84368.7911229681,78319.1934016306,78425.1054589468,76582.2922929647,78143.8761889364,76001.7564063698,78333.3207301056,78686.4674289324,77064.5958445701,77573.8337971365,77985.6595309716,77092.4504017411,78137.0651970878,77651.7123397476,78871.2623294652,77716.5403049234,77756.8339171239,78013.317864505,77093.2921912925,77881.9951002247
