"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-01-01 18:00:00,52797.25,52360.75,53674.25,67114.5,71238.25,70765.5,70078.5,69320.25,57746.25,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5
2016-01-02 18:00:00,60431.25,53674.25,67114.5,71238.25,70765.5,70078.5,69320.25,57746.25,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25
2016-01-03 18:00:00,57888.5,67114.5,71238.25,70765.5,70078.5,69320.25,57746.25,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25,60431.25
2016-01-04 18:00:00,70768.25,71238.25,70765.5,70078.5,69320.25,57746.25,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25,60431.25,57888.5
2016-01-05 17:00:00,71862.75,70765.5,70078.5,69320.25,57746.25,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25,60431.25,57888.5,70768.25
2016-01-06 17:00:00,68980.5,70078.5,69320.25,57746.25,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25,60431.25,57888.5,70768.25,71862.75
2016-01-07 17:00:00,74199.5,69320.25,57746.25,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25,60431.25,57888.5,70768.25,71862.75,68980.5
2016-01-08 08:00:00,71473.25,57746.25,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25,60431.25,57888.5,70768.25,71862.75,68980.5,74199.5
2016-01-09 18:00:00,62274,55889.25,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25,60431.25,57888.5,70768.25,71862.75,68980.5,74199.5,71473.25
2016-01-10 18:00:00,59470.75,69070,71740.75,73633.25,73526.75,72535.25,59679.75,56458.5,71291.25,71546,71049.75,70467.75,69386.75,58849.25,57309,71307.75,72197.75,72495.75,71661,70429.5,59393.25,57212,71716.75,72038.5,71886.75,71466.5,70382.75,61336,57768.25,72689.75,72940.75,71932,72363.75,73359.25,61580.5,59143.75,72934.25,74479.25,73010.25,74949,73211.25,62794.75,59803,75636.5,77516.5,75992.25,75298.5,73345.5,63802.5,61791,75375,74946.25,74920.5,74310.5,73912.75,63165.5,59926.25,74908.5,75330.75,74793,75818.5,74907.25,61946.5,59650,74400.5,74068.25,74239.75,71596,69813,60622.75,57078.5,68340.75,66429.25,63807,54112.75,50416,51186.25,53103,60857.75,59808.5,60990,56310.5,52797.25,60431.25,57888.5,70768.25,71862.75,68980.5,74199.5,71473.25,62274
