"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
2017-01-21 18:00:00,65559.5,60013.7050636359,62146.8191935862,62569.2451547778,62962.3202653511,63086.5730393937,63219.0868513754,63394.0998179436,63556.0507857858,63656.5614864455,63760.3974919843,63905.7727180142,64034.4052147761,64177.1549615274,64282.2416407685,64411.5479923808,64465.4109890421,64645.841834211,64710.6096545429,64790.0590818021,64856.5862755492,64948.9368398899,65109.0214852585,65253.7370151616,65298.1587865331,65339.7692024448,65442.1936936552,65575.0273594867,65665.3165706408,65739.3435325571,65830.7635235629,65888.0968218957,65933.9332369665,65975.6822100385,66002.4507268162,66108.7363429688,66224.8720882289,66327.3405588402,66490.3016204459,66594.0581568532,66730.6667529145,66914.576370874,67326.9271752536,67613.3628500263,68761.6448652309,69821.4278689751
2017-01-22 18:00:00,63096.5,56503.5729128693,58636.6870428196,59059.1130040112,59452.1881145845,59576.4408886271,59708.9547006088,59883.967667177,60045.9186350192,60146.4293356789,60250.2653412177,60395.6405672476,60524.2730640095,60667.0228107608,60772.1094900019,60901.4158416142,60955.2788382755,61135.7096834444,61200.4775037763,61279.9269310355,61346.4541247826,61438.8046891233,61598.8893344919,61748.1553792236,61796.6955325642,61834.138911718,61940.9340258719,62065.8469715711,62155.1844198742,62229.2113817905,62320.6313727963,62377.964671129,62423.8010861999,62465.5500592719,62492.3185760496,62598.6041922022,62714.7399374623,62817.2084080736,62980.1694696793,63083.9260060866,63220.5346021479,63404.4442201074,63816.795024487,64103.2306992597,65251.5127144644,66311.2957182085
2017-01-23 18:00:00,77123.75,71941.7156868628,74074.8298168131,74497.2557780047,74890.330888578,75014.5836626206,75147.0974746023,75322.1104411705,75484.0614090127,75584.5721096724,75688.4081152112,75833.7833412411,75962.415838003,76105.1655847543,76210.2522639954,76339.5586156077,76393.421612269,76591.3528315886,76649.1162824134,76724.6220545599,76797.0121857055,76878.5126712782,77078.5872794235,77189.9251307773,77246.2657882621,77310.325778522,77385.7839239818,77519.6033436904,77598.7596917669,77677.5498735191,77776.3737050526,77826.8027357402,77866.0127695704,77907.9124934677,77935.8259349479,78054.4442845763,78163.2749116599,78290.2147572653,78430.6075184364,78535.6177206794,78658.6773761414,78842.5869941009,79254.9377984805,79541.3734732532,80689.6554884579,81749.438492202
2017-01-24 11:00:00,78217,72889.0851312891,75022.1992612394,75444.625222431,75837.7003330043,75961.9531070469,76094.4669190286,76269.4798855968,76431.4308534391,76531.9415540987,76635.7775596375,76781.1527856674,76909.7852824293,77052.5350291806,77157.6217084217,77286.928060034,77340.7910566953,77538.7222760149,77596.4857268397,77671.9914989862,77744.3816301318,77825.8821157045,78025.9026627466,78133.6675976434,78182.207750984,78219.6511301378,78326.4462442917,78451.3591899909,78540.696638294,78614.7236002103,78706.1435912161,78763.4768895489,78809.3133046197,78855.281937894,78883.1953793742,79001.8137290026,79110.6443560862,79237.5842016916,79377.9769628627,79482.9871651057,79606.0468205677,79789.9564385273,80202.3072429068,80488.7429176795,81637.0249328842,82696.8079366283
2017-01-25 11:00:00,77808.75,73148.5869297823,75281.7010597326,75704.1270209242,76097.2021314975,76235.7084267753,76412.1025620661,76547.2990128634,76700.2527079833,76796.6213555794,76937.6032373035,77064.8151275017,77196.306295322,77322.4842664039,77425.3610738366,77553.9702278852,77644.6957191005,77808.6715730596,77873.877084967,77940.8847017766,78014.3213635435,78097.6753858636,78330.6753040227,78396.7963736968,78453.1370311816,78479.3437994681,78585.9480427849,78710.8609884841,78800.1984367872,78874.2253987035,78965.6453897093,79022.978688042,79068.8151031129,79114.7837363872,79142.6971778674,79261.3155274958,79370.1461545794,79497.0860001848,79637.4787613559,79742.4889635989,79865.5486190609,80049.4582370204,80461.8090414,80748.2447161727,81896.5267313774,82956.3097351215
2017-01-26 18:00:00,77819,72248.225511513,74381.3396414633,74803.7656026549,75196.8407132282,75335.347008506,75572.8059808862,75671.9418040098,75808.6625839874,75905.7215585155,76066.881504476,76201.321612496,76335.1766387173,76431.4898684554,76530.9476448134,76659.6338139821,76779.3752547504,76908.4742201034,76973.5156666977,77040.5232835073,77113.9599452742,77197.3139675943,77430.3138857534,77496.4349554275,77552.7756129123,77578.9823811988,77685.5866245156,77810.4995702148,77899.8370185179,77973.8639804342,78065.28397144,78122.6172697727,78168.4536848436,78214.4223181179,78242.3357595981,78360.9541092265,78469.7847363101,78596.7245819155,78737.1173430866,78842.1275453296,78965.1872007916,79149.0968187511,79561.4476231307,79847.8832979034,80996.1653131081,82055.9483168522
2017-01-27 08:00:00,76199.75,71859.5988447815,73992.7129747318,74415.1389359234,74808.2140464967,74946.7203417745,75184.1793141547,75283.3151372783,75420.0359172559,75517.094891784,75678.2548377445,75812.6949457645,75946.5499719858,76042.8632017239,76159.5547581218,76274.1207040967,76401.4676073075,76525.7420604402,76597.3994018115,76666.5981359368,76738.4416439359,76860.0563398597,77042.7127198107,77108.8161600621,77169.0156071951,77228.2089364407,77303.6670819005,77430.5614433521,77511.2103517864,77585.2373137027,77676.6573047085,77733.9906030413,77779.8270181121,77825.7956513864,77853.7090928666,77972.327442495,78081.1580695786,78208.097915184,78348.4906763551,78453.5008785981,78576.5605340601,78760.4701520197,79172.8209563992,79459.2566311719,80607.5386463766,81667.3216501207
2017-01-28 18:00:00,66129.75,60536.5278580394,62669.6419879896,63092.0679491813,63485.1430597546,63623.6493550324,63861.1083274126,63960.2441505362,64096.9649305138,64194.0239050419,64355.1838510024,64489.6239590224,64623.4789852437,64719.7922149818,64836.4837713796,64947.9361605085,65067.6776012768,65196.7765666298,65261.8180132241,65328.8256300337,65415.3706571937,65536.9853531176,65719.6417330686,65785.74517332,65845.944620453,65905.1379496986,65980.5960951584,66107.49045661,66188.1393650443,66262.1663269606,66353.5863179664,66410.9196162991,66456.75603137,66502.7246646443,66530.6381061245,66649.2564557529,66758.0870828365,66885.0269284419,67025.419689613,67130.429891856,67253.489547318,67437.3991652775,67849.7499696571,68136.1856444298,69284.4676596345,70344.2506633786
2017-01-29 18:00:00,62740,57093.4362718903,59226.5504018406,59648.9763630322,60042.0514736055,60180.5577688833,60418.0167412635,60517.1525643871,60653.8733443647,60750.9323188928,60912.0922648533,61046.5323728733,61180.3873990946,61276.7006288327,61393.3921852305,61504.8445743594,61624.5860151277,61753.6849804807,61818.726427075,61900.4355630456,61986.7593090658,62159.1351509333,62283.8599210884,62347.3828982777,62403.8904523963,62475.5386969742,62572.1850143611,62671.3239287179,62745.0477788952,62819.0747408115,62910.4947318173,62967.82803015,63013.6644452209,63059.6330784952,63087.5465199754,63206.1648696038,63314.9954966874,63441.9353422928,63582.3281034639,63687.3383057069,63810.3979611689,63994.3075791285,64406.658383508,64693.0940582807,65841.3760734854,66901.1590772295
2017-01-30 11:00:00,76882.25,72141.3714013627,74274.485531313,74696.9114925046,75089.9866030779,75228.4928983557,75465.9518707359,75565.0876938595,75701.8084738371,75798.8674483652,75960.0273943257,76094.4675023457,76228.322528567,76324.6357583051,76441.327314703,76552.7797038318,76672.5211446001,76801.6201099531,76866.6615565474,76948.370692518,77034.6944385382,77207.0702804057,77358.3998788081,77396.6314919231,77453.1575774285,77532.0322816155,77634.1536203398,77728.1990886802,77792.9829083676,77867.0098702839,77958.4298612897,78015.7631596225,78061.5995746933,78107.5682079676,78135.4816494478,78254.0999990762,78362.9306261598,78489.8704717652,78630.2632329363,78735.2734351793,78858.3330906413,79042.2427086009,79454.5935129804,79741.0291877531,80889.3112029578,81949.0942067019
