"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
2017-01-21 18:00:00,65559.5,59145.0233300989,61260.3240547666,61711.9095700724,62256.2973337704,62442.0258110337,62643.2311433462,62829.9968342194,63023.7250655523,63184.8621824075,63252.7085021097,63393.9515856693,63505.8995849692,63623.3117689349,63683.1580046219,63838.3184179461,63933.8651625711,64022.4771979324,64111.4470470262,64156.2071507971,64253.7145859288,64321.0026998884,64364.4367291425,64434.619518809,64547.9110104267,64626.6943702953,64669.6335123162,64772.1316550514,64862.3100106654,64931.7047075321,65045.5630893095,65135.0912878448,65234.7579496062,65364.217210912,65432.9938679829,65545.0470760782,65621.2398890228,65775.4075016089,65875.9884752872,65986.4331729829,66109.5570846222,66257.2367921608,66442.6631218028,66766.5006608954,68037.484365717,69418.4685140676
2017-01-22 18:00:00,63096.5,55834.1013415667,57949.4020662344,58400.9875815402,58945.3753452381,59131.1038225015,59332.309154814,59519.0748456872,59712.8030770201,59873.9401938753,59941.7865135775,60083.0295971371,60194.977596437,60312.3897804027,60372.2360160897,60527.3964294139,60622.9431740389,60711.5552094002,60800.525058494,60845.2851622649,60942.7925973966,61010.0807113562,61053.5147406103,61123.6975302768,61236.9890218945,61315.7723817631,61358.711523784,61461.2096665192,61551.3880221332,61645.4379859639,61749.1383727315,61831.4807333599,61924.304942052,62066.2922596914,62122.9507204433,62247.9523990088,62310.3179004906,62464.4855130767,62565.066486755,62675.5111844507,62798.63509609,62946.3148036286,63131.7411332706,63455.5786723632,64726.5623771848,66107.5465255355
2017-01-23 18:00:00,77123.75,71195.3815264959,73310.6822511636,73762.2677664693,74306.6555301674,74492.3840074307,74693.5893397432,74880.3550306164,75074.0832619493,75235.2203788045,75303.0666985067,75444.3097820662,75556.2577813662,75673.6699653319,75733.5162010189,75888.6766143431,75984.2233589681,76072.8353943293,76161.8052434232,76206.5653471941,76304.0727823258,76375.9152357678,76424.7628266723,76500.1345635104,76617.1489028493,76682.4967877603,76732.278599555,76829.104755403,76928.8656687174,77018.4197827731,77126.9914857272,77200.6056566297,77291.9535177571,77449.9834115829,77489.7299765367,77620.4829178268,77682.8201458404,77838.8358863511,77932.141943858,78056.4073968043,78170.80739463,78340.2126391742,78493.0213181998,78816.8588572924,80087.842562114,81468.8267104646
2017-01-24 11:00:00,78217,72055.2471888245,74170.5479134922,74622.133428798,75166.521192496,75352.2496697593,75553.4550020718,75740.220692945,75933.9489242779,76095.0860411331,76162.9323608353,76304.1754443948,76416.1234436948,76533.5356276605,76593.3818633475,76748.5422766717,76844.0890212967,76932.701056658,77021.6709057518,77066.4310095227,77163.9384446544,77235.7808980964,77284.628489001,77360.000225839,77477.0145651779,77542.3624500889,77592.1442618836,77688.9704177316,77788.731331046,77878.2854451017,77983.8963275274,78052.6265806177,78145.4507893098,78309.8490739115,78349.5956388653,78480.3485801554,78542.685808169,78698.7015486797,78792.0076061866,78916.2730591329,79030.6730569586,79200.0783015028,79352.8869805284,79676.724519621,80947.7082244426,82328.6923727932
2017-01-25 11:00:00,77808.75,72288.3250076655,74403.6257323332,74855.211247639,75399.599011337,75585.3274886003,75786.5328209128,76019.6539965516,76175.3125320023,76330.2246701413,76405.2651316763,76552.4219410213,76654.4350556988,76770.6561106179,76871.6492545255,76984.9350720766,77083.4812600975,77184.77602421,77267.3258971653,77310.9866525864,77407.2471987316,77477.8592134914,77521.2941105253,77641.0605291683,77714.5980386789,77779.9406713361,77830.0391583988,77932.8782590527,78031.093598961,78116.2661257269,78219.9349668968,78293.5491377993,78384.8969989267,78542.9268927525,78582.6734577063,78713.4263989964,78775.76362701,78931.7793675207,79025.0854250276,79149.3508779739,79263.7508757996,79433.1561203438,79585.9647993694,79909.802338462,81180.7860432836,82561.7701916342
2017-01-26 18:00:00,77819,71212.1304267074,73327.4311513751,73779.0166666809,74323.4044303789,74509.1329076422,74710.3382399547,74943.4594155935,75131.433062237,75265.1274301965,75343.7880119078,75493.377904641,75587.610960756,75698.8119901776,75813.4666921762,75921.6640886502,76009.9249861688,76130.0028665474,76193.5453216239,76250.2563762232,76337.7847116317,76402.7770561391,76448.2663890737,76571.6065394161,76644.9813056991,76716.8927105182,76753.8445774406,76856.6836780946,76954.8990180029,77040.0715447688,77143.7403859387,77217.3545568412,77308.7024179686,77466.7323117944,77506.4788767482,77637.2318180383,77699.5690460519,77855.5847865626,77948.8908440695,78073.1562970158,78187.5562948415,78356.9615393857,78509.7702184113,78833.6077575039,80104.5914623255,81485.5756106761
2017-01-27 08:00:00,76199.75,70792.7260408119,72908.0267654796,73359.6122807854,73904.0000444834,74089.7285217467,74290.9338540592,74524.055029698,74712.0286763415,74845.723044301,74924.3836260123,75073.9735187455,75198.3940476482,75285.8401543947,75396.433044668,75520.2347545456,75604.0951289834,75719.0219393986,75780.784157149,75834.3139496522,75925.2789301811,75989.7563671648,76030.1926919514,76152.5121286657,76226.4649909944,76301.3623731971,76344.8853628566,76447.0666371616,76544.7097498114,76631.923597623,76728.4876043163,76816.745766797,76910.4934916784,77049.7897039307,77106.5713710663,77223.5797970398,77324.3209538366,77436.1804006671,77529.486458174,77653.7519111203,77768.151908946,77937.5571534902,78090.3658325158,78414.2033716084,79685.18707643,81066.1712247806
2017-01-28 18:00:00,66129.75,59406.5303492375,61521.8310739052,61973.416589211,62517.8043529089,62703.5328301723,62904.7381624848,63137.8593381236,63325.8329847671,63459.5273527266,63538.1879344379,63687.7778271711,63812.1983560738,63899.6444628203,64010.2373530936,64134.0390629712,64217.899437409,64332.8262478242,64394.5884655746,64454.0755760104,64542.8728823633,64613.4001043652,64657.9605914702,64784.7322179783,64840.26929942,64915.1666816227,64958.6896712822,65060.8709455872,65158.514058237,65245.7279060485,65342.2919127419,65430.5500752226,65524.297800104,65663.5940123563,65720.3756794919,65837.3841054653,65938.1252622622,66049.9847090927,66143.2907665996,66267.5562195459,66381.9562173716,66551.3614619158,66704.1701409414,67028.007680034,68298.9913848556,69679.9755332062
2017-01-29 18:00:00,62740,56249.1587018852,58364.4594265529,58816.0449418587,59360.4327055567,59546.16118282,59747.3665151325,59980.4876907713,60168.4613374148,60302.1557053743,60380.8162870856,60530.4061798188,60654.8267087215,60742.272815468,60852.8657057413,60976.6674156189,61060.5277900567,61175.4546004719,61237.2168182223,61305.9876543143,61393.74767098,61458.0964078138,61506.794839109,61639.4904024292,61704.1280456958,61761.8841467775,61818.5579016196,61924.4054097124,62008.804594062,62102.7355373229,62188.0500695011,62301.9892554486,62374.126654587,62510.0950193194,62601.6206806325,62683.1206407858,62799.1675735078,62895.187661617,62985.9191192473,63110.1845721936,63224.5845700193,63393.9898145635,63546.7984935891,63870.6360326817,65141.6197375033,66522.603885854
2017-01-30 11:00:00,76882.25,71275.230901946,73390.5316266137,73842.1171419195,74386.5049056175,74572.2333828808,74773.4387151933,75006.5598908321,75194.5335374756,75328.2279054351,75406.8884871464,75556.4783798796,75680.8989087823,75768.3450155288,75878.9379058021,76002.7396156797,76086.5999901175,76201.5268005327,76263.2890182831,76332.0598543751,76419.8198710408,76486.1138182875,76562.7210869643,76668.0122077495,76733.1508201913,76789.1042458271,76864.0462838573,76965.6276258587,77040.1406021007,77142.8588286688,77223.0421684525,77355.5247500375,77417.6437933556,77539.1707619658,77637.3232937485,77711.9867470417,77825.2397735686,77921.2598616778,78011.9913193081,78136.2567722544,78250.6567700801,78420.0620146243,78572.8706936499,78896.7082327425,80167.6919375641,81548.6760859147
