"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
2017-01-21 18:00:00,65559.5,60651.9140494421,62860.8907699223,63343.6899214485,63518.4243069046,63770.9858291917,63909.9246958206,64033.702441165,64201.8967768899,64314.4159780048,64439.4820558643,64536.7300611062,64602.8396275826,64684.6978047148,64736.9609368832,64781.5104774745,64904.2293591364,64999.5484695599,65070.8723968421,65177.9606585709,65260.3994097376,65332.8164960245,65406.8085242454,65492.214906789,65548.6988159197,65626.2537158912,65661.9654881735,65715.1779987135,65804.5746812637,65928.1390338903,65998.3387851718,66095.985181738,66204.3276525468,66255.504465358,66303.9110097571,66352.3110283965,66471.3009145248,66554.1579511077,66719.8993335238,66854.4001098147,67159.5046204128,67289.4853626143,67434.7626919777,67815.2689076785,68336.9503710498,69331.7869695635
2017-01-22 18:00:00,63096.5,58251.1126724155,60460.0893928957,60942.8885444219,61117.622929878,61370.1844521651,61509.123318794,61632.9010641384,61801.0953998633,61913.6146009782,62038.6806788377,62135.9286840796,62202.038250556,62283.8964276882,62336.1595598566,62380.7091004479,62503.4279821098,62598.7470925333,62670.0710198155,62784.835390028,62876.8128789972,62942.5653209107,63024.6867110693,63092.1869109102,63157.8382945886,63225.4523388646,63261.1641111469,63314.3766216869,63403.7733042371,63527.3376568637,63597.5374081452,63695.1838047114,63803.5262755202,63854.7030883314,63903.1096327305,63951.5096513699,64070.4995374982,64153.3565740811,64319.0979564972,64453.5987327881,64758.7032433862,64888.6839855877,65033.9613149511,65414.4675306519,65936.1489940232,66930.9855925369
2017-01-23 18:00:00,77123.75,71009.6407667041,73218.6174871843,73701.4166387105,73876.1510241666,74128.7125464537,74267.6514130826,74391.429158427,74559.6234941519,74672.1426952668,74797.2087731263,74894.4567783682,74960.5663448446,75042.4245219768,75094.6876541452,75139.2371947365,75261.9560763984,75357.2751868219,75428.5991141041,75543.3634843166,75635.3409732858,75701.0934151993,75783.2148053579,75850.7150051988,75916.3663888772,75983.9804331532,76019.6922054355,76072.9047159755,76162.3013985257,76285.8657511523,76356.0655024337,76453.711899,76562.0543698088,76613.23118262,76661.6377270191,76710.0377456585,76829.0276317868,76911.8846683697,77077.6260507858,77212.1268270767,77517.2313376748,77647.2120798763,77792.4894092397,78172.9956249405,78694.6770883118,79689.5136868255
2017-01-24 11:00:00,78217,72671.7445374723,74880.7212579525,75363.5204094787,75538.2547949348,75790.816317222,75929.7551838508,76053.5329291952,76221.7272649201,76334.246466035,76459.3125438945,76556.5605491364,76622.6701156128,76704.6705800758,76767.4196165336,76805.6990290293,76945.9262937413,77025.9934882033,77106.7569993109,77216.4413166688,77298.7781217643,77367.1204345549,77452.0301065712,77517.1318650568,77579.6139707644,77648.3620342225,77682.3312385029,77741.3573903672,77835.8120025051,77954.100885047,78043.7753080775,78158.31973504,78232.5185299194,78295.2583615485,78334.6053807897,78394.1528230018,78506.7434659817,78599.6802991064,78744.3210449074,78874.2305978449,79179.335108443,79309.3158506445,79454.5931800079,79835.0993957087,80356.78085908,81351.6174575937
2017-01-25 11:00:00,77808.75,73184.7638954578,75393.740615938,75876.5397674642,76051.2741529203,76303.8356752074,76442.7745418363,76566.5522871807,76734.7466229056,76847.2658240205,76972.33190188,77069.5799071219,77135.6894735983,77217.6899380613,77280.4389745191,77318.7183870148,77458.9456517268,77539.0128461888,77619.7763572964,77729.4606746543,77811.7974797498,77880.1397925404,77965.0494645567,78030.1512230423,78092.6333287499,78168.6924114158,78209.8727287569,78257.8605960177,78359.1310701712,78475.0487723247,78567.5168392284,78687.623495902,78745.5378879049,78808.277719534,78847.6247387752,78907.1721809873,79019.7628239672,79112.6996570919,79257.3404028929,79387.2499558304,79692.3544664285,79822.33520863,79967.6125379934,80348.1187536942,80869.8002170655,81864.6368155792
2017-01-26 18:00:00,77819,72859.9295541308,75068.906274611,75551.7054261372,75726.4398115933,75979.0013338804,76117.9402005093,76241.7179458537,76409.9122815786,76522.4314826935,76647.497560553,76744.7455657949,76810.8551322713,76892.8555967343,76955.6046331921,76993.8840456878,77134.1113103998,77214.1785048618,77294.9420159694,77404.6263333273,77485.6297607125,77551.382202626,77633.5035927846,77701.0037926255,77766.6551763039,77836.547050881,77870.5162551614,77929.5424070257,78034.2967288442,78150.2144309977,78242.6824979013,78362.789154575,78420.7035465779,78483.443378207,78522.7903974482,78582.3378396603,78694.9284826402,78787.8653157649,78932.5060615659,79062.4156145034,79367.5201251015,79497.500867303,79642.7781966664,80023.2844123672,80544.9658757385,81539.8024742522
2017-01-27 08:00:00,76199.75,71819.7958540395,74028.7725745197,74511.5717260459,74686.306111502,74938.8676337892,75077.806500418,75201.5842457624,75369.7785814873,75482.2977826022,75607.3638604617,75704.6118657036,75770.72143218,75852.721896643,75915.4709331008,75953.7503455965,76093.9776103085,76174.0448047705,76254.8083158781,76364.492633236,76445.4960606212,76511.2485025347,76593.3698926933,76660.8700925342,76726.5214762126,76794.1355204886,76829.847292771,76883.0598033109,76983.5366304755,77102.1522016142,77191.8266246447,77306.3710516072,77372.2094571442,77423.3862699554,77482.6566973569,77542.204139569,77654.7947825489,77747.7316156736,77892.3723614746,78022.2819144121,78327.3864250102,78457.3671672117,78602.6444965751,78983.1507122759,79504.8321756472,80499.6687741609
2017-01-28 18:00:00,66129.75,61476.2644686185,63685.2411890987,64168.0403406249,64342.774726081,64595.3362483681,64734.275114997,64858.0528603414,65026.2471960663,65138.7663971812,65263.8324750407,65361.0804802826,65427.190046759,65509.190511222,65575.2020830128,65649.5353879029,65763.4016885799,65835.0309150156,65911.2769304571,66020.961247815,66101.9646752002,66167.7171171137,66249.8385072723,66317.3387071132,66382.9900907916,66450.6041350676,66486.3159073499,66539.5284178899,66640.0052450545,66758.6208161932,66848.2952392237,66962.8396661862,67028.6780717232,67079.8548845344,67139.1253119359,67198.672754148,67311.2633971279,67404.2002302526,67548.8409760536,67678.7505289911,67983.8550395892,68113.8357817907,68259.1131111541,68639.6193268549,69161.3007902262,70156.1373887399
2017-01-29 18:00:00,62740,57715.941582254,59924.9183027342,60407.7174542604,60582.4518397165,60835.0133620036,60973.9522286325,61097.7299739769,61265.9243097018,61378.4435108167,61503.5095886762,61600.7575939181,61666.8671603945,61748.8676248575,61814.8791966483,61889.2125015383,62003.0788022154,62074.7080286511,62178.5294215824,62282.723902859,62342.975166546,62407.3942307492,62489.5156209078,62557.0158207487,62622.6672044271,62690.2812487031,62725.9930209854,62779.2055315254,62879.68235869,62998.2979298287,63087.9723528592,63202.5167798217,63268.3551853587,63319.5319981699,63378.8024255714,63438.3498677835,63550.9405107634,63643.8773438881,63788.5180896891,63918.4276426266,64223.5321532247,64353.5128954262,64498.7902247896,64879.2964404904,65400.9779038617,66395.8145023754
2017-01-30 11:00:00,76882.25,72429.4172735256,74638.3939940058,75121.193145532,75295.9275309881,75548.4890532752,75687.4279199041,75811.2056652485,75979.4000009734,76091.9192020883,76216.9852799478,76314.2332851897,76380.3428516661,76462.3433161291,76528.35488792,76602.68819281,76716.554493487,76788.1837199227,76892.005112854,76996.1995941306,77056.4508578176,77120.8699220208,77202.9913121794,77274.8046011101,77337.2867068177,77406.0347702758,77440.0039745562,77492.681222797,77593.1580499616,77711.7736211003,77801.4480441308,77915.9924710933,77981.8308766303,78033.0076894415,78092.278116843,78151.8255590551,78264.416202035,78357.3530351597,78501.9937809607,78631.9033338982,78937.0078444963,79066.9885866978,79212.2659160612,79592.772131762,80114.4535951333,81109.290193647
