"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
"2017-01-21 18:00:00",65559.5,60003.5333917833,61688.1214969168,62809.1048224667,63067.8333416075,63156.1474726998,63304.1246137981,63560.0561795181,63817.3401270749,63965.3209419694,64012.5297227878,64069.0814152459,64144.7003782626,64277.3463614602,64380.7479755842,64420.181219472,64456.5168700902,64504.0533714136,64590.8195280291,64711.8210643572,64786.7657842999,64811.1633188286,64851.369380454,64944.6102877611,65002.2260006245,65041.2253309374,65110.6168425266,65266.4533087133,65357.713312619,65453.1933497936,65487.8496979236,65661.1918127703,65700.1375618645,65738.9814031671,65854.1986248199,65913.5648422364,66008.5135751803,66116.4901302491,66275.5702857535,66401.5451821645,66699.8532107604,66998.5168732924,67154.8165400654,67496.765296543,68308.6102901544,69056.7698817781
"2017-01-22 18:00:00",63096.5,56307.0411487621,58672.9549406182,59973.1980592867,60163.8410512626,60219.4902092408,60438.8747546758,60732.5767849388,61006.5089009149,61139.2860169347,61176.7736346124,61224.1611082907,61354.2610263164,61414.8998878035,61557.1111700451,61597.3121113013,61626.2507799185,61666.9994636226,61743.3317155048,61855.179034398,61927.5270721762,61953.7619784564,61984.2029338749,62050.204103527,62135.3812168719,62175.1122608141,62298.3964837189,62374.2171932947,62499.5655545905,62620.3446283998,62760.0895733594,62883.3216482188,62901.4756444172,62924.8334825159,63055.7959972267,63120.7049951316,63189.5005977926,63305.6558144607,63419.8463412625,63580.3096030797,63889.446750566,64260.2510382895,64361.6195455396,64704.6739010491,65755.3214427603,66498.1009414418
"2017-01-23 18:00:00",77123.75,74545.8751902557,74423.1919227532,74509.4638621919,74789.5825303201,74966.5770026824,74987.7928554622,75111.3184903068,75237.945058692,75392.076184152,75455.1442597834,75552.8361866242,75732.682203742,75788.8539839112,75811.2043691495,75844.2094334228,75896.1667010587,75967.6546435386,76037.8913047327,76158.3931232638,76254.4612151015,76276.6499526712,76402.9058246211,76484.9827068246,76474.5777080559,76563.4763613068,76723.4445069178,76760.0463784877,76756.4283272551,76776.1818911758,76807.36795651,76852.9514663943,76962.1999520721,77012.9311963274,77057.7070468668,77142.8842236434,77230.3850096279,77335.9293881959,77438.640883835,77515.8962313395,77780.2981464647,78111.0941408935,78189.9659979144,78557.680686311,78617.7406419313,78928.7752025766
"2017-01-24 11:00:00",78217,76196.0522297236,76046.8824764742,75964.8053624485,76175.0039289336,76331.3832594914,76363.5304573084,76537.8572363376,76698.6261025578,76855.2805087179,76907.5038235651,76971.5817560468,77165.0883505673,77214.3079773096,77250.3033144783,77283.9307277762,77339.7295650289,77406.9427252131,77486.3731741151,77572.4800230832,77648.1911513299,77664.6322606405,77788.0612461191,77870.8170661738,77893.1121860538,77966.183046221,78153.7718153039,78156.96651805,78176.3508173814,78174.4140346796,78290.8731133968,78258.6997414443,78354.4871100382,78410.2946853466,78437.7693233364,78527.7815350729,78619.8628526285,78712.8313821671,78813.7761848522,78858.8122323419,79133.8506757655,79374.492220144,79585.057110235,79898.3452231473,79873.3397903768,79970.2408934694
"2017-01-25 11:00:00",77808.75,76684.869207988,76537.3036942231,76402.3837536507,76588.4142100664,76737.4456225322,76774.4991626225,77052.7071612348,77138.4916204671,77301.5304756949,77344.3131646588,77473.9783478686,77593.0620727741,77680.3062760674,77711.8374127891,77751.335188152,77780.592640288,77867.6228160678,77944.0875046529,77997.8944098075,78078.5439228076,78126.3674397967,78238.131842254,78305.4507941692,78316.738109257,78428.0562444267,78595.7997173225,78573.0670227467,78607.9374009843,78617.7992754579,78700.7190884161,78680.1348531975,78767.2398998759,78827.9578708333,78851.3834531099,78932.556119899,79035.6723847902,79124.9903051413,79222.0642780747,79259.6041228266,79538.3443225956,79804.5964152251,80003.6115898091,80298.8195788898,80249.2756314679,80275.2401201147
"2017-01-26 18:00:00",77819,75783.0068322746,75813.8746017411,75731.6943823628,75879.5291484713,76001.4014584312,76053.0289319551,76410.2020674267,76532.6893548048,76692.5053337265,76789.0585500889,76880.4016624209,76987.4349575605,77068.6903283859,77105.6772465169,77146.250067219,77177.9145051242,77235.7504771377,77311.1606033701,77350.8832755149,77418.7828600907,77458.3261246518,77568.1930757929,77640.7220171667,77660.3179787123,77744.0235000685,77934.466395221,77921.2053745168,77970.8708567977,77964.2631001067,78039.7803777583,78072.9006802305,78163.1731988915,78203.5310707874,78225.8133656822,78305.3739827363,78415.0342418572,78499.9992845933,78602.263026178,78636.487733148,78764.1454502562,79268.2009876303,79433.0882604017,79676.4666202608,79656.26258597,79615.9669943621
"2017-01-27 08:00:00",76199.75,74824.5553665592,74795.6663651056,74839.8297461383,75049.2084033328,75186.1967845458,75218.0342117585,75556.1270206105,75654.2468070274,75841.0926827627,75916.3173222017,75972.6323796183,76154.1261709084,76215.4505044677,76226.4733135405,76285.9242385983,76313.1408998664,76374.9422007868,76491.1090600518,76522.1556104239,76596.5253494643,76665.0034094693,76774.9750024311,76830.1491302835,76882.1865416595,76934.415400477,77102.4064611778,77103.0560752697,77138.9054786496,77152.9285877729,77205.1527910187,77251.4275025694,77350.6741591465,77376.8580202068,77397.3533063556,77483.5378656786,77583.5770168832,77687.2797744364,77803.0727900583,77856.1718954112,77998.7334273606,78572.5330598195,78620.4845460931,78892.0797303874,78904.6484876577,79027.2699982637
"2017-01-28 18:00:00",66129.75,60714.2497548922,62222.6564343739,63408.5593169206,63641.3691649736,63710.7209322082,63849.649174462,64346.0370406133,64473.3261600239,64638.9182488135,64698.654764452,64728.235940837,64908.725518439,64948.4218093086,65024.3815489147,65091.3265843551,65105.4946348816,65151.244048084,65249.2454927372,65343.9038011319,65400.5590362774,65444.5737283947,65499.4962626541,65577.8682011458,65619.7729656857,65666.4815029704,65823.7974074948,65930.1834480585,66013.7306595494,66041.546851381,66170.3582819868,66281.1206589813,66307.8844930526,66380.7177002768,66474.4106315232,66535.3771885444,66600.3975492041,66736.7684044544,66871.6947881534,67023.4325509854,67235.0210155453,67697.0990133133,67828.1361854938,68108.6161984336,68849.5414290841,69496.2709666769
"2017-01-29 18:00:00",62740,56212.3763968342,58285.1624356986,59699.0235955917,59986.4846001779,60066.653084355,60375.0178519939,60670.1058555569,60760.5845888442,60902.9451627365,60969.9054769564,61019.3400121588,61201.3469798043,61241.4699195395,61320.7358767905,61395.8736931852,61412.9282931659,61476.4219613256,61577.0973281604,61705.8300263158,61758.3297790748,61803.3455929034,61885.1160318624,61918.8217507733,61951.1393033441,62044.2897236235,62147.1169641991,62296.8047217605,62369.4105100084,62467.8580193793,62565.5123202626,62634.2594184848,62702.768470219,62787.3067020751,62894.3936608504,62944.9540151547,62993.5406515816,63139.5383759173,63305.5042384608,63463.5733406128,63708.2831785747,64084.4871083636,64207.3234336346,64571.2330353833,65580.1790183925,66520.9921710978
"2017-01-30 11:00:00",76882.25,75539.0996909126,75564.2622780385,75501.0091548994,75642.3840462776,75813.1528976384,75852.6408552412,76208.5284143667,76260.0326984395,76418.6505249351,76513.2529834959,76626.6216508971,76763.6291588968,76807.5892789249,76852.8832695523,76885.3870139608,76924.6127011543,77002.1043047266,77089.5764259465,77181.2539470487,77196.5084910689,77261.4045199765,77383.6987628865,77413.3380749634,77471.3306416353,77578.2310269593,77685.1581723076,77689.3729360947,77724.7321120037,77743.3951147535,77795.3530494929,77880.5759992198,77939.7549443093,77962.5829534343,77973.5631675937,78062.9412586965,78162.3438781852,78253.6516624562,78290.1908853611,78374.2674108082,78526.9417245535,79105.8458317032,79149.3926615221,79436.7623912371,79449.2834290036,79486.9215654702
