"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
2016-01-01 18:00:00,52797.25,57176.1869297109,58787.4166934695,58777.7513573567,60379.6475014225,58827.0059508611,57663.6672647889,55381.4134699808,59345.243455229,59310.8735083559,53054.2803614161,59174.1872320766,58511.7832371027,57498.6577720165,59591.8309767593,61876.0604987264,61775.4667656967,61959.0706290977,57600.1544186077,58410.8937488286,57308.8729261545,63769.335831799,59655.4562602294,54850.7925890223,56069.8897805987,53991.6340141329,63495.083798195,62186.3922737979,59362.4749068606,56822.2524753768,59017.8824365331,58774.4167686848,58130.4779905913,59374.695797076,61076.5178281683,60984.6523203297,57346.2821387363,52292.5378117285,56089.3238703343,59080.7564551212,58741.7646897807,57389.5799407485,57320.5444263205,56348.1485123175,62090.0544726316,59941.0496043682
2016-01-02 18:00:00,60431.25,61147.5520173128,63742.1157164445,59925.1608410588,63119.3661519666,62143.6040070647,62672.1357992253,60781.3960218191,60708.6678675982,58210.3772456185,61060.3524348584,60578.9377344596,60477.606680738,63814.9468422896,62411.4369539312,63207.7922676696,58564.6899570357,62281.1006358673,61164.43118295,63884.7269303742,61916.0362878408,59116.4541197899,58786.3984542138,62610.9145477644,64309.4501173911,59144.2631642066,63649.4465341033,57450.1899551943,57904.39035667,60593.8058310534,60717.232691648,63181.712127135,58936.6711939298,60990.913219715,62448.7105393439,62732.7999924598,60322.5492489399,60449.7141365369,66601.1081233278,61866.1957235196,64646.0358906335,60907.875624093,63804.4572001173,55623.2139008794,64002.7677758602,58947.2496000051
2016-01-03 18:00:00,57888.5,57240.5425129712,54848.3024873062,56855.2824530054,59281.3326306642,59232.9811337537,60908.4454547164,59641.8826169576,55354.2078468029,60960.284368674,59692.9242118173,52534.6260463707,54956.4623531788,59632.3933014023,59218.7445530266,59632.2116748393,56001.8133688199,56825.165946657,57412.8408426594,58396.6113731386,61737.420147301,57792.0592388892,60045.8168938289,55753.8681914899,55961.7191085264,55372.7662814318,61551.2146269997,57837.5023878211,59866.3318731944,55301.5365450813,56349.0109952129,59266.7351138911,55425.8243048439,56455.9965877456,58491.0748773363,58352.3796145452,55339.9930316488,60210.4920902691,59698.0914555708,56953.3340245808,56095.5990489502,57325.4032593209,55107.1603757137,56935.5957684733,59553.8011336903,60097.4889875364
2016-01-04 18:00:00,70768.25,73112.4862673387,73959.5554233673,72652.1131455449,77746.0084362655,72044.7426235323,74153.9687236682,72403.6289897964,73917.8672159023,75518.9483929719,73847.3188006476,72568.2537673793,75040.7944604614,73533.216451356,71354.2350265445,70075.683442966,71189.2579789346,69544.1189608805,69931.3278968314,72352.2128901002,67473.6804520521,73636.198927289,69589.4458328845,73218.944926097,71884.0275139762,71728.7867255658,68016.9850076539,74428.110929181,68672.8396010696,74831.5026363108,71910.4159474364,71254.1284420772,71106.9143245652,69437.9063638233,70644.3458668344,71266.4954674469,68632.9558360408,69553.2965107401,71869.3249595888,69495.4037847351,78541.5162305798,69967.9996090938,71777.1112240945,72712.4965032309,75063.5719481714,71952.9663861789
2016-01-05 17:00:00,71862.75,74454.471345248,72441.9464004197,70259.566117663,77581.5472344143,78961.4851853914,77067.0477564162,73409.5211405158,70714.1499852652,77418.6574747796,72064.9841747187,75031.0728374439,75686.0993636978,76200.4861909254,78194.2178231439,72130.1431541097,72301.4011794703,71806.8089886652,74992.4133476557,76443.6415087405,76505.515380318,73173.628214643,69592.4400345578,75540.6746659061,74687.7724227797,77815.4467286778,68176.0799881286,71036.0090856857,75263.9927325826,76145.0649605568,70767.8592951833,75540.2108726739,68381.350184635,69907.5428315859,76104.8827251812,70897.7527983095,76099.8366274173,74336.8365619916,75562.4347378015,72492.1251195041,75309.8671793638,72228.1318554887,69767.2928155601,74267.8259416785,76760.6720918319,75676.5545400534
2016-01-06 17:00:00,68980.5,65079.2069491256,65194.3949116658,65695.1548382618,65202.2619242341,69211.2826842076,65164.1704755802,63859.3881819721,68320.3142444758,63587.3893748909,69549.6089554234,68330.7858056392,61721.1840624413,62039.1794909069,62239.9125164178,61930.2540730616,69464.7688729636,66117.0333528653,66528.5754843775,65511.2431415165,65351.9448982102,61628.2975433075,63710.7806282573,70613.8877625028,67510.111581739,66451.2489048682,66613.8340630562,64129.2898905284,62874.5140349002,70320.0687833966,62530.4795854137,66908.1432892015,67012.5155986221,59190.8875448411,70968.7414738946,64670.8195361401,67992.7537198818,66485.0693968282,69005.2425630782,61475.656781688,69244.6878195853,64576.3407578821,66481.626991794,66039.3605224214,66003.0677416707,66985.6218767559
2016-01-07 17:00:00,74199.5,81090.308811665,80558.3092651711,76614.9080853074,74089.4698726764,74777.1119763546,78542.7374564603,75376.8109047251,85380.8024482944,83409.6487151998,80574.7631823063,81127.0340283281,77160.3539758632,75243.0702509887,76660.5900050477,77276.3050001177,78332.8612071845,78943.2731696804,75855.0364629952,81038.6300660316,80916.2719143324,76513.9129409105,75530.6755055195,76651.2299599784,74814.159859616,76826.2309351777,78404.647825307,79017.4894106004,77420.1195580771,74252.1881346901,76371.3124859818,82375.2922882992,77179.2667605694,72256.2483009244,76297.94622617,81802.8162521389,80648.7752647715,77712.1623015707,79113.8254155895,77875.3237877549,72823.2424462849,76431.188100626,78836.9323490903,75793.306242354,78200.3660191955,79120.5061094007
2016-01-08 08:00:00,71473.25,72452.5696303281,68369.5317739824,71230.2030093142,71014.6131695821,72433.713625028,72746.5596583565,72742.8490116213,71920.8741595084,70565.2256313251,66834.7264216721,71918.2771722846,74772.3289550659,70109.8693911007,73869.8938712482,76257.5409148111,74980.4852391236,73065.2869735274,74980.5994160714,73057.3111479222,71809.5526366458,71240.6199772727,77141.8013688976,75128.5054988804,77774.0690989322,73925.3993587669,79601.9570822609,75930.21159713,73341.4892602336,71580.7596169129,71031.4994641601,74560.6336322993,72716.1640176357,68655.8384494792,72605.9860460261,73183.730223293,73567.0013008402,72828.3935767894,70840.8563156972,71334.1358883628,75262.7100858005,72840.8128501089,72622.7664258117,71990.9127964405,76455.5715919084,73880.5297107586
2016-01-09 18:00:00,62274,62476.498660262,63435.2235459846,60618.0388903137,61934.457691823,65320.37498309,63813.1465055638,60348.1283901306,63634.3396856084,60036.2487257074,59260.6314955969,61730.7402161922,60034.2936231159,63416.7913282278,69685.7114944077,60116.5331028578,64892.4049858457,64321.2524988706,63312.1883568484,61778.4345574429,61981.0206561066,61639.1557792199,63311.8080186749,60535.6747911658,60184.5419966469,62923.465864255,59280.8161943197,60173.4325393769,62457.0443344817,64049.6730262222,61403.3493347,60232.6449582336,62082.0393519638,65607.326864432,63942.9078673439,62681.4841996964,59514.8537538643,60590.5736704462,66199.2379698388,64197.077875158,60813.9143185826,58983.0389936554,62893.071719021,64863.0249444999,59926.8008531104,59325.272298384
2016-01-10 18:00:00,59470.75,57344.2372160655,57576.2996988872,60335.1074366574,59298.5557310963,56453.7649270668,58542.5047733184,61155.7142956677,58015.9409557581,59183.9183161801,52719.1589367007,60514.5068697578,58533.7706049407,58376.0051074,63256.7601484826,57096.8522813228,61441.0696521383,58432.2781409491,58593.3168375036,59017.7921557219,59208.324019687,55546.3476400712,62358.2990241274,56325.6378439065,57813.6997319099,56590.3830558878,59290.6261043598,63306.5986812283,60660.713131432,55796.9253808107,57659.5082943948,53815.2416995823,61040.7530102588,57119.4139339888,61914.5807715476,54428.7720991872,55313.2031111211,60607.4490488065,59798.28808057,60112.6862177273,59086.7052816539,58182.5365751344,57832.2895697371,57012.8235520964,56649.6889127436,61031.044916969
2016-01-11 10:00:00,79285,73002.9515920166,72405.4742757245,74222.6318643627,72155.9510531129,69762.6336122561,70024.9838342895,72641.3869460298,72877.5809825581,73277.1977119505,73840.4208668111,72823.4687490854,73360.1808949067,72275.8347505748,74794.863003263,77525.2549124641,72699.3445692075,72512.8764177174,71641.5050361309,72049.17581036,79589.5726902521,76901.5804113952,72987.6116033458,74934.7268762555,72498.4624114595,73954.4447091925,72245.1021718045,74438.8278592291,71777.9071848703,73055.3103471429,75908.5685742123,74346.8791761147,73048.9538997809,73840.9504480437,67539.3021104352,74758.191572036,73394.8084181811,72478.3507538076,74019.5306115844,73859.8616657078,75222.5505546617,70839.1035113835,70599.032120481,76292.6397181194,72480.4432961274,70003.2410633208
2016-01-12 17:00:00,74867.25,71730.1797860896,75557.5984936649,75866.8728904273,77181.5119251019,70437.7514129981,75414.3597023366,68678.0000024551,74270.5070599834,70200.69168831,75032.6065510717,75363.7918160698,73259.290764731,75307.9904135362,77798.6680482384,79312.8399431452,77275.8940821229,76298.3219694812,77125.8606085964,74951.5430321221,79771.6934933064,72597.0771674025,73707.8989881475,73905.4502301994,74033.9428681416,70447.5271141707,78688.097139818,76729.075419134,81549.3769754836,77318.7481065987,74039.8003803634,74774.4497388837,75960.2302688198,73613.0696416758,75198.4583916309,72895.8189982216,73605.4018357292,72602.229822785,77139.731255296,74013.6491805998,73786.4028357264,73917.3268297361,78753.110063907,75717.9537335904,75788.9600081616,71288.3733931786
