"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
2017-01-21 18:00:00,65559.5,65349.4972158955,66451.6157656216,64434.0766386083,64518.6255001864,63867.8576602094,65562.8155093758,65130.7885887553,64850.6055165239,64788.614653046,66384.369352591,64306.5404734961,65387.597086899,64976.6686632527,64646.5923699113,64497.5494513025,64734.928187506,63733.5345481615,63108.5168560605,63131.8640403037,69779.6009897268,61517.0452680643,63604.8368024264,63446.4448768541,65192.7286932262,66250.7290055456,67137.0768864578,69744.1995433992,66099.9108569447,66583.9279217231,65540.2365203339,66052.8319551728,67906.5386507075,66198.8747451442,64796.4918241571,65952.6298833432,65539.5362494567,65846.1689743611,64571.7169485589,65779.1312749544,64912.5322757609,64994.1272448395,65680.6649170884,65482.1187609696,65577.9603141402,66105.1875353728
2017-01-22 18:00:00,63096.5,64437.9653058193,62420.426178806,61938.7728046358,61854.2072004071,63327.1471487686,63086.9034947407,62898.8818159586,62836.9550567216,64370.7188927887,62292.8900136938,63373.9466270967,62183.2557734383,62721.2777277037,62483.8989915002,62774.9641932437,61719.8840883592,61094.8663962582,60439.3270714555,64930.5954728533,59503.394808262,61591.1863426241,61432.7944170518,63179.0782334239,64237.0785457433,65123.4264266555,67390.6595108847,62126.7051416904,64570.2774619208,63245.3243173248,64039.1814953705,65892.8881909052,64185.2242853419,62344.5699115249,63938.9794235409,63525.8857896544,63145.2254690686,62558.0664887566,63765.4808151521,62980.4767850372,63040.570595404,63660.4251983313,63468.4683011673,63557.6147508609,64091.5370755705,62632.941910109
2017-01-23 18:00:00,77123.75,75296.8596533354,74814.0284749788,74720.9095011288,76186.7086378298,75951.767158649,75763.1893030749,75709.4139625354,77297.5267948805,75169.2236184295,76233.5081161579,75051.3718142527,75583.0464015285,75348.7074826885,75646.2790239885,74599.3569307078,73954.4278853194,73298.8885605167,79596.3493763458,72362.9562973232,74460.6056198228,74312.4505009992,76038.6397224851,77230.2803818499,77982.9879157168,80250.2209999459,75737.5998212709,77429.838950982,76104.885806386,76951.0985646317,78752.4496799664,77096.6400348045,75224.0183419384,76898.7429844317,76385.4472787156,76004.7869581298,75428.5271502182,76798.5409126021,75844.097551725,75904.6534244817,76625.0423042134,76328.0297902285,76417.1762399221,77044.7857744031,75498.2912494,76519.9866873925
2017-01-24 11:00:00,78217,76929.355725506,76109.9164277669,78060.2774060658,77403.4333406574,77282.5054433597,77040.3642511228,78686.5337215186,76558.2305450676,77631.6119686361,77424.1775769933,76890.6029718314,76687.3653812893,76978.3713308726,75988.3638573459,75343.4348119575,75432.9052747595,82089.5266251985,73751.9632239613,75849.6125464609,75701.4574276373,77434.5524617288,78619.287308488,79792.3356370159,82189.1477489913,78351.8109233237,78818.8458776201,78127.6498494467,78346.8066583248,80141.4566066045,78504.9029548846,77286.5942987244,78295.2835374974,77778.1696499886,78386.5024423919,76740.8995550894,78198.5956490554,77159.8821055933,77251.5522547005,78039.5030534048,77790.7303829341,77812.8782700372,78444.9079945551,76919.7011712829,77915.5828729854,77543.436548739
2017-01-25 11:00:00,77808.75,76143.72955238,78653.8818853169,78062.1966857202,77707.3948077205,77115.7349568848,78653.1004331011,76838.1878711836,77621.9487431493,78123.5737914502,76861.8839131297,76898.5969108858,76931.9127007401,76022.176981959,75377.2479365706,76211.6026131537,82859.3395625768,73785.7763485744,75883.425671074,75735.2705522504,77430.1734610401,78538.7160794977,80255.2331610037,82779.0868239371,78916.7089696026,78952.9673920587,78594.9374446308,78661.4652867698,80175.2697312176,79156.3153797702,77973.7554319207,78445.7254472185,78197.7826844991,78979.6808630412,77402.3114994372,78285.1476606833,77170.1937224773,77313.6439005524,77949.3959975985,78173.6098067924,77811.9827746017,78380.6197829379,77609.9921422863,77846.6913946503,77896.4469775149,79262.5369347
2017-01-26 18:00:00,77819,78115.7442125977,77435.6177592015,76730.0265690975,76475.288409825,78157.8675023767,76210.1730216776,77126.7158124249,77524.0590130011,76284.8737395926,76105.8375820584,76380.3414766412,75526.9440512346,74882.0150058462,75535.2549896198,82321.2018898576,73290.54341785,75388.1927403496,75240.037621526,76937.1982401861,78043.4831487733,79369.5411447188,82065.9227401231,78361.6361550687,78357.4260715088,78056.7997719116,77833.8637313861,79680.0368004932,78618.177707051,77355.2033720931,77820.9018909926,77585.436118731,78441.543190322,76779.2387358007,77659.6450117799,76590.8264614472,76709.1099480018,77454.1630668741,77196.2006229135,77316.7498438773,77885.3868522135,77007.5031103406,77351.4584639259,76914.4801021164,78725.6637948142,77996.5154291611
2017-01-27 08:00:00,76199.75,76863.8287070004,75844.4684138613,75543.5775073057,76893.8305652976,75726.064075192,75938.8662559717,76658.364793036,75559.4576702043,74986.1325453503,75425.9528023277,74522.3932153705,73886.2198602922,74606.298317927,81479.529117877,71888.6436881343,73986.2930106339,73838.1378918103,75575.4953424834,76641.5834190576,78489.2144194666,82092.1994101349,77885.7031136343,77376.5884432629,77201.3903177533,77099.4043310255,78278.1370707775,77691.106381356,76508.5464335065,77518.0628098891,76816.860826361,77514.471864627,75884.7109420748,76940.9398829827,75650.5259584706,75773.1675094671,76518.1164865265,76466.5891203388,76209.2420630615,76558.4854138753,76220.066115199,75968.3299205436,75399.6078750344,77797.3279362858,77129.7284462166,76339.230157408
2017-01-28 18:00:00,66129.75,65417.5253408012,65333.3195992373,67053.4884886527,64818.9075819016,65955.5745391673,65392.5970255921,65180.4947258686,65001.4585683344,65275.9624629172,64422.5650375106,63777.6359921222,63340.5305504831,70128.3627967187,62186.164404126,64283.8137266256,64135.658607802,65832.8192264621,66939.1041350493,67806.1960225195,70073.4291067487,66469.304254692,67253.0470577847,65922.9051194588,66729.4847176621,68575.6577867692,66879.1091747198,65331.2199198621,66523.9648472043,66089.4343695171,66248.7040971831,65064.3982827834,66374.2979506696,65479.7362321254,65543.2865442754,66265.8506365353,66028.7560626659,66163.8508955411,66781.0078384895,65130.2348473479,66219.0668182877,65693.2532188917,67120.7349016833,65863.9606787727,65786.1155524885,66644.6007169255
2017-01-29 18:00:00,62740,63313.7181951153,65033.8870845307,62799.3061777796,63935.9731350452,62651.0828872731,63160.8933217466,62981.8571642124,63256.3610587952,62402.9636333886,61758.0345880002,61102.4952631975,65593.7636645952,60166.563000004,62264.2123225036,62116.05720368,63813.2178223401,64900.2467374853,65786.5946183975,68053.8277026267,62524.5162038096,65233.4456536628,63853.4146543531,64702.6226031446,66556.0563826472,64848.3924770839,62892.1404750961,64454.1028294475,64069.8329653951,63720.1723057655,63044.7968786614,64330.1826490281,63460.1348280034,63523.6851401534,64227.4780460799,64009.1546585439,64138.6484512873,64754.7052673125,63110.6334432259,64192.7694260313,63673.6518147697,65101.1334975613,63587.7577188287,63766.5141483665,64613.1954250981,63397.9239366792
2017-01-30 11:00:00,76882.25,77327.4646221751,75198.3755160622,76146.9921919975,76391.5469157147,75454.470859391,75275.4347018568,75549.9385964395,74704.0307694065,74051.6121256446,74398.3500840173,81129.0930946432,72460.1405376484,74566.378017216,74409.6347413244,76060.0916860109,77193.8242751297,78162.2572602266,80347.4052402711,76490.4084997407,77527.0231913071,76923.6354173833,76996.200140789,78849.6339202916,77426.0689118366,76326.1607681691,76747.6803670919,76463.744046438,77249.4343951076,75577.2703340096,76623.7601866725,75691.5014743236,75753.7123656478,76521.0555837243,76229.5506726896,76432.2259889317,77048.2828049569,75879.7456743527,76486.3469636757,75881.3352564731,77532.2904667664,76864.6909766972,76145.9839290735,76906.7729627425,76118.2979919291,76302.7321961883
