"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
2017-01-21 18:00:00,65559.5,65094.4844536168,66752.4361471423,64622.2247227649,63923.115182772,63768.1751178594,65181.7385558592,64949.1595055975,64512.4179086728,64585.9675526615,65954.5997714645,64318.3867520768,65370.1949961096,64184.837355176,64371.5988225421,64128.6990716527,64438.1846382115,63499.790954138,63311.1982382028,62696.30883504,69358.3064919141,61419.5580750731,64187.6128101859,63029.4998694521,63688.7613936306,63570.6369142682,66870.1407546477,68832.2235150977,65742.3489840599,66345.6767983268,64676.011228353,64881.7045462232,67780.7638238703,67209.7544038197,64755.7294590387,66246.9897293865,65251.7982669011,65577.4072049013,64240.4698484919,65889.8607139613,64813.0920803873,65012.1812332971,65493.7478959072,65292.5971887531,65659.2839579189,66075.8132522226
2017-01-22 18:00:00,63096.5,64478.0501081984,62347.838683821,61598.2156363115,61493.7890789154,62907.3525169152,62737.7951943531,62238.0318697288,62311.5815137175,63671.2355608642,62044.0007131328,63095.8089571656,61698.4475666758,62097.2127835981,61854.3130327087,62163.7985992675,61225.404915194,61036.8121992588,60421.922796096,64326.7634627391,59145.1720361291,61913.2267712419,60755.1138305081,61414.3753546866,61296.2508753242,64595.7547157038,66557.8374761537,63462.6840752304,64071.2907593828,62481.3434200947,62674.7734666535,65506.3777849263,64935.3683648757,62538.7060414433,63961.8307581334,62977.4122279571,63286.7846955678,61966.0838095479,63609.0293634931,62607.3185072792,62820.0984146728,63219.3618569633,63018.2111498091,63374.8448454794,63800.5149090765,62401.625189409
2017-01-23 18:00:00,77123.75,75338.3651104487,74599.0591239178,74480.7134743602,75903.0345740275,75734.1606962777,75226.038566433,75299.915126415,76787.4393045213,75033.3121230167,76088.0870924354,74723.3891251682,75089.481403449,74851.1781668763,75157.6165270144,74212.3293106388,74023.7365947036,73408.8471915408,79580.4581220502,72132.0964315739,74901.6853459851,73742.0382259529,74401.2997501314,74283.175270769,77582.6791111485,79805.9803181782,76595.9537589379,77230.9040587662,75471.3250479577,75665.0605020523,78493.3021803711,77922.2927603205,75530.5672503592,77058.2151548276,75972.4238349228,76273.7090910126,74965.8960508968,76658.159956309,75604.3087758873,75820.3495202366,76206.286252408,76011.0866461704,76449.6084706752,76948.7551535782,75390.516044042,76361.7692409242
2017-01-24 11:00:00,78217,76692.7436362244,75976.1729360215,77756.9935932743,77171.2742122423,76723.5746521919,76797.3329211337,78283.8110703847,76528.771584678,77517.9453560083,77012.2473977508,76595.6222355218,76346.6376285376,76657.6676573155,75707.7887723001,75519.1960563649,74904.3066532021,82026.2034850759,73627.5558932352,76397.1448076464,75237.4976876142,75896.7592117927,75778.6347324303,79078.1385728099,81738.6582979799,78097.8585321234,78726.3635204275,77411.1080517849,77105.4576472191,79988.7616420324,79417.7522219818,77264.8634423016,78565.6431013664,77411.0308172792,77955.4812940175,76461.3555125581,78162.5975896266,77031.1620587481,77233.3975771111,77713.2251911752,77471.8826812764,77950.346802222,78458.3513712372,76838.1547045186,77867.281776081,77592.9373264082
2017-01-25 11:00:00,77808.75,75607.390331242,77974.1667841629,77041.6041649673,76551.9475712684,76356.1227083037,78000.7971715749,76293.2817864735,77103.1000764969,77349.4063436269,76175.5311164395,75870.7879582192,76236.0054992879,75569.4006089606,75150.4134515854,75111.2539576057,82422.2290926716,73258.7732884557,75979.2653587841,74868.7150828347,75527.9766070132,75409.8521276508,78911.3356876099,81943.4925915362,77852.0529265274,78798.8951030661,77669.727082877,76689.7283502335,80021.1416768064,79702.1212970134,77606.7638400104,78124.4109961173,76969.1334048464,78167.4954259578,76668.343387574,77901.2252763742,76607.9077009483,76811.5620937386,77224.1547216287,77330.0164585328,77498.4991713015,77915.0284656052,76819.2219619726,77416.6224182839,77149.1627512288,78410.2647264351
2017-01-26 18:00:00,77819,77537.369248968,76514.4739478453,75862.1686364152,75951.3274371432,77412.1683094455,75779.7698640178,76725.8217356958,76832.6284930988,75743.6071638922,75344.089305398,75803.2450038473,75001.41662649,74768.7667761838,74690.8274159888,81985.4315574767,72877.1266130541,75490.0382626427,74487.0684074331,75146.3299316116,75028.2054522492,78327.7092926288,81433.4041311401,77199.9175220409,77975.9342402464,77174.9691192489,76230.5970138544,79238.3323618513,79203.4138371651,77111.8830883529,77707.9220910561,76596.7320774282,77730.6978907629,76148.5029742129,77390.2681463299,76177.5658087879,76432.4048631274,76849.9668685435,76672.5184167727,77116.8524958999,77533.3817902036,76312.8456743422,77072.170923949,76779.1024207103,77973.4671912402,77464.4277411793
2017-01-27 08:00:00,76199.75,75813.0481942345,74731.2735697199,74554.7031767948,75949.7477911956,74889.4251693698,75144.7614559493,75660.7473458799,74340.8295432274,73933.7107671865,74267.0053906718,73839.2813293327,73377.4592297367,73603.6225218654,80905.8547570683,71340.8869998786,73953.7986494672,72950.8287942576,73610.0903184361,73491.9658390737,76791.4696794532,81264.8462823915,75757.078415531,76439.6946270709,76080.1387954997,74694.7339257588,77702.0927486758,77453.4766142306,76012.8338220916,76618.8411131485,75367.7144889079,76568.5625936056,74962.9722938404,76302.292444022,74753.54786049,75101.8555844211,75781.519197984,75578.4463280107,75537.8102906327,76036.3499793405,75507.2729206577,75441.8666052614,75197.0589145947,76811.3318940829,76375.2339518107,75821.1320816357
2017-01-28 18:00:00,66129.75,65059.8511414632,65149.0099421912,66566.0127914385,64864.5280526062,65801.4306847623,64423.4261608884,64941.2896689402,64541.771810446,65000.9275088953,64155.041997167,63966.4492812318,63351.559878069,69470.5533517401,62074.8091181021,64687.7207676907,63684.7509124811,64344.0124366596,64225.8879572972,67525.3917976767,69487.4745581267,66324.9252785013,67173.6167452944,65258.8387591135,65428.6560439823,68436.0148668993,67865.0054468487,65298.2555239944,66911.0702505142,65632.9836907916,65981.8576190372,64815.3163127748,66408.0135965454,65375.2483138359,65594.2369391062,65930.9810328183,65711.2711200256,66175.7887234849,66770.272097564,65172.9943583831,66067.5522587414,65878.6835741728,67019.0075918254,65516.809995663,66271.7324088562,66645.7329059072
2017-01-29 18:00:00,62740,62603.9172560654,64089.1778715925,62408.5941672084,63345.4967993645,61967.4922754906,62485.3557835424,62085.8379250482,62544.9936234975,61699.1081117692,61510.515395834,60895.6259926712,64951.7533047735,59618.8752327043,62231.7868822929,61228.8170270833,61888.0785512618,61769.9540718994,65069.4579122789,67031.5406727289,63858.6011155501,64717.6828598966,62717.0604729853,62919.3144284381,65980.0809815015,65409.0715614509,62802.9048737157,64449.6707107063,63177.0498053938,63525.9237336393,62359.382427377,63941.6661416911,62842.3216385966,63060.8761102652,63475.0471474204,63255.3372346278,63708.5743430772,64275.1304098538,62693.0760567934,63611.6183733436,63422.749688775,64563.0737064276,62972.7221585845,63813.9195435992,64153.9169290957,63138.3030537084
2017-01-30 11:00:00,76882.25,76663.8660241627,74987.2679761903,75830.025387198,75864.4423942419,75065.5191201323,74700.62959016,75122.3639261132,74273.7962643394,74085.2035484042,73670.3164730313,80964.9206145193,72193.5633852745,74829.7869394643,73803.5051796535,74473.9526925737,74379.7676783985,77644.1460648491,79608.4322675515,76433.2892681203,77292.3710124668,76234.6105527483,75417.0097911668,78554.7691340717,78074.3914121157,76172.1343924548,77024.3588632765,75712.9912062786,76710.1869478055,75127.9920312554,76516.3542942613,75377.5930262859,75547.4103111547,75997.4378413452,75751.737957964,76283.2624956474,76849.818562424,75292.3347313848,76186.3065259139,75920.1849519347,77137.7618589978,76516.8583060106,76388.6076961694,76728.6050816659,75635.5642628354,76049.7352999906
