"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
2017-01-21 18:00:00,65559.5,65414.8417090336,66476.0183789823,64477.1631401857,64380.5225627583,64551.2175616718,65559.7153657664,64678.293944162,64438.0616423747,64239.142097663,65905.6169103948,64818.831491159,65956.9089553393,65298.5936278896,66073.021681812,66377.4348618057,66774.6762244459,65815.7713363605,64613.7874428376,63142.4999329885,63905.0223022227,60705.0258068561,63683.1897708289,63106.4123256054,63843.8800987173,64548.1918624164,65074.1274420057,65156.083561224,67065.8376868927,68447.9959294011,67168.6448784334,65700.5043883805,68244.888824399,67717.1920901856,66611.7322373906,69158.856765566,66288.4405824023,66240.0037983353,65499.4347363022,66334.4846580348,64271.783890944,64885.9763625881,65183.683730695,65086.5759604743,65345.9038378204,65731.7410720028
2017-01-22 18:00:00,63096.5,63331.7300218092,61403.9035052433,61127.4955337709,61332.8747830126,62145.1546825702,61674.5431339859,61112.2204620035,60986.4847301872,62654.8974596191,61799.4753269584,62812.6205981662,62201.6154806473,62928.7333246389,63233.1465046326,63630.3878672728,61929.8390848326,61534.0055869889,59601.0604737765,60760.7339450496,57067.4711457336,60538.9014136558,59962.1239684324,60669.2320575222,61482.6800628695,62011.7952040509,62364.0228957948,63921.5493297196,64231.967637895,62468.7565155824,62640.4038992056,65100.6004672259,63814.6197372333,63467.4438802175,65879.621251626,63144.1522252292,62741.635327252,62355.1463791291,63048.098532923,61220.2969886589,61776.1288029652,62290.4847237688,61855.0600789725,62270.5533518605,62575.7844464432,61410.4950411282
2017-01-23 18:00:00,77123.75,74912.9337070686,75204.9228168424,74841.9049848379,75728.0357331525,75194.6892006715,74761.0693713967,75106.7112249697,76256.3936685833,75251.4977647849,76452.5628890447,75787.8655295068,76583.405387256,76840.7602236345,77139.4180690981,76015.0761700386,75076.708454355,73598.0085658509,74269.7641468749,70814.4850664998,74047.9316154811,73471.1541702577,74178.2622593475,74978.5292874898,75530.353585545,75611.144132292,77430.5795315449,78557.4551890448,77903.6858272682,76218.4629979925,78651.9195190188,77826.6513498293,76976.4740820428,79512.5398222117,76742.1767064579,76522.992967747,75993.5934412117,77069.5256068696,74781.1904756289,75292.6086856476,75654.5844927807,75371.4454251957,75900.1088383171,76184.5184448297,74858.4163669431,75559.6022782901
2017-01-24 11:00:00,78217,76521.4761144367,76224.2181212217,77079.9044533603,76694.9172658115,76314.7436725747,76560.3417434205,77583.0268021567,76681.7785460201,77834.99899519,77113.5563695751,77964.8488729752,78223.5230326033,78519.3526425176,77398.3637360848,76360.1873892245,75428.1814389173,75877.1468480553,72159.9978940938,75427.8661889006,74934.2848836306,75558.196832767,76296.8597756325,76840.4979240982,76943.2827196977,78810.5141049644,79902.9680166388,79202.1449111705,77737.6589671196,80462.0297253689,79234.5345012263,78390.6046464769,81160.9140236019,78147.4550959599,78023.2733773858,77358.6456569108,78367.9846907719,76111.7844866764,76632.8646067655,77074.4326570488,76679.5160283418,77188.9577441306,77480.1793435665,76339.9153543896,76912.2742745625,77721.3877672795
2017-01-25 11:00:00,77808.75,76447.6304827781,78031.3565969462,77338.0158835715,76963.6100208287,77477.2875229013,77824.5140763744,77199.2484097755,77803.9221721425,77735.0097310054,78241.0653550276,78306.0574374663,78605.0804086294,77942.0405966908,76383.0626395295,75951.2216088253,76581.978394558,72484.7856902968,75541.915856046,75728.5564155534,75699.008935592,76312.9126989958,76852.0482055184,76996.0427283462,79422.2839288028,80752.6756367382,80264.4339309486,78258.4455799036,81177.3089298612,80004.6914688657,78479.0239432609,81873.2879258921,78698.4211658151,78947.7482183103,78373.8989547817,79430.27371055,77155.4083577341,76808.318576165,77451.5717853832,77285.0396235993,77517.160277543,77533.5129513276,77136.1396451257,76924.6607968981,77732.5626275729,78122.3264992176
2017-01-26 18:00:00,77819,77908.2439845551,77290.8804896959,76939.8582348207,77314.6888144012,77677.2850968575,77235.74648683,77218.7033624761,77647.3992964942,78242.2880514969,77829.4952765572,78481.9677962383,77818.9279842997,76187.9973309414,76093.4602564654,76503.9468310628,72361.6730779057,75386.9047523031,75652.076055884,75810.5621169293,76362.379413812,76262.9125619558,76329.4211282079,79423.5066252722,80753.8983332075,80141.3213185575,78402.9377846677,80053.2428146253,80005.914165335,78355.9113308698,81826.19284115,78580.8809430618,78885.0454116946,78250.7863423906,79307.1610981589,76963.4620671797,76980.5414025619,77682.8952640501,77077.7479646066,77366.1517896618,76865.9478484204,77025.5862754355,76699.7908391559,77153.7639314086,78082.38245019,77797.1907434639
2017-01-27 08:00:00,76199.75,76249.3819542566,75773.3726039886,75894.1110569294,76712.53840963,76519.2468388048,75853.1167854003,76336.9979183345,76773.0030545965,76989.5466203544,77407.6365080103,76789.7958012197,75125.515447169,75021.8899258851,75346.3715792059,71282.4475303252,74450.0718717849,74618.6441591252,74879.8922563365,75414.1895792728,75209.8252878285,75036.4371279729,77827.3602613916,79157.7519693269,78929.0260184353,77636.7710172456,80358.1922506057,78409.7678014544,76941.7971194435,80772.3731607323,77319.704958578,77427.3762104501,76913.9126588476,77893.0468867326,75644.0883545496,75718.846505639,76437.0502634558,76070.2823505247,75940.0606990839,75949.2859464721,76179.3921600086,75723.7824193897,76360.4117977743,76861.9603466155,76365.7309072889,76025.3408438695
2017-01-28 18:00:00,66129.75,63798.7244255052,64222.2830273416,65458.4620936714,64317.7704938889,65664.8624224596,65014.7001553557,65729.538851982,66255.9234682244,66526.4692348767,64822.301743541,64259.6119627063,62754.9806402337,63689.9818016915,59963.5525133375,63466.4980435422,62890.9690102358,63587.9318992561,64132.2394555243,64648.8662459045,64924.8103181624,66817.6306973235,67450.0877605445,67055.3790775434,65312.3857920148,67996.6818348298,66623.8257761804,66413.9248993376,68775.7026192299,66180.6808340558,65738.6933649051,65164.8441013765,66221.2188571448,64048.5592468436,64383.1340064512,64976.3963313079,64526.5462142159,65071.5946865474,65416.053437336,63978.5649653957,64795.881057474,65596.9336618182,66056.543903354,64722.8884207946,64884.9621233835,65875.4785583845
2017-01-29 18:00:00,62740,61634.469796447,63294.2074646132,62095.3573336481,63500.6077934014,62850.4455262975,63565.2842229238,64091.6688391662,64362.2146058185,62362.2915851577,61967.9848264661,60332.8872123222,61525.7271726333,57799.2978842793,61302.243414484,60726.7143811776,61423.6772701979,61884.3046177854,62465.190222746,62760.5556891042,64653.3760682653,64963.7943764407,63067.4317158898,63148.1311629566,65832.4272057716,64459.5711471222,64249.6702702794,66611.4479901717,63990.3170592608,63330.7751794922,62973.0980825074,63827.4312214115,61814.3103363375,62153.5158648307,62812.1417022497,62218.879377393,62907.3400574892,63251.7988082778,61751.2177931372,62631.6264284158,63432.67903276,63892.2892742958,62558.6337917364,62720.7074943253,63711.2239293263,62484.6116168463
2017-01-30 11:00:00,76882.25,77827.6149393319,76543.8009575202,78008.4951638141,77502.6250445157,78141.1003539778,78667.4849702203,78938.0307368726,77370.8086565788,76460.1207488395,75228.2401711295,76101.5433036874,72375.1140153334,75878.0595455381,75302.5305122317,75999.493401252,76390.1264673916,76943.3951817918,77313.3981457283,79229.1921993194,80518.1067636581,79170.1477735108,77782.4335578171,80408.2433368257,79770.1225957856,78825.4864013335,81507.1714093234,78566.1331903149,78649.2538421451,77483.1561885433,78403.2473524656,76327.0339241913,76671.1734647022,77336.3718201583,76729.3319958848,77426.2616573516,77723.9472940107,76901.5707720456,77158.516089355,77906.5913105463,78468.1054053499,77565.3242536334,77222.8410223536,78287.0400603804,77045.3508158002,78076.4239244554
