"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-01 11:00:00,69959.25,59434.6817141298,65328.623923098,65549.8379186469,66521.5301651129,66684.9720931655,66796.8144242999,66836.1777877429,66898.9462194967,67111.28138561,67185.9491563957,67295.0272031551,67373.5853069999,67423.0573923784,67589.9074867225,67652.8914657,67725.1327374484,67757.8337978239,67842.232183703,67861.4160957402,67887.1749769288,67927.6838013465,67964.3386667484,68013.7494927352,68040.0527079038,68089.7798816251,68167.0516922981,68263.6197741044,68311.1252228105,68332.8466407592,68415.2481657258,68445.4886750041,68475.6256702623,68511.9412384926,68536.0181452812,68550.2242464228,68575.3341921509,68643.0164754682,68701.3859023597,68800.8674913477,68850.8615301646,68945.8430515359,68987.3960699197,69016.304158327,69031.6475446267,69077.0185328199,69084.1962620605,69096.1447493762,69157.5643867643,69177.1533295674,69269.9522890867,69342.499519995,69420.2464509428,69444.8728668476,69478.5533703458,69514.6537264691,69566.0611840063,69613.1236528124,69628.0425773475,69678.5991858148,69697.2076130056,69700.5097636726,69726.5561532864,69736.1234306238,69774.3779157471,69806.7808019788,69853.7980191029,69885.4937296842,69918.5095385329,70001.2480096784,70066.9425098974,70135.4518287292,70173.4652944766,70269.0493123229,70494.1894515064,70612.0369551816,70731.0988056077,70988.0991234377,71080.3145349258,71115.0934003863,71220.9400644962,71257.850490324,71399.0673374037,71576.6641533462,71640.013013975,72192.4552557216,72486.9232335227,72755.1641840657,73190.9378946948,74850.6491823023,75925.4815622198
2016-07-02 11:00:00,58278.25,49990.6878592453,55884.6300682135,56105.8440637624,57077.5363102284,57240.978238281,57352.8205694154,57392.1839328584,57454.9523646122,57667.2875307255,57741.9553015112,57851.0333482706,57929.5914521154,57979.0635374939,58145.913631838,58208.8976108155,58281.1388825639,58313.8399429394,58398.2383288185,58417.4222408557,58443.1811220443,58483.689946462,58520.3448118639,58569.7556378506,58596.0588530193,58645.7860267406,58723.0578374136,58819.6259192199,58867.131367926,58888.8527858747,58971.2543108413,59001.4948201196,59031.6318153778,59067.9473836081,59092.0242903967,59106.2303915383,59131.3403372664,59199.0226205837,59257.3920474752,59356.8736364632,59406.8676752801,59501.8491966514,59543.4022150352,59572.3103034424,59587.6536897421,59633.0246779354,59640.202407176,59652.1508944917,59713.5705318798,59733.1594746829,59825.9584342022,59898.5056651105,59976.2525960583,60000.8790119631,60034.5595154613,60070.6598715846,60122.0673291218,60169.1297979279,60184.048722463,60234.6053309303,60253.2137581211,60256.5159087881,60282.5622984019,60292.1295757393,60330.3840608626,60362.7869470943,60409.8041642184,60441.4998747997,60474.5156836484,60522.5758522347,60600.3086247015,60641.7284752451,60702.3519554516,60815.7312592595,60894.4262425769,61113.1623637388,61204.6992759446,61497.2429573427,61623.4472838409,61655.412733961,61725.1476241879,61813.8566354395,61955.0734825192,62132.6702984617,62196.0191590905,62748.4614008371,63042.9293786382,63311.1703291812,63746.9440398103,65406.6553274178,66481.4877073353
2016-07-03 11:00:00,50776,44853.1808882095,50747.1230971777,50968.3370927266,51940.0293391926,52103.4712672452,52215.3135983796,52254.6769618226,52317.4453935764,52529.7805596897,52604.4483304754,52713.5263772348,52792.0844810796,52841.5565664581,53008.4066608022,53071.3906397797,53133.5275939996,53156.0229279839,53201.9505140228,53276.2970357373,53289.5725319908,53321.8691660431,53365.4831954323,53411.607826343,53442.6160199078,53467.7366865152,53551.3092031084,53615.3948489996,53721.9331281021,53741.7159285082,53791.6856724685,53845.4917797077,53874.732135001,53913.5666484294,53943.2788271459,53964.1711667058,53983.5635034203,54012.6784152242,54104.9015817667,54150.3196549938,54257.1006376767,54319.2490604379,54388.7221185908,54420.1071158519,54439.9578921899,54477.3077265018,54496.6969372016,54509.999898432,54543.5331708422,54579.6950920666,54643.3792398056,54724.8390749492,54795.6947208747,54848.5346333773,54883.9220739439,54905.6097377267,54966.2607451601,55019.7215677474,55036.4704766233,55067.0230854075,55109.5238464793,55116.3849988009,55129.2384759113,55147.7923010378,55172.2938490325,55208.2187763224,55252.2712724504,55284.7395062096,55330.3152775499,55357.1839434651,55419.2144092434,55485.3624806924,55553.8138451576,55590.7676446339,55687.0504145882,55911.9785049633,56030.1581850921,56146.9113239669,56405.5893428045,56498.5861411714,56533.0214461846,56653.8081610532,56780.8394275206,56942.2280977197,57037.6004144349,57130.3816381389,57685.4515608714,58129.6742418914,58264.4451907988,59225.2544082285,61177.2399986181
2016-07-04 11:00:00,68712.25,57762.8624800865,63625.2738379206,63719.4493981345,64402.9543807166,64911.8571358713,65113.9803373975,65155.6877493278,65188.1662704438,65257.900345934,65472.5784566225,65540.6939014327,65648.8786042827,65736.0401990834,65790.0063244467,65953.232060012,66005.2849806159,66060.3942141359,66085.7494791647,66169.6790405344,66189.5552409613,66215.164136937,66255.5702110094,66292.3285361918,66341.7489305947,66368.0287557953,66417.3708847048,66494.8797315921,66590.8942488174,66639.2921542809,66660.9603848277,66743.048959895,66773.3641464364,66803.4895143948,66839.922311158,66864.0671341269,66878.3814612578,66903.495032857,66970.5228641017,67029.5333346354,67128.141121027,67178.8381296093,67273.8061899988,67315.4967516679,67344.3812176927,67359.6253739216,67405.1911568401,67412.2621926261,67424.2690579522,67485.6697115386,67504.9544447772,67597.899998125,67670.5647161356,67748.3080301667,67772.7949882893,67806.6491354062,67842.2377633424,67893.7322579376,67941.2807243008,67956.1044063931,68006.622713306,68025.3855005738,68028.6373272341,68054.7063975015,68064.1281288712,68102.3739178244,68134.6435216204,68181.8449592222,68213.2921615754,68246.4900368307,68294.417759116,68372.1835775236,68413.2413165711,68474.4657453259,68587.9009635867,68664.659007966,68884.6858695153,68976.3198725888,69268.9924230511,69395.4947891135,69427.4755412305,69496.5105228064,69584.7731873165,69725.7854213848,69904.3514238938,69967.7383289369,70519.9011995751,70812.5179780446,71082.4287464402,71512.38210673,73168.6461986879
2016-07-05 11:00:00,70952.5,60262.3784568575,66124.7898146916,66218.9653749055,66902.4703574876,67411.3731126423,67613.4963141685,67655.2037260988,67687.6822472148,67757.416322705,67972.0944333935,68040.2098782037,68148.3945810537,68235.5561758544,68289.5223012177,68452.748036783,68504.8009573869,68559.9101909069,68585.2654559357,68669.1950173054,68689.0712177323,68714.680113708,68755.0861877804,68791.8445129628,68841.2649073657,68867.5447325663,68916.8868614758,68994.3957083631,69090.4102255884,69138.8081310519,69160.4763615987,69242.564936666,69272.8801232074,69303.0054911658,69339.438287929,69363.5831108979,69377.8974380288,69403.011009628,69470.0388408727,69529.0493114064,69627.657097798,69678.3541063803,69773.3221667698,69815.0127284389,69843.8971944637,69859.1413506926,69904.7071336111,69911.7781693971,69923.7850347232,69985.1856883096,70004.4704215482,70097.415974896,70170.0806929066,70247.8240069377,70272.3109650603,70306.1651121772,70341.7537401134,70393.2482347086,70440.7967010718,70455.6203831641,70506.138690077,70524.9014773448,70528.1533040051,70554.2223742725,70563.6441056422,70601.8898945954,70634.1594983914,70681.3609359932,70712.8081383464,70746.0060136017,70793.933735887,70871.6995542946,70912.7572933421,70973.9817220969,71087.4169403577,71146.9357466048,71320.4659529886,71438.9778095709,71553.4222368943,71813.7779567396,71907.5561419853,71941.6478865511,72062.8827566925,72189.7496431664,72350.8354583384,72467.2543057079,73019.4171763461,73312.0339548156,73581.9447232112,74011.898083501,75668.1621754589
2016-07-06 11:00:00,71140,60909.5511015301,66771.9624593642,66866.1380195781,67549.6430021602,68058.5457573149,68260.6689588411,68302.3763707714,68334.8548918874,68404.5889673776,68619.2670780661,68687.3825228763,68795.5672257263,68882.728820527,68936.6949458903,69099.9206814556,69151.9736020595,69207.0828355795,69232.4381006083,69316.367661978,69336.2438624049,69361.8527583806,69402.258832453,69439.0171576354,69488.4375520383,69514.7173772389,69564.0595061484,69641.5683530357,69737.582870261,69785.9807757245,69807.6490062713,69889.7375813386,69920.05276788,69950.1781358384,69986.6109326016,70010.7557555705,70025.0700827014,70050.1836543006,70117.2114855453,70176.221956079,70274.8297424706,70325.5267510529,70420.4948114423,70462.1853731115,70491.0698391363,70506.3139953652,70551.8797782837,70558.9508140697,70570.9576793958,70632.3583329822,70651.6430662208,70744.5886195686,70817.2533375792,70894.9966516103,70919.4836097329,70953.3377568498,70988.926384786,71040.4208793812,71087.9693457444,71102.7930278367,71153.3113347496,71172.0741220174,71175.3259486777,71201.3950189451,71210.8167503148,71249.062539268,71281.3321430639,71328.5335806658,71359.980783019,71393.1786582743,71441.1063805596,71518.8721989672,71558.2793561442,71610.046900827,71645.941034032,71742.9225560944,71875.1004071925,72030.7233758942,72122.4544698354,72415.2558893618,72542.0562949884,72574.0523491024,72642.3874220273,72730.2037397959,72871.0113608527,73051.8125225466,73666.5898210187,73959.2065994882,74229.1173678838,74659.0707281736,76315.3348201315
2016-07-07 11:00:00,69126.25,60095.6253711954,65958.0367290295,66052.2122892434,66735.7172718255,67244.6200269802,67446.7432285064,67488.4506404367,67520.9291615527,67590.6632370429,67805.3413477314,67873.4567925416,67981.6414953916,68068.8030901923,68122.7692155556,68285.9949511209,68338.0478717248,68393.1571052448,68418.5123702736,68502.4419316433,68522.3181320702,68547.9270280459,68588.3331021183,68625.0914273007,68674.5118217036,68700.7916469042,68750.1337758137,68827.642622701,68923.6571399263,68972.0550453898,68993.7232759366,69075.8118510039,69106.1270375453,69136.2524055037,69172.6852022669,69196.8300252358,69211.1443523667,69236.2579239659,69303.2857552106,69362.2962257443,69460.9040121359,69511.6010207182,69606.5690811076,69648.2596427768,69677.1441088016,69692.3882650305,69737.954047949,69745.025083735,69757.0319490611,69818.4326026475,69837.7173358861,69930.6628892339,70003.3276072445,70081.0709212756,70105.5578793982,70139.4120265151,70175.0006544513,70226.4951490465,70274.0436154097,70288.867297502,70328.9483928737,70351.8667676224,70358.8126315065,70371.4421246883,70390.2066188204,70414.4946661426,70450.5279978384,70494.463024,70527.033580539,70572.7290652577,70599.3303796305,70661.1261177147,70727.7277603936,70787.3106234784,70807.167805468,70920.6589381817,70979.3182578739,71153.0027467038,71271.8467797395,71383.9824955117,71646.0159163646,71740.5754884891,71774.3236726075,71896.0066980216,72022.7092045021,72183.492164647,72328.0554078182,72925.4885933973,73371.655227154,73503.1989667823,74456.1985940345
2016-07-08 11:00:00,69831,59130.1260187731,64992.5373766073,65086.7129368211,65770.2179194032,66279.1206745579,66481.2438760841,66522.9512880144,66555.4298091304,66625.1638846206,66839.8419953091,66907.9574401193,67016.1421429693,67103.30373777,67157.2698631333,67320.4955986986,67372.5485193025,67427.6577528225,67453.0130178513,67536.942579221,67556.8187796479,67582.4276756236,67622.833749696,67659.5920748784,67709.0124692813,67735.2922944819,67784.6344233914,67862.1432702787,67958.157787504,68006.5556929675,68028.2239235143,68110.3124985816,68140.627685123,68157.7120872493,68190.3514288945,68220.1143342715,68241.0239146699,68260.2538013719,68289.2878468994,68381.4989015518,68426.703864429,68533.9995788789,68595.3597570872,68665.3517967926,68696.8262394343,68716.8882317668,68753.8565137028,68773.6240045839,68786.8990736706,68819.8681676733,68856.6399760953,68919.614032575,69001.1658363662,69071.9013394851,69125.3852560923,69160.6822890016,69182.4446698209,69243.1976544374,69296.4720378334,69313.309635519,69340.6696242272,69373.7290135272,69392.646160872,69395.8476635256,69421.9394144465,69431.2155998486,69469.4526926317,69501.5890139918,69548.9746720713,69580.1733661965,69613.5533078585,69661.3485838426,69739.1474481912,69778.2793666021,69830.4846604188,69865.3191273526,69962.999401523,70094.5978720522,70250.6471780726,70342.4753628814,70635.405651472,70762.5040966627,70794.5154527737,70862.1506170476,70949.5205880748,71093.664844296,71362.5560553959,71959.989240975,72406.1558747317,72537.69961436,73490.6992416122
2016-07-09 11:00:00,57518.25,49614.254014519,55476.6653723531,55570.840932567,56254.3459151491,56763.2486703038,56965.37187183,57007.0792837603,57039.5578048763,57109.2918803665,57323.969991055,57392.0854358652,57500.2701387152,57587.4317335159,57641.3978588792,57804.6235944445,57856.6765150484,57911.7857485684,57937.1410135972,58021.0705749669,58040.9467753938,58066.5556713695,58106.9617454419,58143.7200706243,58193.1404650272,58219.4202902278,58268.7624191373,58346.2712660246,58442.2857832499,58490.6836887134,58512.3519192602,58594.4404943275,58624.7556808689,58641.8400829952,58674.4794246404,58704.2423300174,58725.1519104158,58744.3817971178,58773.4158426453,58865.6268972977,58910.8318601749,59018.1275746248,59079.4877528331,59149.4797925385,59180.9542351802,59201.0162275127,59237.9845094487,59257.7520003298,59271.0270694165,59303.9961634192,59340.7679718412,59403.7420283209,59485.2938321121,59556.029335231,59609.5132518382,59644.8102847475,59666.5726655668,59727.3256501833,59780.6000335793,59797.4376312649,59824.7976199731,59857.8570092731,59876.7741566179,59879.9756592715,59906.0674101924,59915.3435955945,59953.5806883776,59985.7170097377,60033.1026678172,60064.3013619424,60117.9590229541,60179.7547610383,60246.3564037172,60305.939266802,60316.9278150025,60349.4471230985,60447.1273972689,60578.7258677981,60734.7751738185,60826.6033586273,61119.5336472179,61246.6320924086,61278.6434485196,61346.2786127936,61433.6485838207,61577.7928400419,61846.6840511418,62444.1172367209,62890.2838704776,63021.8276101059,63974.8272373581
2016-07-10 11:00:00,51765.75,44395.5138291029,50257.925186937,50352.1007471509,51035.605729733,51544.5084848877,51746.6316864139,51788.3390983442,51820.8176194602,51890.5516949504,52105.2298056389,52173.3452504491,52281.5299532991,52336.0251152021,52383.7514577659,52549.1635046855,52613.3912267418,52675.4095702078,52698.3150581509,52743.9942617155,52818.5972639405,52831.7805930505,52864.0254941356,52907.6260096904,52953.5794398507,52984.8564711466,53010.0049066364,53093.2069736098,53157.4047728712,53264.0225084187,53283.8600925307,53333.3891670853,53387.8189658298,53417.0433783409,53438.9545795011,53472.3739668832,53496.5867060324,53511.0092591525,53536.1264566229,53602.4998357949,53662.1513499709,53759.885333766,53811.2853121137,53906.2399115213,53948.0680164759,53976.9288601183,53992.0737862763,54037.8343639199,54044.7987062514,54056.863949588,54118.2456193726,54137.2261430467,54230.3182902231,54303.1004953358,54380.8401924503,54405.1876927906,54439.2154835263,54474.2923832754,54525.8739149286,54573.9083788489,54588.6368184983,54628.7441371294,54651.6536636872,54658.6842391337,54671.089748387,54690.0649115246,54714.1394581743,54750.2811942761,54794.0987504712,54826.7716297901,54876.7924487229,54926.7363941724,55004.535258521,55043.6671769319,55094.072651492,55106.9954324086,55220.5424795752,55278.3423127125,55452.1810839886,55571.3572934778,55681.1842976987,55944.8954195592,56040.2363785625,56080.1347800149,56214.9083984046,56359.0526546258,56627.9438657257,57225.3770513048,57671.5436850615,57803.0874246898,58756.087051942
