"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
"2016-07-22 11:00:00",69152,63141.4143528555,64273.8039395557,64623.5150205691,64907.3127124411,65169.1669216111,65474.9201967989,65526.891489237,65645.3668694101,65698.6335124757,65881.5841185692,66126.5955918105,66304.6597923645,66479.4631351827,66570.3069912572,66649.2949667942,67032.3552285017,67059.5053332957,67103.1689186554,67175.6282863584,67257.2410859243,67746.4263007706,67785.5496165872,67940.4138701436,67963.5966198794,67994.8711822859,68043.7356689097,68261.7064845027,68297.4528245414,68345.3380676695,68446.011164351,68467.1856308894,68655.0173732346,68720.9691246275,68813.0902552353,68854.7835386893,68927.7147316132,69030.6709843782,69069.273138102,69078.4134484238,69087.3883761142,69156.6220200855,69241.0943867874,69256.2598135994,69316.7816179353,69349.7420812672,69355.0942081042,69380.0563585805,69419.7076519138,69456.6549205105,69551.2452718081,69558.7547577279,69641.3241580018,69659.405552014,69679.3221182952,69680.5930709864,69718.5035507,69753.2971679399,69775.622468741,69813.0716146573,69820.7613270088,69845.0285931818,69870.0841307989,69921.8501989755,70098.1905007992,70117.739659215,70191.5534553172,70212.6645715449,70242.3683360219,70315.1137983792,70357.6754919886,70413.4950146901,70436.3817963198,70530.9158254021,70541.5920913449,70564.2074151253,70597.8506054826,70611.3347874108,70639.6356168411,70830.9758077138,70867.0779498877,71114.8764534409,71660.3039523473,71745.8452059033,71777.1284989689,71836.512161293,71985.8059600087,72404.6134861751,72421.0136238635,72713.1212114455,72714.7030486848
"2016-07-23 11:00:00",57254,54744.0302621206,54993.3948707179,54822.869578022,54875.1009818267,55131.0807890097,55463.7008894064,55483.7047805372,55620.1877517548,55661.3401003111,55644.2732767282,56217.4359557407,56291.9134964159,56308.203288611,56440.6771825568,56449.7145493349,56451.5094039493,56439.9382421559,56440.548703805,56478.4532835787,56563.9957543129,56635.6783271772,56750.2800553205,56918.032570647,56892.221491656,56987.6496005776,57006.380764659,57069.4063429657,57156.640402396,57169.5431808385,57177.1271845853,57204.3334308871,57204.3334308871,57231.2805896717,57266.590503509,57388.0660818238,57457.4810339336,57446.7295675619,57436.9335999598,57444.2726785714,57452.1473157935,57733.9208139608,57817.4629574622,57817.6490344254,57832.7509394536,57835.6673834225,57837.6240968631,57839.6389151993,57844.0160708882,57844.0903215839,57871.8656200788,57880.5998279792,57900.63957507,57900.6384128434,57904.4780227941,57947.9049227546,57952.2891272415,57967.676411429,57973.5725398556,58102.6994797213,58124.9249948675,58220.9680414799,58239.6986881099,58234.9978506862,58309.1765010827,58413.6177719004,58460.0625650363,58463.8751651134,58473.3834842051,58496.6696595685,58569.9081857524,58617.1505611867,58624.6996985975,58655.8814692405,58659.4030040697,58779.371126401,59007.8752789559,59012.6950872299,59181.7807733869,59167.2184363662,59667.1789705424,59697.5676437943,59764.4559333085,59761.4250273738,59779.7434626765,60728.5912447894,61261.1217118315,60700.2491586522,61837.3123594353,61995.7055833982,62054.6599831604
"2016-07-24 12:00:00",50461.25,50465.3594160155,50451.1196598822,50250.3155577039,50378.819667566,50503.462485548,50656.6151610079,50644.6388265103,50745.6250676384,50762.4994954964,51316.8188385709,51445.9823947054,51445.0835989935,51649.0416426029,51637.8316183378,51648.0067533054,51602.9221422849,51588.0855125701,51588.2705741923,51582.9689692631,51664.6562409014,51889.1680625945,51819.5468246114,51980.1232366466,51961.9487165085,52063.5197021823,52076.7174229098,52092.3752017246,52101.5900524549,52088.8723255147,52082.200952447,52068.3177743279,52056.75811954,52043.002450824,52064.8807100312,52037.0746838711,52144.6125329692,52116.2666872428,52185.0728739136,52195.0486301103,52212.5994983761,52203.8181521675,52293.8131204279,52648.0463538589,52666.2402172293,52660.9486710862,52656.0324191292,52618.5787779109,52645.8091068966,52636.9367185326,52609.8430891506,52555.070878721,52615.6279280252,52608.9233111281,52609.4936188783,52657.8943518169,52660.2839932799,52667.8941739912,52653.7609341134,52785.6451472502,52807.4113668836,52866.1923309725,52903.5868842161,52916.9794325796,52825.454925686,52931.0736072586,53082.4989401957,53082.3227196035,53081.8832395668,53080.8069390025,53153.319724195,53188.5339828263,53188.4689282714,53188.2002199278,53188.1698731652,53188.0917499991,53596.184638888,53608.8076173679,53868.0752074218,53734.132042105,54456.033761445,54350.1275839652,54117.0182605701,54099.6054197491,54116.1076992881,55509.1728433149,56040.8699736432,55231.2077175059,56688.3084638575,56730.2107466043,56801.4512394245
"2016-07-25 11:00:00",69264.25,61871.0433690693,63096.9839623517,63720.1515435156,64268.8954311324,64302.9830488504,64294.8536109738,64304.7186342128,64355.6319990794,64629.7613666612,64637.738259191,64731.8891843981,64835.8496817815,65292.6862002291,65375.4159145973,65869.8693069131,66046.813188173,66270.9154077983,66205.4177020417,66241.971193097,66324.7686117105,66898.4896239876,66992.3331789963,67019.8417505289,67124.4625500881,67126.9364377555,67152.9504280605,67204.8247814073,67280.7567109639,67321.8393730154,67439.1349636319,67458.2584239525,67629.0694179969,67683.4640209126,67739.7027148528,67746.8358619954,67796.2508727275,68022.3868934686,68028.7532715994,68046.2337571436,68003.8006991716,68128.6627701596,68199.6927497277,68239.6045084535,68312.5189402203,68276.2092890325,68295.605671166,68344.7009820625,68366.0076122491,68390.4661738086,68429.7160094507,68514.6289342784,68570.8467572745,68602.6124852268,68593.083845122,68602.9534303398,68602.7425680563,68632.5317452304,68679.0423458264,68720.422148911,68685.5577495902,68736.2388168966,68739.5961607399,68792.8541072986,68924.1237044876,68938.869761131,68990.7354534027,68984.2842209774,69010.5194240334,69074.7702693369,69125.0216746608,69137.499346885,69157.6530536236,69240.8980956641,69257.1422456041,69274.5017555294,69221.922356123,69250.4316390343,69398.3305071215,69467.5383616991,69591.1713749322,69746.4622152809,70088.2717639261,70200.8265019476,70238.5416971045,70458.7692474871,70673.9232949477,70983.523760807,70860.279696413,71039.7750110468,71026.7471559855
"2016-07-26 11:00:00",69660.5,65626.7388460937,66615.6747862996,67217.2095825633,67276.0215849778,67647.6507638597,67683.867483826,67773.34646009,67815.0705391822,67829.6254498002,68118.4061816027,68264.5900675402,68377.8037465613,68423.7495026971,68555.6944234307,68867.0236069626,68978.04418767,69005.1343414377,69060.9137459135,69095.3906168953,69103.578717174,69195.8427686744,69404.8136252383,69450.5131146081,69485.7407553966,69494.432467138,69535.1333210278,69631.229826167,69650.2878099018,69699.3621388393,69731.1339669219,69795.8174362392,69890.0908799416,69908.4082819737,69944.0981812918,69946.8098831941,69962.382269312,70059.9521235221,70069.4698698354,70091.5870283663,70092.0532027769,70158.3454188127,70158.9036119535,70251.5873081535,70349.0125956831,70349.0858555214,70366.7912226448,70391.395286524,70418.414517242,70458.5211328501,70555.5387809342,70570.0793564518,70627.424607671,70643.2974770521,70645.9738615329,70658.1404607571,70705.1224804126,70714.4351944003,70751.1210093453,70790.809050808,70842.4795943973,70844.8188520496,70911.3877599388,70979.5517241014,71022.430042412,71048.0983200846,71069.955196255,71093.4546616125,71104.2541249601,71210.2011530357,71248.012837049,71281.479138746,71341.3858056092,71374.8782289073,71382.5224301161,71401.9149775956,71410.5508215657,71421.5180681218,71563.457890296,71653.7898319555,71845.1640487265,71997.479014611,72382.9625007154,72446.0118873139,72487.8493435116,72556.8610366983,72773.562820729,73049.3090803096,73272.0451357944,73484.1528511964,73488.6626706728
"2016-07-27 11:00:00",68991,64729.2472160223,65680.7472962744,65793.8090054745,65843.587298282,65878.6753082081,66388.033704824,66448.6583585372,66454.2551835536,66785.0545529276,66841.7618484052,67081.69639596,67086.8342738702,67183.324470084,67324.74207612,67347.9068783344,67517.5989897558,67537.3262101114,67641.1857719326,67729.8463758224,67786.8983060703,67842.8316523986,67948.67111081,68057.5427438787,68326.8248532159,68330.2800908683,68480.8957476174,68589.0557875053,68613.7033895271,68646.7959761635,68724.4774645663,68726.1690876871,68918.5159964006,68982.0287555959,68982.0287555959,68971.5138380454,69040.2171960858,69127.0515507888,69189.3849675637,69273.4311022881,69298.1431964735,69305.5542743022,69320.2322651815,69328.2278837806,69439.6161999069,69478.5025955383,69514.2685450988,69545.661428719,69570.0563697213,69599.7873534644,69677.8695758546,69691.3044415416,69785.3387254882,69801.9278602244,69817.615569293,69827.0766661761,69877.4307381466,69892.2285346713,69928.9092599762,70034.5410471982,70044.8041551365,70047.194360578,70057.212092839,70223.6278089983,70262.7846962279,70313.6790716597,70357.0163019862,70399.8633663417,70407.0480916184,70514.5071217263,70555.2236846995,70601.8221050186,70671.8290953786,70705.8890223955,70713.662748798,70733.3838882912,70802.0910669387,70805.804543271,70845.6912703121,71027.7743596668,71141.4343277981,71350.0938686376,71878.1759697277,71888.1885115099,71973.2299166484,72026.511282942,72243.0114502982,72548.5411689143,72754.5303539326,73047.2468635189,73058.1070666706
"2016-07-28 11:00:00",68444.25,65776.7788527004,65798.3070878757,66156.7102830756,66210.6042363496,66332.982423379,66358.2836213394,66754.7621769955,66903.9118482874,66958.311528954,67150.5063000335,67215.6162909003,67241.7400305208,67554.428537195,67573.7473069872,67628.6875007611,67760.1161811337,67794.6578069005,67830.9300794914,67979.8592070649,68051.7000039844,68053.0389335445,68071.4412498217,68191.5410190013,68239.5301923368,68305.8211471692,68329.1310697042,68383.5240911262,68389.8726497866,68426.5151840367,68436.5290672797,68462.9780284068,68542.4231527895,68542.4231527895,68554.2613595125,68601.6222038131,68592.5283199703,68585.3656894844,68632.379168053,68667.2032201277,68675.5690661705,68713.488823274,68751.5583466116,68754.6721457861,68870.2995834433,68914.3949528009,68942.1024258883,68974.7948438085,68999.0930345923,69024.7828403536,69071.5570117308,69185.8052517572,69219.354995249,69210.7202717222,69213.7485828559,69228.866452191,69272.811547389,69304.2185696489,69311.0402764269,69322.7651836198,69344.2787662382,69370.0277151336,69391.0142185112,69481.6961886638,69525.2083308341,69540.4501229488,69553.4287094794,69573.4674071277,69579.0240397147,69671.782648227,69703.5128512781,69729.8188778708,69779.5789719844,69808.8761755138,69815.5628734765,69832.5263342989,69825.2302496055,70018.9335358048,70012.3139863741,70079.3550813527,70366.1895453117,70462.5235370231,70674.5635913634,70683.9714472354,70779.0298703265,71009.4542203914,70982.9128274549,71401.8196791969,71740.3550777168,71872.606269661,71878.096275299
"2016-07-29 11:00:00",67636.25,64404.4698238456,64423.9380173362,64624.4981273295,64655.4560488976,64723.4565610542,64768.1727249002,65225.4266599691,65439.6171924483,65553.9684376246,65727.6419501331,65785.337349703,65808.9227728194,66077.1781626254,66094.2458756722,66144.1780190191,66250.2714992651,66279.2803679642,66309.8135856487,66432.8574336935,66544.9776274431,66587.2037832217,66603.1554475987,66831.4175572754,66976.0552513963,67066.7567343193,67102.0587429884,67215.0214486821,67228.0032069433,67278.2647638568,67334.3200296311,67374.293832773,67517.8843817231,67531.1467784889,67537.9899608528,67542.4537177638,67589.8197335293,67600.1329925146,67703.4451997168,67763.2395526375,67783.9750259814,67794.3208857246,67833.7764638888,67833.7764638888,67955.2553888181,67983.4622081562,68042.3018609117,68056.8776491073,68080.4176744854,68099.3161469105,68133.7631618623,68241.3657719617,68275.4168981714,68294.951392892,68297.932758139,68328.8611439383,68368.7285590906,68397.2213132761,68410.1749828157,68487.9206213828,68499.6521604802,68513.0659045307,68530.0709448986,68609.1024589522,68701.1404733551,68746.0436169065,68787.0135982094,68822.7596241636,68828.4483133993,68923.411384917,68958.6641636231,69000.528807813,69062.3678536378,69092.4668323506,69106.4721989133,69116.7642239125,69178.2422631689,69280.5830387278,69294.3148333919,69413.5805912813,69620.2281150813,69771.4188525724,70154.0571062482,70163.3141276129,70246.7379111662,70372.5840978376,70618.3293619432,70882.4054193974,71201.2803875352,71429.5430717707,71442.5262747135
"2016-07-30 11:00:00",55860.75,54116.6446598066,54121.0167480378,54254.5488437596,54279.5195918274,54322.1676816784,54434.0407312258,54612.6066101322,54706.712518716,54840.0556856583,54877.922433832,54958.9191838819,54965.3125847271,55397.315384744,55453.9228608094,55459.0613516557,55601.6463334695,55674.7338153957,55704.9730855311,55728.3941560328,55732.5356424791,55900.1216828298,56013.4067154605,56043.6147240891,56086.8570917758,56166.3122016494,56252.0835274449,56343.3884505119,56370.1442170596,56377.1572880049,56384.0059739253,56393.3221250331,56426.2074165952,56433.0724571378,56436.313831293,56452.2605657865,56481.5142771913,56505.2866845484,56620.5227229395,56644.6476294815,56646.0006695307,56646.0006695307,56680.6037916566,56681.4840297274,56972.3108095854,57033.8018619848,57052.2924090765,57043.3150104945,57017.3907732729,57015.6893443316,57003.6991953454,57010.7677880574,57075.4356805669,57092.8290938929,57092.4683011918,57121.1112751956,57150.6365674243,57157.3964742571,57166.6466239594,57199.1789908104,57303.0253349702,57371.340730739,57340.833325031,57396.4166863257,57378.1441187062,57475.7824966562,57536.3142434906,57619.9852925953,57621.6351700192,57649.177090716,57659.8573291279,57722.1802526133,57777.4840924486,57780.3160920907,57784.5184737337,57787.6066483081,58002.6637318772,58158.4354952395,58165.0032583196,58264.9077072388,58802.8596674154,58795.6954624433,58777.5640681199,58781.1733879775,58804.6676946877,58880.9721561143,60290.244959728,59784.6238969764,60880.1142154283,60994.2643853071,61048.5302398265
"2016-07-31 11:00:00",49978,49174.3537484612,49171.4460832838,49416.6488196568,49459.6577938355,49539.6855192271,49674.3773208282,49782.5257823466,49819.647998067,49861.700669864,49834.4419324004,49929.8222634994,49928.0299967796,50485.001801328,50561.289465913,50558.629276628,50857.6390866934,50849.1956756912,50887.0280315418,50915.475347084,50908.8317156241,51037.5720459652,51024.5129144046,51095.9309440056,51089.2232569536,51170.6661841313,51195.4474150256,51256.4972273199,51290.6926568703,51317.5238429927,51342.5137124869,51278.95723937,51264.2017068925,51273.5024987808,51289.8292047213,51292.1629936069,51309.5172135436,51338.6111913958,51321.6687161054,51460.2388810357,51441.0571897858,51445.9892630774,51433.1643942468,51498.9735034371,51489.7824341307,51517.5543166298,51594.3352661049,51874.8403875207,51885.5089470315,51862.8023248241,51824.9410654721,51838.4260652677,51853.2617660124,51883.0282730859,51890.3953428008,51883.8753917231,51933.3300632369,51929.640324126,51934.7808723706,51913.2338491553,52047.6545309661,52059.8233953705,52099.8781556892,51942.5403438504,52064.1049985675,52024.1743273874,52149.9733772237,52311.3187535039,52305.7132977757,52302.5399031724,52299.6567947862,52359.0145947027,52346.7687230821,52390.2755844148,52389.2293182349,52388.0460953089,52629.2604313984,52864.4084895666,52876.1857826986,52908.2081479391,53652.0774668408,53523.680940836,53198.7309914951,53202.1207156446,53211.4618964299,53285.2720682157,55123.9489541037,54385.9774895182,55791.3673798873,55784.2758864139,55849.857766713
