"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-01-01 18:00:00,52797.25,56062.016962857,57522.9119928801,56622.8780528744,55938.0854834926,57720.9086238155,57842.9528951567,59335.7062131862,60370.276009811,54617.2825301764,59400.5071236699,57315.3362260646,57835.0409137113,60769.3113741176,62203.9920319133,57837.8044168221,57043.901274106,55810.4858733207,62468.6673681261,61178.9337808802,54874.6842618479,56183.6475942567,55520.9727770688,59562.1176085285,59049.3000798402,62924.1029856414,61149.0965229069,59222.7653130963,58175.271153455,58140.806948953,57307.0864383213,58395.0421137528,60242.9642117008,55851.0474524462,56717.5920358429,60249.252332641,61784.4581310687,64923.5668778854,56663.6409916355,58080.0296305423,58148.2279106876,56283.9545142177,63811.3058724849,60279.7348820056,66966.8664265432,60763.5111580132,57410.4310756738,54253.8886151846,58525.9688401182,58416.805878044,54272.2904076721,65304.9160825901,61735.6224528171,60105.7899669502,62333.7148504056,61368.7297307748,57872.1326259156,61518.8503751757,55793.4908149274,56528.8496362815,58656.9111534554,58787.772514176,61647.0652188719,60607.6979068107,60898.5078258856,59359.2627455889,61459.1071783305,62092.1971300958,56690.0242144478,54559.0160223586,60611.7629772176,59488.5353056142,58213.5087352405,64875.2022783596,62841.1703408339,54329.1813699042,62138.0887381957,62702.9929648939,57389.7938323453,59021.2688463501,60796.3640490918,61396.0774424499,61371.9934336235,57847.1917655859,57131.3953751287,58178.3344152721,57735.7870504523,55477.2426055147,58209.4100673217,55274.5812081951,61431.7354400705
2016-01-02 18:00:00,60431.25,59963.2357266782,58538.1639720663,62177.5425046683,61353.0384905764,62222.0655586209,62721.6279342265,57809.5747739444,66687.7511491428,58303.5529885786,59267.7519095394,56974.3168884699,60770.1841053419,60945.9627383346,61122.4013295822,59541.91044529,61697.4228363469,62325.8594124421,57094.3651860974,63171.4172361786,63067.3368783811,64409.2151886685,61650.9761633461,64439.1436921062,69068.1591442388,61385.8070139971,60307.4578903255,66052.707503584,57871.6409668292,58022.9403770709,64271.0739928319,57894.7891813932,63247.1291536903,59977.4511049025,64273.4873718603,59527.750792901,65726.0063883237,62967.6873101188,65995.6929104526,55196.6284412286,59736.8160625033,62264.5276146275,65333.0023571405,59525.4232929272,59905.4613539914,62257.320155203,56316.5870277616,65705.0187011792,60706.8856907598,61252.0826779576,61499.5371675772,63528.0900825132,63649.7923242098,62542.7727591914,64760.6116371671,63365.4434290412,56355.5137194061,59456.5163940645,60809.8484553525,64096.7440848617,64742.2094431419,59408.6059186176,65657.7514419495,63317.4376496902,62373.0013911676,61641.4068948791,57866.1837928181,64287.1155129723,60465.8386219456,63027.4805356546,64334.3133898666,57381.7457946941,55376.7146885936,57050.7888794807,59906.6566992213,58663.751080129,64797.3960766073,63909.5387615996,60610.7269997511,61975.2402803515,62811.2523917384,58057.9346880316,64633.6014450757,63842.5273062765,60815.9416362409,60809.3284537781,63636.527385222,60282.4548321129,65025.9847614013,65009.8697574211,62467.4244191704
2016-01-03 18:00:00,57888.5,58275.6008064065,55364.1958566477,56636.2498093779,54431.6286555085,55236.2188596707,60625.7590424096,56798.6665579585,56388.6279474433,56813.39744127,60159.6254303918,54912.071404575,54161.689825909,61231.8420387388,58938.1699627865,61665.1559642887,62959.7908434332,56900.2272037093,51504.759489977,59348.1575675955,56748.6580954251,61309.9593769337,59417.879409305,57812.9648038777,52164.4978924043,54954.9849392867,53654.4935019357,61233.8305136881,58595.8871268416,60080.7044724419,57753.6315774315,58155.5262511959,55986.2005101543,55635.8712073445,56781.193732956,60887.3278593846,64350.1164509705,55144.6233453016,62023.6376611985,59080.4036972037,57773.8471466978,62195.2829013622,57703.7747375353,59660.5900982498,56203.0877343063,56191.7353088343,58205.9410119926,55293.7516021432,57128.761110758,58602.1884405039,60144.0755724366,60421.5891027061,62188.1502080752,59150.7027950737,62560.0384508528,59625.7500772148,58571.8655368595,53811.5795741605,60917.5197885207,56374.1852559245,60156.6369685542,57707.18135155,57384.5888921992,55065.027983869,57274.8429147362,53529.3930482559,54265.6540112862,62049.9965451473,61405.2860971594,58144.5322523858,57396.7475312578,58004.2848066948,56526.3634311316,58669.054724702,57057.0960107589,53248.6556959104,57373.6369742464,50138.1230468701,58430.2812758469,53655.7956714368,56135.8304719735,60957.4895906999,57818.1209413006,58920.6658136894,58083.512622585,56999.5216158457,62274.65129899,58799.7727147535,56796.2630937895,56894.3691918525,58322.9946479926
2016-01-04 18:00:00,70768.25,74557.6288943449,71082.1725491208,77522.7805050447,74805.9274843407,70842.9873875477,73699.2596934193,69093.8257149936,69479.811974516,74023.8718162534,77022.1467115827,68921.0884340107,71816.5669801269,71360.4215550818,71001.5919633619,73584.2556911204,73369.4597599037,70605.9763927445,72885.0361729312,78667.9691869316,73417.9546601725,70760.4863197579,74094.4744171096,74591.3692157852,68383.7128680131,73348.1482573862,78563.0813310252,72862.4077350124,73009.2063541346,74688.5349226516,76339.6260584519,69983.4309250581,71482.0999205056,72486.9808128195,73930.2783147612,74679.8470734447,72530.7533755605,73132.1568075983,70562.9762060868,73113.4403697158,74288.9615850993,77147.2755891877,70773.9892851805,67564.5459063984,72377.6878929083,73674.3498510509,73700.6397017595,76137.3227059552,75926.7248087616,72882.3713346045,76210.1804936818,71942.2978575327,75231.7071173599,73289.938364038,70857.259119107,69780.6738234325,75373.1200068106,72315.9033018897,71695.7253172302,70377.1311924412,76321.915784898,68021.9591979138,75620.8956087953,73747.563370322,71846.936196836,76341.5346818195,68750.7706206649,75379.3536414951,75540.9895839523,73114.3318589613,72183.2968167952,70549.7295273229,69144.0828333226,73481.9874711112,68847.529138169,67390.1072575768,72967.1861471842,74611.4241608625,76403.8092309245,80024.1376628588,76149.1265988991,72529.1241299739,74305.173373383,74157.3892106968,73578.5818294298,75674.085122873,70162.816271732,75606.4901645143,71026.9768876554,74463.3904581552,73981.8587162454
2016-01-05 17:00:00,71862.75,72122.5768501617,76602.5539319965,72941.4674526846,74697.1736844152,74971.1506633734,72200.2707508855,73894.418435281,72569.9008720065,69016.0158266985,78428.0739344591,77178.8538695029,72910.4564715641,74042.614462294,71845.9110854638,78496.2282670185,77953.3264686126,77638.0431138574,74284.4888857841,71305.8338315901,74126.0514321808,75156.0731737244,73753.1310910748,70962.9540012716,72582.8572113417,76392.4053019328,72779.7922608853,78251.273550172,72175.6503502364,75357.3358526625,76117.3636123447,77028.6453170735,70982.7581309019,75683.2202653904,70343.8623018419,71970.15419453,71604.7688909994,75303.7340656718,73402.5603753772,74030.6957743961,79975.3463442262,72761.6633961908,75569.0065381096,70598.6977661437,77021.1074353182,75979.843230691,70816.0047728772,73694.1859801853,77295.5481712061,71782.5540745966,68251.7138760391,76611.5060465835,77443.9437899396,79699.7246863999,72210.5383083283,74611.5284043585,77195.1252360713,73920.3906258602,74174.2178488118,74084.6251961329,76675.4260167325,70168.6627107398,76170.0972747357,72946.7237508777,75925.0714336204,78958.804727959,70428.2568326146,74727.1712106742,73134.7747817192,72545.6907288885,73397.1668355191,72342.0727992104,71236.6083113698,76629.8833801425,77466.211941594,73333.688849017,68916.2463252471,73408.2431113807,68095.920802889,76750.3565900298,77560.3809604454,69205.644901773,78219.3113778867,77190.0581754857,77412.2529238171,78387.5378664869,73921.8724610712,73959.6419664545,75422.9600962953,74077.1944795501,76929.1959886736
2016-01-06 17:00:00,68980.5,64511.8377592666,64301.9035707559,67871.8604290483,65676.9431271841,67517.7926851019,67823.8753575843,68421.986629351,67905.3271776542,65261.2502149754,64252.7420081555,65779.7073052035,65027.2866012008,61196.9216943362,65204.8877682252,63657.4643736143,67810.0989383371,68749.8694701612,67265.9904716591,66380.3402893036,63526.817560919,66383.2959987385,65107.3185092961,63146.3528283461,62780.9944142138,68659.9188149657,66615.6951071375,65071.3285602613,65687.2055044473,65278.0799056234,68211.264570572,63863.9129215506,67808.0507648189,66200.8834993676,66481.8410284752,61831.5268159665,63402.0309654673,63633.9115448099,66695.1553549654,63371.6240791319,65330.9246721117,68342.0237653494,67211.5644337594,67294.1471964749,65127.1029928775,64828.1357803743,66728.5368998016,63594.5972136193,65829.5668997199,63809.9075879274,66511.674874957,66874.8737387538,66203.8831901494,65230.0797939067,65134.5414476747,64878.7509149714,65934.525713599,64714.0264384162,68190.9554571166,66707.4897313439,70589.4059298603,63753.3645381655,63737.6575210477,71081.8432586296,64758.4231712542,61875.54267504,60727.0703572833,69399.8451909088,65330.677241203,69274.8204380776,62132.4172934105,60509.3215521401,68445.2887596147,61979.8227552855,65656.0527566698,65634.6466051875,62618.6381229854,65396.9490326098,67955.7801803946,64517.7225062684,66593.3986159956,61761.5376211176,63611.1202222653,62621.250325532,63547.0460099869,64889.3327837967,63323.5450130868,63664.160343252,67478.2212316615,64498.9240214325,65426.6617121708
2016-01-07 17:00:00,74199.5,75997.5291889734,74769.1018519795,79152.739303891,75559.9724939123,75088.6247448047,76728.2737797832,76067.8968445999,76315.6718501721,72314.4428900764,76926.8793074601,77028.1729324053,76278.0193936293,83713.1101888798,76730.0815121981,80175.4014156228,77308.2754430897,78836.4673556763,76601.3489324108,80532.3964757033,79675.4020843446,79510.6356429203,79404.6325379144,82993.5325693039,81210.9302400031,77191.4600607332,80541.9815154886,80940.9716076742,74549.6754007693,77839.5070944034,72797.1518343675,79647.2313711824,79122.5601450293,77903.117927294,75111.8006685692,78687.4315388343,74116.9415357604,80623.6238858683,76730.0902996437,75050.2338376202,76166.1650979688,81549.2672772546,75818.4313960854,77841.3348002536,74209.8000571089,78753.5592638179,79992.5074439626,75423.1077681912,79721.1322622621,75885.1172682558,77591.4430583736,73655.5853996864,74695.7045220469,74802.1457685965,79115.0364679686,79916.7133357664,78880.5695428129,77975.0927276648,77831.1686632189,79759.7105316156,75723.6204414894,76789.0267526298,75184.6670763398,76465.5705196292,78919.0896357821,79973.8627147532,77593.7990978593,75974.2224849897,79238.4316164328,80188.5925572333,74899.5704507662,79068.0058010647,81222.196606774,75819.3252066492,77901.5013092039,78692.5179180968,74420.4381986619,75771.9289169885,79117.4780810728,81724.4482220493,77155.4703161893,81201.5548534662,85236.5404909109,76652.3586040823,71840.8182577256,78096.1203550888,76071.9697671138,75486.6940211819,78234.3666237352,76326.8319769108,78404.9410536177
2016-01-08 08:00:00,71473.25,71402.6231062457,74210.8858432021,76363.5404842537,73947.9868681415,78873.4035448802,69694.2021538529,68170.0939463963,76778.281377297,75879.2315846426,74755.5685417647,71091.3611155179,74798.9145772612,72739.7982615658,69264.1826013476,75688.9735362482,78638.4285698595,73576.517886462,75394.1994646429,77282.9533370876,73754.8591060561,70894.8787610663,75890.6534835236,73083.5097841565,73960.6366413916,72144.4597901852,73841.4720558669,75462.4759036352,72044.5126882365,70315.8416562338,71820.4582960862,75552.8679392218,70412.8446665439,71147.9330105629,73797.3545571196,77082.9048906931,71733.0924094709,74827.6441150332,76971.7421787668,76259.2791375144,78473.2767738017,74332.8194819193,73728.0913251627,71616.2836892442,74929.6862654852,75025.658684322,73066.0020711151,77834.6482024027,74451.2808154523,75598.8104988011,75165.0101099801,72583.8869972334,72780.5811374982,70030.3027376287,75066.0838836366,75123.9664167681,72658.3604572849,74369.9536036933,75693.9452002256,75366.6409078319,73314.5019108395,71909.2020275065,73611.4984904433,74925.6435330372,74136.0575658797,71641.1147328657,72673.6308988833,75812.4345999452,72412.3554025284,71921.7314170525,73491.2728397223,73755.2272899152,69083.0341760379,71460.0374603168,74324.7503593822,67002.667021995,77231.2104422063,67959.7725468021,73862.0841455633,73316.3153320334,71266.4022344775,71271.7649106986,71828.7597077544,73141.1639094919,71320.98968668,72054.8975328465,76331.4115264463,72744.7020985063,73062.7152637536,74311.8175817322,73114.826746599
2016-01-09 18:00:00,62274,65418.0220940837,61015.7705845834,63382.7360194075,59263.7487226995,64985.4200164281,60881.0195453612,66345.6831602124,63909.7036215618,60650.6688382542,62132.534044098,62254.6077487052,63355.405060392,62049.6085239163,59382.4215846551,61238.1941914802,61476.9145938176,67103.7587425127,59620.2361393587,64018.0987214599,66399.7273903507,63603.7494016637,63539.2184780934,59839.3666464869,60815.1749622297,63291.5616927412,66611.7080632583,62573.6922402944,62158.3999843436,67108.4529934561,61425.6494536029,62996.7395319318,64422.5941512678,60358.7412587185,67996.3995385233,65895.5421779835,61176.5038367906,62506.653398515,65944.0385798387,59174.4534466106,61896.7213217266,67212.5531706656,61107.1819024463,62927.8032268091,67257.8892028549,63560.5132704011,62194.7819275282,63160.2754851598,59934.5578826238,59365.5229817624,63567.8761094786,63094.1111208136,63972.7927062547,63465.9022355796,62508.8246117504,63284.1496000389,66526.6959601444,60982.1094178296,59975.203263189,61292.4849317122,61179.3374774476,64217.5924282753,60999.324086883,60384.4861857927,66398.9009390381,64922.4088442049,66169.2850213813,64301.549928991,62854.6522095614,62146.4226897377,62393.6310726351,61260.577318224,65165.6068481032,64023.4474390415,61957.7578433502,59922.4413048482,64649.4943487539,65000.2511814756,60097.6428087719,63158.925882488,63403.2598621242,59339.0418180112,64239.6945577311,60828.9919877461,68028.0158342127,61057.2459484626,58716.9219485816,61065.4042506483,62905.8874807248,62560.8753375956,66449.9594184781
2016-01-10 18:00:00,59470.75,58723.4224283928,63759.2094538361,61775.971413608,59275.4867269447,59942.4009032758,58131.100350444,60711.8138813875,60701.1407838194,59926.3501123026,55727.5835211952,56081.1778031923,58329.8933374188,63863.8464312161,56933.473115079,55278.5455189387,60676.4503283754,59417.7890201968,59629.7038755968,58136.1649260946,54896.1853004806,62552.7093855959,57658.5047978642,56413.2438269644,57337.592757878,57421.6818106361,57826.0802316686,56106.0011843544,60254.0554579183,58195.4463341286,61530.7713565163,57047.2408937375,61823.2910233681,62152.7408290558,54351.7458449149,59133.2028045647,56515.465810929,62258.6220047803,61685.8114746056,54733.9376248996,57803.3909893033,62506.4398310531,57561.4462228094,56180.999489776,61369.0104767456,57977.2138980752,52802.7383743283,60991.3567086825,58509.5705618788,55829.568582277,57048.885332514,56314.9785954437,58434.7195905377,60462.3605893686,59011.3516255024,59833.2086434235,62366.4333335838,58951.4126203689,56105.5353126816,54133.1569242052,61727.7272393162,63447.2153701475,58056.4176483325,59324.2273897162,57465.6420195352,61069.1541400019,61727.498708919,55561.3364857858,58382.1828708712,61557.2826848173,65042.6351132633,57956.9612099616,67538.1635648144,57515.1421402355,57301.1829559556,56904.0261622704,57002.8302304731,58550.5716744143,60277.343932032,59972.0469087923,64974.4899315578,59568.0464218242,63686.4692162998,60199.9137377873,61727.2942550226,59316.0400623277,62253.1834363131,53334.4677940378,56141.5214614573,57692.9554184187,62839.0674374392
