"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-12-31 17:00:00,58511,52415.9858773699,50941.567205243,48585.0815780024,57594.2908467424,52815.6955600565,55534.3252902631,52068.8795386635,52217.3274302359,51458.6541530363,53433.2322506387,53214.5381897115,51995.8486983088,54154.5902569627,51866.0607688251,51375.900961183,51002.4057258224,53016.5900164593,53145.5832462905,52970.3957276036,53803.287923507,52554.3099493506,51303.6836751914,52207.905619536,53384.3674508533,51627.2802669758,51702.4357314048,53329.2333332968,51949.4059337327,51432.4301024884,54012.8645035468,53502.8858984967,50866.6763841068,54616.1271949523,53092.692159876,53266.5552095896,52432.2910808152,52289.7674566969,52711.5783046999,53158.1868924022,52496.4606212461,52627.668389248,52340.9101172623,52764.2705424014,52242.389056907,53632.8818230006,51973.9510253254,57144.7647241236,49522.5326912073,51390.7233766243,50579.6324948952,52115.2417491633,52101.7703145763,50817.2977570651,51743.2553771562,53499.9669705497,51852.1274807926,51665.5367859635,51578.3485343167,54216.8750220795,53966.3963556545,52904.4036203549,52673.6710617117,51068.276457228,51531.2829002894,52308.7717531258,53549.1644290858,52170.4192924077,54087.1588295184,51249.7362378687,50708.4027086166,50675.0317449987,52592.8392348767,52254.7864412663,51914.4345680762,51809.6862958731,53462.404809937,51209.123814707,52609.7038090578,51139.9434111376,51557.6629182957,51506.7903895246,51790.0634978994,50500.2381139925,49972.2539142721,49675.7597369521,57534.832044124,46814.4015803781,50406.0081344213,50169.0759403687,52523.7076715875
2017-01-01 18:00:00,55528.25,45045.5614626873,46358.0141013947,51648.8485422531,48613.7010739087,49450.8311439666,47662.2385422861,46421.9393038477,47248.0908324512,47300.8733045568,47719.3865121818,46372.5172632312,48071.0961106662,46608.3120167777,45544.5815449837,46432.9902345719,46886.9015813071,47009.1980135795,47003.1593069008,47719.7937772105,46440.213525291,46061.0371023373,47203.1080697828,47245.7391870003,46475.2984280647,46845.7524601936,47640.3424328631,46135.8155456223,46298.2611362039,47011.4688910081,47317.7210612232,47337.655258589,48532.6330486558,47508.4668220427,47617.3194832442,46744.6957860836,47118.3522468456,47538.0887932942,47328.7505936659,47203.4728250694,47514.7546271985,46962.1420946033,47241.6970834739,47136.9108256642,47549.3876767041,45890.4568790289,50881.7533920258,45946.697142628,47049.1768958335,45958.2379443822,46031.7476028668,47261.453492436,45842.4712575594,47285.0021945093,47852.2384287287,46896.1792380871,46342.1897425655,47092.3866267806,49242.5359397089,48503.5650935519,46732.20141376,47183.6273486406,46294.6871391171,46588.1899581872,47799.5935618661,47465.6702827893,47030.1373280009,48003.6646832219,45761.0081144101,45880.7618399579,45278.3796690394,47368.2077573741,46171.2922949698,47429.1343097011,46163.6493146746,47783.3303310634,46832.8759112823,47082.1300116377,45778.1194432353,46323.7403212588,47215.4256713541,46553.4927067973,44993.922704829,44214.517655069,46091.1409831993,49541.4160596467,43935.302619239,45301.078561605,45912.9005680981,48018.5072389785,48086.7250020415
2017-01-02 17:00:00,70463.5,68155.9166591941,76214.1652764387,72378.3252854873,75419.8135490026,71689.7756223013,72033.5356072452,71018.2941089308,72883.4367588588,72542.9489305555,72180.4194445029,73484.5245137834,71413.8109048914,70968.7453392239,70400.5443637097,73411.3467092593,72483.7091220673,72961.2410731992,73331.3758353104,72402.9219922059,70647.2295854332,71567.7849766727,73679.6592765933,71652.929141887,71369.0056309965,72831.6220351212,72120.0526508194,70788.0890608893,74136.5904203694,73764.0063655606,71193.0705095634,74501.3519276765,73233.3249192728,73600.5200017463,72778.2548808266,72698.6032083424,72601.0522640163,73081.6162568842,72458.6257761137,72809.2603676349,71919.1691087836,72564.5032700904,71761.031582957,73645.8056336957,71985.6009254175,78032.3016804505,68927.2468083068,71239.677666311,70249.6239809341,71675.1294498019,72044.9238103494,70508.955248932,71544.5086192425,73202.4694168172,71872.4702031773,71631.5555257018,71318.8195877453,73991.3733226264,73369.3273941443,72991.6549841136,72263.3117487007,70778.2366945051,71146.021154334,71858.3959097676,73563.559635443,72236.6312872695,73623.229172394,70737.4984981625,70838.4060033924,70347.1124119485,72444.0625749149,72077.3219149776,72316.4368016805,71290.7316533771,72913.9322662222,70904.3545758145,71951.6756336156,70917.9455232561,70928.6485845544,71605.8084004947,71472.9320127391,70486.9117140774,69619.7104872824,70164.2471610818,77242.8694927104,66211.7672646431,69803.3738186863,70038.5397169138,71829.6567650802,72781.7331351183,78371.6364286942
2017-01-03 17:00:00,74107.25,74459.8908881838,71776.6531635601,74120.2546512105,71506.6297906879,71204.9224636606,70190.0332417294,72069.1255513017,71755.5561121169,71353.9456205093,72631.9736752878,70581.9263266733,70156.5506616623,69616.5834717763,72595.1226566415,71696.453242352,72146.7657641499,72467.9274140892,71612.3259894361,69876.748890363,70816.1124833399,72871.2779577406,70870.3361788986,70559.4753821253,72047.0997642581,71344.264517441,70065.0419870413,73122.4768664469,72917.1294746676,70376.962460134,73372.0984688388,72421.128662435,72724.7682579573,71979.5691048622,71826.2311952724,71774.3338833144,72227.2939737684,71685.2148786238,72024.5268785102,71768.4651470507,71763.7336379895,70929.3003066993,72854.2060927082,72542.918992903,75448.9704523578,67830.7075898113,70428.9432719168,69405.7065485047,70887.3369238272,71244.6784683087,69704.9593874229,70709.9147947144,72306.6576555799,71409.3051723679,70839.9838204585,70517.6548169225,72988.3235004184,72563.7033604984,72201.7569671441,72607.2374413988,70187.3116927054,70308.3156942554,71093.5779395399,72668.6677711289,71473.9438363625,72832.0502581209,69949.6543819592,70335.3228626469,69491.083368357,71986.6786507081,71284.4588408627,71502.5717902396,70466.6333711975,72121.5967800502,70104.96156953,71192.2187897397,71136.1003818371,70168.1218977581,70762.2337507047,70620.2817052035,69642.0037511327,68610.1856275806,69442.7744112548,78888.4979525224,65489.3521838866,68844.0265438772,68861.1698747053,71088.4411183656,71985.8538865654,75416.4035138838,78664.7687114022
2017-01-04 11:00:00,73758.75,73368.6932235294,75852.7995395334,73136.4082205596,72827.1879242296,71833.2439522843,73719.6853666449,73539.3070079736,72995.2476479588,74465.8866275437,72243.3291723414,71772.5426976503,71270.1701915983,74214.4831312087,73414.0290609844,73784.266423065,74146.2128164193,73225.3919921604,71633.4576613353,72568.7287066605,74499.6389305885,72469.8463797481,72164.4357825942,73664.5759047719,72944.7644153886,71795.1270913858,74954.6079247597,74570.8329563393,72011.4527278377,75018.2239317346,74050.4368700101,74414.5597140418,73572.3766374623,73496.8647502443,73408.7406511933,73889.1671115008,73278.9626982729,73775.6002110625,73559.3951163926,73356.8433392353,72624.5865065705,74453.7874136615,74126.8184713529,76984.4296953785,69564.5390698908,72049.1428271184,70988.2160044256,72498.9956344973,72866.9682967836,71342.1767864712,72344.7432066256,74003.6381183559,73009.4030793832,72452.8456348195,72141.9848380462,74704.9863223678,74177.6321125624,73809.8034296893,74258.8608845289,71760.677958658,71959.4719160549,72813.7743843473,74307.2777138782,73161.5105691149,74436.7155486291,71627.6582749332,71877.5546401023,71073.5928242779,73702.5307714842,72889.7462238957,73135.5413602909,72196.268597092,73833.4127078736,71722.9705604119,72951.418305409,72730.5253662463,71923.1487958323,72422.4932763794,72292.4242506353,71224.5132070535,70192.6950835015,70978.2336542755,80566.5018454964,67223.1836639661,70577.8580239567,70443.6793306262,72838.6370372608,73786.8794707686,76998.9129698047,80200.2279544229,73195.4970508553
2017-01-05 17:00:00,73153,75146.3432422158,73350.3737510285,72215.6333424573,71780.9736718749,73029.3739322453,72744.9442763006,72765.0678488237,73599.6630754752,72120.8155631323,71160.988115878,70559.52667352,73976.995733929,72892.2236015317,73162.0897368766,73677.1172978447,72845.3236734689,71197.3791837078,71848.3496459452,74143.6818054722,72353.506351455,71552.8812008219,73011.5351134455,73161.0509062968,71074.7480306705,74262.2080539837,73865.8476215248,71399.8981460654,74699.0350983598,73389.1892569036,73687.2485220598,73632.0963165218,73002.1802453793,73046.361654324,73194.493893347,72656.1697527723,74050.5276936181,73735.7044556466,72734.6885121381,72144.7405275021,73814.8369270734,74335.1437466275,77200.7161862868,69731.1722547822,71437.5882453462,70885.6181373749,72614.6790281789,72255.4137150113,71631.4122020932,71733.1886248533,73622.8948562461,73225.6895702914,72496.1812893967,71960.1446818583,73959.0600897229,73518.3015667055,73391.3647527109,74418.0205235831,71976.9644495663,71347.9173342826,73047.2443541263,73634.2801876662,73425.6436361815,74203.0708658072,71916.8936905552,72093.8411310106,70527.1426377235,73953.917959304,72590.6275648365,72523.9867785186,71575.3444575809,73051.6090357297,71404.1140534593,72230.8926866492,72946.8118571546,71202.769735117,71810.9386946071,71680.869668863,70617.8293605087,69581.1405017292,71194.5201451838,80855.7372611184,66502.8046032508,69857.4789632414,69832.1247488539,72109.8459717416,72977.2520353574,76387.3583880324,80416.5144453312,73708.5023521669,74069.5700951027
2017-01-06 18:00:00,69877.25,64838.7756227613,63863.6549793834,63283.6212131084,64939.0926008736,64770.0363174001,64278.5219598108,65648.3180654178,63641.6169668738,62956.2167226969,62517.2535618717,65350.2134136592,64643.3472861989,64689.285610251,65223.9300837174,64340.8598146069,62880.5410316087,63815.8120769339,65477.4937492558,63866.4973709773,63304.1943785684,64874.7219971752,64445.7342888524,63042.2104616592,65753.3015207145,65298.0658712113,62797.8052078426,66382.8975798443,64819.3905900194,65187.7031606097,65105.9512204772,64526.6028449339,64302.081384638,64712.4067072893,64067.8672885502,65610.4899630335,65256.1324179767,64337.4889636908,63871.6698768439,65234.3513450852,65890.9723814783,68408.8816871176,61258.7033502626,63015.2722411324,62156.1035678539,63826.6136928096,63704.3014491523,63155.1544938181,63352.6012939012,65096.7600060108,64445.4292273996,64015.9972608978,63482.091619431,65753.4250468497,65299.1662900015,64818.3514084081,66199.8726596117,63318.484773655,63144.2547616712,64564.269717419,65130.6701990844,64947.7409537596,65692.2708308949,63403.5563722326,63570.9156489437,62235.4979487566,65511.4772022293,64110.6233770629,63921.8938402958,63443.3519673653,65069.5496740378,62930.9585782543,64233.0686255643,64195.0160926718,63170.2321661057,63208.8457563843,63376.9278077322,62116.1505384308,61178.3981450687,62422.6608754863,71834.0009067685,58470.2670342395,61824.9413942301,61628.1193681335,64077.3084027303,64999.9998175165,67720.1086183162,70126.2050332576,65491.2174864174,65838.2374645861,65366.5765684675
2017-01-07 18:00:00,65873.5,64767.8548551952,64020.1044924692,65891.1353791349,65722.0790956614,64577.5262375574,66616.0330510731,64442.4553208761,63908.2595009582,63469.2963401331,65472.4468329536,65566.0829046935,65335.7294766918,66185.3212404494,65087.1513614877,63832.58380987,64749.0701119541,65881.2292399094,64173.0547309907,64256.2371568297,65826.7647754365,64505.7133668248,63994.2532399205,66239.3833680486,65831.8438472013,63410.6600975318,67004.1980391896,65437.800214571,65762.6091582241,64944.9590186667,64689.9782662047,65231.3345438713,65664.4494855506,64978.3932839031,65185.1114038256,64862.2500583245,65254.1241628993,64815.6977576447,66121.1929947548,64540.4676999189,67951.1227384054,61763.6652184255,63967.3150193937,63108.1463461152,64656.3442274136,64601.916135162,63310.0465477411,64304.6440721625,66049.1353058506,64410.0664079777,64228.3261646795,64159.1009000524,66723.7785588569,66285.6120652419,65289.5317419521,65210.1316201823,63602.2202011275,64096.2975399325,64844.0135115644,66088.969990135,64719.9306402119,66509.3225915887,63809.7065189772,63266.9727132461,63187.5407270179,65110.8078978132,64823.7126551052,64470.7902694775,64395.3947456267,66021.5924522991,63730.8380749798,65150.3978958992,63657.0830151775,64122.274944367,64064.9157208062,64328.9705859935,63013.916366544,62130.44092333,62123.7377359638,69383.6814619154,59422.3098125008,62776.9841724914,62580.1621463948,65019.9100668115,65952.0425957778,69059.8697285919,70340.2509206723,63540.0418838521,66796.6593612819,65029.3511809916,65595.3900644602
2017-01-08 18:00:00,61566.75,62167.5301684644,64028.6549159046,63835.9394167263,62724.9519135526,64656.7482675839,62589.8809968712,62055.6851769534,61616.7220161282,63483.155152687,63585.2258905661,63436.9574179473,64268.61867075,63176.7768569868,61980.0094858652,62896.4957879493,63983.5499871876,62320.4804069859,62403.6628328249,63926.0374953107,62653.13904282,62141.6789159157,63706.9659321389,63912.8810296158,61558.085773527,64944.0850372771,63551.158050827,63885.8588325035,63027.0287037539,62837.4039421999,63357.5572961775,63760.5808855142,63092.3846946619,63297.8235718944,62991.4391875596,63378.7602198665,62915.2805311904,64236.3956661302,62687.8933759141,65705.218161939,59911.0908944207,62114.7406953889,61255.5720221104,62803.7699034088,62749.3418111572,61457.4722237363,62452.0697481577,64169.0181282943,62557.4920839729,62375.7518406747,62306.5265760476,64763.4587270683,64332.7469164446,63401.5498388945,63332.5370798208,61749.6458771227,62243.7232159277,62971.1383311004,64196.5609818458,62867.3563162071,64433.0377412371,61957.1321949724,61414.3983892413,61334.9664030131,63234.5770374829,62963.1234336399,62618.2159454727,62542.8204216219,64099.468271773,61878.263750975,63258.2335738084,61804.5086911727,62269.7006203622,62212.3413968014,62476.3962619887,61161.3420425392,60277.8665993252,59695.7118566405,65862.3094710285,57569.735488496,60924.4098484866,60727.58782239,63125.8189598983,64038.5610551301,66086.4002884271,68487.6765966675,61687.4675598473,64871.2042348521,63167.3357428067,63713.5085806887,67207.2954045871
2017-01-09 17:00:00,76084,76165.4916945334,75818.5070492315,75460.0833538547,76770.7471696335,74757.0468675747,74365.6577547214,73764.1963123634,76739.3278734904,75787.9505024281,76244.7500642937,76593.858895747,75653.2533509755,73981.019380603,74823.9415202951,77046.9024707326,75045.9606918906,74732.2739597262,76155.1936178542,75420.3029813006,74097.7670903745,77466.8776928271,77092.7539876596,74543.9337643702,77571.2692494136,76443.1790150846,76844.2922841209,76001.8557082644,75898.1086638522,75872.077755344,76371.7253300675,75728.656417362,76089.9798073155,75396.8025290604,75860.8393916157,75092.1106915684,77007.6747711129,76222.9633794597,79283.0086197704,71867.6760985087,74600.1430960171,73581.3310614967,75062.9614368192,75350.0726654537,73880.5839004149,74885.5393077064,76399.1635321904,75210.0111215489,75015.6083334505,74691.3253092467,77163.7297285663,76634.3390167414,76322.3902771419,76301.5222464543,74172.6164872813,74467.6896058128,75142.4061095005,76807.5981882798,75482.8612809668,76900.3927709493,74146.5789521477,74222.8557357942,73666.707881349,75678.1963032316,75380.5469766526,75588.3627050299,74632.6732886537,76222.7242772501,74316.085617483,75285.2579940127,74850.9420684656,74280.586082522,74937.8582636967,74795.9062181955,73817.6282641247,72785.8101405726,73455.6236173287,81562.9576715588,69526.320692584,72880.9950525746,73036.7943876973,75104.9248196913,75995.1462592181,79592.0280268758,81050.3360486682,75020.7856411806,77274.239733946,75949.9583963063,76297.2212930422,79163.8806086752,77029.8306057002
