"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-07 18:00:00,65873.5,62361.4236696519,60904.7820352391,61771.2784246936,61939.5622326928,60963.6384880442,62977.4865342385,61350.3921805615,60387.2837742261,60111.6944846379,61613.1208424081,61907.1054144816,61871.6030734972,62665.2943603557,61971.9373059368,60500.5188284058,61400.2168660366,62259.8683906191,60870.5587153392,60685.2958996556,62164.6754341896,61323.0311882624,60247.7507955747,62092.5944798375,62329.5207985506,63564.435953866,64738.7846663852,63658.1686407731,64151.2413716108,62473.292800135,63042.4657011482,62583.8338728093,62621.566506674,62062.4650137255,62093.5069054164,62028.4802060817,62389.1690517379,62011.3053409835,63222.7901383521,61652.3697558494,67226.1843428931,63005.4784904092,61308.545965574,60796.5484120855,61745.4408193923,61827.5365562266,60425.0520768151,61233.6162142337,62754.5851063388,61500.6541859737,61114.0009565186,61089.7248219674,63777.15324678,63141.502096756,62806.3795650652,62416.9888152191,61057.2980422539,61042.3890625953,61680.5832258682,62875.0759447771,61544.0620342225,63601.0272258355,61179.9541620065,60288.089887181,60050.3646428317,61580.9150547949,61486.5616021526,60989.1804708173,61159.6183949688,62687.277521216,60607.7659768978,61706.4164532167,60309.5771522426,60739.5359590532,60453.9139498456,60924.0694676933,59619.6930687408,59491.6281277632,58200.7465082709,64944.5754965715,55876.4997879236,60566.2859680212,58967.5127579119,59919.124717454,59771.025967369,64481.9647784917,67849.3027555065,62236.3770286251,63352.8426916121,61245.6596855177,61451.1724461399
2017-01-08 18:00:00,61566.75,61063.9911644515,62112.951877443,62109.204073407,61122.8476172566,63097.0027233308,61509.6013097739,60546.4929034385,60270.9036138503,61782.3958447838,62075.5903479566,62038.9201957497,62802.324061894,62134.9842320615,60659.7279576182,61559.425995249,62431.2837202649,61029.7678445516,60844.505028868,62354.5116854268,61482.2403174748,60406.9599247871,61769.5080700705,62504.831204428,63660.4142005996,65253.7108745354,63761.7596019147,64099.7719246646,62599.6311687922,63173.1891972027,62643.3689718725,62769.6916810229,62228.531556721,62273.4272455395,62190.7930384554,62531.7411278718,62172.0323138231,63317.9263509814,61826.103239839,65693.3384463314,63138.0174322419,61467.7550947864,60955.7575412979,61913.8473055046,62002.562790437,60584.2612060275,61392.8253434461,62886.3003839526,61659.8633151861,61273.210085731,61248.9339511798,63834.524890657,63236.0891360133,62931.9575207338,62560.1173990887,61216.5071714663,61201.5981918077,61843.4671153172,62966.6747841039,61703.2711634349,63739.5824681974,61339.1632912189,60447.2990163934,60209.5737720441,61751.8852795865,61645.770731365,61148.3896000297,61318.8275241812,62830.0876492775,60766.9751061102,61868.036773515,60468.786281455,60898.7450882656,60613.123079058,61083.2785969057,59778.9021979532,59650.8372569756,58324.5109283381,63541.4269897442,56035.708917136,60725.4950972336,59126.7218871243,60078.3338466664,59930.2350965814,64355.1184689408,68008.5118847189,62396.462262577,63433.7336660861,61404.8688147301,61610.3815753523,64703.793753237
2017-01-09 17:00:00,76084,74351.9803548337,74522.9207541856,73646.8629763569,75414.0051903329,73929.5707237038,72993.8233096675,72718.2340200793,74336.6396885798,74486.2506019787,74449.893196666,75217.0220872519,74556.534479636,73107.0583638472,73970.4594132605,74843.792668806,73477.0982507806,73291.835435097,74720.7576517686,74095.1332919357,72854.2903310161,75630.0562693248,75499.7875697209,76226.7207007673,79065.5090782631,76446.1371642867,76705.6985264389,75248.772015661,76015.4521993865,75438.4789435957,75090.6993781015,74856.0316141821,75363.344475765,74741.1780783076,74952.161610657,74582.3146382905,75904.0007027056,75071.297450429,80598.6812298596,75544.3331295598,74283.1753634973,73403.0879475269,74429.8256700657,74826.5640192091,73031.5916122565,73889.3615143225,75277.4180555065,74570.5171964734,73979.6575866681,73663.8375776953,76473.2637716212,75720.4981479798,75599.888064447,75456.8716542213,73913.9892436566,73861.8148899451,74258.9092912908,75548.2920260536,74616.3239090501,76350.7010827415,73766.1579304102,73791.7626382931,72656.9041782731,74996.4999305541,74255.4487900942,74037.4729949168,73720.54049196,75249.654468123,73453.3101106397,74359.2640333171,74268.3195606804,73346.0754944946,73310.4857242231,73511.3215706805,72360.8920566648,72098.1676632046,71865.8843151171,79201.6534994135,69270.3814361407,73172.8255034626,71574.0522933533,72525.6642528954,72377.5655028104,76916.7787032203,80703.0782932802,75093.9640845673,75865.9771876859,74448.8369591846,74008.613158406,77592.2598020144,77144.4505853534
2017-01-10 17:00:00,76869.5,76536.3840705255,76208.784252483,77468.7843546145,75989.2459594802,74998.8053070573,74723.2160174691,76907.9443288009,76505.0272783634,76800.3252317224,77224.6726973751,76778.1728932625,75112.040361237,76018.9090528103,76936.8028728879,75482.0802481704,75296.8174324868,76731.2026298682,76617.3278993318,74859.2723284059,77948.5039091,77776.0436366032,78501.9922463638,81620.9757087691,78721.4087098832,78980.9700720354,77539.2381850328,78359.2715455965,77721.4165267329,77257.8000433929,77136.8763592107,77659.3281150319,77303.9125012761,77223.308660202,76691.5746873342,78235.3233214975,77687.6458226948,83675.3978857055,77552.4247258938,76558.4469090938,75614.5708957187,76705.0972156622,77106.3148405732,75282.4150184583,76137.0864355416,77456.6310776311,76850.0674727429,76221.6382627402,75807.1297711699,78748.5353172178,78025.6624882757,77882.9872146637,78018.7929303474,76164.633059919,76067.0341838896,76782.5330884394,77856.7108206011,77194.5079799925,78625.972628338,75773.8145617635,76248.8024943672,74762.5680358496,77573.2580979802,76530.7203356907,76283.8847040025,75735.070905413,77474.2465544823,75728.5816562362,76634.5355789136,76828.5774671215,75391.6332247505,75585.7572698196,75643.8762481625,74636.1636022613,74103.1496605944,74141.1558607136,81763.5747755396,71545.6529817372,75334.1717603786,73579.0342907431,74703.6262301596,74465.7481802451,79192.0502488168,82978.3498388766,77374.3442993775,78161.7584300174,77021.8007523217,76254.9291322646,79867.5313476109,79419.7221309499,76975.4603884201
2017-01-11 11:00:00,78078.5,75824.7143520958,77129.1774028331,75674.3073633361,74708.9955221678,74433.4062325795,76426.0506386303,76215.2174934738,76413.1483430774,76805.8715906017,76321.6784082198,74822.2305763474,75729.0992679207,76517.014304156,75192.2704632808,75007.0076475972,76391.0341754502,76209.5853170963,74569.4625435163,77409.101566955,77278.8328673511,78005.7659983975,81204.4201073856,78225.1824619169,78484.7438240691,76977.1879477375,77794.4974970167,77217.5242412259,76762.1337875214,76605.6093168393,77028.2157514013,76939.260430625,76635.0769118123,76279.1493129419,77683.0460003358,77269.3798027464,82498.2141158782,77259.50534206,76034.4940877244,75118.3446477524,76195.3484393679,76562.7242336784,74786.188770492,75570.8079359234,76964.8266806232,76326.9382648586,75768.5375459283,75379.0097901955,78252.3090692515,77499.54344561,77378.9333620772,77616.635980982,75640.8601875753,75520.6016071528,76371.5989306151,77327.3373236838,76710.3456073804,78129.7463803717,75484.0047768739,75844.9453286742,74372.0763907733,77194.5822828714,76011.5683597627,75758.7028842983,75445.2611205234,76955.7503380206,75232.3554082699,76062.2206611275,76377.6384643168,75061.2477069948,75089.5310218533,75226.4937831807,74148.8461241911,73813.3398757048,73644.9296127473,81399.7358517308,71049.4267337709,74887.9977159628,73289.2245058535,74240.8364653956,74092.7377153106,78695.8240008505,82482.1235909104,76823.7896522825,77645.0224853161,76611.4755877171,75772.8841940815,79371.3050996446,78962.6745595074,76565.2483048283,77142.3897733952
2017-01-12 11:00:00,75841,77060.8011003661,75725.9692084904,74640.6192197007,74365.0299301125,76353.89851371,76146.8411910068,76347.7235921529,76737.4952881347,76237.546171332,74753.8542738804,75623.8624720204,76448.638001689,75123.8941608138,74938.6313451302,76322.6578729832,76157.182108939,74501.0862410493,77309.3448072027,77179.0761075988,77906.0092386452,81116.125643085,78125.4257021646,78384.9870643168,76878.2635467637,77694.7407372644,77117.7674814736,76693.7574850544,76505.852557087,76987.9106306737,76869.1030049896,76535.32015206,76210.7730104749,77583.2892405835,77252.8363264083,82427.2435434005,77191.129039593,75934.7373279721,75049.8838575601,76095.5916796156,76462.9674739261,74686.4320107397,75420.8448474005,76896.4503781562,76227.1815051063,75754.9478202309,75295.7245080699,78152.5523094992,77399.7866858577,77279.1766023249,77583.9834340609,75471.0511761711,75364.4017375681,76305.6680030197,77227.5805639315,76646.0659921808,78029.9896206194,75376.8848180564,75777.0039313434,74303.7000883063,77138.4486016937,76013.3633838386,75625.6552550216,75343.060267442,76863.817997285,75110.105393729,75962.4639013752,76298.8782864424,74992.8714045278,74911.8206160459,75158.1174807137,74077.8755517134,73744.9635732378,73545.172852995,81328.7652792531,70949.6699740186,74819.6214134958,73220.8482033865,74172.4601629286,74024.3614128436,78596.0672410982,82382.3668311581,76724.0328925302,77545.2657255638,76540.6508921336,75660.7229654537,79271.5483398923,78939.8750320704,76496.9359901442,77063.3451073133,75861.9805639819
2017-01-13 11:00:00,76602.75,74938.6376963437,73383.9904861894,72844.485177857,74968.5457599265,74901.2421860209,75486.5139690535,75786.4915824071,75366.5812702292,73432.0245373131,73353.0661223355,75523.1537111232,74055.8955492361,73562.3340272484,74555.7216198623,75282.9509430724,72889.6894841207,75206.6169579329,75510.191554595,75803.2813893755,79765.7352775092,76022.6978528948,76786.2087553292,75872.5148423145,76397.1725248622,76101.5813773774,75030.8795574626,74398.3802539403,76036.9943214709,75969.7557572021,74575.287115147,74773.1111288963,75584.0119246311,76282.7848001476,81571.5797418544,74659.0479856229,74465.0248545736,73872.4374149476,74959.3409482275,74895.836569159,73674.6572406796,73318.1169981307,75251.8073810647,74372.74184905,74899.2840186847,74020.7814656308,76049.8244602294,75297.0588365879,75783.7112333565,76728.3196325148,74390.8272046939,73648.4463719326,75444.9645565912,75149.7953895074,75744.2855222459,76012.6260566011,74295.7955051969,74921.3401297973,72848.2512217438,76196.2592019306,75194.1755156479,73938.046121917,73732.9430084599,75422.4247661504,74147.2380788668,74242.7573523913,75166.8212417394,73457.0795234719,73162.1935910025,73543.2225338091,73222.2117501672,72174.540480888,72495.4999096712,80473.101477707,68846.9421247488,72635.4609033902,70685.2120099835,72004.9153731712,72087.3540712065,76493.3393918284,80652.7812545508,75318.5828178751,75442.537876294,75638.6139308045,73490.5499322647,77545.0022086212,77495.0129383891,75561.8379489184,76338.765490475,74480.299997413,76544.0279295961
2017-01-14 18:00:00,64873.5,63668.2033696605,63392.6140800723,64894.0404378425,65160.6306619717,65124.273256659,65891.4021472449,65230.914539629,63781.4384238402,64644.8394732535,65517.2966240595,64176.3439904678,64020.4555544876,65374.4265008508,64747.3507723974,63528.6703910091,65749.6591571105,65618.8459272063,66663.1374559662,69239.2569054172,66861.2929344194,66956.235356879,65681.8278653107,66259.7278984639,65721.3416350142,65765.0794380945,65309.3998015161,65484.4651037812,65417.2279418039,65610.440393985,65256.6946982835,66357.7996022353,65731.6931820951,71017.4122068589,66218.7131895528,64526.5792809521,64150.9528561412,65026.3604148267,65052.198020128,63705.9716722495,64460.8737574409,65951.7981154995,64767.0192170987,64361.0406554248,64333.5645570227,66883.4700681367,66294.8996634247,66037.7203433628,66174.1520975193,64314.7905777347,64267.5017408025,64961.5028213026,66088.3852503259,65197.7682602844,66782.1246668216,64440.5379904032,64374.5153057895,63331.2842382661,65685.4894468648,64699.0813447128,64239.1808461111,64389.6548026083,65924.034528116,63966.21549509,64987.3360486511,64637.7381042489,64077.4680075199,63734.83354528,64201.5351366098,62900.6126641752,62772.5477231976,61985.4872029028,69918.9339427115,59389.9843239264,63847.2055634556,62248.4323533463,63200.0443128884,63051.9455628034,67221.4823908866,71130.2223509409,65445.595029624,66422.4216921904,65087.1046536026,64681.136461471,67781.1535564137,67476.8289351628,65038.1611740574,66008.0108501746,64861.8346502293,66017.0264454008,63888.6855723322
2017-01-15 18:00:00,62288.5,60578.9285197069,62048.1490898639,62294.7705912956,62224.6897966431,63077.7165868795,62374.3394495506,60921.1479849146,61817.6262156305,62597.4785969213,61337.2672957758,61152.5299347246,62521.1849441906,61775.780000643,60714.9848306437,62037.812523669,62687.492611178,63849.4518956008,65561.735780392,64047.607374054,64142.5497965136,62868.1423049453,63446.0423380985,62907.6560746488,62951.3938777291,62464.2125022378,62487.1530256253,62439.1713410058,62727.1024256881,62406.7962677618,63544.1140418699,62066.5596679534,66001.363352188,63405.0276291874,61700.8502493027,61263.7824471545,62171.766421603,62202.0759374769,60854.5178092951,61626.8524300378,63138.1125551341,61885.3957843474,61519.8789966573,61501.1050173693,64069.7845077713,63481.2141030593,63224.0347829974,62828.6577047209,61453.8161804371,61425.4952857457,62097.4420819237,63274.6996899605,61953.3336567333,63968.4391064562,61575.9692422429,60755.32392225,60517.5986779007,61967.227997299,61867.4509011056,61387.8495762444,61547.3550950594,63110.3489677506,61075.0000119668,62147.7318839503,60776.8111873116,61206.7699941222,60892.2861118841,61362.6584301024,60086.9271038098,59958.8621628322,58632.5358341947,64641.5692841495,56343.7338229926,60967.7528634748,59434.7467929809,60386.358752523,60238.260002438,64407.7968305212,68316.5367905755,62559.0737492108,63608.736131825,61647.1881970755,61831.1539128881,65040.5375107768,64663.1433747974,61712.8937205867,63194.3252898092,62006.8179399428,62338.8371085662,61033.5200030902,62765.8357100081
2017-01-16 18:00:00,75850.75,75479.8158491166,75482.8012835094,75689.2774279571,76272.0178703889,75568.64073306,74086.5873953935,74984.5665068408,75791.7798804307,74458.0837306639,74269.3012954762,75715.4862277,75496.1202524306,73773.2298032163,76422.4274822105,76299.2011880136,77043.7531791102,80306.5974921854,77251.2538015497,77510.8151637019,76062.4435884547,76820.5688366495,76345.8942487433,76145.6951612385,75658.5137857472,76281.3071928368,76174.6736852528,75921.4037091975,75601.0975512712,76738.4153253793,76527.0976715134,81815.8926132202,76599.3289126968,75036.1598015809,74401.0712776316,75366.0677051124,75473.6502725905,73971.112470821,74770.2705257523,76332.4138386435,75229.1488607214,75105.3898218784,74648.1174639465,77278.3804088842,76675.5153865687,76418.3360665068,76934.314478324,74649.744475924,74582.1508597538,75666.7376375163,76469.0009734699,75964.597808844,77162.7403899656,74741.6563785688,75144.6912770173,73711.8999614101,76440.5720732965,75061.752184615,74719.1058809196,74714.1802801667,76304.65025126,74227.8212865996,75342.0331674597,75423.8557930196,74346.831218234,74048.8190928045,74531.5685792852,73436.9668654529,73153.1634463416,72714.6539240779,80717.4143490728,70075.4980734037,74115.449268424,72629.0480764903,73580.6600360324,73432.5612859474,77721.8953404833,81510.8380740849,75808.8208323305,76803.0374153344,75806.1508202843,75025.4551963975,78397.3764392774,78005.2755961656,75767.4665824891,76388.6265733186,75201.1192234522,76788.340800962,74627.9361242788,76214.068628568,75011.9274991399
