"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-07 18:00:00,65873.5,58705.8378586036,58170.5709680171,59946.6856659066,60407.366587472,59481.31987876,61178.3290960246,59306.1777638767,58420.3772434505,57916.8511701151,59922.2134566819,60478.4636974326,60616.7034761388,60945.0239076542,59907.6446982705,58553.6848424209,59806.7910570438,60065.2293818509,58613.3952908818,58726.2068266714,60706.2736688542,59587.9411655373,59138.1985485523,61243.505725185,60526.9640270537,61863.8474793547,65588.8999165061,62125.6578118379,62755.5717979136,60865.1761331642,60277.9181986611,59382.3207583343,60319.3582253442,59862.4357834509,60625.7724909056,60585.0250530032,61592.9399707589,60980.9934379063,60085.7542173617,59919.2599059931,66476.9906575091,61406.7433743214,59567.5539616438,60156.9098715258,60892.0271719972,58959.8251760933,58024.5682058264,59040.7775097179,61359.9916115784,60106.2213963416,60642.937176421,59974.3617185465,61129.2687098262,61076.7328057568,60789.155254374,60690.5557420671,58822.4431553711,60257.7212965271,61040.313479105,60217.1832576928,59716.3806362441,61506.9009456844,59179.6475608748,58932.4655459413,58862.931829275,61270.2964638459,59414.9968356505,59538.804629879,59079.9863164694,61214.4056385272,59453.7581953968,61626.6691571827,60243.5543538243,58285.0938294166,58347.4481285959,59342.3578498083,57845.7140611101,57478.4455099106,57189.0037385902,64247.7419970929,55797.9766969284,62392.6321966084,57108.4338382802,61889.179762299,59715.3824193396,63141.5086171195,67321.0047902438,61682.5367092988,61798.3315842878,60591.5849414351,60755.5434309746
2017-01-08 18:00:00,61566.75,58922.9990337295,60674.6415223942,61071.7862910565,60206.1862611091,61882.0489772475,59992.8088491946,59172.8053091628,58669.2792358274,60660.0727639828,61159.7946531843,61337.4531187155,61644.4552377095,60641.2655697344,59306.1129081332,60467.8104850519,60726.7897842588,59365.8233565941,59458.2659243159,61442.9838077794,60319.9820273561,59832.4143821817,61354.9914011252,61230.8917631449,62554.2981557801,66625.9280657123,62781.2855083161,63214.2209885979,61541.5833200863,61010.1493622394,60094.7859155206,61030.3462643734,60588.1070563444,61369.1315418511,61279.392092766,62305.8359216042,61697.4519733665,60817.6574475632,59932.0756265871,66020.9789808944,62113.077130563,60291.2326955913,60858.6494620539,61617.6041988765,59615.3598949873,58776.9962715387,59712.2532418056,62028.9805451809,60838.182283074,61378.2005566179,60699.1137316189,61843.7183792735,61796.6095520394,61507.9714966869,61395.3652421333,59478.6348923837,60969.6113234051,61733.4215036186,60909.3379372381,60393.5381390176,62203.492274512,59890.6266142646,59221.028041046,59574.8712210834,61992.987018073,60134.7488240466,60233.7479444723,59793.2055754302,61930.957776856,60167.4249013628,62356.404964776,60340.3692312496,59037.5218951289,59099.8761943082,60058.605829589,58598.1421268224,58230.8735756229,57411.9827194846,62683.9014118688,56550.4047626407,62974.1954598033,57860.8619039925,62617.6106643907,60439.0987082325,63555.9061922408,68073.4328559561,62384.4000157137,62490.5763066489,60559.2191227561,61458.7017345665,65027.1618828062
2017-01-09 17:00:00,76084,74468.2277369596,74838.5012373502,74161.7627639501,75637.3158444459,73740.2305995639,72908.031167285,72477.4342088042,75269.6221759902,74879.9412640333,75220.5736080768,75411.5449424967,74423.01882214,73029.1830140228,74247.2536812093,75446.1744621496,73383.8090904674,73295.8749868658,75203.5202151101,74099.3876685681,73601.360548407,76815.9806355918,76147.5815936618,77132.4054299675,80434.0830386891,77010.3125225209,77360.6517515154,76021.2893546849,75922.3309319701,73877.6197594117,74818.3043352162,74568.8189231856,75670.3535760289,75039.0467361217,76449.9160450227,75550.3357604952,75095.8103261115,74204.1909852153,81547.0489394736,75830.879502535,74639.7165130156,74965.9684958319,76119.0615426044,73776.276819718,72938.0526780638,73537.7770094907,75880.0459390705,75389.7038369855,75578.8685856642,74818.2136972548,75985.7771488903,75638.355320862,75739.7079370558,75347.5433723362,73961.8764083091,75206.5046959039,75807.402891561,75029.4286898007,74581.1318705647,76206.6164852563,73690.5155264156,74071.7460328104,73766.8669272691,76610.5625018883,73902.9408884974,74433.4071732226,73520.4082147824,76056.2826867765,74177.6031047524,76323.8741167798,74684.3232664649,72731.1540067062,73453.1727106696,73800.9638221714,73157.8697241231,72229.4788489251,72820.3300930909,78448.65951227,70686.3640498667,76782.4843770476,71692.2305820215,76362.4531287569,74201.6931119943,77484.1272110277,82620.5721961027,76250.3494985321,76547.6183308216,74596.8710884113,75251.1387807562,78835.316855783,77765.8551703098
2017-01-10 17:00:00,76869.5,77486.0356308575,76930.2506352592,78299.4077457576,76387.7649930712,75555.5655607923,75124.9686023115,78038.1100472993,77527.4756575406,77989.0614793859,78073.2935653606,77070.5532156473,75676.7174075301,76894.7880747165,78214.6623334587,76152.2969617765,76064.3628581749,77851.0546086174,76751.2407638572,76248.8949419143,79584.4685069009,78914.9106861297,79900.8933012766,83081.6174321964,79778.80039383,80129.1396228245,78789.777225994,78690.8188032792,76646.1076307208,77465.8387287235,77278.3105103281,78438.841447338,77686.581129629,79218.4039163318,78318.8236318043,77805.5382565756,77158.3808186559,84315.5368107827,78478.4138960423,77349.6197418738,77682.2921437435,78872.7365321467,76544.7646910271,75706.5405493729,76306.2648807998,78648.5338103796,78158.1917082946,78347.3564569733,77506.9117190876,78754.2650201994,78406.8431921711,78508.1958083649,78116.0312436453,76730.3642796182,77903.0242040116,78575.8907628701,77734.456367141,77337.3067944947,78973.3078298883,76459.0033977247,76840.2339041195,76535.3547985782,79379.0503731974,76550.4752820047,77168.9204063856,76167.9426082897,78824.7705580856,76946.0909760615,79082.5439562695,77408.2043843247,75378.6884002135,76221.6605819787,76448.4982156787,75926.3575954322,74997.9667202342,75588.8179644,81401.8507818582,73454.8519211758,79550.9722483567,74460.7184533307,79115.5484597887,76849.2275055017,80252.6150823369,85389.0600674118,78999.4117773071,79316.1062021307,77646.2264799862,77898.6731742635,81482.8512492903,80534.3430416189,77974.992567213
2017-01-11 11:00:00,78078.5,76160.4794555611,77599.2784176078,75687.6356649214,74855.4362326425,74424.8392741617,77320.1021190989,76783.4861981926,77276.4563886954,77373.1642372108,76360.5975499749,74976.5880793803,76176.1328100205,77502.3298071716,75443.2764173376,75355.342313736,77146.9550501356,76042.2202194183,75548.7656137646,78875.447962462,78205.8901416908,79191.8727568377,82381.4881040466,79069.7798493911,79420.1190783856,78080.7566815551,77981.7982588403,75937.0870862819,76764.9104854337,76519.1504194026,77726.7495849555,76864.3035333338,78509.3833718929,77590.256959908,77075.0537366371,76925.1756077203,83660.6128580161,77778.2845678925,76611.6770025478,76907.434581576,78163.7159877078,75835.7441465882,74997.520004934,75597.2443363609,77939.5132659407,77447.7411954884,77630.1858077329,76727.6212706541,78045.2444757605,77666.4649036929,77799.175263926,77390.5587355747,76021.3437351793,77183.6202186385,77866.8702184312,76971.1971272243,76656.1441680416,78264.2872854494,75749.9828532858,76131.2133596806,75826.3342541394,78670.0298287585,75850.3459538549,76337.4503551824,75467.8132801399,78115.7500136467,76217.386482873,78373.5234118306,77285.0760724913,74678.5590720638,75512.6400375398,75748.3688875289,75217.3370509933,74288.9461757953,74879.7974199611,81432.3030695426,72745.8313767369,78841.9517039178,73751.6979088918,78406.5279153498,76137.6911361874,79543.594537898,84680.0395229729,78290.3912328682,78607.0856576918,77580.5146456839,77192.2785646685,80922.4054335263,79833.9354824926,77262.6617100783,77338.7682064971
2017-01-12 11:00:00,75841,76699.4281283996,74848.5185983207,73955.5859434343,73524.9889849535,76244.032864607,75878.8388455701,76207.1662061973,76473.3139480026,75460.7472607666,74076.7377901721,75276.2825208123,76434.3242885558,74444.634518924,74330.0163122962,76247.1047609274,75426.0034028369,74688.1241313078,77807.4424438462,77137.884623075,78123.8672382219,81481.6378148384,78001.7743307753,78352.1135597698,77012.7511629393,76913.7927402245,75064.7808198801,75846.7673201057,75451.1449007868,76663.268984559,76318.2721053792,77441.3778532771,76522.2514412922,76007.0482180213,76544.5964837187,83235.0852300876,76878.4342786843,75543.671483932,75839.4290629602,77095.710469092,74869.0815676661,73929.5144863182,74568.6124709461,76871.5077473249,76379.7356768726,76562.1802891171,75659.6157520383,76977.2389571447,76598.4593850771,76731.1697453102,76995.01435854,75215.069412504,76113.9681431901,76798.8646998154,75903.1916086085,76232.8775111187,77196.2817668336,75160.8825656937,75590.8358696786,74767.7386279724,77602.0243101427,75373.5722923454,75269.4448365666,74648.9153245563,77047.7444950309,75149.3809642572,77305.5178932148,76863.1413593305,73778.7087828556,74529.2388177452,74914.3155787151,74149.3315323775,73220.9406571795,73811.7919013454,81057.0949891651,71677.8258581211,77773.946185302,72716.5716531186,77410.0079049062,75237.8408469792,78475.5890192822,83612.0340043571,77415.3055704918,77539.080139076,77251.1511397422,76292.4282754603,80906.754849644,79483.1631480762,76400.4600425569,76935.3873723034,75114.2055015197
2017-01-13 11:00:00,76602.75,73967.0302241673,72106.8480236573,71665.5665838895,73873.753069202,73621.9035991256,74605.4615881859,75140.6971559984,74297.8653394644,72493.5180240165,72571.5726134031,74536.7543747004,72866.9461276852,72630.8464712403,73678.3274511596,74354.0052387162,71953.5333750094,75444.9857534909,75505.4756637272,75761.4105478666,79317.4391886692,75639.31764042,77626.0999847072,74659.8002266774,74809.8574199186,74450.1801756435,73297.159061683,73128.3593151305,75505.6632011254,75267.1047581677,75078.9211629218,74532.8603415038,74583.8012838537,75305.3664056647,82275.4865275104,74252.7589541486,73963.3280475259,73636.2848471887,74913.4142269756,74441.3089659911,72758.5222522572,72206.1557805908,74738.3157071469,74006.8838276931,74880.5773598929,73980.7553567771,75117.1445434749,74232.4205875027,75300.2623188506,75901.325641506,74139.3765269344,73749.2877910289,75423.9550942222,74705.7250483529,75128.3396046109,75627.498582123,74085.1896801241,74558.8070248811,72525.0587646994,76245.1793662435,74800.7646060065,73766.4362659552,72822.034173624,75039.5066519784,74402.5158641782,74943.0612028595,75663.7570933472,72412.3749460449,72269.4502880102,72690.0116096755,72569.302721033,70858.4839668242,72361.6595440089,80191.5082516614,69315.3691677657,75411.4894949467,70436.4700134695,74976.0657063787,72590.8815262082,76113.1323289269,81249.5773140018,76339.6126849222,75587.47091701,76175.4582541726,73573.9096957811,80366.9870361917,77920.6551946293,75239.8951033993,76117.0418225216,74304.6816072296,75787.4484737609
2017-01-14 18:00:00,64873.5,61800.7233308651,61370.1263723843,63352.4551954598,63731.8749652457,63932.478731152,64345.3023742664,63327.30172956,61921.8751776029,63151.3007571323,63380.8002627931,62066.670493151,62159.1130608728,64118.2155647495,63204.3841031893,62591.4737508215,64732.3341027834,64062.7762820122,65135.811911568,69326.7752022692,65384.7485484257,65675.0425963602,64252.7177753897,63838.6843991617,62795.6330520775,63719.1228225003,63280.4863304983,64360.3406627709,64037.019136014,64860.0185765906,64398.2991099234,63408.8240002739,64178.8082129966,71013.4334005273,64723.5716661151,62931.5987688466,63531.014110293,64318.4513354334,62413.1003783625,61613.9045064347,62494.0527119871,64667.6808407964,63447.1066741526,64054.9081707298,63374.5396050533,64544.5655158304,64497.4566885963,64219.1218421411,64779.9970968425,62998.3230437072,63616.1416275056,64434.2686401755,63589.5139667206,63985.1836118635,64813.2668138476,62946.2202104478,63347.2067052545,62316.2070315442,65103.6238889145,63064.7391243848,62903.6028806003,62533.2615187386,64582.8961138044,62866.8273378558,64960.1761479536,64604.0494511576,61623.8461702863,61738.3690316858,62759.4529661459,61434.7877423372,60931.7207121798,61215.7006000182,68785.1236120538,59251.2518991976,65482.132644873,60561.7090405494,65255.145292337,63110.4533730487,65915.0681251548,70774.279992513,65197.4126233003,65066.2547635085,65054.4523789417,64153.6378395103,67851.0619151561,66774.6962506386,64096.6202758189,64721.9175452027,62925.0233327873,64665.8172549761,62810.7376690288
2017-01-15 18:00:00,62288.5,58694.3455074508,60637.0576907283,61028.8787836686,61183.3435901086,61655.0583354347,60607.1252008852,59183.408406888,60420.209334217,60684.2955662216,59316.7160058584,59460.3113496834,61397.571500911,60273.3467606158,59843.0174799069,61206.7990728844,61041.630926414,62445.5678727363,66636.5311634375,62694.504509594,62984.7985575285,61528.8778033094,60925.8975886739,60069.2089273142,60990.4646591525,60498.1993288865,61242.2346923203,61105.6234381645,62183.2559611683,61708.0550710917,60690.5562239614,59942.6787243123,65938.68456326,62033.3276272834,60213.3588417686,60756.8626353209,61562.473736558,59625.9629927125,58787.5993692639,59722.8563395308,61977.4368019647,60718.5799614422,61290.2383681694,60662.2111566281,61854.3214769987,61807.2126497646,61463.3938006786,61364.6641318981,59489.2379901089,60899.2699278889,61744.0246013438,60848.80399806,60347.4998200997,62123.6802282882,59901.2297119898,59110.4792920334,59585.4743188086,61941.5608745812,60105.3890132458,60176.5832990241,59803.8086731554,61892.6520749727,60145.3519217718,62269.9321091219,60316.3792619059,58933.6021314547,59048.1249928541,60003.4119469198,58608.7452245476,58241.4766733481,57391.2553736274,63452.1411291879,56561.0078603659,62791.8886060413,57871.4650017177,62564.9012535053,60367.8610848961,63224.8240863231,68084.0359536813,62355.9711341964,62376.0107246768,60461.0567183006,61427.9715259178,65037.7649805314,63566.509289966,60840.7700714613,61384.9933153857,59231.6311387712,60241.3547300149,59468.8690220411,61628.2072966017
2017-01-16 18:00:00,75850.75,76784.6558006202,76834.3999740327,76949.5587530447,77498.9936503149,76434.1776065468,74954.4146069136,76211.7963997763,76982.8227483106,75075.5664536514,75160.6513207386,77228.9286302659,76085.2900448951,75647.7439880356,78444.9523117645,77777.3704563283,78762.194292634,82480.4664783177,78622.3435273251,78990.4406141819,77651.0782173514,77552.1197946366,75847.3472618,76769.8329035541,76304.9920331808,77288.5874936474,76885.5662412942,78079.7049076892,77551.9903859719,76528.2308811018,76372.0133421237,83279.1581670379,77877.2629421636,76129.1430598978,76562.5152763224,77748.8504052709,75429.4096336888,74523.8176484328,75469.8983075927,77821.3721168449,76930.9169679214,77189.6722442613,76480.9930056085,77698.2567918789,77651.1479646448,77345.788606089,77134.1736830496,75564.3394892339,76692.7393129402,77587.959916224,76684.7053863415,76243.625257617,77967.6155431684,75686.9527947871,75612.5417552146,75333.1733049891,78222.1544528049,75913.1442421944,75989.2872366519,75566.791654411,77736.5873898529,75949.324328126,78132.4353148802,76762.2274527677,74631.5346841441,74968.3433667083,75786.6140391925,74567.8415407303,74085.4119882283,74256.4627246494,81050.8483785643,72404.9431752461,78635.8239209215,73715.4003165979,78408.8365683855,76191.4351349799,79113.9160736943,84250.3610587692,78199.9064490766,78219.946039557,77295.2240766925,77241.5068157912,80881.7002954116,79410.4446048462,76690.7968334912,77208.5994467783,75086.7500802437,76869.7742176682,75406.0656823845,77472.1426114819,77372.8131181896
